,Home,Away,ML_h,ML_a,Week,Year
0,atlanta-falcons,new-england-patriots,+235,-300,11,2021
1,buffalo-bills,indianapolis-colts,-300,+235,11,2021
2,chicago-bears,baltimore-ravens,+180,-220,11,2021
3,cleveland-browns,detroit-lions,-525,+385,11,2021
4,tennessee-titans,houston-texans,-410,+310,11,2021
5,minnesota-vikings,green-bay-packers,+100,-120,11,2021
6,new-york-jets,miami-dolphins,+145,-165,11,2021
7,philadelphia-eagles,new-orleans-saints,-130,+110,11,2021
8,carolina-panthers,washington-football-team,-160,+140,11,2021
9,jacksonville-jaguars,san-francisco-49ers,+230,-290,11,2021
10,las-vegas-raiders,cincinnati-bengals,-105,-115,11,2021
11,kansas-city-chiefs,dallas-cowboys,-140,+120,11,2021
12,seattle-seahawks,arizona-cardinals,+110,-130,11,2021
13,los-angeles-chargers,pittsburgh-steelers,-260,+210,11,2021
14,tampa-bay-buccaneers,new-york-giants,-510,+375,11,2021
