,Home,Away,ML_h,ML_a,Week,Year
0,tampa-bay-buccaneers,dallas-cowboys,-510,375,1,2021
1,atlanta-falcons,philadelphia-eagles,-190,160,1,2021
2,buffalo-bills,pittsburgh-steelers,-290,230,1,2021
3,cincinnati-bengals,minnesota-vikings,145,-165,1,2021
4,detroit-lions,san-francisco-49ers,350,-475,1,2021
5,tennessee-titans,arizona-cardinals,-155,135,1,2021
6,indianapolis-colts,seattle-seahawks,140,-160,1,2021
7,washington-football-team,los-angeles-chargers,-140,120,1,2021
8,carolina-panthers,new-york-jets,-195,165,1,2021
9,houston-texans,jacksonville-jaguars,155,-180,1,2021
10,kansas-city-chiefs,cleveland-browns,-260,210,1,2021
11,new-england-patriots,miami-dolphins,-190,160,1,2021
12,new-orleans-saints,green-bay-packers,170,-200,1,2021
13,new-york-giants,denver-broncos,125,-145,1,2021
14,los-angeles-rams,chicago-bears,-475,350,1,2021
15,las-vegas-raiders,baltimore-ravens,155,-180,1,2021
0,washington-football-team,new-york-giants,-200,170,2,2021
1,chicago-bears,cincinnati-bengals,-140,120,2,2021
2,cleveland-browns,houston-texans,-760,525,2,2021
3,indianapolis-colts,los-angeles-rams,165,-195,2,2021
4,miami-dolphins,buffalo-bills,155,-180,2,2021
5,new-york-jets,new-england-patriots,195,-240,2,2021
6,philadelphia-eagles,san-francisco-49ers,125,-145,2,2021
7,pittsburgh-steelers,las-vegas-raiders,-250,200,2,2021
8,carolina-panthers,new-orleans-saints,140,-160,2,2021
9,jacksonville-jaguars,denver-broncos,220,-275,2,2021
10,arizona-cardinals,minnesota-vikings,-195,165,2,2021
11,tampa-bay-buccaneers,atlanta-falcons,-850,575,2,2021
12,los-angeles-chargers,dallas-cowboys,-160,140,2,2021
13,seattle-seahawks,tennessee-titans,-310,245,2,2021
14,baltimore-ravens,kansas-city-chiefs,170,-200,2,2021
15,green-bay-packers,detroit-lions,-550,400,2,2021
0,houston-texans,carolina-panthers,300,-400,3,2021
