,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
0,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P1,/players/zach-allen-allenza02
1,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P1,/players/zach-allen-allenza02
0,12,150,12.50,15.0,25t,1,--,19,30,S3,T20,P2,/players/dan-arnold-arnolda03
1,2,25,12.50,12.5,19,0,0,4,2,S2,T20,P2,/players/dan-arnold-arnolda03
2,31,438,14.13,27.4,59t,4,8,45,166,S1,T1,P2,/players/dan-arnold-arnolda03
0,0,0,0.00,0.0,0,0,--,0,0,S4,T1,P3,/players/budda-baker-bakerbu02
1,0,0,0.00,0.0,0,0,--,0,0,S3,T1,P3,/players/budda-baker-bakerbu02
2,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P3,/players/budda-baker-bakerbu02
3,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P3,/players/budda-baker-bakerbu02
0,0,0,0.00,0.0,0,0,--,0,0,S4,T13,P6,/players/evan-baylis-bayliev01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T5,P6,/players/evan-baylis-bayliev01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T12,P6,/players/evan-baylis-bayliev01
3,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P6,/players/evan-baylis-bayliev01
0,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P8,/players/eno-benjamin-benjaen01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T31,P9,/players/angelo-blackson-blackan01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T13,P9,/players/angelo-blackson-blackan01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T13,P9,/players/angelo-blackson-blackan01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T13,P9,/players/angelo-blackson-blackan01
4,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P9,/players/angelo-blackson-blackan01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T2,P11,/players/devondre-campbell-campbde02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T2,P11,/players/devondre-campbell-campbde02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T2,P11,/players/devondre-campbell-campbde02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T2,P11,/players/devondre-campbell-campbde02
4,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P11,/players/devondre-campbell-campbde02
0,0,0,0.00,0.0,0,0,--,0,0,S3,T1,P12,/players/mason-cole-colema02
1,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P12,/players/mason-cole-colema02
2,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P12,/players/mason-cole-colema02
0,0,0,0.00,0.0,0,0,--,0,0,S5,T3,P13,/players/trevon-coley-coleytr02
1,0,0,0.00,0.0,0,0,--,0,0,S4,T8,P13,/players/trevon-coley-coleytr02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T8,P13,/players/trevon-coley-coleytr02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T8,P13,/players/trevon-coley-coleytr02
4,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P13,/players/trevon-coley-coleytr02
0,3,26,8.67,2.2,13,0,--,13,16,S4,T14,P14,/players/darrell-daniels-danieda05
1,0,0,0.00,0.0,0,0,--,0,0,S3,T14,P14,/players/darrell-daniels-danieda05
2,1,4,4.00,0.4,4,0,0,3,0,S2,T1,P14,/players/darrell-daniels-danieda05
3,8,92,11.50,7.7,31,1,2,11,57,S1,T1,P14,/players/darrell-daniels-danieda05
0,10,127,12.70,10.6,25t,2,--,12,44,S5,T8,P15,/players/seth-devalve-devalse01
1,33,395,11.97,24.7,49,1,--,58,171,S4,T8,P15,/players/seth-devalve-devalse01
2,5,74,14.80,5.7,26,1,--,7,15,S3,T8,P15,/players/seth-devalve-devalse01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T8,P15,/players/seth-devalve-devalse01
4,0,0,0.00,0.0,0,0,0,1,0,S1,T1,P15,/players/seth-devalve-devalse01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P16,/players/michael-dogbe-dogbemi01
1,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P16,/players/michael-dogbe-dogbemi01
0,9,46,5.11,2.9,9,0,--,10,59,S5,T17,P17,/players/kenyan-drake-drakeke02
1,32,239,7.47,14.9,47,1,--,48,214,S4,T17,P17,/players/kenyan-drake-drakeke02
2,53,477,9.00,29.8,52t,5,--,73,423,S3,T17,P17,/players/kenyan-drake-drakeke02
3,22,174,7.91,29.0,26,0,1,33,163,S2,T17,P17,/players/kenyan-drake-drakeke02
4,25,137,5.48,9.1,18,0,0,31,144,S1,T1,P17,/players/kenyan-drake-drakeke02
0,20,103,5.15,6.4,13,0,--,23,121,S3,T1,P18,/players/chase-edmonds-edmonch02
1,12,105,8.75,8.1,31,1,1,21,105,S2,T1,P18,/players/chase-edmonds-edmonch02
2,53,402,7.58,25.1,30,4,2,67,330,S1,T1,P18,/players/chase-edmonds-edmonch02
0,0,0,0.00,0.0,0,0,--,0,0,S3,T6,P19,/players/kylie-fitts-fittsky01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P19,/players/kylie-fitts-fittsky01
2,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P19,/players/kylie-fitts-fittsky01
0,107,"1,023",9.56,63.9,32,6,--,150,358,S5,T1,P20,/players/larry-fitzgerald-fitzgla01
1,109,"1,156",10.61,72.2,37,6,--,161,408,S4,T1,P20,/players/larry-fitzgerald-fitzgla01
2,69,734,10.64,45.9,37,6,--,112,205,S3,T1,P20,/players/larry-fitzgerald-fitzgla01
3,75,804,10.72,50.2,54,4,10,109,343,S2,T1,P20,/players/larry-fitzgerald-fitzgla01
4,54,409,7.57,31.5,18,1,0,72,185,S1,T1,P20,/players/larry-fitzgerald-fitzgla01
0,1,2,2.00,0.7,2,0,--,2,5,S5,T19,P21,/players/dj-foster-fostedj02
1,17,133,7.82,19.0,20,0,--,28,79,S4,T1,P21,/players/dj-foster-fostedj02
2,0,0,0.00,0.0,0,0,--,0,0,S3,T1,P21,/players/dj-foster-fostedj02
3,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P21,/players/dj-foster-fostedj02
4,1,7,7.00,0.7,7,0,0,1,3,S1,T1,P21,/players/dj-foster-fostedj02
0,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P22,/players/leki-fotu-fotule01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P23,/players/lamont-gaillard-gaillla01
1,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P23,/players/lamont-gaillard-gaillla01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T1,P26,/players/markus-golden-goldema01
1,0,0,0.00,0.0,0,0,--,0,0,S4,T1,P26,/players/markus-golden-goldema01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T1,P26,/players/markus-golden-goldema01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T21,P26,/players/markus-golden-goldema01
4,0,0,0.00,0.0,0,0,0,0,0,S1,T21,P26,/players/markus-golden-goldema01
0,0,0,0.00,0.0,0,0,--,0,0,S4,T8,P27,/players/zane-gonzalez-gonzaza01
1,0,0,0.00,0.0,0,0,--,0,0,S3,T8,P27,/players/zane-gonzalez-gonzaza01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P27,/players/zane-gonzalez-gonzaza01
3,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P27,/players/zane-gonzalez-gonzaza01
0,0,0,0.00,0.0,0,0,--,0,0,S5,T24,P28,/players/jordan-hicks-hicksjo03
1,0,0,0.00,0.0,0,0,--,0,0,S4,T24,P28,/players/jordan-hicks-hicksjo03
2,0,0,0.00,0.0,0,0,--,0,0,S3,T24,P28,/players/jordan-hicks-hicksjo03
3,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P28,/players/jordan-hicks-hicksjo03
4,0,0,0.00,0.0,0,0,0,0,0,S1,T1,P28,/players/jordan-hicks-hicksjo03
0,78,954,12.23,59.6,51,4,--,151,279,S5,T13,P29,/players/deandre-hopkins-hopkide01
1,96,"1,378",14.35,91.9,72t,13,--,174,359,S4,T13,P29,/players/deandre-hopkins-hopkide01
2,115,"1,572",13.67,98.2,49t,11,--,163,387,S3,T13,P29,/players/deandre-hopkins-hopkide01
3,104,"1,165",11.20,77.7,43t,7,16,150,387,S2,T13,P29,/players/deandre-hopkins-hopkide01
4,115,"1,407",12.23,87.9,60,6,17,160,528,S1,T1,P29,/players/deandre-hopkins-hopkide01
