No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
94,Zach Allen\AlleZa01,23,LDT,13,7,281,6-4,Boston Col.,8/20/1997,1,4,Arizona Cardinals / 3rd / 65th pick / 2019,$690171
85,Dan Arnold\ArnoDa00,25,te,16,5,220,6-6,Wisconsin–Platteville,3/15/1995,2,4,,$750000
32,Budda Baker*+\BakeBu00,24,SS,15,15,195,5-10,Washington,1/10/1996,3,14,Arizona Cardinals / 2nd / 36th pick / 2017,$1000000
31,Chris Banjo\BanjCh00,30,fs,13,4,207,5-10,SMU,2/26/1990,7,2,,$1050000
25,De'Vante Bausby\BausDe00,27,,1,0,190,6-2,Pittsburg St.,1/15/1993,4,0,,
89,Evan Baylis\BaylEv00,27,,5,1,250,6-5,Oregon,11/18/1993,3,0,,$585000
68,Kelvin Beachum\BeacKe00,31,RT,16,16,308,6-3,SMU,6/8/1989,8,8,Pittsburgh Steelers / 7th / 248th pick / 2012,$1050000
96,Angelo Blackson\BlacAn00,28,NT,16,9,319,6-4,Auburn,11/14/1992,5,5,Tennessee Titans / 4th / 100th pick / 2015,$910000
46,Aaron Brewer\BrewAa00,30,,16,0,232,6-5,San Diego St.,7/5/1990,8,1,,$1050000
59,De'Vondre Campbell\CampDe00,27,LILB,16,16,232,6-4,Minnesota,7/1/1993,4,8,Atlanta Falcons / 4th / 115th pick / 2016,$1000000
52,Mason Cole\ColeMa02,24,C,14,14,292,6-5,Michigan,3/28/1996,2,7,Arizona Cardinals / 3rd / 97th pick / 2018,$750000
93,Trevon Coley\ColeTr01,26,,6,2,310,6-1,Florida Atlantic,7/13/1994,3,2,,$825000
81,Darrell Daniels\DaniDa02,26,TE,12,8,256,6-3,Washington,11/22/1994,3,1,,$825000
86,Seth Devalve\DevaSe00,27,,4,0,245,6-3,Princeton,1/29/1993,4,0,Cleveland Browns / 4th / 138th pick / 2016,
91,Michael Dogbe\DogbMi00,24,,3,0,284,6-3,Temple,5/5/1996,1,0,Arizona Cardinals / 7th / 249th pick / 2019,$585000
41,Kenyan Drake\DrakKe00,26,RB,15,13,211,6-1,Alabama,1/26/1994,4,6,Miami Dolphins / 3rd / 73rd pick / 2016,$8483000
29,Chase Edmonds\EdmoCh00,24,,16,2,210,5-9,Fordham,4/13/1996,2,6,Arizona Cardinals / 4th / 134th pick / 2018,$750000
49,Kylie Fitts\FittKy00,26,,13,1,261,6-3,UCLAUtah,10/11/1994,2,1,Chicago Bears / 6th / 181st pick / 2018,$750000
11,Larry Fitzgerald\FitzLa00,37,WR,13,13,218,6-3,Pittsburgh,8/31/1983,16,4,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
37,D.J. Foster\FostD.01,27,,10,0,205,6-0,Arizona St.,11/22/1993,4,0,,$126000
95,Leki Fotu\FotuLe00,22,,11,0,330,6-5,Utah,8/23/1998,Rook,1,Arizona Cardinals / 4th / 114th pick / 2020,$610000
53,Lamont Gaillard\GailLa00,24,,13,2,305,6-3,Georgia,2/8/1996,Rook,2,Arizona Cardinals / 6th / 179th pick / 2019,$675000
73,Max Garcia\GarcMa00,29,,14,0,309,6-4,Florida,11/9/1991,5,1,Denver Broncos / 4th / 133rd pick / 2015,$910000
45,Dennis Gardeck\GardDe01,26,,14,0,232,6-0,Sioux Falls,8/9/1994,2,2,,$750000
44,Markus Golden\GoldMa00,29,ROLB,9,8,260,6-3,Missouri,3/13/1991,5,4,Arizona Cardinals / 2nd / 58th pick / 2015,$2651319
5,Zane Gonzalez\GonzZa00,25,,12,0,202,6-0,Arizona St.,5/7/1995,3,2,Cleveland Browns / 7th / 224th pick / 2017,$3259000
58,Jordan Hicks\HickJo00,28,RILB,16,16,236,6-1,Texas,6/27/1992,5,9,Philadelphia Eagles / 3rd / 84th pick / 2015,$6000000
10,DeAndre Hopkins*\HopkDe00,28,WR,16,16,212,6-1,Clemson,6/6/1992,7,12,Houston Texans / 1st / 27th pick / 2013,$1500000
74,D.J. Humphries\HumpD.00,27,LT,16,16,307,6-5,Florida,12/28/1993,4,8,Arizona Cardinals / 1st / 24th pick / 2015,$910000
54,Isaiah Irving\IrviIs00,26,,1,0,254,6-3,San Jose St.,6/9/1994,3,0,,$582353
