No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
37,Ricardo Allen\AlleRi00,28,SS,16,16,186,5-9,Purdue,12/18/1991,5,5,Atlanta Falcons / 5th / 147th pick / 2014,$3500000
9,Ryan Allen\AlleRy01,29,,8,0,220,6-2,Louisiana Tech,2/28/1990,6,1,,
93,Allen Bailey\BailAl00,30,rde,15,5,288,6-3,Miami (FL),3/25/1989,8,3,Kansas City Chiefs / 3rd / 86th pick / 2011,$2750000
38,Kenjon Barner\BarnKe00,30,,14,0,195,5-9,Oregon,4/28/1989,6,1,Carolina Panthers / 6th / 182nd pick / 2013,$805000
44,Vic Beasley\BeasVi00,27,RDE,16,15,246,6-3,Clemson,7/8/1992,4,6,Atlanta Falcons / 1st / 8th pick / 2015,$12810000
13,Christian Blake\BlakCh00,23,,9,3,181,6-1,Northern Illinois,6/8/1996,1,1,,$495000
5,Matthew Bosher\BoshMa00,32,,3,0,208,6-0,Miami (FL),10/18/1987,8,0,Atlanta Falcons / 6th / 192nd pick / 2011,$2545000
68,Jamon Brown\BrowJa04,26,RG,10,9,340,6-4,Louisville,3/15/1993,4,4,St. Louis Rams / 3rd / 72nd pick / 2015,$2500000
3,Matt Bryant\bryanmat01,44,,7,0,203,5-9,Baylor,5/29/1975,17,0,,
59,De'Vondre Campbell\CampDe00,26,LLB,16,15,232,6-4,Minnesota,7/1/1993,3,8,Atlanta Falcons / 4th / 115th pick / 2016,$2025000
77,James Carpenter\CarpJa00,30,LG,11,11,321,6-5,Alabama,3/22/1989,8,5,Seattle Seahawks / 1st / 25th pick / 2011,$2000000
35,Jamal Carter\CartJa02,25,,11,0,215,6-1,Miami (FL),4/12/1994,2,1,,
99,Adrian Clayborn\ClayAd00,31,,15,1,280,6-3,Iowa,7/6/1988,8,2,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$930000
50,John Cominsky\ComiJo00,24,,10,0,285,6-5,Charleston (WV),11/22/1995,Rook,1,Atlanta Falcons / 4th / 135th pick / 2019,$495000
95,Jack Crawford\CrawJa00,31,,16,4,288,6-5,Penn St.,9/7/1988,7,2,Oakland Raiders / 5th / 158th pick / 2012,$2550000
32,Johnathan Cyprien\CyprJo00,29,,1,1,211,6-1,Florida International,7/29/1990,6,0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,
96,Tyeler Davison\DaviTy01,27,RDT,16,12,309,6-2,Fresno St.,9/3/1992,4,6,New Orleans Saints / 5th / 154th pick / 2015,$805000
24,Devonta Freeman\FreeDe00,27,RB,14,14,206,5-8,Florida St.,3/15/1992,5,7,Atlanta Falcons / 4th / 103rd pick / 2014,$3750000
83,Russell Gage\GageRu00,23,,16,4,184,6-0,LSU,1/22/1996,1,4,Atlanta Falcons / 6th / 194th pick / 2018,$570000
73,Matt Gono\GonoMa00,23,,5,0,305,6-4,Wesley,5/10/1996,1,0,,$570000
53,Jermaine Grace\GracJe00,26,,12,0,223,6-0,Miami (FL),11/8/1993,2,1,,$570000
87,Jaeden Graham\GrahJa01,24,,16,0,250,6-4,Yale,10/10/1995,Rook,1,,$495000
14,Justin Hardy\HardJu00,28,,16,1,192,5-10,East Carolina,12/18/1991,4,2,Atlanta Falcons / 4th / 107th pick / 2015,$805000
64,Sean Harlow\HarlSe00,24,,1,0,284,6-4,Oregon St.,3/28/1995,1,0,Atlanta Falcons / 4th / 136th pick / 2017,$570000
47,Josh Harris\HarrJo02,30,,16,0,224,6-1,Auburn,4/27/1989,7,1,,$930000
23,Brian Hill\HillBr02,24,,12,2,219,6-1,Wyoming,11/9/1995,2,3,Atlanta Falcons / 5th / 156th pick / 2017,$645000
81,Austin Hooper*\HoopAu00,25,TE,13,10,254,6-4,Stanford,10/29/1994,3,6,Atlanta Falcons / 3rd / 81st pick / 2016,$2025000
36,Kemal Ishmael\IshmKe00,28,,14,3,206,6-0,Central Florida,5/6/1991,6,1,Atlanta Falcons / 7th / 243rd pick / 2013,$805000
97,Grady Jarrett*\JarrGr00,26,LDT,16,16,305,6-0,Clemson,4/28/1993,4,12,Atlanta Falcons / 5th / 137th pick / 2015,$15209000
45,Deion Jones\JoneDe01,25,MLB,16,16,227,6-1,LSU,11/4/1994,3,8,Atlanta Falcons / 2nd / 52nd pick / 2016,$1069860
11,Julio Jones*\JoneJu02,30,WR,15,15,220,6-3,Alabama,2/8/1989,8,11,Atlanta Falcons / 1st / 6th pick / 2011,$9600000
27,Damontae Kazee\KazeDa00,26,FS,16,14,190,5-11,San Diego St.,6/5/1993,2,5,Atlanta Falcons / 5th / 149th pick / 2017,$645000
7,Younghoe Koo\KooxYo00,25,,8,0,185,5-10,Georgia Southern,8/3/1994,2,3,,
