No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
89,Mark Andrews*\AndrMa00,24,,15,4,256,6-5,Oklahoma,9/6/1995,1,12,Baltimore Ravens / 3rd / 86th pick / 2018,$624500
34,Anthony Averett\AverAn00,25,,9,3,178,5-11,Alabama,11/30/1994,1,1,Baltimore Ravens / 4th / 118th pick / 2018,$570000
28,Justin Bethel\BethJu00,29,,7,0,200,6-0,Presbyterian,6/17/1990,7,1,Arizona Cardinals / 6th / 177th pick / 2012,$1500000
49,Chris Board\BoarCh00,24,,15,0,229,6-2,North Dakota St.,7/23/1995,1,1,,$570000
54,Tyus Bowser\BowsTy00,24,,16,0,242,6-3,Houston,5/23/1995,2,3,Baltimore Ravens / 2nd / 47th pick / 2017,$971874
80,Miles Boykin\BoykMi00,23,WR,16,11,220,6-4,Notre Dame,10/12/1996,Rook,3,Baltimore Ravens / 3rd / 93rd pick / 2019,$495000
86,Nick Boyle\BoylNi00,26,TE,16,15,270,6-4,Delaware,2/17/1993,4,4,Baltimore Ravens / 5th / 171st pick / 2015,$1000000
77,Bradley Bozeman\BozeBr00,25,LG,16,16,317,6-5,Alabama,11/24/1994,1,9,Baltimore Ravens / 6th / 215th pick / 2018,$570000
15,Marquise Brown\BrowMa04,22,WR,14,11,170,5-9,Oklahoma,6/4/1997,Rook,8,Baltimore Ravens / 1st / 25th pick / 2019,$495000
78,Orlando Brown Jr.*\BrowOr00,23,RT,16,16,345,6-8,Oklahoma,5/2/1996,1,14,Baltimore Ravens / 3rd / 83rd pick / 2018,$627000
57,Josh Bynes\ByneJo00,30,il,12,7,235,6-1,Auburn,8/24/1989,8,5,,
26,Maurice Canady\CanaMa00,25,,5,1,193,6-1,Virginia,5/26/1994,3,1,Baltimore Ravens / 6th / 209th pick / 2016,$720000
24,Brandon Carr\CarrBr99,33,CB,16,16,210,6-0,Grand Valley St.,5/19/1986,11,5,Kansas City Chiefs / 5th / 140th pick / 2008,$4500000
36,Chuck Clark\ClarCh00,24,FS,16,12,205,6-0,Virginia Tech,4/19/1995,2,4,Baltimore Ravens / 6th / 186th pick / 2017,$645000
46,Morgan Cox*\CoxxMo00,33,,16,0,235,6-4,Tennessee,4/26/1986,9,2,,$1000000
35,Gus Edwards\EdwaGu00,24,,16,1,238,6-1,Miami (FL)Rutgers,4/13/1995,1,7,,$570000
70,Parker Ehinger\EhinPa00,27,,2,1,310,6-6,Cincinnati,12/30/1992,3,1,Kansas City Chiefs / 4th / 105th pick / 2016,
32,DeShon Elliott\ElliDe02,22,,6,0,210,6-1,Texas,4/21/1997,1,0,Baltimore Ravens / 6th / 190th pick / 2018,$570000
71,Justin Ellis\ElliJu01,29,,4,0,350,6-2,Louisiana Tech,12/27/1990,5,0,Oakland Raiders / 4th / 107th pick / 2014,
45,Jaylon Ferguson\FergJa02,24,LOLB,14,9,275,6-5,Louisiana Tech,12/14/1995,Rook,6,Baltimore Ravens / 3rd / 85th pick / 2019,$495000
58,L.J. Fort\FortL.00,29,RILB,12,8,232,6-0,Northern Iowa,1/3/1990,7,5,,
63,Hroniss Grasu\GrasHr00,28,,1,0,301,6-3,Oregon,8/12/1991,4,0,Chicago Bears / 3rd / 71st pick / 2015,
3,Robert Griffin III\GrifRo01,29,,7,1,213,6-2,Baylor,2/12/1990,7,2,Washington Redskins / 1st / 2nd pick / 2012,$1000000
43,Justice Hill\HillJu00,22,,16,0,200,5-10,Oklahoma St.,11/14/1997,Rook,3,Baltimore Ravens / 4th / 113th pick / 2019,$812500
44,Marlon Humphrey*+\HumpMa00,23,LCB,16,15,197,6-0,Alabama,7/8/1996,2,13,Baltimore Ravens / 1st / 16th pick / 2017,$1542044
81,Hayden Hurst\HursHa00,26,,16,4,245,6-4,South Carolina,8/24/1993,1,5,Baltimore Ravens / 1st / 25th pick / 2018,$981638
74,James Hurst\HursJa00,28,,16,2,310,6-5,North Carolina,12/17/1991,5,2,,$3500000
21,Mark Ingram*\IngrMa01,30,RB,15,15,215,5-9,Alabama,12/21/1989,8,12,New Orleans Saints / 1st / 28th pick / 2011,$2000000
33,Bennett Jackson\JackBe00,28,,4,0,192,6-0,Notre Dame,9/16/1991,5,0,New York Giants / 6th / 187th pick / 2014,$495000
8,Lamar Jackson*+\JackLa00,22,QB,15,15,212,6-2,Louisville,1/7/1997,1,25,Baltimore Ravens / 1st / 32nd pick / 2018,$910529
23,Tony Jefferson\JeffTo00,27,fs,5,5,211,5-11,Oklahoma,1/27/1992,6,1,,$8000000
27,Cyrus Jones\JoneCy00,26,,8,1,195,5-10,Alabama,11/29/1993,3,1,New England Patriots / 2nd / 60th pick / 2016,$996000
99,Matt Judon*\JudoMa00,27,ROLB,16,16,261,6-3,Grand Valley St.,8/15/1992,3,12,Baltimore Ravens / 5th / 146th pick / 2016,$2025000
4,Sam Koch\KochSa20,37,,16,0,222,6-1,Nebraska,8/13/1982,13,2,Baltimore Ravens / 6th / 203rd pick / 2006,$3150000
41,Anthony Levine\LeviAn00,32,,16,0,207,5-11,Tennessee St.,3/27/1987,8,1,,$1500000
94,Daylon Mack\MackDa00,22,,1,0,340,6-1,Texas A&M,2/23/1997,Rook,0,Baltimore Ravens / 5th / 160th pick / 2019,$704500
37,Iman Marshall\MarsIm00,22,,3,0,205,6-1,USC,2/27/1997,Rook,0,Baltimore Ravens / 4th / 127th pick / 2019,
90,Pernell McPhee\McPhPe00,31,lolb,7,7,265,6-3,Mississippi St.,12/17/1988,8,4,Baltimore Ravens / 5th / 165th pick / 2011,$930000
7,Trace McSorley\McSoTr00,24,,1,0,202,6-0,Penn St.,8/23/1995,Rook,0,Baltimore Ravens / 6th / 197th pick / 2019,$495000
65,Patrick Mekari\MekaPa00,22,c,11,5,308,6-4,California,8/13/1997,Rook,3,,$495000
10,Chris Moore\MoorCh00,26,,14,1,200,6-1,Cincinnati,6/16/1993,3,0,Baltimore Ravens / 4th / 107th pick / 2016,$720000
48,Patrick Onwuasor\OnwuPa00,27,lilb,14,6,227,6-0,ArizonaPortland St.,8/22/1992,3,5,,$3095000
96,Domata Peko\PekoDo20,35,,7,3,325,6-3,Michigan St.,11/27/1984,13,2,Cincinnati Bengals / 4th / 123rd pick / 2006,
24,Marcus Peters*+\PeteMa00,26,DB,10,9,195,6-0,Washington,1/9/1993,4,11,Kansas City Chiefs / 1st / 18th pick / 2015,
97,Michael Pierce\PierMi00,27,NT,14,14,340,6-0,Samford,11/6/1992,3,8,,$3095000
72,Ben Powers\PoweBe00,23,,1,0,310,6-4,Oklahoma,10/29/1996,Rook,0,Baltimore Ravens / 4th / 123rd pick / 2019,$802500
42,Patrick Ricard*\RicaPa00,25,FB,16,7,311,6-3,Maine,5/27/1994,2,1,,$645000
28,Jordan Richards\RichJo00,26,,9,0,215,5-11,Stanford,1/21/1993,4,1,New England Patriots / 2nd / 64th pick / 2015,
11,Seth Roberts\RobeSe00,28,,16,0,195,6-2,West Alabama,2/22/1991,5,4,,$1700000
