No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Mario Addison\AddiMa00,33,RDE,15,7,260,6-3,Troy,9/6/1987,9,4,,$5250000
17,Josh Allen*\AlleJo02,24,QB,16,16,237,6-5,Wyoming,5/21/1996,2,19,Buffalo Bills / 1st / 7th pick / 2018,$750000
5,Matt Barkley\BarkMa00,30,,5,0,234,6-2,USC,9/8/1990,7,1,Philadelphia Eagles / 4th / 98th pick / 2013,$1500000
2,Tyler Bass\BassTy00,23,,16,0,185,5-10,Georgia Southern,2/14/1997,Rook,3,Buffalo Bills / 6th / 188th pick / 2020,$610000
71,Ryan Bates\BateRy02,23,,16,0,300,6-4,Penn St.,2/14/1997,1,1,,
11,Cole Beasley\BeasCo00,31,WR,15,10,174,5-8,SMU,4/26/1989,8,10,,$4400000
84,Nate Becker\BeckNa00,24,,1,0,264,6-5,Miami (OH),3/24/1996,Rook,0,,
65,Ike Boettger\BoetIk00,26,LG,12,7,313,6-6,Iowa,10/5/1994,2,4,,$750000
9,Corey Bojorquez\BojoCo00,24,,16,0,208,6-0,New Mexico,9/13/1996,2,3,,$750000
15,John Brown\BrowJo02,30,WR,9,8,178,5-11,Pittsburg St.,4/3/1990,6,5,Arizona Cardinals / 3rd / 91st pick / 2014,$7050000
74,Brandin Bryant\BryaBr00,27,,1,0,294,6-3,Florida Atlantic,9/16/1993,1,0,,
94,Vernon Butler\ButlVe00,26,LDT,14,9,330,6-4,Louisiana Tech,6/14/1994,4,4,Carolina Panthers / 1st / 30th pick / 2016,$2800000
51,Bryan Cox Jr.\CoxxBr01,26,,1,0,270,6-3,Florida,6/25/1994,3,0,,
13,Gabriel Davis\DaviGa01,21,WR,16,11,216,6-2,Central Florida,4/1/1999,Rook,6,Buffalo Bills / 4th / 128th pick / 2020,$610000
73,Dion Dawkins\DawkDi00,26,LT,16,16,320,6-5,Temple,4/26/1994,3,9,Buffalo Bills / 2nd / 63rd pick / 2017,$1250441
68,Jordan Devey\DeveJo00,32,,1,0,320,6-6,Memphis,1/11/1988,7,0,,
14,Stefon Diggs*+\DiggSt00,27,WR,16,15,191,6-0,Maryland,11/29/1993,5,15,Minnesota Vikings / 5th / 146th pick / 2015,$14200000
53,Tyrel Dodson\DodsTy01,22,,10,2,237,6-0,Texas A&M,6/25/1998,Rook,2,,$474116
49,Tremaine Edmunds*\EdmuTr01,22,MLB,15,15,250,6-5,Virginia Tech,5/2/1998,2,10,Buffalo Bills / 1st / 16th pick / 2018,$1630868
57,A.J. Epenesa\EpenAJ00,22,,14,1,275,6-5,Iowa,9/15/1998,Rook,2,Buffalo Bills / 2nd / 54th pick / 2020,$610000
76,Jon Feliciano\FeliJo00,28,RG,9,9,325,6-4,Miami (FL),2/10/1992,5,5,Oakland Raiders / 4th / 128th pick / 2015,$2650000
69,Reid Ferguson\FergRe00,26,,16,0,235,6-2,LSU,3/24/1994,3,1,,$825000
70,Cody Ford\FordCo00,24,lg,7,7,329,6-3,Oklahoma,12/28/1996,1,4,Buffalo Bills / 2nd / 38th pick / 2019,$835419
86,Reggie Gilliam\GillRe00,23,,14,0,255,6-1,Toledo,8/20/1997,Rook,0,,$610000
55,Jerry Hughes\HughJe99,32,LDE,15,15,254,6-2,TCU,8/13/1988,10,8,Indianapolis Colts / 1st / 31st pick / 2010,$6650000
23,Micah Hyde\HydeMi00,30,FS,15,15,197,6-0,Iowa,12/31/1990,7,5,Green Bay Packers / 5th / 159th pick / 2013,$4000000
30,Dane Jackson\JackDa02,24,,5,2,187,6-0,Pittsburgh,11/29/1996,Rook,1,Buffalo Bills / 7th / 239th pick / 2020,$142800
90,Quinton Jefferson\JeffQu00,27,,16,4,291,6-4,Maryland,3/31/1993,4,3,Seattle Seahawks / 5th / 147th pick / 2016,$3750000
92,Darryl Johnson\JohnDa10,23,,15,0,253,6-6,North Carolina A&T,4/4/1997,1,1,Buffalo Bills / 7th / 225th pick / 2019,$675000
46,Jaquan Johnson\JohnJa11,25,,14,0,191,5-10,Miami (FL),11/6/1995,1,1,Buffalo Bills / 6th / 181st pick / 2019,$675000
24,Taron Johnson\JohnTa01,24,RLB,16,11,192,5-11,Weber St.,7/27/1996,2,6,Buffalo Bills / 4th / 121st pick / 2018,$750000
25,Taiwan Jones\JoneTa00,32,,13,0,195,6-0,East. Washington,7/26/1988,9,0,Oakland Raiders / 4th / 125th pick / 2011,$1050000
54,A.J. Klein\KleiAJ00,29,LLB,16,11,240,6-1,Iowa St.,7/30/1991,7,6,Carolina Panthers / 5th / 148th pick / 2013,$2200000
88,Dawson Knox\KnoxDa00,24,TE,12,7,254,6-4,Mississippi,11/14/1996,1,3,Buffalo Bills / 3rd / 96th pick / 2019,$513236
81,Tyler Kroft\KrofTy00,28,,10,4,252,6-6,Rutgers,10/15/1992,5,1,Cincinnati Bengals / 3rd / 85th pick / 2015,$3400000
87,Jake Kumerow\KumeJa00,28,,6,0,209,6-4,Wisconsin–Whitewater,2/17/1992,2,0,,
40,Deon Lacey\LaceDe00,30,,5,0,235,6-3,West Alabama,7/18/1990,3,0,,$630882
52,Darron Lee\LeexDa00,26,,2,0,232,6-1,Ohio St.,10/18/1994,4,0,New York Jets / 1st / 20th pick / 2016,
47,Cameron Lewis\LewiCa00,23,,5,2,185,5-9,Buffalo,4/13/1997,Rook,1,,$466471
56,Mike Love\LoveMi00,26,,1,0,255,6-3,South Florida,1/22/1994,2,0,,$585000
31,Dean Marlowe\MarlDe00,28,,15,4,208,6-1,James Madison,7/25/1992,5,3,,$1000000
44,Tyler Matakevich\MataTy00,28,,16,0,235,6-1,Temple,12/22/1992,4,1,Pittsburgh Steelers / 7th / 246th pick / 2016,$1750000
19,Isaiah McKenzie\McKeIs00,25,wr,16,7,173,5-8,Georgia,4/9/1995,3,4,Denver Broncos / 5th / 172nd pick / 2017,$825000
58,Matt Milano\MilaMa00,26,llb,10,5,223,6-0,Boston Col.,7/28/1994,3,3,Buffalo Bills / 5th / 163rd pick / 2017,$2133000
