No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
11,Robby Anderson\AndeRo04,27,WR,16,16,190,6-3,Temple,5/9/1993,4,9,,$4000000
41,Eli Apple\ApplEl00,25,,2,0,203,6-1,Ohio St.,8/9/1995,4,0,New York Giants / 1st / 10th pick / 2016,$2000000
40,Alex Armah\ArmaAl00,26,,16,1,255,6-2,West Georgia,5/17/1994,3,0,Carolina Panthers / 6th / 192nd pick / 2017,$825000
39,Reggie Bonnafon\BonnRe00,24,,2,0,215,6-0,Louisville,1/4/1996,1,1,,$675000
33,Tre Boston\BostTr00,28,FS,16,16,205,6-1,North Carolina,6/25/1992,6,7,Carolina Panthers / 4th / 128th pick / 2014,$1160000
5,Teddy Bridgewater\BridTe00,28,QB,15,15,215,6-2,Louisville,11/10/1992,6,12,Minnesota Vikings / 1st / 32nd pick / 2014,$8000000
95,Derrick Brown\BrowDe05,22,RDT,16,15,326,6-5,Auburn,4/15/1998,Rook,7,Carolina Panthers / 1st / 7th pick / 2020,$610000
53,Brian Burns\BurnBr00,22,LDE,15,14,250,6-5,Florida St.,4/23/1998,1,8,Carolina Panthers / 1st / 16th pick / 2019,$1110463
31,Juston Burris\BurrJu00,27,SS,13,12,212,6-0,North Carolina St.,8/4/1993,4,5,New York Jets / 4th / 118th pick / 2016,$910000
36,Trenton Cannon\CannTr00,26,,14,0,185,5-11,Virginia St.,7/23/1994,2,0,New York Jets / 6th / 204th pick / 2018,$750000
56,Jermaine Carter Jr.\CartJe00,25,mlb,16,7,225,6-0,Maryland,1/14/1995,2,4,Carolina Panthers / 5th / 161st pick / 2018,$750000
3,Joseph Charlton\CharJo01,23,,16,0,190,6-5,South Carolina,4/7/1997,Rook,2,,
21,Jeremy Chinn\ChinJe00,22,RLB,15,15,221,6-3,Southern Illinois,2/26/1998,Rook,9,Carolina Panthers / 2nd / 64th pick / 2020,$610000
14,Pharoh Cooper\CoopPh00,25,,16,1,208,5-11,South Carolina,3/7/1995,4,1,Los Angeles Rams / 4th / 117th pick / 2016,$910000
65,Dennis Daley\DaleDe00,24,,5,3,325,6-6,South Carolina,8/7/1996,1,2,Carolina Panthers / 6th / 212th pick / 2019,$675000
28,Mike Davis\DaviMi01,27,RB,15,12,221,5-9,South Carolina,2/19/1993,5,7,San Francisco 49ers / 4th / 126th pick / 2015,$2950000
24,Rasul Douglas\DougRa00,26,RCB,14,11,209,6-2,West Virginia,8/29/1994,3,4,Philadelphia Eagles / 3rd / 99th pick / 2017,$825000
29,Corn Elder\EldeCo00,26,,16,1,185,5-10,Miami (FL),10/9/1994,2,1,Carolina Panthers / 5th / 152nd pick / 2017,$750000
42,Sam Franklin\FranSa00,24,,14,4,210,6-3,Temple,2/2/1996,Rook,2,,$610000
97,Yetur Gross-Matos\GrosYe00,22,rde,12,7,266,6-5,Penn St.,2/26/1998,Rook,4,Carolina Panthers / 2nd / 38th pick / 2020,$572941
78,Woodrow Hamilton\HamiWo00,28,,5,0,315,6-3,Mississippi,12/20/1992,4,0,,$660000
38,Myles Hartsfield\HartMy00,23,,16,0,211,5-11,Mississippi,8/5/1997,Rook,2,,
98,Marquis Haynes\HaynMa01,27,,15,0,235,6-2,Mississippi,12/16/1993,2,2,Carolina Panthers / 4th / 136th pick / 2018,$750000
26,Donte Jackson\JackDo02,25,LCB,14,13,180,5-10,LSU,11/8/1995,2,6,Carolina Panthers / 2nd / 55th pick / 2018,$917502
30,Natrell Jamerson\JameNa00,25,,4,0,200,5-11,Wisconsin,12/15/1995,2,0,New Orleans Saints / 5th / 164th pick / 2018,$660000
44,J.J. Jansen\JansJ.00,34,,16,0,235,6-2,Notre Dame,1/20/1986,11,1,,$1050000
47,Clay Johnston\JohnCl00,24,,2,0,227,6-1,Baylor,8/8/1996,Rook,0,Los Angeles Rams / 7th / 234th pick / 2020,
63,Matt Kaskey\KaskMa00,23,,1,0,325,6-7,Dartmouth,3/17/1997,Rook,0,,
92,Zach Kerr\KerrZa00,30,,13,4,334,6-2,Delaware,8/29/1990,6,0,,$910000
18,Keith Kirkwood\KirkKe00,26,,1,0,210,6-3,HawaiiTemple,12/26/1994,2,0,,$467647
96,Austin Larkin\LarkAu00,25,,9,0,265,6-3,Purdue,4/6/1995,1,1,,$476472
69,Tyler Larsen\LarsTy00,29,,13,0,325,6-4,Utah St.,7/8/1991,4,1,,$1300000
74,Greg Little\LittGr01,23,,10,3,310,6-5,Mississippi,11/4/1997,1,2,Carolina Panthers / 2nd / 37th pick / 2019,$842224
82,Chris Manhertz\ManhCh00,28,TE,16,12,255,6-6,Canisius,4/10/1992,6,0,,$910000
22,Christian McCaffrey\McCaCh01,24,,3,3,205,5-11,Stanford,6/7/1996,3,3,Carolina Panthers / 1st / 8th pick / 2017,$825000
83,Marken Michel\MichMa00,27,,2,0,190,5-11,Massachusetts,7/6/1993,Rook,0,,
67,John Miller\MillJo04,27,RG,14,14,315,6-3,Louisville,8/12/1993,5,7,Buffalo Bills / 3rd / 81st pick / 2015,$1790000
12,D.J. Moore\MoorD.00,23,WR,15,14,215,5-11,Maryland,4/14/1997,2,10,Carolina Panthers / 1st / 24th pick / 2018,$1495574
72,Taylor Moton\MotoTa00,26,RT,16,16,325,6-5,West. Michigan,8/14/1994,3,8,Carolina Panthers / 2nd / 64th pick / 2017,$1032021
94,Efe Obada\ObadEf00,28,,16,1,265,6-6,none,4/13/1992,2,0,,$750000
76,Russell Okung\OkunRu20,32,LT,7,7,310,6-5,Oklahoma St.,10/7/1988,10,3,Seattle Seahawks / 1st / 6th pick / 2010,$13000000
45,Chris Orr\OrrxCh00,23,,3,0,224,6-0,Wisconsin,6/17/1997,Rook,0,,
61,Matt Paradis\ParaMa00,31,C,16,16,300,6-3,Boise St.,10/12/1989,6,8,Denver Broncos / 6th / 207th pick / 2014,$5500000
25,Troy Pride Jr.\PridTr00,22,RCB,14,8,193,5-11,Notre Dame,1/19/1998,Rook,3,Carolina Panthers / 4th / 113th pick / 2020,
64,Chris Reed\ReedCh00,28,LG,14,14,320,6-4,Minnesota St.,7/22/1992,4,7,,$1375000
15,Seth Roberts\RobeSe00,29,,7,1,195,6-2,West Alabama,2/22/1991,6,0,,$3100000
27,Kenny Robinson Jr.\RobiKe02,21,,9,0,200,,West Virginia,1/8/1999,Rook,1,Carolina Panthers / 5th / 152nd pick / 2020,
93,Bravvion Roy\RoyxBr00,24,LDT,15,9,333,6-1,Baylor,10/18/1996,Rook,5,Carolina Panthers / 6th / 184th pick / 2020,$610000
10,Curtis Samuel\SamuCu00,24,WR,15,5,195,5-11,Ohio St.,8/11/1996,3,8,Carolina Panthers / 2nd / 40th pick / 2017,$1220044
75,Michael Schofield\SchoMi00,30,,11,3,301,6-6,Michigan,11/15/1990,6,2,Denver Broncos / 3rd / 95th pick / 2014,$1000000
68,Trenton Scott\ScotTr01,26,,14,4,320,6-5,Grambling St.,1/25/1994,2,3,,$750000
99,Kawann Short\ShorKa00,31,,3,3,315,6-3,Purdue,2/2/1989,7,0,Carolina Panthers / 2nd / 44th pick / 2013,$12500000
4,Joey Slye\SlyeJo00,24,,16,0,213,5-11,Virginia Tech,4/10/1996,1,2,,$675000
35,Rodney Smith\SmitRo08,24,,7,1,210,5-11,Minnesota,2/28/1996,Rook,1,,
50,Julian Stanford\StanJu00,30,,16,0,230,6-1,Wagner,9/2/1990,8,1,,$910000
15,Tommy Stevens\StevTo01,24,,1,0,235,6-5,Penn St.Mississippi St.,12/15/1996,Rook,0,New Orleans Saints / 7th / 240th pick / 2020,
57,Adarius Taylor\GlanAd00,30,,13,2,230,6-0,Florida Atlantic,9/21/1990,6,2,,$910000
71,Sam Tecklenburg\TeckSa00,23,,2,0,310,6-4,Baylor,1/31/1997,Rook,0,,
80,Ian Thomas\ThomIa00,24,TE,16,8,260,6-3,Indiana,6/6/1996,2,1,Carolina Panthers / 4th / 101st pick / 2018,$750000
23,Stantley Thomas-Oliver\ThomSt00,22,,10,0,192,6-0,Florida International,6/4/1998,Rook,1,Carolina Panthers / 7th / 221st pick / 2020,$610000
86,Colin Thompson\ThomCo03,27,,15,4,255,6-4,TempleFlorida,12/15/1993,Rook,0,,$610000
54,Shaq Thompson\ThomSh01,26,LLB,16,15,230,6-0,Washington,4/21/1994,5,8,Carolina Panthers / 1st / 25th pick / 2015,$4000000
6,Phillip Walker\WalkPh00,25,,4,1,212,5-11,Temple,2/26/1995,2,1,,$610000
91,Stephen Weatherly\WeatSt00,26,RDE,9,9,265,6-5,Vanderbilt,3/19/1994,4,4,Minnesota Vikings / 7th / 227th pick / 2016,$2250000
52,Tahir Whitehead\WhitTa00,30,MLB,14,9,241,6-2,Temple,4/2/1990,8,5,Detroit Lions / 5th / 138th pick / 2012,$1050000
16,Brandon Zylstra\ZylsBr00,27,,16,2,215,6-2,Concordia-Moorhead (MN),3/25/1993,2,0,,$750000
