No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
64,Alex Bars\BarsAl01,25,RG,16,8,314,6-5,Notre Dame,9/8/1995,1,4,,$675000
53,Devante Bond\BondDe00,27,,2,0,236,6-1,Oklahoma,7/3/1993,3,0,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,
8,Tyler Bray\BrayTy00,29,,1,0,223,6-6,Tennessee,12/27/1991,7,0,,$142800
26,Deon Bush\BushDe00,27,,11,0,200,6-0,Miami (FL),8/14/1993,4,1,Chicago Bears / 4th / 124th pick / 2016,$1262500
19,DeAndre Carter\CartDe02,27,,4,0,190,5-8,Sacramento St.,4/10/1993,2,0,,$750000
29,Tarik Cohen\CoheTa00,25,,3,0,191,5-6,North Carolina A&T,7/26/1995,3,1,Chicago Bears / 4th / 119th pick / 2017,$1133000
69,Rashaad Coward\CowaRa00,26,lg,16,5,326,6-5,Old Dominion,11/6/1994,3,3,,$825000
47,Xavier Crawford\CrawXa00,25,,3,0,187,5-11,Central Michigan,12/10/1995,1,0,Houston Texans / 6th / 195th pick / 2019,$675000
68,James Daniels\DaniJa01,23,LG,5,5,305,6-3,Iowa,9/13/1997,2,2,Chicago Bears / 2nd / 39th pick / 2018,$1111833
97,Mario Edwards\EdwaMa01,26,,15,0,280,6-3,Florida St.,1/25/1994,5,2,Oakland Raiders / 2nd / 35th pick / 2015,$910000
60,Dieter Eiselen\EiseDi00,24,,1,0,300,6-4,Yale,6/10/1996,Rook,0,,
9,Nick Foles\FoleNi00,31,qb,9,7,243,6-6,Arizona,1/20/1989,8,3,Philadelphia Eagles / 3rd / 88th pick / 2012,$4000000
23,Kyle Fuller\FullKy00,28,LCB,16,16,194,5-11,Virginia Tech,2/16/1992,6,7,Chicago Bears / 1st / 14th pick / 2014,$4500000
19,Ted Ginn Jr.\GinnTe00,35,,6,0,180,5-11,Ohio St.,4/12/1985,13,0,Miami Dolphins / 1st / 9th pick / 2007,$1050000
38,Tashaun Gipson\GipsTa00,30,SS,16,16,212,6-1,Wyoming,8/7/1990,8,7,,$1050000
99,Trevis Gipson\GipsTr00,23,,7,0,261,6-3,Tulsa,6/13/1997,Rook,0,Chicago Bears / 5th / 155th pick / 2020,$610000
80,Jimmy Graham\GrahJi00,34,TE,16,15,265,6-7,Miami (FL),11/24/1986,10,4,New Orleans Saints / 3rd / 95th pick / 2010,$3000000
71,Arlington Hambright\HambAr00,24,,9,1,,,Colorado,1/30/1996,Rook,1,Chicago Bears / 7th / 226th pick / 2020,$610000
86,Demetrius Harris\HarrDe03,29,te,15,5,230,6-7,Wisconsin–Milwaukee,7/29/1991,7,0,,$1150000
82,Dwayne Harris\HarrDw00,33,,3,0,215,5-10,East Carolina,9/16/1987,9,0,Dallas Cowboys / 6th / 176th pick / 2011,$555882
96,Akiem Hicks\HickAk00,31,DE,15,15,352,6-4,Regina (Canada),11/16/1989,8,8,New Orleans Saints / 3rd / 89th pick / 2012,$10200000
81,J.P. Holtz\HoltJ.01,27,,16,1,240,6-3,Pittsburgh,8/28/1993,2,0,,$675000
36,DeAndre Houston-Carson\HousDe00,27,,16,0,202,6-0,William & Mary,4/13/1993,4,2,Chicago Bears / 6th / 185th pick / 2016,$910000
74,Germain Ifedi\IfedGe00,26,RG,16,16,325,6-5,Texas A&M,6/2/1994,4,7,Seattle Seahawks / 1st / 31st pick / 2016,$910000
45,Joel Iyiegbuniwe\IyieJo00,25,,16,0,226,6-1,Western Kentucky,10/12/1995,2,1,Chicago Bears / 4th / 115th pick / 2018,$750000
39,Eddie Jackson\JackEd01,27,FS,16,16,204,6-0,Alabama,12/10/1993,3,7,Chicago Bears / 4th / 112th pick / 2017,$1050000
90,John Jenkins\JenkJo00,31,,11,0,327,6-3,Georgia,7/11/1989,7,1,New Orleans Saints / 3rd / 82nd pick / 2013,$1050000
33,Jaylon Johnson\JohnJa13,21,RCB,13,13,193,6-0,Utah,4/19/1999,Rook,5,Chicago Bears / 2nd / 50th pick / 2020,$610000
85,Cole Kmet\KmetCo00,21,TE,16,9,262,6-6,Notre Dame,3/10/1999,Rook,2,Chicago Bears / 2nd / 43rd pick / 2020,$610000
62,Eric Kush\KushEr00,31,,1,0,317,6-4,California (PA),9/9/1989,7,0,Kansas City Chiefs / 6th / 170th pick / 2013,
72,Charles Leno Jr.\LenoCh00,29,LT,16,16,307,6-3,Boise St.,10/9/1991,6,7,Chicago Bears / 7th / 246th pick / 2014,$7900000
52,Khalil Mack*\MackKh00,29,LOLB,16,16,269,6-3,Buffalo,2/22/1991,6,13,Oakland Raiders / 1st / 5th pick / 2014,$13300000
70,Bobby Massie\MassBo00,31,RT,8,8,325,6-6,Mississippi,8/1/1989,8,4,Arizona Cardinals / 4th / 112th pick / 2012,$6900000
75,Daniel McCullers\McCuDa00,28,,3,0,352,6-7,Tennessee,8/11/1992,6,0,Pittsburgh Steelers / 6th / 215th pick / 2014,$802941
27,Sherrick McManis\McMaSh99,33,,11,0,203,5-11,Northwestern,12/19/1987,10,1,Houston Texans / 5th / 144th pick / 2010,$1050000
17,Anthony Miller\MillAn02,26,WR,16,6,199,5-11,Memphis,10/9/1994,2,4,Chicago Bears / 2nd / 51st pick / 2018,$966700
25,Lamar Miller\MillLa01,29,,1,0,221,5-10,Miami (FL),4/25/1991,8,0,Miami Dolphins / 4th / 97th pick / 2012,
50,Barkevious Mingo\MingBa00,30,,16,3,235,6-5,LSU,10/4/1990,7,3,Cleveland Browns / 1st / 6th pick / 2013,$1050000
32,David Montgomery\MontDa01,23,RB,15,14,222,5-10,Iowa St.,6/7/1997,1,10,Chicago Bears / 3rd / 73rd pick / 2019,$684136
11,Darnell Mooney\MoonDa00,23,WR,16,9,176,5-10,Tulane,10/29/1997,Rook,5,Chicago Bears / 5th / 173rd pick / 2020,$610000
67,Sam Mustipher\MustSa01,24,c,9,7,311,6-2,Notre Dame,8/13/1996,Rook,3,,$430584
35,Ryan Nall\NallRy00,25,,16,0,239,6-2,Oregon St.,12/27/1995,1,1,,$675000
98,Bilal Nichols\NichBi00,24,NT,16,16,313,6-3,Delaware,9/14/1996,2,7,Chicago Bears / 5th / 145th pick / 2018,$750000
16,Pat O'Donnell\ODonPa00,29,,16,0,212,6-4,Miami (FL),2/22/1991,6,2,Chicago Bears / 6th / 191st pick / 2014,$1750000
84,Cordarrelle Patterson*+\PattCo00,29,,16,3,238,6-2,Tennessee,3/17/1991,7,4,Minnesota Vikings / 1st / 29th pick / 2013,$4150000
46,Artavis Pierce\PierAr00,24,,5,0,208,5-11,Oregon St.,5/17/1996,Rook,0,,
94,Robert Quinn\QuinRo00,30,ROLB,15,13,257,6-4,North Carolina,5/18/1990,9,6,St. Louis Rams / 1st / 14th pick / 2011,$3000000
88,Riley Ridley\RidlRi00,24,,5,1,200,6-1,Georgia,7/21/1996,1,0,Chicago Bears / 4th / 126th pick / 2019,$675000
95,Roy Robertson-Harris\RobeRo00,27,lde,8,6,292,6-5,Texas-El Paso,7/23/1993,3,3,,$3259000
12,Allen Robinson\RobiAl02,27,WR,16,16,220,6-2,Penn St.,8/24/1993,6,10,Jacksonville Jaguars / 2nd / 61st pick / 2014,$10900000
2,Cairo Santos\SantCa01,29,,16,0,160,5-8,Tulane,11/12/1991,6,5,,$856471
48,Patrick Scales\ScalPa00,32,,16,0,228,6-3,Utah St.,2/11/1988,6,1,,$910000
20,Duke Shelley\ShelDu00,24,,11,2,183,5-8,Kansas St.,10/8/1996,1,1,Chicago Bears / 6th / 205th pick / 2019,$675000
24,Buster Skrine\SkriBu00,31,,12,3,187,5-9,Chattanooga,4/26/1989,9,0,Cleveland Browns / 5th / 137th pick / 2011,$4650000
58,Roquan Smith\SmitRo07,23,LILB,16,16,230,6-0,Georgia,4/8/1997,2,14,Chicago Bears / 1st / 8th pick / 2018,$750000
78,Jason Spriggs\SpriJa00,26,,8,0,301,6-6,Indiana,5/17/1994,4,1,Green Bay Packers / 2nd / 48th pick / 2016,$825000
59,Danny Trevathan\TrevDa00,30,RILB,16,16,237,6-0,Kentucky,3/24/1990,8,8,Denver Broncos / 6th / 188th pick / 2012,$3000000
10,Mitchell Trubisky\TrubMi00,26,QB,10,9,215,6-2,North Carolina,8/20/1994,3,7,Chicago Bears / 1st / 2nd pick / 2017,$825000
92,Brent Urban\UrbaBr00,29,DT,16,8,300,6-7,Virginia,5/5/1991,6,4,Baltimore Ravens / 4th / 134th pick / 2014,$910000
93,James Vaughters\VaugJa01,27,,14,0,256,6-1,Stanford,6/27/1993,1,1,,$675000
22,Kindle Vildor\VildKi00,23,,16,1,191,5-10,Georgia Southern,12/11/1997,Rook,1,Chicago Bears / 5th / 163rd pick / 2020,$610000
65,Cody Whitehair\WhitCo03,28,C,14,14,309,6-3,Kansas St.,7/11/1992,4,6,Chicago Bears / 2nd / 56th pick / 2016,$1100000
83,Javon Wims\WimsJa00,26,,13,1,221,6-2,Georgia,9/11/1994,2,0,Chicago Bears / 7th / 224th pick / 2018,$661770
55,Josh Woods\WoodJo02,24,,15,0,236,6-1,Maryland,7/1/1996,1,1,,$675000
