No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Geno Atkins*\AtkiGe99,28,RDT,16,16,300,6-1,Georgia,3/28/1988,6,13,Cincinnati Bengals / 4th / 120th pick / 2010,$9600000
25,Giovani Bernard\BernGi00,25,,10,2,205,5-9,North Carolina,11/22/1991,3,5,Cincinnati Bengals / 2nd / 37th pick / 2013,$4621517
61,Russell Bodine\BodiRu00,24,C,16,16,308,6-3,North Carolina,6/30/1992,2,8,Cincinnati Bengals / 4th / 111th pick / 2014,$714114
65,Clint Boling\BoliCl00,27,LG,14,14,305,6-5,Georgia,5/9/1989,5,7,Cincinnati Bengals / 4th / 101st pick / 2011,$4750000
83,Tyler Boyd\BoydTy00,22,,16,2,203,6-2,Pittsburgh,11/15/1994,Rook,5,Cincinnati Bengals / 2nd / 55th pick / 2016,$774358
23,Chykie Brown\BrowCh05,30,,5,0,185,6-0,Texas,12/26/1986,5,0,Baltimore Ravens / 5th / 164th pick / 2011,$600000
4,Randy Bullock\BullRa00,27,,3,0,210,5-9,Texas A&M,12/16/1989,4,0,Houston Texans / 5th / 161st pick / 2012,$134117
55,Vontaze Burfict\BurfVo00,26,RLB,11,11,255,6-1,Arizona St.,9/24/1990,4,8,,$3322059
33,Rex Burkhead\BurkRe00,26,,16,1,215,5-10,Nebraska,7/2/1990,3,3,Cincinnati Bengals / 6th / 190th pick / 2013,$675000
93,Will Clarke\ClarWi00,25,,16,0,275,6-6,West Virginia,5/4/1991,2,0,Cincinnati Bengals / 3rd / 88th pick / 2014,$756345
16,Cody Core\CoreCo00,22,,8,4,205,6-3,Mississippi,4/17/1994,Rook,2,Cincinnati Bengals / 6th / 199th pick / 2016,$481983
14,Andy Dalton*\DaltAn00,29,QB,16,16,220,6-2,TCU,10/29/1987,5,12,Cincinnati Bengals / 2nd / 35th pick / 2011,$13100000
56,Karlos Dansby\DansKa20,35,llb,16,7,250,6-4,Auburn,11/3/1981,12,6,Arizona Cardinals / 2nd / 33rd pick / 2004,$2000000
47,Paul Dawson\DawsPa00,23,,2,0,240,6-0,TCU,1/13/1993,1,0,Cincinnati Bengals / 3rd / 99th pick / 2015,$61764
