No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
92,Dorance Armstrong Jr.\ArmsDo00,22,,15,0,255,6-4,Kansas,6/10/1997,1,2,Dallas Cowboys / 4th / 116th pick / 2018,$570000
41,Ray-Ray Armstrong\ArmsRa01,28,,1,0,220,6-3,Miami (FL),3/5/1991,6,0,,
10,Tavon Austin\AustTa00,29,,14,0,179,5-8,West Virginia,3/15/1990,6,2,St. Louis Rams / 1st / 8th pick / 2013,$1000000
24,Chidobe Awuzie\AwuzCh00,24,LCB,16,16,202,6-0,Colorado,5/24/1995,2,7,Dallas Cowboys / 2nd / 60th pick / 2017,$854417
79,Michael Bennett\BennMi99,34,,9,0,275,6-4,Texas A&M,11/13/1985,10,2,,
30,Anthony Brown\BrowAn02,26,,9,4,196,5-11,Purdue,12/15/1993,3,2,Dallas Cowboys / 6th / 189th pick / 2016,$2025000
83,Ventell Bryant\BryaVe00,23,,12,0,205,6-3,Temple,8/24/1996,Rook,0,,
33,Deante Burton\BurtDe00,25,,3,0,205,6-2,Kansas St.,7/12/1994,1,0,,
46,Jordan Chunn\ChunJo00,24,,1,0,230,6-0,Troy,1/2/1995,Rook,0,,$495000
18,Randall Cobb\CobbRa00,29,wr,15,6,192,5-10,Kentucky,8/22/1990,8,7,Green Bay Packers / 2nd / 64th pick / 2011,$2000000
71,La'el Collins\CollLa01,26,RT,15,15,320,6-4,LSU,7/26/1993,4,9,,$6516750
96,Maliek Collins\CollMa00,24,DT,16,16,308,6-2,Nebraska,4/8/1995,3,8,Dallas Cowboys / 3rd / 67th pick / 2016,$2025000
19,Amari Cooper*\CoopAm00,25,WR,16,16,210,6-1,Alabama,6/17/1994,4,10,Oakland Raiders / 1st / 4th pick / 2015,$13924000
59,Chris Covington\CoviCh01,23,,3,0,245,6-2,Indiana,1/3/1996,1,0,Dallas Cowboys / 6th / 193rd pick / 2018,$570000
95,Christian Covington\CoviCh00,26,de,16,6,305,6-2,Rice,10/16/1993,4,4,Houston Texans / 6th / 216th pick / 2015,$1000000
98,Tyrone Crawford\CrawTy00,30,,4,2,290,6-4,Boise St.,11/22/1989,7,1,Dallas Cowboys / 3rd / 81st pick / 2012,$7000000
