No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
22,C.J. Anderson\AndeC.00,25,RB,7,7,225,5-8,California,2/10/1991,3,3,,$6000000
50,Zaire Anderson\AndeZa01,24,,16,1,220,5-11,Nebraska,8/18/1992,Rook,0,,$450000
48,Shaquil Barrett\BarrSh00,24,,16,0,250,6-2,Colorado St.,11/17/1992,2,0,,$525000
35,Kapri Bibbs\BibbKa00,23,,12,0,203,5-10,Colorado St.,1/10/1993,2,1,,$525000
23,Devontae Booker\BookDe00,24,rb,16,6,219,5-11,Utah,5/27/1992,Rook,5,Denver Broncos / 4th / 136th pick / 2016,$545848
93,Jared Crick\CricJa00,27,RDE,16,15,285,6-4,Nebraska,8/21/1989,4,9,Houston Texans / 4th / 126th pick / 2012,$1750000
51,Todd Davis\DaviTo01,24,ROLB,16,15,230,6-1,Sacramento St.,5/17/1992,2,9,,$600000
83,A.J. Derby\DerbA.00,25,,6,3,240,6-5,Arkansas,9/20/1991,Rook,1,New England Patriots / 6th / 202nd pick / 2015,$450000
9,Riley Dixon\DixoRi00,23,,16,0,221,6-4,Syracuse,8/24/1993,Rook,2,Denver Broncos / 7th / 228th pick / 2016,$470002
59,Vontarrius Dora\DoraVo00,24,,1,0,256,6-4,Louisiana Tech,9/7/1992,Rook,0,,$79410
37,Lorenzo Doss\DossLo00,22,,6,0,185,5-11,Tulane,4/20/1994,1,0,Denver Broncos / 5th / 164th pick / 2015,$574303
53,James Ferentz\FereJa00,27,,7,0,300,6-2,Iowa,6/5/1989,2,0,,$525000
20,Justin Forsett\ForsJu00,31,,4,3,195,5-8,California,10/14/1985,8,1,Seattle Seahawks / 7th / 233rd pick / 2008,$208352
16,Bennie Fowler\FowlBe00,25,,13,0,212,6-1,Michigan St.,6/10/1991,2,1,,$525000
45,Thomas Gafford\GaffTh20,33,,6,0,250,6-2,Houston,1/29/1983,8,0,,$312352
76,Max Garcia\GarcMa00,25,LG,16,16,309,6-4,Florida,11/9/1991,1,7,Denver Broncos / 4th / 133rd pick / 2015,$611423
49,Quentin Gause\GausQu00,24,,3,0,243,6-0,Rutgers,10/30/1992,Rook,0,,$105880
99,Adam Gotsis\GotsAd00,24,,16,0,287,6-4,Georgia Tech,9/23/1992,Rook,0,Denver Broncos / 2nd / 63rd pick / 2016,$715982
85,Virgil Green\GreeVi00,28,TE,12,11,255,6-5,Nevada,8/3/1988,5,2,Denver Broncos / 7th / 204th pick / 2011,$2900000
25,Chris Harris Jr.*+\HarrCh01,27,RCB,16,15,199,5-10,Kansas,6/18/1989,5,17,,$9000000
82,Jeff Heuerman\HeueJe00,24,,12,2,255,6-5,Ohio St.,11/24/1992,Rook,1,Denver Broncos / 3rd / 92nd pick / 2015,$695201
32,Andy Janovich\JanoAn00,23,rb,11,5,238,6-1,Nebraska,5/23/1993,Rook,1,Denver Broncos / 6th / 176th pick / 2016,$491077
33,Shiloh Keo\KeoxSh00,29,,3,0,223,5-11,Idaho,12/17/1987,5,0,Houston Texans / 5th / 144th pick / 2011,$600000
98,Darius Kilgo\KilgDa01,25,,9,0,312,6-3,Maryland,12/14/1991,1,0,Denver Broncos / 6th / 203rd pick / 2015,$552889
42,Casey Kreiter\KreiCa00,26,,10,0,250,6-1,Iowa,8/13/1990,Rook,0,,$450000
,Henry Krieger-Coble\KrieHe00,24,,2,0,246,6-4,Iowa,6/12/1992,Rook,0,,$52940
