No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
76,Oday Aboushi\AbouOd00,28,,7,2,315,6-5,Virginia,6/5/1991,6,1,New York Jets / 5th / 141st pick / 2013,$1000000
39,Jamal Agnew\AgneJa00,24,,13,0,190,5-10,San Diego,4/3/1995,2,3,Detroit Lions / 5th / 165th pick / 2017,$645000
80,Danny Amendola\AmenDa00,34,WR,15,10,185,5-11,Texas Tech,11/2/1985,10,5,,$4250000
26,C.J. Anderson\AndeC.00,28,,2,0,225,5-8,California,2/10/1991,6,0,,$1000000
99,John Atkins\AtkiJo01,27,dt,12,6,320,6-3,Georgia,12/21/1992,1,3,,$495000
46,Nick Bawden\BawdNi00,23,,10,2,245,6-2,San Diego St.,6/22/1996,1,0,Detroit Lions / 7th / 237th pick / 2018,$495000
63,Beau Benzschawel\BenzBe01,24,,2,0,300,6-6,Wisconsin,9/10/1995,Rook,0,,$495000
10,David Blough\BlouDa00,24,qb,5,5,200,6-0,Purdue,7/31/1995,Rook,-1,,
94,Austin Bryant\BryaAu00,23,,4,0,261,6-6,Clemson,11/12/1996,Rook,0,Detroit Lions / 4th / 117th pick / 2019,$495000
53,Jason Cabinda\CabiJa00,23,,4,0,235,6-1,Penn St.,3/17/1996,1,0,,
34,Tra Carson\CarsTr01,27,,1,1,228,5-11,Texas A&M,10/24/1992,1,0,,
27,Justin Coleman\ColeJu01,26,RCB,16,11,190,5-11,Tennessee,3/27/1993,4,4,,$805000
65,Tyrell Crosby\CrosTy00,24,rt,16,5,310,6-4,Oregon,9/5/1995,1,3,Detroit Lions / 5th / 153rd pick / 2018,$570000
66,Joe Dahl\DahlJo00,26,LG,13,13,310,6-4,Washington St.,4/9/1993,3,6,Detroit Lions / 5th / 151st pick / 2016,$720000
96,Mike Daniels\DaniMi00,30,,9,2,310,6-0,Iowa,5/5/1989,7,1,Green Bay Packers / 4th / 132nd pick / 2012,$7800000
40,Jarrad Davis\DaviJa01,25,MLB,11,11,245,6-1,Florida,11/16/1994,2,5,Detroit Lions / 1st / 21st pick / 2017,$1462198
68,Taylor Decker\DeckTa00,26,LT,15,15,318,6-7,Ohio St.,8/23/1993,3,8,Detroit Lions / 1st / 16th pick / 2016,$1945498
28,Quandre Diggs\DiggQu00,26,ss,5,5,197,5-9,Texas,1/22/1993,4,1,Detroit Lions / 6th / 200th pick / 2015,$2657000
2,Jeff Driskel\DrisJe00,26,,3,3,235,6-4,FloridaLouisiana Tech,4/23/1993,1,3,San Francisco 49ers / 6th / 207th pick / 2016,
90,Trey Flowers\FlowTr00,26,LDE,15,15,265,6-2,Arkansas,8/16/1993,4,7,New England Patriots / 4th / 101st pick / 2015,$805000
38,Mike Ford\FordMi01,24,,15,2,198,6-0,SE Missouri St.,8/4/1995,1,1,,$570000
14,Travis Fulgham\FulgTr00,24,,3,0,215,6-2,Old Dominion,9/13/1995,Rook,0,Detroit Lions / 6th / 184th pick / 2019,$495000
60,Graham Glasgow\GlasGr00,27,G,15,15,310,6-6,Michigan,7/19/1992,3,6,Detroit Lions / 3rd / 95th pick / 2016,$2025000
19,Kenny Golladay*\GollKe00,26,WR,16,16,214,6-4,Northern Illinois,11/3/1993,2,9,Detroit Lions / 3rd / 96th pick / 2017,$676000
17,Marvin Hall\HallMa02,26,,9,0,190,5-10,Washington,4/10/1993,2,2,,
93,Da'Shawn Hand\HandDa00,24,,3,2,297,6-3,Alabama,11/14/1995,1,1,Detroit Lions / 4th / 114th pick / 2018,$570000
25,Will Harris\HarrWi02,24,fs,16,6,207,6-1,Boston Col.,12/19/1995,Rook,2,Detroit Lions / 3rd / 81st pick / 2019,$495000
98,Damon Harrison\HarrDa03,31,DT,15,15,350,6-3,William Penn,11/29/1988,7,7,,$6750000
75,Frank Herron\HerrFr00,25,,3,0,305,6-4,LSU,7/9/1994,Rook,0,,
36,Wes Hills\HillWe00,24,,1,1,218,6-0,Slippery Rock,6/5/1995,Rook,0,,
