No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
17,Davante Adams*+\AdamDa01,28,WR,14,14,215,6-1,Fresno St.,12/24/1992,6,15,Green Bay Packers / 2nd / 53rd pick / 2014,$12000000
90,Montravius Adams\AdamMo00,25,,8,0,304,6-4,Auburn,7/24/1995,3,1,Green Bay Packers / 3rd / 93rd pick / 2017,$825000
23,Jaire Alexander*\AlexJa00,23,LCB,15,15,196,5-10,Louisville,2/9/1997,2,10,Green Bay Packers / 1st / 18th pick / 2018,$1575522
31,Adrian Amos\AmosAd00,27,SS,16,16,214,6-0,Penn St.,4/29/1993,5,6,Chicago Bears / 5th / 142nd pick / 2015,$1750000
16,Tavon Austin\AustTa00,30,,4,0,179,5-8,West Virginia,3/15/1990,7,0,St. Louis Rams / 1st / 8th pick / 2013,
69,David Bakhtiari*+\BakhDa00,29,LT,12,12,310,6-4,Colorado,9/30/1991,7,13,Green Bay Packers / 4th / 109th pick / 2013,$10500000
51,Krys Barnes\BarnKr00,22,RILB,13,10,235,6-1,UCLA,4/2/1998,Rook,5,,$610000
84,Reggie Begelton\BegeRe00,27,,1,0,200,6-0,Lamar,8/31/1993,Rook,0,,
41,Henry Black\BlacHe00,23,,8,0,204,5-11,Baylor,1/3/1997,Rook,0,,
8,Tim Boyle\BoylTi00,26,,8,0,232,6-4,East. Kentucky,10/3/1994,2,0,,$750000
64,Ben Braden\BradBe00,26,,4,0,329,6-6,Michigan,3/9/1994,2,0,,
43,Hunter Bradley\BradHu00,26,,16,0,241,6-3,Mississippi St.,5/21/1994,2,1,Green Bay Packers / 7th / 239th pick / 2018,$750000
57,James Burgess\BurgJa01,26,,4,0,230,6-0,Louisville,3/9/1994,3,0,,$533824
42,Oren Burks\BurkOr00,25,,16,0,233,6-3,Vanderbilt,3/21/1995,2,1,Green Bay Packers / 3rd / 88th pick / 2018,$750000
97,Kenny Clark\ClarKe01,25,NT,13,13,314,6-3,UCLA,10/4/1995,4,7,Green Bay Packers / 1st / 27th pick / 2016,$1690000
2,Mason Crosby\CrosMa20,36,,16,0,207,6-1,Colorado,9/3/1984,13,5,Green Bay Packers / 6th / 193rd pick / 2007,$1400000
49,Dominique Dafney\DafnDo00,23,,5,2,235,6-3,IowaIndiana St.,6/3/1997,Rook,0,,
81,Josiah Deguara\DeguJo00,23,,2,1,242,6-2,Cincinnati,2/14/1997,Rook,0,Green Bay Packers / 3rd / 94th pick / 2020,$449410
28,AJ Dillon\DillAJ00,22,,11,0,247,6-0,Boston Col.,5/2/1998,Rook,2,Green Bay Packers / 2nd / 62nd pick / 2020,$610000
32,Tyler Ervin\ErviTy00,27,,8,0,185,5-10,San Jose St.,10/7/1993,4,1,Houston Texans / 4th / 119th pick / 2016,$910000
50,Tipa Galeai\GaleTi01,23,,1,0,235,6-5,Utah St.,2/26/1997,Rook,0,,
53,Jonathan Garvin\GarvJo00,21,,8,0,263,6-4,Miami (FL),7/28/1999,Rook,1,Green Bay Packers / 7th / 242nd pick / 2020,$610000
52,Rashan Gary\GaryRa00,23,,15,4,277,6-5,Michigan,12/3/1997,1,3,Green Bay Packers / 1st / 12th pick / 2019,$1216696
24,Raven Greene\GreeRa02,25,,10,0,197,5-11,James Madison,2/2/1995,2,0,,$675000
59,De'Jon Harris\HarrDe10,23,,2,0,244,6-0,Arkansas,11/1/1997,Rook,0,,
98,Damon Harrison\HarrDa03,32,,1,0,350,6-3,William Penn,11/29/1988,8,0,,
29,Ka'dar Hollman\HollKa00,26,,14,1,196,6-0,Toledo,9/18/1994,1,1,Green Bay Packers / 6th / 185th pick / 2019,$675000
37,Josh Jackson\JackJo01,24,rcb,12,5,196,6-0,Iowa,4/3/1996,2,2,Green Bay Packers / 2nd / 45th pick / 2018,$1048736
74,Elgton Jenkins*\JenkEl00,25,LG,16,16,311,6-5,Mississippi St.,12/26/1995,1,12,Green Bay Packers / 2nd / 44th pick / 2019,$802597
33,Aaron Jones*\JoneAa00,26,RB,14,14,208,5-9,Texas-El Paso,12/2/1994,3,14,Green Bay Packers / 5th / 182nd pick / 2017,$2133000
96,Kingsley Keke\KekeKi00,24,RDE,15,9,288,6-3,Texas A&M,9/26/1996,1,5,Green Bay Packers / 5th / 150th pick / 2019,$675000
20,Kevin King\KingKe01,25,RCB,11,11,200,6-3,Washington,5/5/1995,3,4,Green Bay Packers / 2nd / 33rd pick / 2017,$1430575
58,Christian Kirksey\KirkCh00,28,LILB,11,11,235,6-2,Iowa,8/31/1992,6,6,Cleveland Browns / 3rd / 71st pick / 2014,$1750000
95,Tyler Lancaster\LancTy00,26,,15,3,313,6-3,Northwestern,11/4/1994,2,0,,$750000
13,Allen Lazard\LazaAl00,25,WR,10,9,227,6-5,Iowa St.,12/11/1995,2,5,,$469118
89,Marcedes Lewis\LewiMa00,36,TE,15,15,267,6-6,UCLA,5/19/1984,14,1,Jacksonville Jaguars / 1st / 28th pick / 2006,$1100000
63,Corey Linsley+\LinsCo00,29,C,13,13,301,6-3,Ohio St.,7/27/1991,6,14,Green Bay Packers / 5th / 161st pick / 2014,$7650000
45,John Lovett\LoveJo02,24,,8,0,225,6-3,Princeton,4/25/1996,Rook,0,,$538235
94,Dean Lowry\LowrDe00,26,LDE,16,16,296,6-6,Northwestern,6/9/1994,4,7,Green Bay Packers / 4th / 137th pick / 2016,$1000000
54,Kamal Martin\MartKa01,22,rilb,10,6,240,6-3,Minnesota,6/17/1998,Rook,3,Green Bay Packers / 5th / 175th pick / 2020,$523527
