No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
78,Oday Aboushi\AbouOd00,25,,4,3,315,6-5,Virginia,6/5/1991,3,0,New York Jets / 5th / 141st pick / 2013,$675000
79,Jeff Allen\AlleJe01,26,RG,14,14,306,6-4,Illinois,1/8/1990,4,6,Kansas City Chiefs / 2nd / 44th pick / 2012,$6250000
89,Stephen Anderson\AndeSt01,23,,13,0,230,6-3,California,1/30/1993,Rook,1,,$450000
39,Lonnie Ballentine\BallLo00,23,,2,0,225,6-3,Memphis,4/23/1993,2,0,Houston Texans / 7th / 256th pick / 2014,$359474
68,Tony Bergstrom\BergTo00,30,,15,0,310,6-5,Utah,8/8/1986,4,0,Oakland Raiders / 3rd / 95th pick / 2012,$2500000
28,Alfred Blue\BlueAl00,25,,14,2,225,6-2,LSU,4/27/1991,2,3,Houston Texans / 6th / 181st pick / 2014,$629483
21,A.J. Bouye\BouyA.00,25,RCB,15,11,191,6-0,Central Florida,8/16/1991,3,6,,$1671000
76,Duane Brown\BrowDu20,31,LT,12,12,315,6-4,Virginia Tech,8/30/1985,8,5,Houston Texans / 1st / 26th pick / 2008,$9500000
53,Max Bullough\BullMa00,24,,16,3,249,6-4,Michigan St.,2/11/1992,2,0,,$600000
74,Chris Clark\ClarCh21,31,RT,16,14,305,6-5,Southern Miss,10/1/1985,6,6,,$2750000
90,Jadeveon Clowney*\ClowJa00,23,RDE,14,14,255,6-5,South Carolina,2/14/1993,2,15,Houston Texans / 1st / 1st pick / 2014,$6074454
95,Christian Covington\CoviCh00,23,lde,16,5,305,6-2,Rice,10/16/1993,1,4,Houston Texans / 6th / 216th pick / 2015,$547622
56,Brian Cushing\CushBr99,29,LILB,13,13,255,6-3,USC,1/24/1987,7,7,Houston Texans / 1st / 15th pick / 2009,$5000000
27,Quintin Demps\DempQu99,31,SS,13,13,203,6-0,Texas-El Paso,6/29/1985,8,8,Philadelphia Eagles / 4th / 117th pick / 2008,$1470000
50,Akeem Dent\DentAk00,29,,16,3,242,6-1,Georgia,9/27/1987,5,0,Atlanta Falcons / 3rd / 91st pick / 2011,$2625000
36,K.J. Dillon\DillK.00,22,,5,0,200,6-0,West Virginia,5/11/1994,Rook,0,Houston Texans / 5th / 159th pick / 2016,$508734
92,Brandon Dunn\DunnBr00,24,,2,0,310,6-2,Louisville,9/5/1992,2,0,,$458823
34,Tyler Ervin\ErviTy00,23,,12,0,185,5-10,San Jose St.,10/7/1993,Rook,0,Houston Texans / 4th / 119th pick / 2016,$586892
87,C.J. Fiedorowicz\FiedC.00,25,TE,15,15,265,6-5,Iowa,10/22/1991,2,4,Houston Texans / 3rd / 65th pick / 2014,$860826
15,Will Fuller\FullWi01,22,WR,14,13,184,6-0,Notre Dame,4/16/1994,Rook,6,Houston Texans / 1st / 21st pick / 2016,$1848057
84,Ryan Griffin\GrifRy00,26,te,16,5,255,6-6,Connecticut,1/11/1990,3,3,Houston Texans / 6th / 201st pick / 2013,$694670
41,Jonathan Grimes\GrimJo01,27,,10,0,207,5-10,William & Mary,12/21/1989,4,1,,$900000
29,Andre Hal\HalxAn00,24,FS,15,11,184,5-10,Vanderbilt,5/30/1992,2,6,Houston Texans / 7th / 216th pick / 2014,$617281
93,Joel Heath\HeatJo00,23,LDE,12,6,302,6-6,Michigan St.,6/18/1993,Rook,4,,$450000
10,DeAndre Hopkins\HopkDe00,24,WR,16,16,212,6-1,Clemson,6/6/1992,3,7,Houston Texans / 1st / 27th pick / 2013,$2426678
33,Akeem Hunt\HuntAk01,23,,8,0,185,5-10,Purdue,2/22/1993,1,1,,$525000
25,Kareem Jackson\JackKa99,28,DB,14,13,183,5-10,Alabama,4/10/1988,6,7,Houston Texans / 1st / 20th pick / 2010,$8437500
31,Charles James\JameCh00,26,,12,0,179,5-9,Charleston Southern,5/14/1990,3,0,,$600000
30,Kevin Johnson\JohnKe04,24,,6,3,185,6-0,Wake Forest,8/5/1992,1,0,Houston Texans / 1st / 16th pick / 2015,$2283957
20,Don Jones\JoneDo02,26,,9,0,195,5-11,Arkansas St.,5/14/1990,3,0,Miami Dolphins / 7th / 250th pick / 2013,$1671000
24,Johnathan Joseph\JoseJo20,32,LCB,13,11,186,5-11,South Carolina,4/16/1984,10,5,Cincinnati Bengals / 1st / 24th pick / 2006,$7000000
97,Ufomba Kamalu\KamaUf00,24,,4,1,295,6-6,Miami (FL),11/2/1992,Rook,0,,$158820
63,Kendall Lamm\LammKe00,24,,15,3,310,6-5,Appalachian St.,6/5/1992,1,0,,$525666
9,Shane Lechler\LechSh20,40,,16,0,230,6-2,Texas A&M,8/7/1976,16,3,Oakland Raiders / 5th / 142nd pick / 2000,$1800000
65,Greg Mancz\MancGr00,24,C,16,16,302,6-4,Toledo,4/23/1992,1,7,,$527000
55,Benardrick McKinney\McKiBe00,24,RILB,16,16,257,6-4,Mississippi St.,11/19/1992,1,16,Houston Texans / 2nd / 43rd pick / 2015,$1214801
59,Whitney Mercilus\MercWh00,26,LOLB,15,15,258,6-4,Illinois,7/21/1990,4,15,Houston Texans / 1st / 26th pick / 2012,$5800000
13,Braxton Miller\MillBr03,24,WR,10,6,215,6-2,Ohio St.,11/30/1992,Rook,1,Houston Texans / 3rd / 85th pick / 2016,$627275
26,Lamar Miller\MillLa01,25,RB,14,14,221,5-10,Miami (FL),4/25/1991,4,7,Miami Dolphins / 4th / 97th pick / 2012,$5500000
43,Corey Moore\MoorCo00,23,SS,16,8,200,6-2,Georgia,1/28/1993,1,4,,$450000
12,Keith Mumphery\MumpKe00,24,,11,3,215,6-0,Michigan St.,6/5/1992,1,1,Houston Texans / 5th / 175th pick / 2015,$566563
32,Robert Nelson\NelsRo00,26,,11,0,175,5-9,Arizona St.,2/16/1990,2,0,,$600000
72,Derek Newton\NewtDe00,29,rt,6,6,315,6-6,Arkansas St.,11/16/1987,5,3,Houston Texans / 7th / 214th pick / 2011,$5500000
8,Nick Novak\novaknic01,35,,16,0,200,6-0,Maryland,8/21/1981,11,3,,$680000
17,Brock Osweiler\OsweBr00,26,QB,15,14,240,6-7,Arizona St.,11/22/1990,4,5,Denver Broncos / 2nd / 57th pick / 2012,$12000000
52,Brian Peters\PeteBr00,28,,12,0,237,6-4,Northwestern,10/31/1988,1,0,,$525000
35,Eddie Pleasant\PleaEd00,28,,14,0,210,5-10,Oregon,12/17/1988,4,0,,$1036000
45,Jay Prosch\ProsJa00,24,,15,1,255,6-1,Auburn,8/21/1992,2,0,Houston Texans / 6th / 211th pick / 2014,$619670
98,D.J. Reader\ReadD.00,22,lde,16,7,347,6-3,Clemson,7/1/1994,Rook,4,Houston Texans / 5th / 166th pick / 2016,$503845
22,Denzel Rice\RiceDe00,23,,3,0,185,6-0,Coastal Carolina,3/31/1993,1,0,,$123528
3,Tom Savage\SavaTo00,26,,3,2,230,6-4,PittsburghRutgers,4/26/1990,2,1,Houston Texans / 4th / 135th pick / 2014,$675146
