No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
49,Matthew Adams\AdamMa00,24,,16,4,229,6-0,Houston,12/12/1995,1,2,Indianapolis Colts / 7th / 221st pick / 2018,$570000
81,Mo Alie-Cox\AlieMo00,26,,16,2,267,6-5,Virginia Commonwealth,9/19/1993,1,1,,$570000
63,Josh Andrews\AndrJo01,28,,6,0,298,6-2,Oregon St.,6/21/1991,5,0,,$720000
96,Denico Autry\AutrDe00,29,DT,14,14,285,6-5,East Mississippi CCMississippi St.,7/15/1990,5,6,,$3500000
52,Ben Banogu\BanoBe00,23,,16,0,252,6-3,TCU,1/19/1996,Rook,1,Indianapolis Colts / 2nd / 49th pick / 2019,$1482500
28,Briean Boddy-Calhoun\BoddBr01,26,,2,1,193,5-9,Minnesota,1/21/1993,3,0,,
7,Jacoby Brissett\BrisJa00,27,QB,15,15,238,6-4,FloridaNorth Carolina St.,12/11/1992,3,11,New England Patriots / 3rd / 91st pick / 2016,$2000000
11,Deon Cain\CainDe00,23,,7,3,202,6-2,Clemson,8/9/1996,1,0,Indianapolis Colts / 6th / 185th pick / 2018,$495000
15,Parris Campbell\CampPa00,22,,7,3,205,6-0,Ohio St.,7/16/1997,Rook,1,Indianapolis Colts / 2nd / 59th pick / 2019,$495000
74,Anthony Castonzo\CastAn00,31,LT,16,16,307,6-7,Boston Col.,8/9/1988,8,9,Indianapolis Colts / 1st / 22nd pick / 2011,$6250000
91,Trevon Coley\ColeTr01,25,,7,0,310,6-1,Florida Atlantic,7/13/1994,2,1,,
76,Carl Davis\DaviCa01,27,,1,0,320,6-5,Iowa,3/2/1992,4,0,Baltimore Ravens / 3rd / 90th pick / 2015,
35,Pierre Desir\DesiPi00,29,CB,12,11,192,6-1,Lindenwood,9/8/1990,5,4,Cleveland Browns / 4th / 127th pick / 2014,$1000000
84,Jack Doyle*\DoylJa00,29,TE,16,16,262,6-6,Western Kentucky,5/5/1990,6,4,,$5150000
16,Ashton Dulin\DuliAs00,22,,13,0,215,6-1,Malone,5/15/1997,Rook,0,,
85,Eric Ebron\EbroEr00,26,,11,2,253,6-4,North Carolina,4/10/1993,5,3,Detroit Lions / 1st / 10th pick / 2014,$5250000
44,Zaire Franklin\FranZa00,23,,16,0,235,6-0,Syracuse,7/2/1996,1,1,Indianapolis Colts / 7th / 235th pick / 2018,$570000
17,Devin Funchess\FuncDe00,25,,1,1,225,6-4,Michigan,5/21/1994,4,0,Carolina Panthers / 2nd / 41st pick / 2015,$3000000
26,Clayton Geathers\GeatCl00,27,SS,15,10,216,6-2,Central Florida,6/1/1992,4,4,Indianapolis Colts / 4th / 109th pick / 2015,$1250000
64,Mark Glowinski\GlowMa00,27,RG,16,16,310,6-4,West Virginia,5/3/1992,4,7,Seattle Seahawks / 4th / 134th pick / 2015,$1500000
