No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
57,D.J. Alexander\AlexD.00,28,,5,0,233,6-2,Oregon St.,9/30/1991,4,0,Kansas City Chiefs / 5th / 172nd pick / 2015,$805000
53,Dakota Allen\AlleDa01,24,,3,0,232,6-1,Texas TechEast Mississippi CC,11/2/1995,Rook,0,Los Angeles Rams / 7th / 251st pick / 2019,
41,Josh Allen*\AlleJo03,22,,16,4,262,6-5,Kentucky,7/13/1997,Rook,6,Jacksonville Jaguars / 1st / 7th pick / 2019,$495000
23,Ryquell Armstead\ArmsRy00,23,,16,1,220,5-11,Temple,10/30/1996,Rook,2,Jacksonville Jaguars / 5th / 140th pick / 2019,$495000
16,C.J. Board\BoarC.00,26,,4,0,181,6-1,Chattanooga,12/12/1993,1,0,,$495000
31,Breon Borders\BordBr00,24,,11,1,189,6-0,Duke,7/22/1995,2,1,,$570000
21,A.J. Bouye\BouyA.00,28,CB,14,14,191,6-0,Central Florida,8/16/1991,6,5,,$13000000
90,Taven Bryan\BryaTa00,23,RDT,16,8,291,6-4,Florida,3/11/1996,1,4,Jacksonville Jaguars / 1st / 29th pick / 2018,$941589
58,Austin Calitro\CaliAu00,25,,13,4,240,6-0,Villanova,1/10/1994,1,2,,
93,Calais Campbell*\CampCa99,33,DE,16,16,300,6-8,Miami (FL),9/1/1986,11,10,Arizona Cardinals / 2nd / 50th pick / 2008,$12000000
60,A.J. Cann\CannA.00,28,RG,16,16,325,6-3,South Carolina,10/23/1991,4,6,Jacksonville Jaguars / 3rd / 67th pick / 2015,$805000
17,DJ Chark*\CharDJ00,23,WR,15,14,198,6-4,LSU,9/23/1996,1,7,Jacksonville Jaguars / 2nd / 61st pick / 2018,$682147
84,Keelan Cole\ColeKe00,26,,16,1,194,6-1,Kentucky Wesleyan,4/20/1993,2,3,,$645000
18,Chris Conley\ConlCh00,27,WR,16,14,205,6-3,Georgia,10/25/1992,4,6,Kansas City Chiefs / 3rd / 76th pick / 2015,$805000
9,Logan Cooke\CookLo00,24,,16,0,200,6-5,Mississippi St.,7/28/1995,1,3,Jacksonville Jaguars / 7th / 247th pick / 2018,$570000
99,Marcell Dareus\DareMa00,29,rdt,6,6,331,6-3,Alabama,3/13/1990,8,2,Buffalo Bills / 1st / 3rd pick / 2011,$2835000
79,Carl Davis\DaviCa01,27,,2,0,320,6-5,Iowa,3/2/1992,4,0,Baltimore Ravens / 3rd / 90th pick / 2015,
22,Cody Davis\DaviCo02,30,,16,0,203,6-2,Texas Tech,6/6/1989,6,1,,$1750000
88,Seth Devalve\DevaSe00,26,te,12,6,245,6-3,Princeton,1/29/1993,3,1,Cleveland Browns / 4th / 138th pick / 2016,
24,Tyler Ervin\ErviTy00,26,,6,0,185,5-10,San Jose St.,10/7/1993,3,0,Houston Texans / 4th / 119th pick / 2016,
7,Nick Foles\FoleNi00,30,,4,4,243,6-6,Arizona,1/20/1989,7,2,Philadelphia Eagles / 3rd / 88th pick / 2012,$5000000
27,Leonard Fournette\FourLe00,24,RB,15,15,228,6-0,LSU,1/18/1995,2,10,Jacksonville Jaguars / 1st / 4th pick / 2017,$2933258
29,Marcus Gilchrist\GilcMa00,31,,3,0,200,5-10,Clemson,12/8/1988,8,0,San Diego Chargers / 2nd / 50th pick / 2011,
43,Joe Giles-Harris\GileJo01,22,,5,0,234,6-2,,4/1/1997,Rook,0,,$495000
52,Najee Goode\GoodNa00,30,,10,4,244,6-0,West Virginia,6/4/1989,7,2,Tampa Bay Buccaneers / 5th / 140th pick / 2012,$805000
36,Ronnie Harrison\HarrRo02,22,SS,14,14,214,6-3,Alabama,4/18/1997,1,5,Jacksonville Jaguars / 3rd / 93rd pick / 2018,$617500
25,D.J. Hayden\HaydDJ00,29,DB,15,8,190,5-11,Houston,6/27/1990,6,3,Oakland Raiders / 1st / 12th pick / 2013,$5750000
30,Tae Hayes\HayeTa00,22,,1,0,188,5-9,Appalachian St.,8/19/1997,Rook,0,,
37,Tre Herndon\HernTr00,23,LCB,16,14,185,5-11,Vanderbilt,3/5/1996,1,5,,$570000
44,Myles Jack\JackMy00,24,MLB,11,11,244,6-1,UCLA,9/3/1995,3,5,Jacksonville Jaguars / 2nd / 36th pick / 2016,$1313787
48,Leon Jacobs\JacoLe00,24,RLB,14,7,245,6-2,Wisconsin,10/3/1995,1,4,Jacksonville Jaguars / 7th / 230th pick / 2018,$570000
