No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
73,Nick Allegretti\AlleNi00,24,LG,16,9,320,6-4,Illinois,4/21/1996,1,5,Kansas City Chiefs / 7th / 216th pick / 2019,$675000
30,Deandre Baker\BakeDe00,23,,2,1,180,5-11,Georgia,9/4/1997,1,0,New York Giants / 1st / 30th pick / 2019,
26,Le'Veon Bell\BellLe00,28,,9,2,225,6-1,Michigan St.,2/18/1992,7,3,Pittsburgh Steelers / 2nd / 48th pick / 2013,$705882
21,Bashaud Breeland\BreeBa00,28,RCB,11,11,195,5-11,Clemson,1/30/1992,6,4,Washington Redskins / 4th / 102nd pick / 2014,$764706
7,Harrison Butker\ButkHa00,25,,16,0,205,6-4,Georgia Tech,7/14/1995,3,3,Carolina Panthers / 7th / 233rd pick / 2017,$2345000
94,Taco Charlton\CharTa00,26,,7,0,270,6-6,Michigan,11/7/1994,3,1,Dallas Cowboys / 1st / 28th pick / 2017,$825000
55,Frank Clark*\ClarFr01,27,RDE,15,15,260,6-3,Michigan,6/14/1993,5,10,Seattle Seahawks / 2nd / 63rd pick / 2015,$12000000
59,Omari Cobb\CobbOm00,23,,1,0,223,6-4,Marshall,5/31/1997,Rook,0,,
51,Michael Danna\DannMi00,23,,13,1,250,6-2,Central MichiganMichigan,12/4/1997,Rook,2,Kansas City Chiefs / 5th / 177th pick / 2020,$572941
12,Gehrig Dieter\DietGe00,27,,4,0,207,6-3,Alabama,2/24/1993,2,0,,
79,Yasir Durant\DuraYa01,22,,11,1,330,6-7,Missouri,5/21/1998,Rook,2,,
25,Clyde Edwards-Helaire\EdwaCl00,21,RB,13,13,207,5-7,LSU,4/11/1999,Rook,8,Kansas City Chiefs / 1st / 32nd pick / 2020,$610000
27,Rashad Fenton\FentRa00,23,,16,3,188,5-11,South Carolina,2/17/1997,1,2,Kansas City Chiefs / 6th / 201st pick / 2019,$675000
