No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
37,Jahleel Addae\AddaJa00,26,SS,8,8,195,5-10,Central Michigan,1/24/1990,3,3,,$2553000
13,Keenan Allen\AlleKe00,24,,1,1,211,6-2,California,4/27/1992,3,1,San Diego Chargers / 3rd / 76th pick / 2013,$7724450
97,Jeremiah Attaochu\AttaJe00,23,,8,1,252,6-3,Georgia Tech,1/17/1993,2,0,San Diego Chargers / 2nd / 50th pick / 2014,$11463000
72,Joe Barksdale\BarkJo00,28,RT,15,15,326,6-5,LSU,1/1/1988,5,8,Oakland Raiders / 3rd / 92nd pick / 2011,$4550000
12,Travis Benjamin\BenjTr00,27,WR,14,8,175,5-10,Miami (FL),12/29/1989,4,6,Cleveland Browns / 4th / 100th pick / 2012,$4000000
99,Joey Bosa\BosaJo00,21,LDE,12,11,280,6-5,Ohio St.,7/11/1995,Rook,7,San Diego Chargers / 1st / 3rd pick / 2016,$4704306
57,Jatavis Brown\BrowJa05,22,LILB,12,7,221,5-11,Akron,2/18/1994,Rook,5,San Diego Chargers / 5th / 175th pick / 2016,$496096
89,Isaiah Burse\BursIs01,25,,9,1,187,5-10,Fresno St.,12/8/1991,2,0,,$525000
78,Tyreek Burwell\BurwTy00,24,,5,0,310,6-6,Cincinnati,3/11/1992,1,0,,$525000
88,Jeremy Butler\ButlJe01,25,,4,0,224,6-2,UT Martin,4/22/1991,2,0,,$370588
90,Ryan Carrethers\CarrRy00,25,,4,0,337,6-1,Arkansas St.,2/26/1991,2,0,San Diego Chargers / 5th / 165th pick / 2014,$644633
10,Kellen Clemens\ClemKe00,33,,12,0,220,6-2,Oregon,6/7/1983,10,0,New York Jets / 2nd / 49th pick / 2006,$680000
45,Asante Cleveland\ClevAs00,24,,4,0,260,6-5,Miami (FL),3/21/1992,2,0,,$529410
81,Geremy Davis\DaviGe00,24,,3,0,211,6-3,Connecticut,1/10/1992,1,0,New York Giants / 6th / 186th pick / 2015,$525000
40,Pierre Desir\DesiPi00,26,,5,0,192,6-1,Lindenwood,9/8/1990,2,0,Cleveland Browns / 4th / 127th pick / 2014,$600000
77,King Dunlap\DunlKi20,31,LT,12,12,310,6-8,Auburn,9/9/1985,8,7,Philadelphia Eagles / 7th / 230th pick / 2008,$5143750
48,Nick Dzubnar\DzubNi00,25,,4,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,1,0,,$526666
51,Kyle Emanuel\EmanKy00,25,ROLB,16,11,250,6-3,North Dakota St.,8/16/1991,1,6,San Diego Chargers / 5th / 153rd pick / 2015,$579643
27,Kenneth Farrow\FarrKe02,23,,13,2,215,5-9,Houston,3/7/1993,Rook,2,,$450000
59,Carlos Fields\FielCa00,26,,1,0,238,6-1,Winston-Salem St.,10/3/1990,2,0,,$30882
24,Brandon Flowers\FlowBr99,30,LCB,6,6,190,5-10,Virginia Tech,2/18/1986,8,3,Kansas City Chiefs / 2nd / 35th pick / 2008,$9750000
76,D.J. Fluker\FlukDJ00,25,RG,16,16,342,6-5,Alabama,3/13/1991,3,9,San Diego Chargers / 1st / 11th pick / 2013,$3628067
74,Orlando Franklin\FranOr00,29,LG,16,16,315,6-6,Miami (FL),12/16/1987,5,9,Denver Broncos / 2nd / 46th pick / 2011,$7200000
85,Antonio Gates\GateAn00,36,TE,14,9,255,6-4,Kent St.,6/18/1980,13,5,,$5500000
