No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
23,Cam Akers\AkerCa00,21,,13,5,217,5-10,Florida St.,6/22/1999,Rook,4,Los Angeles Rams / 2nd / 52nd pick / 2020,$610000
72,Tremayne Anchrum\AnchTr00,22,,12,0,314,6-2,Clemson,6/24/1998,Rook,1,Los Angeles Rams / 7th / 250th pick / 2020,$610000
66,Austin Blythe\BlytAu00,28,C,16,16,298,6-3,Iowa,6/16/1992,4,7,Indianapolis Colts / 7th / 248th pick / 2016,$2950000
90,Michael Brockers\BrocMi00,30,DE,15,15,305,6-5,LSU,12/21/1990,8,9,St. Louis Rams / 1st / 14th pick / 2012,$2000000
34,Malcolm Brown\BrowMa03,27,,16,0,222,5-11,Texas,5/15/1993,5,3,,$1000000
26,Terrell Burgess\BurgTe00,22,,7,0,202,5-11,Utah,11/12/1998,Rook,1,Los Angeles Rams / 3rd / 104th pick / 2020,$486468
30,Raymond Calais\CalaRa00,22,,4,0,188,5-8,Louisiana,4/2/1998,Rook,0,Tampa Bay Buccaneers / 7th / 245th pick / 2020,$610000
93,Marquise Copeland\CopeMa01,23,,1,0,285,6-2,Cincinnati,5/9/1997,Rook,0,,
63,Austin Corbett\CorbAu00,25,RG,16,16,306,6-4,Nevada,9/5/1995,2,7,Cleveland Browns / 2nd / 33rd pick / 2018,$1163490
99,Aaron Donald*+\DonaAa00,29,DT,16,16,280,6-1,Pittsburgh,5/23/1991,6,20,St. Louis Rams / 1st / 13th pick / 2014,$17000000
50,Samson Ebukam\EbukSa00,25,LOLB,16,14,245,6-3,East. Washington,5/9/1995,3,8,Los Angeles Rams / 4th / 125th pick / 2017,$2133000
73,David Edwards\EdwaDa01,23,LG,16,14,308,6-6,Wisconsin,3/20/1997,1,6,Los Angeles Rams / 5th / 169th pick / 2019,$675000
71,Bobby Evans\EvanBo00,23,,5,0,312,6-4,Oklahoma,3/24/1997,1,0,Los Angeles Rams / 3rd / 97th pick / 2019,$675000
81,Gerald Everett\EverGe00,26,te,16,7,240,6-3,South Alabama,6/25/1994,3,3,Los Angeles Rams / 2nd / 44th pick / 2017,$1289246
54,Leonard Floyd\FloyLe00,28,ROLB,16,16,240,6-5,Georgia,9/8/1992,4,10,Chicago Bears / 1st / 9th pick / 2016,$5000000
2,Kai Forbath\ForbKa00,33,,2,0,197,5-11,UCLA,9/2/1987,9,0,,$588824
97,Morgan Fox\FoxxMo00,26,,16,2,275,6-3,Colorado State-Pueblo,9/12/1994,4,4,,$825000
32,Jordan Fuller\FullJo01,22,SS,12,12,203,6-2,Ohio St.,3/4/1998,Rook,6,Los Angeles Rams / 6th / 199th pick / 2020,$461763
91,Greg Gaines\GainGr00,24,,16,0,312,6-1,Washington,5/6/1996,1,2,Los Angeles Rams / 4th / 134th pick / 2019,$675000
1,Matt Gay\GayxMa00,26,,7,0,232,6-0,Utah,3/15/1994,1,2,Tampa Bay Buccaneers / 5th / 145th pick / 2019,
39,Jake Gervase\GervJa00,25,,1,0,212,6-1,Iowa,9/18/1995,1,0,,$540000
16,Jared Goff\GoffJa00,26,QB,15,15,222,6-4,California,10/14/1994,4,9,Los Angeles Rams / 1st / 1st pick / 2016,$1042682
79,Rob Havenstein\HaveRo00,28,RT,16,16,330,6-8,Wisconsin,5/13/1992,5,7,St. Louis Rams / 2nd / 57th pick / 2015,$910000
6,Johnny Hekker\HekkJo00,30,,16,0,241,6-5,Oregon St.,2/8/1990,8,2,,$3500000
27,Darrell Henderson\HendDa00,23,RB,15,11,208,5-8,Memphis,8/19/1997,1,4,Los Angeles Rams / 3rd / 70th pick / 2019,$686916
89,Tyler Higbee\HigbTy00,27,TE,15,15,255,6-6,Western Kentucky,1/1/1993,4,3,Los Angeles Rams / 4th / 110th pick / 2016,$2000000
22,Troy Hill\HillTr01,29,LCB,16,16,183,5-11,Oregon,8/29/1991,5,10,,$2850000
58,Justin Hollins\HollJu00,24,,16,0,248,6-5,Oregon,1/15/1996,1,2,Denver Broncos / 5th / 156th pick / 2019,$675000
88,Brycen Hopkins\HopkBr01,23,,5,0,245,6-4,Purdue,3/27/1997,Rook,0,Los Angeles Rams / 4th / 136th pick / 2020,$610000
46,Juju Hughes\HughJu00,22,,12,0,188,5-11,Fresno St.,7/19/1998,Rook,1,,$430584
12,Van Jefferson\JeffVa00,24,,16,0,200,6-1,MississippiFlorida,7/26/1996,Rook,1,Los Angeles Rams / 2nd / 57th pick / 2020,$610000
43,John Johnson\JohnJo10,25,FS,16,16,209,6-0,Boston Col.,12/19/1995,3,7,Los Angeles Rams / 3rd / 91st pick / 2017,$2133000
35,Xavier Jones\JoneXa00,23,,13,0,208,5-11,SMU,8/24/1997,Rook,0,,
69,Sebastian Joseph\JoseSe00,25,NT,16,16,310,6-4,Rutgers,3/21/1995,2,9,Los Angeles Rams / 6th / 195th pick / 2018,$750000
59,Micah Kiser\KiseMi00,25,LILB,9,9,244,6-0,Virginia,1/25/1995,2,5,Los Angeles Rams / 5th / 147th pick / 2018,$675000
10,Cooper Kupp\KuppCo00,27,WR,15,12,208,6-2,East. Washington,6/15/1993,3,7,Los Angeles Rams / 3rd / 69th pick / 2017,$1633000
52,Terrell Lewis\LewiTe00,22,,8,0,262,6-5,Alabama,8/25/1998,Rook,1,Los Angeles Rams / 3rd / 84th pick / 2020,$560587
25,David Long\LongDa02,22,,16,1,196,5-11,Michigan,2/6/1998,1,2,Los Angeles Rams / 3rd / 79th pick / 2019,$677776
44,Jake McQuaide\McQuJa00,33,,16,0,235,6-2,Ohio St.,12/7/1987,9,0,,$1050000
47,Derrick Moncrief\MoncDe00,27,,1,0,220,6-2,Oklahoma St.,6/25/1993,Rook,0,,
82,Johnny Mundt\MundJo00,26,,16,1,233,6-4,Oregon,11/23/1994,3,0,,$750000
70,Joseph Noteboom\NoteJo00,25,LT,10,9,321,6-5,TCU,6/19/1995,2,4,Los Angeles Rams / 3rd / 89th pick / 2018,$750000
45,Ogbonnia Okoronkwo\OkorOg00,25,,10,0,253,6-2,Oklahoma,4/24/1995,2,1,Los Angeles Rams / 5th / 160th pick / 2018,$555884
57,Natrez Patrick\PatrNa00,23,,13,0,242,6-3,Georgia,7/9/1997,1,1,,$595588
95,Jachai Polite\PoliJa00,23,,11,0,258,6-3,Florida,3/30/1997,Rook,0,New York Jets / 3rd / 68th pick / 2019,$610000
20,Jalen Ramsey*+\RamsJa00,26,RCB,15,15,208,6-1,Florida St.,10/24/1994,4,19,Jacksonville Jaguars / 1st / 5th pick / 2016,$1203000
24,Taylor Rapp\RappTa00,23,ss,9,5,208,6-0,Washington,12/22/1997,1,3,Los Angeles Rams / 2nd / 61st pick / 2019,$707441
36,J.R. Reed\ReedJR01,24,,7,0,195,6-1,Georgia,3/11/1996,Rook,1,,
51,Troy Reeder\ReedTr01,26,LILB,16,7,245,6-3,Penn St.Delaware,9/13/1994,1,6,,$675000
11,Josh Reynolds\ReynJo00,25,WR,16,13,196,6-3,Texas A&M,2/16/1995,3,4,Los Angeles Rams / 4th / 117th pick / 2017,$2133000
49,Derek Rivers\RiveDe00,26,,5,0,250,6-5,Youngstown St.,5/9/1994,2,0,New England Patriots / 3rd / 83rd pick / 2017,$825000
94,A'Shawn Robinson\RobiAS00,25,,8,0,330,6-4,Alabama,3/21/1995,4,1,Detroit Lions / 2nd / 46th pick / 2016,$523529
33,Nick Scott\ScotNi01,25,,15,0,199,5-11,Penn St.,5/17/1995,1,1,Los Angeles Rams / 7th / 243rd pick / 2019,$675000
65,Coleman Shelton\ShelCo00,25,,15,0,285,6-5,Washington,7/28/1995,1,1,,$675000
1,Sam Sloman\SlomSa00,23,,7,0,205,5-8,Miami (OH),9/19/1997,Rook,0,Los Angeles Rams / 7th / 248th pick / 2020,$610000
14,Nsimba Webster\WebsNs00,24,,16,0,180,5-10,East. Washington,1/27/1996,1,0,,$675000
77,Andrew Whitworth\WhitAn20,39,LT,9,9,330,6-7,LSU,12/12/1981,14,4,Cincinnati Bengals / 2nd / 55th pick / 2006,$5000000
31,Darious Williams\WillDa09,27,RILB,16,10,187,5-9,Ala-Birmingham,3/15/1993,2,7,,$750000
9,John Wolford\WolfJo00,25,,1,1,200,6-1,Wake Forest,10/16/1995,Rook,1,,$610000
17,Robert Woods\WoodRo02,28,WR,16,16,195,6-0,USC,4/10/1992,7,7,Buffalo Bills / 2nd / 41st pick / 2013,$5000000
41,Kenny Young\YounKe03,26,RILB,16,6,234,6-1,UCLA,11/15/1994,2,5,Baltimore Ravens / 4th / 122nd pick / 2018,$750000
