No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
35,Walt Aikens\AikeWa00,28,,15,0,200,6-1,Liberty,6/19/1991,5,1,Miami Dolphins / 4th / 125th pick / 2014,$1400000
24,Johnson Bademosi\BadeJo00,29,,4,0,219,6-0,Stanford,7/23/1990,7,0,,$2500000
55,Jerome Baker\BakeJe00,23,ROLB,16,15,225,6-2,Ohio St.,12/25/1996,1,6,Miami Dolphins / 3rd / 73rd pick / 2018,$654000
27,Kalen Ballage\BallKa00,24,RB,12,6,231,6-2,Arizona St.,12/22/1995,1,1,Miami Dolphins / 4th / 131st pick / 2018,$570000
47,Vince Biegel\BiegVi00,26,RILB,15,10,246,6-3,Wisconsin,7/22/1993,2,4,Green Bay Packers / 4th / 108th pick / 2017,
76,Evan Boehm\BoehEv00,26,C,13,8,321,6-3,Missouri,8/19/1993,3,4,Arizona Cardinals / 4th / 128th pick / 2016,
30,Nate Brooks\BrooNa00,23,,3,2,192,6-0,North Texas,9/5/1996,Rook,1,,
68,Evan Brown\BrowEv00,23,,3,0,302,6-2,SMU,9/16/1996,1,0,,
62,Shaq Calhoun\CalhSh01,23,RG,10,7,310,6-3,Mississippi St.,2/20/1996,Rook,3,,$495000
95,Tank Carradine\CarrCo00,29,,1,0,267,6-4,Florida St.,2/18/1990,6,0,San Francisco 49ers / 2nd / 40th pick / 2013,$805000
96,Taco Charlton\CharTa00,25,lde,10,5,270,6-6,Michigan,11/7/1994,2,2,Dallas Cowboys / 1st / 28th pick / 2017,
36,Adrian Colbert\ColbAd00,26,fs,6,5,205,6-2,Miami (FL),10/6/1993,2,1,San Francisco 49ers / 7th / 229th pick / 2017,
38,Chandler Cox\CoxxCh01,23,,13,3,240,6-1,Auburn,7/29/1996,Rook,0,Miami Dolphins / 7th / 233rd pick / 2019,$495000
51,James Crawford\CrawJa01,25,,3,0,239,6-2,Illinois,12/2/1994,1,0,,
29,Xavier Crawford\CrawXa00,24,,1,0,187,5-11,Central Michigan,12/10/1995,Rook,0,Houston Texans / 6th / 195th pick / 2019,
32,Ken Crawley\CrawKe02,26,,4,2,180,6-1,Colorado,2/8/1993,3,1,,
70,Julie'n Davenport\DaveJu00,24,LT,8,8,325,6-7,Bucknell,1/9/1995,2,4,Houston Texans / 4th / 130th pick / 2017,$645000
59,Jamal Davis\DaviJa08,24,,3,0,240,6-4,Akron,7/9/1995,Rook,0,,
77,Jesse Davis\DaviJe00,28,RT,15,15,325,6-6,Idaho,9/15/1991,2,6,,$645000
89,Trevor Davis\DaviTr03,26,,3,0,188,6-1,California,7/4/1993,3,0,Green Bay Packers / 5th / 163rd pick / 2016,
63,Michael Deiter\DeitMi00,23,LG,16,15,310,6-6,Wisconsin,9/3/1996,Rook,6,Miami Dolphins / 3rd / 78th pick / 2019,$495000
78,Andrew Donnal\DonnAn00,27,,2,0,305,6-6,Iowa,3/3/1992,4,0,St. Louis Rams / 4th / 119th pick / 2015,
32,Kenyan Drake\DrakKe00,25,,6,2,211,6-1,Alabama,1/26/1994,3,2,Miami Dolphins / 3rd / 73rd pick / 2016,$2025000
49,Samuel Eguavoen\EguaSa00,26,LOLB,16,6,236,6-0,Texas Tech,2/22/1993,Rook,3,,$495000
29,Minkah Fitzpatrick*+\FitzMi00,23,,2,2,207,6-1,Alabama,11/17/1996,1,5,Miami Dolphins / 1st / 11th pick / 2018,$1227626
14,Ryan Fitzpatrick\FitzRy00,37,QB,15,13,228,6-2,Harvard,11/24/1982,14,10,St. Louis Rams / 7th / 250th pick / 2005,$1500000
84,Isaiah Ford\FordIs00,23,,8,0,194,6-2,Virginia Tech,2/9/1996,1,2,Miami Dolphins / 7th / 237th pick / 2017,$570000
37,Myles Gaskin\GaskMy00,22,,7,0,200,5-10,Washington,2/15/1997,Rook,1,Miami Dolphins / 7th / 234th pick / 2019,$495000
