No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
20,Mackensie Alexander\AlexMa01,23,,13,0,192,5-10,Clemson,11/12/1993,Rook,0,Minnesota Vikings / 2nd / 54th pick / 2016,$450000
44,Matt Asiata\AsiaMa00,29,rb,16,6,229,5-11,Utah,7/24/1987,4,5,,$760000
55,Anthony Barr*\BarrAn00,24,RLB,16,16,255,6-5,UCLA,3/18/1992,2,12,Minnesota Vikings / 1st / 9th pick / 2014,$1578500
64,Willie Beavers\BeavWi00,23,,2,0,324,6-5,West. Michigan,10/2/1993,Rook,0,Minnesota Vikings / 4th / 121st pick / 2016,$370580
61,Joe Berger\BergJo20,34,C,14,14,305,6-5,Michigan Tech,5/25/1982,11,7,Carolina Panthers / 6th / 207th pick / 2005,$985000
76,Alex Boone\BoonAl21,29,LG,14,14,330,6-7,Ohio St.,5/4/1987,6,7,,$1600000
8,Sam Bradford\BradSa00,29,QB,15,15,224,6-4,Oklahoma,11/8/1987,6,11,St. Louis Rams / 1st / 1st pick / 2010,$7000000
40,Kentrell Brothers\BrotKe00,23,,10,0,242,6-1,Missouri,2/8/1993,Rook,0,Minnesota Vikings / 5th / 160th pick / 2016,$450000
68,T.J. Clemmings\ClemT.00,25,LT,15,14,337,6-4,Pittsburgh,11/18/1991,1,7,Minnesota Vikings / 4th / 110th pick / 2015,$525000
57,Audie Cole\ColeAu00,27,,16,0,246,6-4,North Carolina St.,6/1/1989,4,0,Minnesota Vikings / 7th / 210th pick / 2012,$760000
14,Stefon Diggs\DiggSt00,23,WR,13,11,191,6-0,Maryland,11/29/1993,1,7,Minnesota Vikings / 5th / 146th pick / 2015,$525000
62,Nick Easton\EastNi00,24,c,11,5,303,6-3,Harvard,6/16/1992,Rook,3,,$525000
85,Rhett Ellison\ElliRh00,28,te,15,6,255,6-5,USC,10/3/1988,4,0,Minnesota Vikings / 4th / 128th pick / 2012,$760000
73,Sharrif Floyd\FloySh00,24,,1,0,297,6-3,Florida,5/28/1992,3,0,Minnesota Vikings / 1st / 23rd pick / 2013,$941300
2,Kai Forbath\ForbKa00,29,,7,0,197,5-11,UCLA,9/2/1987,5,2,,$760000
15,Isaac Fruechte\FrueIs00,25,,1,0,210,6-3,Minnesota,3/7/1991,Rook,0,,$26470
63,Brandon Fusco\FuscBr00,28,RG,14,14,306,6-4,Slippery Rock,7/26/1988,5,7,Minnesota Vikings / 6th / 172nd pick / 2011,$3120000
52,Chad Greenway\GreeCh99,33,LLB,16,9,237,6-3,Iowa,1/12/1983,9,6,Minnesota Vikings / 1st / 17th pick / 2006,$2300000
97,Everson Griffen*\GrifEv99,29,RDE,16,16,273,6-3,USC,12/22/1987,6,15,Minnesota Vikings / 4th / 100th pick / 2010,$6900000
41,Anthony Harris\HarrAn01,25,,16,3,202,6-1,Virginia,10/9/1991,1,0,,$525000
69,Rashod Hill\HillRa01,24,,1,0,313,6-6,Southern Miss,1/12/1992,Rook,0,,$450000
13,Shaun Hill\HillSh00,36,,3,1,230,6-3,Maryland,1/9/1980,11,1,,$3200000
33,Ronnie Hillman\HillRo00,25,,5,0,200,5-9,San Diego St.,9/14/1991,4,1,Denver Broncos / 3rd / 67th pick / 2012,$670588
99,Danielle Hunter\HuntDa01,22,,16,0,252,6-5,LSU,10/29/1994,1,0,Minnesota Vikings / 3rd / 88th pick / 2015,$536000
12,Charles Johnson\JohnCh08,27,wr,16,7,215,6-2,Grand Valley St.,2/27/1989,3,2,Green Bay Packers / 7th / 216th pick / 2013,$600000
90,Toby Johnson\JohnTo02,25,,2,0,320,6-4,Georgia,9/1/1991,Rook,0,,$79410
92,Tom Johnson\JohnTo01,32,,14,0,285,6-3,Southern Miss,8/30/1984,5,0,,$2300000
98,Linval Joseph*\JoseLi99,28,RDT,16,16,329,6-4,East Carolina,10/10/1988,6,13,New York Giants / 2nd / 46th pick / 2010,$5650000
75,Matt Kalil\KaliMa00,27,,2,2,315,6-7,USC,7/6/1989,4,0,Minnesota Vikings / 1st / 4th pick / 2012,$11096000
27,Jayron Kearse\KearJa00,22,,16,1,215,6-4,Clemson,2/11/1994,Rook,0,Minnesota Vikings / 7th / 244th pick / 2016,$450000
54,Eric Kendricks\KendEr00,24,MLB,15,14,232,6-0,UCLA,2/29/1992,1,10,Minnesota Vikings / 2nd / 45th pick / 2015,$669360
67,Zac Kerin\KeriZa00,25,,9,0,305,6-5,Toledo,8/13/1991,2,0,,$525000
59,Emmanuel Lamur\LamuEm00,27,,16,0,245,6-4,Kansas St.,6/8/1989,4,0,,$1450000
48,Zach Line\LineZa01,26,,15,4,233,6-1,SMU,4/26/1990,3,0,,$1671000
18,Jeff Locke\LockJe00,27,,16,0,195,6-0,UCLA,9/27/1989,3,1,Minnesota Vikings / 5th / 155th pick / 2013,$675000
72,Jake Long\LongJa20,31,,4,3,315,6-7,Michigan,5/9/1985,8,0,Miami Dolphins / 1st / 1st pick / 2008,$624705
47,Kevin McDermott\McDeKe00,26,,16,0,240,6-5,UCLA,1/12/1990,3,0,,$675000
21,Jerick McKinnon\McKiJe00,24,RB,15,7,205,5-9,Georgia Southern,5/3/1992,2,6,Minnesota Vikings / 3rd / 96th pick / 2014,$610000
89,David Morgan\MorgDa01,23,,12,0,265,6-4,Texas-San Antonio,5/19/1993,Rook,0,Minnesota Vikings / 6th / 188th pick / 2016,$450000
