No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
6,Ryan Allen\AlleRy01,26,,16,0,220,6-2,Louisiana Tech,2/28/1990,3,2,,$1000000
80,Danny Amendola\AmenDa00,31,,12,4,185,5-11,Texas Tech,11/2/1985,7,2,,$1250000
60,David Andrews\AndrDa00,24,C,16,16,300,6-3,Georgia,7/10/1992,1,9,,$525000
88,Martellus Bennett\BennMa00,29,TE,16,12,275,6-6,Texas A&M,3/10/1987,8,7,Dallas Cowboys / 2nd / 61st pick / 2008,$5085000
29,LeGarrette Blount\BlouLe00,30,RB,16,8,247,6-0,East Mississippi CCOregon,12/5/1986,6,8,,$760000
38,Brandon Bolden\BoldBr00,26,,14,0,220,5-11,Mississippi,1/26/1990,4,0,,$760000
12,Tom Brady*\BradTo00,39,QB,12,12,225,6-4,Michigan,8/3/1977,16,13,New England Patriots / 6th / 199th pick / 2000,$764705
97,Alan Branch\BranAl99,32,LDT,16,16,350,6-6,Michigan,12/29/1984,9,11,Arizona Cardinals / 2nd / 33rd pick / 2007,$1200000
7,Jacoby Brissett\BrisJa00,24,,3,2,238,6-4,FloridaNorth Carolina St.,12/11/1992,Rook,2,New England Patriots / 3rd / 91st pick / 2016,$450000
90,Malcom Brown\BrowMa01,22,RDT,16,13,320,6-2,Texas,2/2/1994,1,10,New England Patriots / 1st / 32nd pick / 2015,$781056
21,Malcolm Butler\ButlMa01,26,LCB,16,16,190,5-11,West Alabama,3/2/1990,2,17,,$600000
61,Marcus Cannon\CannMa00,28,RT,15,15,335,6-6,TCU,5/6/1988,5,14,New England Patriots / 5th / 138th pick / 2011,$3400000
49,Joe Cardona\CardJo00,24,,16,0,245,6-3,Navy,4/16/1992,1,0,New England Patriots / 5th / 166th pick / 2015,$525000
23,Patrick Chung\ChunPa99,29,SS,16,16,215,5-11,Oregon,8/19/1987,7,8,New England Patriots / 2nd / 34th pick / 2009,$1400000
22,Justin Coleman\ColeJu01,23,,10,1,190,5-11,Tennessee,3/27/1993,1,0,,$525000
91,Jamie Collins\CollJa00,27,LLB,7,6,255,6-3,Southern Miss,10/20/1989,3,6,New England Patriots / 2nd / 52nd pick / 2013,$917864
86,A.J. Derby\DerbA.00,25,,4,0,240,6-5,Arkansas,9/20/1991,Rook,0,New England Patriots / 6th / 202nd pick / 2015,$450000
46,James Develin\DeveJa00,28,,16,4,255,6-3,Brown,7/23/1988,5,0,,$675000
43,Nate Ebner\EbneNa00,28,,16,0,215,6-0,Ohio St.,12/14/1988,4,0,New England Patriots / 6th / 197th pick / 2012,$825000
11,Julian Edelman\EdelJu00,30,WR,16,13,198,5-10,Kent St.,5/22/1986,7,11,New England Patriots / 7th / 232nd pick / 2009,$2500000
71,Cameron Fleming\FlemCa00,24,t,16,5,320,6-6,Stanford,9/3/1992,2,5,New England Patriots / 4th / 140th pick / 2014,$600000
98,Trey Flowers\FlowTr00,23,RDE,16,8,265,6-2,Arkansas,8/16/1993,1,9,New England Patriots / 4th / 101st pick / 2015,$525000
14,Michael Floyd\FloyMi00,27,,2,1,220,6-3,Notre Dame,11/27/1989,4,0,Arizona Cardinals / 1st / 13th pick / 2012,$7320000
27,D.J. Foster\FostD.01,23,,3,0,205,6-0,Arizona St.,11/22/1993,Rook,0,,$450000
55,Jonathan Freeny\FreeJo01,27,,5,4,245,6-2,Rutgers,6/15/1989,5,0,,$740000
10,Jimmy Garoppolo\GaroJi00,25,,6,2,225,6-2,Eastern Illinois,11/2/1991,2,2,New England Patriots / 2nd / 62nd pick / 2014,$686718
3,Stephen Gostkowski\GostSt20,32,,16,0,215,6-1,Memphis,1/28/1984,10,3,New England Patriots / 4th / 118th pick / 2006,$2300000
92,Geneo Grissom\GrisGe00,24,,11,0,265,6-4,Oklahoma,6/4/1992,1,0,New England Patriots / 3rd / 97th pick / 2015,$525000
87,Rob Gronkowski\GronRo00,27,TE,8,6,268,6-6,Arizona,5/14/1989,6,5,New England Patriots / 2nd / 42nd pick / 2010,$2250000
74,Woodrow Hamilton\HamiWo00,24,,2,1,315,6-3,Mississippi,12/20/1992,Rook,0,,$344110
81,Clay Harbor\HarbCl00,29,,3,0,240,6-3,SW Missouri St.,7/2/1987,6,0,Philadelphia Eagles / 4th / 125th pick / 2010,$900000
30,Duron Harmon\HarmDu00,25,,16,4,205,6-1,Rutgers,1/24/1991,3,0,New England Patriots / 3rd / 91st pick / 2013,$1665000
54,Dont'a Hightower*\HighDo01,26,MLB,13,13,260,6-3,Alabama,3/12/1990,4,16,New England Patriots / 1st / 25th pick / 2012,$7751000
15,Chris Hogan\HogaCh00,29,WR,15,14,210,6-1,Monmouth,10/24/1987,5,6,,$1000000
96,Anthony Johnson\JohnAn04,23,,4,1,275,6-3,LSU,1/24/1993,2,0,,
,Anthony Johnson\JohnAn05,21,,2,0,210,6-2,Buffalo,1/29/1995,Rook,0,,$525000
24,Cyrus Jones\JoneCy00,23,,10,1,195,5-10,Alabama,11/29/1993,Rook,0,New England Patriots / 2nd / 60th pick / 2016,$450000
31,Jonathan Jones\JoneJo03,23,,16,1,190,5-10,Auburn,9/20/1993,Rook,0,,$450000
75,Ted Karras\KarrTe00,23,,16,1,305,6-4,Illinois,3/15/1993,Rook,0,New England Patriots / 6th / 221st pick / 2016,$450000
36,Brandon King\KingBr02,23,,16,0,220,6-2,Auburn,6/8/1993,1,0,,$525000
82,Matt Lengel\LengMa00,26,,6,0,265,6-7,NortheasternEast. Kentucky,12/27/1990,Rook,0,,$450000
33,Dion Lewis\LewiDi00,26,rb,7,5,195,5-8,Pittsburgh,9/27/1990,5,3,Philadelphia Eagles / 5th / 149th pick / 2011,$800000
95,Chris Long\LongCh99,31,LDE,16,7,270,6-3,Virginia,3/28/1985,8,7,St. Louis Rams / 1st / 2nd pick / 2008,$1250000
69,Shaq Mason\MasoSh01,23,RG,16,15,310,6-1,Georgia Tech,8/28/1993,1,9,New England Patriots / 4th / 131st pick / 2015,$525000
58,Shea McClellin\McClSh00,27,,14,4,250,6-3,Boise St.,8/1/1989,4,0,Chicago Bears / 1st / 19th pick / 2012,$1000000
32,Devin McCourty*\McCoDe99,29,FS,16,16,195,5-10,Rutgers,8/13/1987,6,13,New England Patriots / 1st / 27th pick / 2010,$4500000
51,Barkevious Mingo\MingBa00,26,,16,0,235,6-5,LSU,10/4/1990,3,0,Cleveland Browns / 1st / 6th pick / 2013,$675000
19,Malcolm Mitchell\MitcMa01,24,wr,14,6,200,6-1,Georgia,7/20/1992,Rook,4,New England Patriots / 4th / 112th pick / 2016,$450000
50,Rob Ninkovich\NinkRo20,32,RLB,12,11,260,6-2,Purdue,2/1/1984,10,8,New Orleans Saints / 5th / 135th pick / 2006,$1147058
37,Jordan Richards\RichJo00,23,,11,0,215,5-11,Stanford,1/21/1993,1,0,New England Patriots / 2nd / 64th pick / 2015,$603707
52,Elandon Roberts\RobeEl00,22,llb,13,5,238,6-0,Houston,4/22/1994,Rook,5,New England Patriots / 6th / 214th pick / 2016,$450000
25,Eric Rowe\RoweEr00,24,rcb,9,7,205,6-1,Utah,10/3/1992,1,4,Philadelphia Eagles / 2nd / 47th pick / 2015,$656811
26,Logan Ryan\RyanLo00,25,RCB,16,13,195,5-11,Rutgers,2/9/1991,3,7,New England Patriots / 3rd / 83rd pick / 2013,$1661000
93,Jabaal Sheard\SheaJa00,27,RDE,15,8,268,6-3,Pittsburgh,5/10/1989,5,7,Cleveland Browns / 2nd / 37th pick / 2011,$4000000
18,Matthew Slater*+\SlatMa00,31,,13,0,205,6-0,UCLA,9/9/1985,8,0,New England Patriots / 5th / 153rd pick / 2008,$1000000
77,Nate Solder\SoldNa00,28,LT,15,15,325,6-8,Colorado,4/12/1988,5,9,New England Patriots / 1st / 17th pick / 2011,$6000000
62,Joe Thuney\ThunJo00,24,LG,16,16,308,6-5,North Carolina St.,11/18/1992,Rook,9,New England Patriots / 3rd / 78th pick / 2016,$450000
99,Vincent Valentine\ValeVi00,22,,13,2,331,6-3,Nebraska,2/23/1994,Rook,0,New England Patriots / 3rd / 96th pick / 2016,$450000
53,Kyle Van Noy\VanNKy00,25,,7,2,250,6-3,BYU,3/26/1991,2,3,Detroit Lions / 2nd / 40th pick / 2014,$758828
68,LaAdrian Waddle\WaddLa01,25,,2,0,315,6-6,Texas Tech,7/21/1991,3,0,,$700000
28,James White\WhitJa02,24,rb,16,4,205,5-10,Wisconsin,2/3/1992,2,6,New England Patriots / 4th / 130th pick / 2014,$600000
