No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
54,Kiko Alonso\AlonKi00,29,,13,4,239,6-3,Oregon,8/14/1990,6,2,Buffalo Bills / 2nd / 46th pick / 2013,
58,Stephone Anthony\AnthSt00,27,,12,1,245,6-3,Clemson,7/28/1992,4,1,New Orleans Saints / 1st / 31st pick / 2015,
47,Alex Anzalone\AnzaAl00,25,,2,0,241,6-3,Florida,9/22/1994,2,0,New Orleans Saints / 3rd / 76th pick / 2017,$717000
25,Eli Apple\ApplEl00,24,CB,15,15,203,6-1,Ohio St.,8/9/1995,3,4,New York Giants / 1st / 10th pick / 2016,$2516225
72,Terron Armstead *\ArmsTe00,28,LT,15,15,304,6-5,Ark-Pine Bluff,7/23/1991,6,10,New Orleans Saints / 3rd / 75th pick / 2013,$10700000
50,Ray-Ray Armstrong\ArmsRa01,28,,5,0,220,6-3,Miami (FL),3/5/1991,6,0,,
85,Dan Arnold\ArnoDa00,24,,2,0,220,6-6,Wisconsin–Platteville,3/15/1995,1,0,,$570000
29,Johnson Bademosi\BadeJo00,29,,6,0,219,6-0,Stanford,7/23/1990,7,0,,
24,Vonn Bell\BellVo00,25,SS,13,13,205,5-11,Ohio St.,12/12/1994,3,5,New Orleans Saints / 2nd / 61st pick / 2016,$991677
9,Drew Brees*\BreeDr00,40,QB,11,11,209,6-0,Purdue,1/15/1979,18,11,San Diego Chargers / 2nd / 32nd pick / 2001,$1400000
5,Teddy Bridgewater\BridTe00,27,qb,9,5,215,6-2,Louisville,11/10/1992,5,5,Minnesota Vikings / 1st / 32nd pick / 2014,$1250000
90,Malcom Brown\BrowMa01,25,RDT,16,16,320,6-2,Texas,2/2/1994,4,7,New England Patriots / 1st / 32nd pick / 2015,$1000000
80,Austin Carr\CarrAu00,26,,6,3,195,6-1,Northwestern,12/25/1993,2,0,,$645000
64,Will Clapp\ClapWi00,24,,14,3,311,6-5,LSU,12/10/1995,1,2,New Orleans Saints / 7th / 245th pick / 2018,$570000
87,Jared Cook*\CookJa02,32,te,14,7,254,6-5,South Carolina,4/7/1987,10,7,Tennessee Titans / 3rd / 89th pick / 2009,$2000000
20,Ken Crawley\CrawKe02,26,,1,0,180,6-1,Colorado,2/8/1993,3,0,,$2025000
