No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Andrew Adams\AdamAn00,24,FS,14,13,200,5-11,Connecticut,10/28/1992,Rook,5,,$450000
89,Jerell Adams\AdamJe01,24,,13,2,254,6-5,South Carolina,12/31/1992,Rook,1,New York Giants / 6th / 184th pick / 2016,$450000
24,Eli Apple\ApplEl00,21,LCB,14,11,203,6-1,Ohio St.,8/9/1995,Rook,5,New York Giants / 1st / 10th pick / 2016,$450000
65,Will Beatty\BeatWi20,31,,6,0,291,6-6,Connecticut,3/2/1985,7,0,New York Giants / 2nd / 60th pick / 2009,$1100000
13,Odell Beckham Jr.*\BeckOd00,24,WR,16,16,198,5-11,LSU,11/5/1992,2,10,New York Giants / 1st / 12th pick / 2014,$1366018
29,Nat Berhe\BerhNa00,25,,7,2,195,5-11,San Diego St.,7/6/1991,2,0,New York Giants / 5th / 152nd pick / 2014,$600000
96,Jay Bromley\BromJa00,24,,15,0,314,6-3,Syracuse,5/28/1992,2,0,New York Giants / 3rd / 74th pick / 2014,$605000
3,Josh Brown\brownjos01,37,,5,0,202,6-0,Nebraska,4/29/1979,13,2,Seattle Seahawks / 7th / 222nd pick / 2003,$1152941
5,Randy Bullock\BullRa00,27,,1,0,210,5-9,Texas A&M,12/16/1989,4,0,Houston Texans / 5th / 161st pick / 2012,$760000
52,Jonathan Casillas\CasiJo99,29,RLB,16,15,225,6-0,Wisconsin,6/3/1987,7,9,,$2475000
21,Landon Collins*+\CollLa00,22,SS,16,16,218,6-0,Alabama,1/10/1994,1,15,New York Giants / 2nd / 33rd pick / 2015,$713208
80,Victor Cruz\CruzVi00,30,WR,15,12,204,6-0,Massachusetts,11/11/1986,6,4,,$2400000
26,Orleans Darkwa\DarkOr00,24,,10,2,210,6-0,Tulane,2/28/1992,2,1,,$600000
51,Zak DeOssie\DeOsZa99,32,,16,0,250,6-5,Brown,5/25/1984,9,0,New York Giants / 4th / 116th pick / 2007,$825000
84,Larry Donnell\DonnLa00,28,te,14,6,269,6-5,Grambling St.,11/1/1988,4,1,,$1671000
74,Ereck Flowers\FlowEr00,22,LT,16,16,330,6-6,Miami (FL),4/25/1994,1,7,New York Giants / 1st / 9th pick / 2015,$1089169
60,Adam Gettis\GettAd00,28,,3,1,315,6-3,Iowa,12/9/1988,4,0,Washington Redskins / 5th / 141st pick / 2012,$675000
93,B.J. Goodson\GoodB.00,23,,15,0,241,6-1,Clemson,5/29/1993,Rook,0,New York Giants / 4th / 109th pick / 2016,$450000
5,Robbie Gould\gouldrob01,34,,10,0,190,6-0,Penn St.,12/6/1982,11,2,,$985000
25,Leon Hall\HallLe98,32,,12,2,195,5-11,Michigan,12/9/1984,9,0,Cincinnati Bengals / 1st / 18th pick / 2007,$885000
95,Johnathan Hankins\HankJo00,24,RDT,16,16,340,6-3,Ohio St.,3/30/1992,3,9,New York Giants / 2nd / 49th pick / 2013,$954639
17,Dwayne Harris*\HarrDw00,29,,16,1,215,5-10,East Carolina,9/16/1987,5,0,Dallas Cowboys / 6th / 176th pick / 2011,$2975000
98,Damon Harrison+\HarrDa03,28,LDT,16,16,350,6-3,William Penn,11/29/1988,4,20,,$1750000
68,Bobby Hart\HartBo00,22,RT,14,13,310,6-5,Florida St.,8/21/1994,1,5,New York Giants / 7th / 226th pick / 2015,$525000
94,Mark Herzlich\HerzMa00,29,,14,0,236,6-5,Boston Col.,9/1/1987,5,0,,$1000000
97,Montori Hughes\HughMo00,26,,2,0,350,6-4,UT Martin,8/25/1990,3,0,Indianapolis Colts / 5th / 139th pick / 2013,$675000
39,Michael Hunter\HuntMi00,23,,2,0,192,6-0,IndianaOklahoma St.,4/19/1993,Rook,0,,$370580
20,Janoris Jenkins*\JenkJa03,28,RCB,15,15,190,5-10,North AlabamaFlorida,10/29/1988,4,13,St. Louis Rams / 2nd / 39th pick / 2012,$1400000
23,Rashad Jennings\JennRa00,31,RB,13,12,234,6-1,Liberty,3/26/1985,7,5,Jacksonville Jaguars / 7th / 250th pick / 2009,$2230000
77,John Jerry\JerrJo20,30,RG,16,16,340,6-5,Mississippi,6/14/1986,6,7,Miami Dolphins / 3rd / 73rd pick / 2010,$1250000
69,Brett Jones\JoneBr04,25,,14,1,315,6-2,Regina (Canada),7/29/1991,Rook,0,,$450000
59,Devon Kennard\KennDe00,25,LLB,16,9,256,6-3,USC,6/24/1991,2,6,New York Giants / 5th / 174th pick / 2014,$600000
15,Tavarres King\KingTa00,26,,7,0,192,6-1,Georgia,7/14/1990,3,0,Denver Broncos / 5th / 161st pick / 2013,$600000
82,Roger Lewis\LewiRo03,23,,13,1,203,6-0,Bowling Green,11/27/1993,Rook,1,,$450000
10,Eli Manning\MannEl00,35,QB,16,16,220,6-5,Mississippi,1/3/1981,12,9,San Diego Chargers / 1st / 1st pick / 2004,$17500000
64,Shane McDermott\McDeSh01,24,,2,0,305,6-3,Miami (FL),2/18/1992,Rook,0,,$450000
73,Marshall Newhouse\NewhMa20,28,lg,10,6,330,6-4,TCU,9/29/1988,5,3,Green Bay Packers / 5th / 169th pick / 2010,$1450000
58,Owamagbe Odighizuwa\OdigOw00,24,,14,0,264,6-4,UCLA,4/1/1992,1,0,New York Giants / 3rd / 74th pick / 2015,$525000
78,Romeo Okwara\OkwaRo01,21,,16,4,263,6-4,Notre Dame,6/17/1995,Rook,0,,$450000
28,Paul Perkins\PerkPa00,22,,14,1,213,5-11,UCLA,11/16/1994,Rook,4,New York Giants / 5th / 149th pick / 2016,$450000
90,Jason Pierre-Paul\PierJa99,27,LDE,12,12,275,6-5,South Florida,1/1/1989,6,9,New York Giants / 1st / 15th pick / 2010,$4250000
37,Eric Pinkins\PinkEr00,25,,5,0,220,6-3,San Diego St.,8/7/1991,2,0,Seattle Seahawks / 6th / 208th pick / 2014,$154411
67,Justin Pugh\PughJu00,26,LG,11,11,311,6-5,Syracuse,8/15/1990,3,5,New York Giants / 1st / 19th pick / 2013,$1157307
43,Bobby Rainey\RainBo00,29,,15,0,205,5-8,Western Kentucky,10/16/1987,4,1,,$760000
70,Weston Richburg\RichWe00,25,C,16,16,290,6-4,Colorado St.,7/9/1991,2,7,New York Giants / 2nd / 43rd pick / 2014,$863396
57,Keenan Robinson\RobiKe01,27,mlb,16,6,245,6-3,Texas,7/7/1989,4,5,Washington Redskins / 4th / 119th pick / 2012,$1150000
41,Dominique Rodgers-Cromartie\RodgDo99,30,LCB,15,9,205,6-2,Tennessee St.,4/7/1986,8,10,Arizona Cardinals / 1st / 16th pick / 2008,$5980000
30,Coty Sensabaugh\SensCo00,28,,10,0,187,5-11,Clemson,11/15/1988,4,0,Tennessee Titans / 4th / 115th pick / 2012,$536470
87,Sterling Shepard\ShepSt00,23,WR,16,16,201,5-10,Oklahoma,2/10/1993,Rook,5,New York Giants / 2nd / 40th pick / 2016,$450000
91,Kelvin Sheppard\ShepKe00,28,MLB,16,11,249,6-2,LSU,1/2/1988,5,6,Buffalo Bills / 3rd / 68th pick / 2011,$760000
53,Deontae Skinner\SkinDe00,26,,4,0,250,6-2,Mississippi St.,12/18/1990,2,0,,$423529
55,J.T. Thomas\ThomJ.02,28,,1,0,241,6-1,West Virginia,8/15/1988,5,0,Chicago Bears / 6th / 195th pick / 2011,$1500000
99,Robert Thomas\ThomRo04,25,,8,0,316,6-1,Arkansas,2/18/1991,2,0,,$450000
27,Darian Thompson\ThomDa05,23,,2,1,211,6-2,Boise St.,9/22/1993,Rook,0,New York Giants / 3rd / 71st pick / 2016,$450000
22,Mykkele Thompson\ThomMy00,23,,1,0,195,6-2,Texas,4/22/1993,Rook,0,New York Giants / 5th / 144th pick / 2015,$450000
45,Will Tye\TyexWi00,25,TE,16,10,260,6-2,Florida St.Stony Brook,11/4/1991,1,3,,$525000
34,Shane Vereen\VereSh00,27,,5,1,205,5-10,California,5/2/1989,5,1,New England Patriots / 2nd / 56th pick / 2011,$3150000
54,Olivier Vernon\VernOl00,26,RDE,16,16,262,6-2,Miami (FL),10/7/1990,4,18,Miami Dolphins / 3rd / 72nd pick / 2012,$1750000
31,Trevin Wade\WadeTr00,27,,16,2,192,5-10,Arizona,8/1/1989,4,0,Cleveland Browns / 7th / 245th pick / 2012,$675000
9,Brad Wing\WingBr00,25,,16,0,205,6-2,LSU,1/27/1991,2,3,,$600000
72,Kerry Wynn\WynnKe00,25,,14,0,261,6-5,Richmond,2/12/1991,2,0,,$600000
