No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
36,Josh Adams\AdamJo03,24,,8,0,225,6-2,Notre Dame,10/29/1996,2,1,,$750000
96,Henry Anderson\AndeHe00,29,LDE,16,8,301,6-6,Stanford,8/3/1991,5,5,Indianapolis Colts / 3rd / 93rd pick / 2015,$7000000
68,Josh Andrews\AndrJo01,29,,15,4,298,6-2,Oregon St.,6/21/1991,6,2,,$750000
31,Blessuan Austin\AustBl00,24,RCB,11,10,198,6-1,Rutgers,7/19/1996,1,3,New York Jets / 6th / 196th pick / 2019,$675000
29,Kalen Ballage\BallKa00,25,,3,0,231,6-2,Arizona St.,12/22/1995,2,0,Miami Dolphins / 4th / 131st pick / 2018,$705882
27,Corey Ballentine\BallCo00,24,,6,0,196,5-11,Washburn,4/13/1996,1,0,New York Giants / 6th / 180th pick / 2019,$317648
93,Tarell Basham\BashTa00,26,LOLB,16,9,266,6-4,Ohio,3/18/1994,3,5,Indianapolis Colts / 3rd / 80th pick / 2017,$825000
77,Mekhi Becton\BectMe00,21,LT,14,13,364,6-7,Louisville,4/18/1999,Rook,4,New York Jets / 1st / 11th pick / 2020,$610000
26,Le'Veon Bell\BellLe00,28,,2,2,225,6-1,Michigan St.,2/18/1992,7,1,Pittsburgh Steelers / 2nd / 48th pick / 2013,$8500000
10,Braxton Berrios\BerrBr00,25,,16,2,190,5-9,Miami (FL),10/6/1995,2,3,New England Patriots / 6th / 210th pick / 2018,$750000
87,Daniel Brown\BrowDa04,28,,16,1,247,6-5,James Madison,5/26/1992,5,0,,$910000
86,Lawrence Cager\CageLa01,23,,2,1,220,6-5,Georgia,8/20/1997,Rook,0,,
26,Elijah Campbell\CampEl00,25,,3,0,193,5-11,Northern IllinoisNorthern Iowa,8/24/1995,Rook,0,,
53,Blake Cashman\CashBl00,24,,4,1,237,6-1,Minnesota,5/10/1996,1,1,New York Jets / 5th / 157th pick / 2019,$560588
6,Sergio Castillo\CastSe00,30,,6,0,195,5-11,West Texas A&M,11/1/1990,Rook,-1,,$358824
37,Marqui Christian\ChriMa00,26,,1,0,207,5-11,Midwestern St.,10/27/1994,4,0,Arizona Cardinals / 5th / 167th pick / 2016,$802941
82,Jamison Crowder\CrowJa00,27,WR,12,7,177,5-9,Duke,6/17/1993,5,5,Washington Redskins / 4th / 105th pick / 2015,$8500000
14,Sam Darnold\DarnSa00,23,QB,12,12,225,6-3,USC,6/5/1997,2,3,New York Jets / 1st / 3rd pick / 2018,$750000
32,Ashtyn Davis\DaviAs00,24,SS,10,6,202,6-1,California,10/10/1996,Rook,2,New York Jets / 3rd / 68th pick / 2020,$610000
56,Noah Dawkins\DawkNo00,23,,5,0,235,6-1,The Citadel,8/13/1997,1,0,,
35,Pierre Desir\DesiPi00,30,DB,9,8,192,6-1,Lindenwood,9/8/1990,6,3,Cleveland Browns / 4th / 127th pick / 2014,$1250000
75,Chuma Edoga\EdogCh00,23,,11,4,308,6-3,USC,5/25/1997,1,2,New York Jets / 3rd / 92nd pick / 2019,$675000
67,Pat Elflein\ElflPa00,26,lg,6,6,303,6-3,Ohio St.,7/6/1994,3,2,Minnesota Vikings / 3rd / 70th pick / 2017,$2133000
76,George Fant\FantGe00,28,RT,14,14,322,6-5,Western Kentucky,7/19/1992,4,4,,$4600000
41,Matthias Farley\FarlMa00,28,,16,2,204,5-11,Notre Dame,7/15/1992,4,1,,$910000
94,Folorunso Fatukasi\FatuFo00,25,NT,15,8,318,6-4,Connecticut,3/4/1995,2,5,New York Jets / 6th / 180th pick / 2018,$750000
9,Sam Ficken\FickSa00,28,,9,0,192,6-1,Penn St.,12/14/1992,3,1,,$675000
54,Sharif Finch\FincSh00,25,,3,0,250,6-4,Temple,10/1/1995,2,0,,
5,Joe Flacco\FlacJo00,35,,5,4,245,6-6,PittsburghDelaware,1/16/1985,12,2,Baltimore Ravens / 1st / 18th pick / 2008,$1050000
91,John Franklin-Myers\FranJo02,24,,15,2,288,6-4,S.F. Austin,9/26/1996,2,3,Los Angeles Rams / 4th / 135th pick / 2018,$750000
21,Frank Gore\GoreFr00,37,RB,15,14,212,5-9,Miami (FL),5/14/1983,15,4,San Francisco 49ers / 3rd / 65th pick / 2005,$1050000
84,Ryan Griffin\GrifRy00,30,te,15,6,255,6-6,Connecticut,1/11/1990,7,1,Houston Texans / 6th / 201st pick / 2013,$1160000
40,Javelin Guidry\GuidJa01,22,,11,2,190,5-10,Utah,8/6/1998,Rook,1,,$502353
58,Bryce Hager\HageBr00,28,,10,2,237,6-1,Baylor,5/4/1992,5,2,St. Louis Rams / 7th / 224th pick / 2015,$481765
25,Nate Hairston\HairNa00,26,,2,0,185,6-0,Temple,6/30/1994,3,0,Indianapolis Colts / 5th / 158th pick / 2017,$2133000
37,Bryce Hall\HallBr02,23,LCB,8,7,202,6-1,Virginia,5/11/1997,Rook,2,New York Jets / 5th / 158th pick / 2020,$511173
29,Saquan Hampton\HampSa00,25,,1,0,206,6-1,Rutgers,12/12/1995,1,0,New Orleans Saints / 6th / 177th pick / 2019,
49,J.T. Hassell\HassJT00,25,,3,0,199,5-11,Florida Tech,8/14/1995,1,0,,
42,Thomas Hennessy\HennTh00,26,,16,0,246,6-2,Duke,6/11/1994,3,1,,$825000
89,Chris Herndon\HernCh00,24,TE,16,13,253,6-4,Miami (FL),2/23/1996,2,2,New York Jets / 4th / 107th pick / 2018,$750000
46,Neville Hewitt\HewiNe00,27,RILB,16,16,234,6-2,Marshall,4/6/1993,5,9,,$1000000
15,Chris Hogan\HogaCh00,33,,5,4,210,6-1,Monmouth,10/24/1987,9,1,,$910000
47,Bryce Huff\HuffBr00,22,,14,0,255,6-3,Memphis,4/17/1998,Rook,2,,
39,Bennett Jackson\JackBe00,29,,4,0,192,6-0,Notre Dame,9/16/1991,6,0,New York Giants / 6th / 187th pick / 2014,$357353
38,Lamar Jackson\JackLa02,22,db,13,6,215,6-3,Nebraska,4/13/1998,Rook,2,,$430588
48,Jordan Jenkins\JenkJo01,26,ROLB,12,12,259,6-3,Georgia,7/1/1994,4,5,New York Jets / 3rd / 83rd pick / 2016,$1500000
25,Ty Johnson\JohnTy02,23,,11,1,210,5-10,Maryland,9/17/1997,1,2,Detroit Lions / 6th / 186th pick / 2019,$555884
44,Harvey Langi\LangHa00,28,LILB,14,6,250,6-2,BYU,9/24/1992,3,4,,$750000
,Alex Lewis\LewiAl01,28,,9,9,305,6-6,ColoradoNebraska,4/21/1992,4,3,Baltimore Ravens / 4th / 130th pick / 2016,$1100000
50,Frankie Luvu\LuvuFr00,24,,13,3,236,6-3,Washington St.,9/19/1996,2,0,,$513236
83,Josh Malone\MaloJo00,24,,4,0,205,6-3,Tennessee,3/21/1996,3,0,Cincinnati Bengals / 4th / 128th pick / 2017,$661765
7,Braden Mann\MannBr01,23,,16,0,198,5-11,Texas A&M,11/24/1997,Rook,2,New York Jets / 6th / 191st pick / 2020,$610000
23,Arthur Maulet\MaulAr00,27,ss,11,5,190,5-10,Memphis,7/13/1993,3,2,,$825000
20,Marcus Maye\MayeMa00,27,FS,16,16,207,6-0,Florida,3/9/1993,3,6,New York Jets / 2nd / 39th pick / 2017,$1358733
69,Conor McDermott\McDeCo00,28,,15,1,305,6-8,UCLA,10/19/1992,3,1,New England Patriots / 6th / 211th pick / 2017,$825000
30,Bradley McDougald\McDoBr01,30,ss,7,7,215,6-1,Kansas,11/15/1990,7,2,,$3600000
60,Connor McGovern\McGoCo00,27,C,16,16,306,6-4,Missouri,4/27/1993,3,5,Denver Broncos / 5th / 144th pick / 2016,$5000000
3,Chase McLaughlin\McLaCh00,24,,1,0,187,5-11,Illinois,4/9/1996,1,0,,
99,Steve McLendon\McLeSt00,34,nt,6,6,310,6-3,Troy,1/3/1986,10,3,,
11,Denzel Mims\MimsDe00,23,WR,9,8,207,6-3,Baylor,10/10/1997,Rook,2,New York Jets / 2nd / 59th pick / 2020,$548235
52,Alec Ogletree\OgleAl00,29,,2,1,235,6-2,Georgia,9/25/1991,7,0,St. Louis Rams / 1st / 30th pick / 2013,$856471
51,Patrick Onwuasor\OnwuPa00,28,,1,0,227,6-0,ArizonaPortland St.,8/22/1992,4,0,,$1000000
22,La'Mical Perine\PeriLa00,22,,10,0,216,5-11,Florida,1/30/1998,Rook,1,New York Jets / 4th / 120th pick / 2020,$610000
19,Breshad Perriman\PerrBr02,27,WR,12,12,215,6-2,Central Florida,9/10/1993,4,3,Baltimore Ravens / 1st / 26th pick / 2015,$3000000
98,Kyle Phillips\PhilKy00,23,,7,3,277,6-4,Tennessee,5/5/1997,1,2,,$527942
34,Brian Poole\PoolBr01,28,cb,9,7,213,5-10,Florida,10/20/1992,4,3,,$1500000
18,Jaleel Scott\ScotJa02,25,,1,1,210,6-5,New Mexico St.,2/23/1995,2,0,Baltimore Ravens / 4th / 132nd pick / 2018,
55,Brady Sheldon\ShelBr01,27,,2,0,231,6-5,Ferris St.,2/23/1993,3,0,,
97,Nathan Shepherd\ShepNa00,27,,14,3,315,6-4,Fort Hays St.,10/9/1993,2,2,New York Jets / 3rd / 72nd pick / 2018,$818000
79,Tanzel Smart\SmarTa00,26,,3,0,295,6-1,Tulane,11/6/1994,3,0,Los Angeles Rams / 6th / 189th pick / 2017,
16,Jeff Smith\SmitJe03,23,,12,4,195,6-1,Boston Col.,4/21/1997,1,1,,$572940
17,Vyncint Smith\SmitVy00,24,,7,0,202,6-3,Limestone,6/9/1996,2,0,,$661767
43,Ross Travis\TravRo00,27,,1,0,248,6-6,Penn St.,1/9/1993,4,0,,
62,Greg Van Roten\VanRGr00,30,RG,13,13,305,6-3,Pennsylvania,2/26/1990,8,4,,$1000000
85,Trevon Wesco\WescTr00,25,,12,4,267,6-3,West Virginia,9/12/1995,1,0,New York Jets / 4th / 121st pick / 2019,$542648
95,Quinnen Williams\WillQu00,23,RDE,13,13,303,6-3,Alabama,12/5/1997,1,7,New York Jets / 1st / 3rd pick / 2019,$675000
