No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
17,Nelson Agholor\AghoNe00,23,WR,15,14,198,6-0,USC,5/24/1993,1,3,Philadelphia Eagles / 1st / 20th pick / 2015,$861244
94,Beau Allen\AlleBe00,25,,16,3,327,6-3,Wisconsin,11/14/1991,2,0,Philadelphia Eagles / 7th / 224th pick / 2014,$600000
68,Josh Andrews\AndrJo01,25,,3,0,298,6-2,Oregon St.,6/21/1991,2,0,,$525000
76,Allen Barbre\BarbAl20,32,LG,12,12,310,6-4,Missouri Southern,6/22/1984,9,6,Green Bay Packers / 4th / 119th pick / 2007,$1750000
34,Kenjon Barner\BarnKe00,27,,13,0,195,5-9,Oregon,4/28/1989,3,1,Carolina Panthers / 6th / 182nd pick / 2013,$600000
98,Connor Barwin\BarwCo99,30,RDE,16,16,255,6-4,Cincinnati,10/15/1986,7,8,Houston Texans / 2nd / 46th pick / 2009,$6750000
53,Nigel Bradham\BradNi00,27,LLB,16,16,241,6-2,Florida St.,9/4/1989,4,9,Buffalo Bills / 4th / 105th pick / 2012,$2000000
56,Bryan Braman\BramBr00,29,,16,0,230,6-5,West Texas A&M,5/4/1987,5,0,,$900000
79,Brandon Brooks\BrooBr00,27,RG,14,14,335,6-5,Miami (OH),8/19/1989,4,7,Houston Texans / 3rd / 76th pick / 2012,$1000000
33,Ron Brooks\BrooRo01,28,db,6,5,190,5-10,LSU,10/16/1988,4,3,Buffalo Bills / 4th / 124th pick / 2012,$800000
29,Terrence Brooks\BrooTe00,24,,11,0,205,5-11,Florida St.,3/2/1992,2,0,Baltimore Ravens / 3rd / 79th pick / 2014,$615000
47,Trey Burton\BurtTr01,25,,15,4,238,6-2,Florida,10/29/1991,2,3,,$600000
22,Nolan Carroll\CarrNo00,29,RCB,16,16,202,6-1,Maryland,1/16/1987,6,7,Miami Dolphins / 5th / 145th pick / 2010,$760000
87,Brent Celek\CeleBr00,31,TE,16,8,261,6-4,Cincinnati,1/25/1985,9,1,Philadelphia Eagles / 5th / 162nd pick / 2007,$1000000
91,Fletcher Cox*\CoxxFl00,26,LDT,16,16,310,6-4,Mississippi St.,12/13/1990,4,12,Philadelphia Eagles / 1st / 12th pick / 2012,$1299000
75,Vinny Curry\CurrVi00,28,,16,0,279,6-3,Marshall,6/30/1988,4,0,Philadelphia Eagles / 2nd / 59th pick / 2012,$1000000
10,Chase Daniel\DaniCh00,30,,1,0,229,6-0,Missouri,10/7/1986,7,0,,$1000000
46,Jon Dorenbos\DoreJo20,36,,13,0,250,6-0,Texas-El Paso,7/21/1980,13,0,,$985000
86,Zach Ertz\ErtzZa00,26,TE,14,12,250,6-5,Stanford,11/10/1990,3,7,Philadelphia Eagles / 2nd / 35th pick / 2013,$1138527
52,Najee Goode\GoodNa00,27,,16,0,244,6-0,West Virginia,6/4/1989,4,0,Tampa Bay Buccaneers / 5th / 140th pick / 2012,$675000
69,Dillon Gordon\GordDi01,23,,1,0,320,6-4,LSU,9/2/1993,Rook,0,,$450000
55,Brandon Graham\GrahBr99,28,LDE,16,16,265,6-2,Michigan,4/3/1988,6,16,Philadelphia Eagles / 1st / 13th pick / 2010,$4000000
18,Dorial Green-Beckham\GreeDo00,23,wr,15,7,225,6-5,OklahomaMissouri,4/12/1993,1,3,Tennessee Titans / 2nd / 40th pick / 2015,$689709
