No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
92,Olasunkanmi Adeniyi\AdenOl00,22,,16,0,248,6-1,Toledo,9/12/1997,1,1,,$570000
27,Marcus Allen\AlleMa03,23,,1,0,215,6-2,Penn St.,8/7/1996,1,0,Pittsburgh Steelers / 5th / 148th pick / 2018,$570000
94,Tyson Alualu\AluaTy99,32,rde,16,5,304,6-3,California,5/12/1987,9,4,Jacksonville Jaguars / 1st / 10th pick / 2010,$1250000
72,Zach Banner\BannZa00,26,,14,1,360,6-8,USC,12/25/1993,2,1,Indianapolis Colts / 4th / 137th pick / 2017,$645000
26,Mark Barron\BarrMa00,30,IL,15,9,230,6-2,Alabama,10/27/1989,7,6,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$1000000
4,Jordan Berry\BerrJo00,28,,16,0,195,6-5,East. Kentucky,3/18/1991,4,2,,$1150000
9,Chris Boswell\BoswCh00,28,,16,0,185,6-2,Rice,3/16/1991,4,5,,$1000000
40,Tony Brooks-James\BrooTo01,25,,3,0,179,5-9,Oregon,12/6/1994,Rook,0,,
96,Isaiah Buggs\BuggIs00,23,,9,0,295,6-3,Alabama,8/24/1996,Rook,1,Pittsburgh Steelers / 6th / 192nd pick / 2019,$495000
25,Artie Burns\BurnAr00,24,,10,1,197,6-0,Miami (FL),5/1/1995,3,1,Pittsburgh Steelers / 1st / 25th pick / 2016,$1757861
55,Devin Bush Jr.\BushDe01,21,LILB,16,15,234,5-11,Michigan,7/18/1998,Rook,9,Pittsburgh Steelers / 1st / 10th pick / 2019,$495000
17,Deon Cain\CainDe00,23,,6,3,202,6-2,Clemson,8/9/1996,1,1,Indianapolis Colts / 6th / 185th pick / 2018,
57,Kameron Canaday\CanaKa00,26,,16,0,245,6-4,Portland St.,8/20/1993,3,1,,$720000
56,Anthony Chickillo\ChicAn00,27,,11,0,255,6-3,Miami (FL),12/10/1992,4,1,Pittsburgh Steelers / 6th / 212th pick / 2015,$806000
30,James Conner\ConnJa00,24,RB,10,10,233,6-1,Pittsburgh,5/5/1995,2,5,Pittsburgh Steelers / 3rd / 105th pick / 2017,$668000
37,Jordan Dangerfield\DangJo00,29,,16,0,199,5-11,Towson,12/25/1990,5,1,,$645000
21,Sean Davis\DaviSe00,26,,1,1,202,6-1,Maryland,10/23/1993,3,0,Pittsburgh Steelers / 2nd / 58th pick / 2016,$1007314
66,David DeCastro*\DeCaDa00,29,RG,16,16,316,6-5,Stanford,1/11/1990,7,7,Pittsburgh Steelers / 1st / 24th pick / 2012,$7070000
