No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
56,Cliff Avril*\AvriCl99,30,RDE,16,16,260,6-3,Purdue,4/8/1986,8,13,Detroit Lions / 3rd / 92nd pick / 2008,$6000000
89,Doug Baldwin*\BaldDo00,28,WR,16,15,192,5-10,Stanford,9/21/1988,5,10,,$1000000
72,Michael Bennett*\BennMi99,31,LDE,11,11,275,6-4,Texas A&M,11/13/1985,7,10,,$4000000
2,Trevone Boykin\BoykTr00,23,,5,0,213,6-0,TCU,8/22/1993,Rook,0,,$450000
68,Justin Britt\BritJu00,25,C,15,15,315,6-6,Missouri,5/29/1991,2,8,Seattle Seahawks / 2nd / 64th pick / 2014,$734267
31,Kam Chancellor\ChanKa99,28,SS,12,12,225,6-3,Virginia Tech,4/3/1988,6,6,Seattle Seahawks / 5th / 133rd pick / 2010,$5100000
55,Frank Clark\ClarFr01,23,lde,15,5,260,6-3,Michigan,6/14/1993,1,5,Seattle Seahawks / 2nd / 63rd pick / 2015,$604647
36,Alex Collins\CollAl00,22,,11,0,208,5-10,Arkansas,8/26/1994,Rook,2,Seattle Seahawks / 5th / 171st pick / 2016,$450000
52,Brock Coyle\CoylBr00,26,,12,3,245,6-1,Montana,10/12/1990,2,0,,$600000
21,DeAndre Elliott\ElliDe01,24,,13,0,189,6-1,Colorado St.,11/21/1992,Rook,0,,$450000
74,George Fant\FantGe00,24,LT,14,10,322,6-5,Western Kentucky,7/19/1992,Rook,6,,$450000
39,George Farmer\FarmGe02,23,,2,0,220,6-1,USC,7/4/1993,Rook,0,,$158820
48,Nolan Frese\FresNo00,24,,16,0,233,6-2,Houston,7/29/1992,Rook,0,,$450000
79,Garry Gilliam\GillGa01,26,RT,14,13,305,6-5,Penn St.,11/26/1990,2,7,,$600000
63,Mark Glowinski\GlowMa00,24,LG,16,16,310,6-4,West Virginia,5/3/1992,1,8,Seattle Seahawks / 4th / 134th pick / 2015,$525000
97,Malliciah Goodman\GoodMa01,26,,1,0,276,6-4,Clemson,1/4/1990,3,0,Atlanta Falcons / 4th / 127th pick / 2013,
88,Jimmy Graham*\GrahJi00,30,TE,16,15,265,6-7,Miami (FL),11/24/1986,6,8,New Orleans Saints / 3rd / 95th pick / 2010,$8900000
4,Stephen Hauschka\HausSt00,31,,16,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,8,2,,$2700000
53,Joey Hunt\HuntJo00,22,,9,1,299,6-2,TCU,2/22/1994,Rook,0,Seattle Seahawks / 6th / 215th pick / 2016,$450000
76,Germain Ifedi\IfedGe00,22,RG,13,13,325,6-5,Texas A&M,6/2/1994,Rook,7,Seattle Seahawks / 1st / 31st pick / 2016,$450000
99,Quinton Jefferson\JeffQu00,23,,3,0,291,6-4,Maryland,3/31/1993,Rook,0,Seattle Seahawks / 5th / 147th pick / 2016,$450000
92,John Jenkins\JenkJo00,27,,2,0,327,6-3,Georgia,7/11/1989,3,0,New Orleans Saints / 3rd / 82nd pick / 2013,$675000
32,Jeron Johnson\JohnJe02,28,,4,0,212,5-10,Boise St.,6/12/1988,5,0,,$178823
15,Jermaine Kearse\KearJe01,26,WR,16,15,210,6-1,Washington,2/6/1990,4,4,,$800000
20,Jeremy Lane\LaneJe00,26,DB,16,9,184,6-0,Northwestern St. (LA),7/14/1990,4,4,Seattle Seahawks / 6th / 172nd pick / 2012,$2000000
