No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
91,Arik Armstead\ArmsAr01,24,LDE,6,6,292,6-7,Oregon,11/15/1993,2,2,San Francisco 49ers / 1st / 17th pick / 2015,$1329785
54,Ray-Ray Armstrong\ArmsRa01,26,rlb,10,5,220,6-3,Miami (FL),3/5/1991,4,3,,$1000000
61,Tim Barnes\BarnTi01,29,,1,0,297,6-4,Missouri,5/14/1988,6,0,,$227941
68,Zane Beadles\BeadZa20,31,rt,16,5,305,6-4,Utah,11/19/1986,7,4,Denver Broncos / 2nd / 45th pick / 2010,$2450000
3,C.J. Beathard\BeatC.00,24,qb,7,5,215,6-2,Iowa,11/16/1993,Rook,3,San Francisco 49ers / 3rd / 104th pick / 2017,$465000
98,Ronald Blair\BlaiRo00,24,,6,2,270,6-4,Appalachian St.,1/21/1993,1,1,San Francisco 49ers / 5th / 142nd pick / 2016,$363000
17,Victor Bolden\BoldVi00,22,,9,0,178,5-8,Oregon St.,4/4/1995,Rook,0,,$465000
10,Kendrick Bourne\BourKe00,22,,11,0,203,6-1,East. Washington,8/4/1995,Rook,2,,$465000
53,NaVorro Bowman\BowmNa99,29,mlb,5,5,230,6-1,Penn St.,5/28/1988,7,2,San Francisco 49ers / 3rd / 91st pick / 2010,$6750000
22,Matt Breida\BreiMa00,22,,16,0,190,5-10,Georgia Southern,2/28/1995,Rook,4,,$465000
77,Trent Brown\BrowTr02,24,RT,10,10,380,6-8,Georgia MilitaryFlorida,4/13/1993,2,5,San Francisco 49ers / 7th / 244th pick / 2015,$615000
99,DeForest Buckner\BuckDe00,23,RDT,16,16,300,6-7,Oregon,3/17/1994,1,7,San Francisco 49ers / 1st / 7th pick / 2016,$1276863
95,Tank Carradine\CarrCo00,27,,8,7,267,6-4,Florida St.,2/18/1990,4,3,San Francisco 49ers / 2nd / 40th pick / 2013,$1100000
88,Garrett Celek\CeleGa00,29,TE,16,13,252,6-5,Michigan St.,5/29/1988,5,3,,$1550000
38,Adrian Colbert\ColbAd00,24,,14,6,205,6-2,Miami (FL),10/6/1993,Rook,0,San Francisco 49ers / 7th / 229th pick / 2017,$465000
96,Xavier Cooper\CoopXa00,26,,5,0,300,6-4,Washington St.,11/30/1991,2,0,Cleveland Browns / 3rd / 96th pick / 2015,$627000
50,Brock Coyle\CoylBr00,27,RLB,16,10,245,6-1,Montana,10/12/1990,3,4,,$1000000
96,Sheldon Day\DayxSh00,23,,6,0,294,6-1,Notre Dame,7/1/1994,1,1,Jacksonville Jaguars / 4th / 103rd pick / 2016,$540000
92,Leger Douzable\DouzLe00,31,lde,5,5,305,6-4,Central Florida,5/31/1986,8,2,,$582353
58,Elvis Dumervil\DumeEl20,33,,16,0,250,5-11,Louisville,1/19/1984,11,1,Denver Broncos / 4th / 126th pick / 2006,$2250000
40,Antone Exum\ExumAn00,26,,2,1,219,6-0,Virginia Tech,2/27/1991,3,0,Minnesota Vikings / 6th / 182nd pick / 2014,$365294
56,Reuben Foster\FostRe00,23,MLB,10,10,228,6-1,Alabama,4/4/1994,Rook,4,San Francisco 49ers / 1st / 31st pick / 2017,$465000
63,Brandon Fusco\FuscBr00,29,RG,16,16,306,6-4,Slippery Rock,7/26/1988,6,8,Minnesota Vikings / 6th / 172nd pick / 2011,$1000000
15,Pierre Garcon\GarcPi00,31,WR,8,8,211,6-0,Mount Union,8/8/1986,9,4,Indianapolis Colts / 6th / 205th pick / 2008,$3675000
10,Jimmy Garoppolo\GaroJi00,26,qb,6,5,225,6-2,Eastern Illinois,11/2/1991,3,5,New England Patriots / 2nd / 62nd pick / 2014,$820077
76,Garry Gilliam\GillGa01,27,,8,1,305,6-5,Penn St.,11/26/1990,3,0,,$1400000
11,Marquise Goodwin\GoodMa00,27,WR,16,16,180,5-9,Texas,11/19/1990,4,8,Buffalo Bills / 3rd / 78th pick / 2013,$1950000
9,Robbie Gould\gouldrob01,35,,16,0,190,6-0,Penn St.,12/6/1982,12,6,,$1500000
20,Leon Hall\HallLe98,33,,9,1,195,5-11,Michigan,12/9/1984,10,0,Cincinnati Bengals / 1st / 18th pick / 2007,$705882
57,Eli Harold\HaroEl00,23,LLB,16,10,243,6-3,Virginia,1/20/1994,2,4,San Francisco 49ers / 3rd / 79th pick / 2015,$634000
83,Cole Hikutini\HikuCo00,23,,4,0,240,6-4,Louisville,6/11/1994,Rook,0,,$328235
2,Brian Hoyer\HoyeBr00,32,QB,6,6,216,6-2,Michigan St.,10/13/1985,8,2,,$2950000
28,Carlos Hyde\HydeCa00,27,RB,16,16,229,6-0,Ohio St.,9/20/1990,3,8,San Francisco 49ers / 2nd / 57th pick / 2014,$822047
30,Asa Jackson\JackAs00,28,,4,0,193,5-10,Cal Poly-San Luis Obispo,12/2/1989,5,0,Baltimore Ravens / 5th / 169th pick / 2012,$729412
26,Lorenzo Jerome\JeroLo00,23,,4,0,205,5-11,St. Francis (PA),1/1/1994,Rook,0,,$465000
36,Dontae Johnson\JohnDo02,26,RCB,16,16,200,6-2,North Carolina St.,12/1/1991,3,8,San Francisco 49ers / 4th / 129th pick / 2014,$690000
93,D.J. Jones\JoneD.01,22,,9,0,321,6-0,East Mississippi CCMississippi,1/19/1995,Rook,1,San Francisco 49ers / 6th / 198th pick / 2017,$465000
96,Datone Jones\JoneDa03,27,,3,0,285,6-4,UCLA,7/24/1990,4,0,Green Bay Packers / 1st / 26th pick / 2013,$455882
44,Kyle Juszczyk*\JuszKy00,26,FB,14,10,240,6-1,Harvard,4/23/1991,4,3,Baltimore Ravens / 4th / 130th pick / 2013,$2000000
67,Daniel Kilgore\KilgDa00,30,C,16,16,291,6-3,Appalachian St.,12/18/1987,6,8,San Francisco 49ers / 5th / 163rd pick / 2011,$1000000
85,George Kittle\KittGe00,24,te,15,7,250,6-4,Iowa,10/9/1993,Rook,4,San Francisco 49ers / 5th / 146th pick / 2017,$465000
47,Elijah Lee\LeexEl00,21,,14,0,229,6-2,Kansas St.,2/8/1996,Rook,1,Minnesota Vikings / 7th / 232nd pick / 2017,$437647
59,Aaron Lynch\LyncAa00,24,,7,0,285,6-5,South Florida,2/8/1993,3,1,San Francisco 49ers / 5th / 150th pick / 2014,$1797000
26,Greg Mabin\MabiGr00,23,,6,0,200,6-1,Iowa,6/25/1994,Rook,0,,$246176
62,Erik Magnuson\MagnEr00,23,,4,2,300,6-6,Michigan,1/5/1994,Rook,0,,$465000
54,Cassius Marsh\MarsCa00,25,,6,0,254,6-4,UCLA,7/7/1992,3,1,Seattle Seahawks / 4th / 108th pick / 2014,$690000
27,Dexter McCoil\McCoDe00,26,,8,0,220,6-4,Tulsa,9/5/1991,1,0,,$540000
69,Tony McDaniel\McDaTo20,32,,4,0,305,6-7,Tennessee,1/20/1985,11,0,,$647059
33,Jeremy McNichols\McNiJe00,22,,2,0,205,5-9,Boise St.,12/26/1995,Rook,0,Tampa Bay Buccaneers / 5th / 162nd pick / 2017,$136765
90,Earl Mitchell\MitcEa99,30,LDT,16,16,310,6-3,Arizona,9/25/1987,7,6,Houston Texans / 3rd / 81st pick / 2010,$1650000
31,Raheem Mostert\MostRa00,25,,11,0,197,5-10,Purdue,4/9/1992,2,0,,$615000
18,Louis Murphy\MurpLo00,30,wr,7,7,200,6-2,Florida,5/11/1987,8,1,Oakland Raiders / 4th / 124th pick / 2009,$423528
86,Kyle Nelson\NelsKy00,31,,16,0,240,6-2,New Mexico St.,10/3/1986,5,0,,$975000
46,Mark Nzeocha\NzeoMa00,27,,10,0,240,6-3,Wyoming,1/19/1990,2,1,Dallas Cowboys / 7th / 236th pick / 2015,$506471
82,Logan Paulsen\PaulLo00,30,,14,1,268,6-5,UCLA,2/26/1987,7,0,,$775000
5,Bradley Pinion\PiniBr00,23,,16,0,240,6-5,Clemson,6/1/1994,2,1,San Francisco 49ers / 5th / 165th pick / 2015,$615000
45,Tyvis Powell\PoweTy01,23,,3,0,211,6-2,Ohio St.,2/16/1994,1,0,,$95294
27,Keith Reaser\ReasKe00,26,,1,0,190,6-0,Florida Atlantic,7/31/1991,3,0,San Francisco 49ers / 5th / 170th pick / 2014,
35,Eric Reid\ReidEr00,26,SS,13,12,215,6-1,LSU,12/10/1991,4,11,San Francisco 49ers / 1st / 18th pick / 2013,$5676000
19,Aldrick Robinson\RobiAl00,29,,16,1,185,5-10,SMU,9/24/1988,6,2,Washington Redskins / 6th / 178th pick / 2011,$1250000
33,Rashard Robinson\RobiRa00,22,lcb,8,7,177,6-2,LSU,7/23/1995,1,4,San Francisco 49ers / 4th / 133rd pick / 2016,$540000
74,Joe Staley*\StalJo20,33,LT,15,15,295,6-5,Central Michigan,8/30/1984,10,10,San Francisco 49ers / 1st / 28th pick / 2007,$8250000
29,Jaquiski Tartt\TartJa00,25,SS,9,9,215,6-1,Samford,2/18/1992,2,4,San Francisco 49ers / 2nd / 46th pick / 2015,$792910
55,Pita Taumoepenu\TaumPi00,23,,2,0,245,6-1,Utah,3/9/1994,Rook,0,San Francisco 49ers / 6th / 202nd pick / 2017,$465000
81,Trent Taylor\TaylTr02,23,,15,1,180,5-8,Louisiana Tech,4/30/1994,Rook,3,San Francisco 49ers / 5th / 177th pick / 2017,$465000
94,Solomon Thomas\ThomSo00,22,RDE,14,12,280,6-2,Stanford,8/26/1995,Rook,5,San Francisco 49ers / 1st / 3rd pick / 2017,$465000
75,Laken Tomlinson\TomlLa01,25,LG,15,15,312,6-3,Duke,2/9/1992,2,8,Detroit Lions / 1st / 28th pick / 2015,$1212296
25,Jimmie Ward\WardJi01,26,FS,7,6,193,5-11,Northern Illinois,7/18/1991,3,3,San Francisco 49ers / 1st / 30th pick / 2014,$690000
97,Dekoda Watson\WatsDe99,29,,14,0,245,6-2,Florida St.,3/3/1988,7,1,Tampa Bay Buccaneers / 7th / 217th pick / 2010,$1000000
78,Darrell Williams\WillDa08,24,,7,0,315,6-5,Western Kentucky,3/24/1993,Rook,0,,$246177
24,K'Waun Williams\WillKW00,26,db,14,5,185,5-9,Pittsburgh,7/12/1991,3,3,,$615000
23,Ahkello Witherspoon\WithAh00,22,LCB,12,9,195,6-2,Colorado,3/21/1995,Rook,5,San Francisco 49ers / 3rd / 66th pick / 2017,$465000
