No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
96,Sam Acho\AchoSa00,31,,8,0,259,6-3,Texas,9/6/1988,8,1,Arizona Cardinals / 4th / 103rd pick / 2011,
39,Andrew Adams\AdamAn00,27,SS,14,11,200,5-11,Connecticut,10/28/1992,3,4,,
91,Beau Allen\AlleBe00,28,,13,0,327,6-3,Wisconsin,11/14/1991,5,1,Philadelphia Eagles / 7th / 224th pick / 2014,$2000000
82,Antony Auclair\AuclAn00,26,te,8,5,256,6-6,Laval,5/28/1993,2,0,,$645000
25,Peyton Barber\BarbPe01,25,rb,16,7,225,5-11,Auburn,6/27/1994,3,4,,$2025000
58,Shaquil Barrett*\BarrSh00,27,ROLB,16,16,250,6-2,Colorado St.,11/17/1992,5,12,,$1000000
77,Caleb Benenoch\BeneCa00,25,,1,0,305,6-5,UCLA,8/2/1994,3,0,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$2025000
59,Devante Bond\BondDe00,26,,4,0,236,6-1,Oklahoma,7/3/1993,2,0,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,$645000
84,Cameron Brate\BratCa00,28,TE,16,6,245,6-5,Harvard,7/3/1991,5,2,,$7000000
23,Deone Bucannon\BucaDe00,27,,5,0,211,6-1,Washington St.,8/30/1992,5,1,Arizona Cardinals / 1st / 27th pick / 2014,$1050000
65,Alex Cappa\CappAl00,24,RG,13,13,305,6-6,Humboldt St.,1/27/1995,1,6,Tampa Bay Buccaneers / 3rd / 94th pick / 2018,$615000
48,Jack Cichy\CichJa00,24,,4,0,238,6-2,Wisconsin,5/5/1995,1,0,Tampa Bay Buccaneers / 6th / 202nd pick / 2018,$570000
41,Kahzin Daniels\DaniKa00,24,,2,0,240,6-4,,10/26/1995,Rook,0,,$495000
54,Lavonte David\DaviLa00,29,RILB,16,16,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,7,8,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$9750000
33,Carlton Davis\DaviCa02,23,LCB,14,14,206,6-1,Auburn,12/31/1996,1,5,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018,$679687
52,Noah Dawkins\DawkNo00,22,,10,0,235,6-1,The Citadel,8/13/1997,Rook,1,,
35,Jamel Dean\DeanJa00,23,db,13,5,206,6-1,Auburn,10/15/1996,Rook,3,Tampa Bay Buccaneers / 3rd / 94th pick / 2019,$495000
69,Demar Dotson\DotsDe00,34,RT,15,15,315,6-9,Southern Miss,10/11/1985,10,9,,$3975000
34,Mike Edwards\EdwaMi01,23,ss,15,7,205,5-10,Kentucky,5/18/1996,Rook,3,Tampa Bay Buccaneers / 3rd / 99th pick / 2019,$495000
13,Mike Evans*\EvanMi00,26,WR,13,13,231,6-5,Texas A&M,8/21/1993,5,9,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$17000000
14,John Franklin\FranJo04,25,,1,0,185,6-0,East Mississippi CCAuburnFlorida Atlantic,1/21/1994,Rook,0,,
9,Matt Gay\GayxMa00,25,,16,0,232,6-0,Utah,3/15/1994,Rook,3,Tampa Bay Buccaneers / 5th / 145th pick / 2019,$495000
92,William Gholston\GholWi00,28,RDE,16,8,281,6-6,Michigan St.,7/31/1991,6,4,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$3750000
12,Chris Godwin*\GodwCh00,23,WR,14,14,209,6-1,Penn St.,2/27/1996,2,10,Tampa Bay Buccaneers / 3rd / 84th pick / 2017,$677000
