No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
53,Daren Bates\BateDa00,29,,13,0,225,5-11,Auburn,11/27/1990,6,1,,$2050000
41,Khari Blasingame\BlasKh00,23,,6,3,233,6-0,Vanderbilt,7/1/1996,Rook,0,,
48,Beau Brinkley\BrinBe00,29,,16,0,260,6-4,Missouri,1/25/1990,7,1,,$1250000
35,Tramaine Brock\BrocTr00,31,,4,4,188,6-0,MinnesotaBelhaven,8/20/1988,9,1,,
11,A.J. Brown\BrowAJ00,22,WR,16,11,226,6-0,Mississippi,6/30/1997,Rook,10,Tennessee Titans / 2nd / 51st pick / 2019,$495000
55,Jayon Brown\BrowJa06,24,RILB,14,14,226,6-0,UCLA,2/26/1995,2,8,Tennessee Titans / 5th / 155th pick / 2017,$645000
21,Malcolm Butler\ButlMa01,29,RCB,9,9,190,5-11,West Alabama,3/2/1990,5,4,,$10500000
31,Kevin Byard\ByarKe01,26,FS,16,16,212,5-11,Middle Tenn. St.,8/17/1993,3,7,Tennessee Titans / 3rd / 64th pick / 2016,$2025000
99,Jurrell Casey*\CaseJu00,30,DT,14,14,305,6-1,USC,12/5/1989,8,11,Tennessee Titans / 3rd / 77th pick / 2011,$10550000
78,Jack Conklin\ConkJa00,25,RT,16,16,308,6-6,Michigan St.,8/17/1994,3,9,Tennessee Titans / 1st / 8th pick / 2016,$2617862
44,Kamalei Correa\CorrKa00,25,lolb,16,5,241,6-3,Boise St.,4/27/1994,3,4,Baltimore Ravens / 2nd / 42nd pick / 2016,$1234043
29,Dane Cruikshank\CruiDa00,24,,16,0,209,6-1,Arizona,4/27/1995,1,1,Tennessee Titans / 5th / 152nd pick / 2018,$570000
84,Corey Davis\DaviCo03,24,WR,15,11,209,6-3,West. Michigan,1/11/1995,2,5,Tennessee Titans / 1st / 5th pick / 2017,$645000
64,Nate Davis\DaviNa01,23,RG,13,12,316,6-3,Charlotte,9/23/1996,Rook,6,Tennessee Titans / 3rd / 82nd pick / 2019,$495000
12,Rashard Davis\DaviRa01,24,,1,0,175,5-9,James Madison,9/14/1995,1,0,,
28,Dalyn Dawkins\DawkDa01,25,,2,0,183,5-7,Colorado St.,12/12/1994,1,0,,$570000
92,Matt Dickerson\DickMa00,24,,5,0,292,6-5,UCLA,11/9/1995,1,0,,$570000
75,Jamil Douglas\DougJa00,27,rg,15,5,309,6-4,Arizona St.,2/28/1992,4,3,Miami Dolphins / 4th / 114th pick / 2015,$570000
54,Rashaan Evans\EvanRa01,24,LILB,16,16,232,6-2,Alabama,11/8/1995,1,9,Tennessee Titans / 1st / 22nd pick / 2018,$1006236
56,Sharif Finch\FincSh00,24,,8,3,250,6-4,Temple,10/1/1995,1,2,,$570000
86,Anthony Firkser\FirkAn00,24,,15,1,246,6-2,Harvard,2/19/1995,1,2,,$570000
32,David Fluellen\FlueDa00,27,,2,0,224,5-11,Toledo,1/28/1992,2,0,,$720000
93,Reggie Gilbert\GilbRe01,26,LOLB,11,5,261,6-3,Arizona,4/1/1993,2,3,,
57,Nigel Harris\HarrNi00,25,,1,0,225,6-2,South Florida,12/7/1994,2,0,,$570000
22,Derrick Henry*\HenrDe00,25,RB,15,15,247,6-3,Alabama,1/4/1994,3,12,Tennessee Titans / 2nd / 45th pick / 2016,$1187445
16,Cody Hollister\HollCo00,26,,5,0,209,6-4,Arkansas,11/18/1993,Rook,0,,$495000
37,Amani Hooker\HookAm00,21,,16,0,210,5-11,Iowa,6/14/1998,Rook,1,Tennessee Titans / 4th / 116th pick / 2019,$495000
10,Adam Humphries\HumpAd00,26,,12,3,195,5-11,Clemson,6/24/1993,4,3,,$2000000
96,Joey Ivie\IvieJo00,24,,3,0,301,6-3,Florida,1/22/1995,1,0,Dallas Cowboys / 7th / 228th pick / 2017,
25,Adoree' Jackson\JackAd00,24,RCB,11,10,185,5-11,USC,9/18/1995,2,4,Tennessee Titans / 1st / 18th pick / 2017,$1490708
15,Darius Jennings\JennDa00,27,,8,0,180,5-10,Virginia,6/28/1992,4,0,,$720000
94,Austin Johnson\JohnAu01,25,,16,1,314,6-4,Penn St.,5/8/1994,3,2,Tennessee Titans / 2nd / 43rd pick / 2016,$1222122
60,Ben Jones\JoneBe01,30,C,15,15,308,6-3,Georgia,7/2/1989,7,7,Houston Texans / 4th / 99th pick / 2012,$4500000
90,DaQuan Jones\JoneDa04,28,NT,16,16,322,6-4,Penn St.,12/27/1991,5,8,Tennessee Titans / 4th / 112th pick / 2014,$6000000
7,Greg Joseph\JoseGr00,25,,2,0,208,6-0,Florida Atlantic,8/4/1994,1,0,,
46,Joshua Kalu\KaluJo00,24,,8,0,203,6-0,Nebraska,8/28/1995,1,0,,$570000
71,Dennis Kelly\KellDe00,29,,15,4,321,6-8,Purdue,1/16/1990,7,3,Philadelphia Eagles / 5th / 153rd pick / 2012,$1350000
6,Brett Kern*+\KernBr20,33,,16,0,214,6-2,Toledo,2/17/1986,11,3,,$1800000
58,Harold Landry\LandHa00,23,ROLB,16,16,252,6-2,Boston Col.,6/5/1996,1,9,Tennessee Titans / 2nd / 41st pick / 2018,$786077
77,Taylor Lewan\LewaTa00,28,LT,12,12,309,6-7,Michigan,7/22/1991,5,7,Tennessee Titans / 1st / 11th pick / 2014,$14500000
33,Dion Lewis\LewiDi00,29,,16,1,195,5-8,Pittsburgh,9/27/1990,8,3,Philadelphia Eagles / 5th / 149th pick / 2011,$4000000
51,David Long\LongDa04,23,,14,0,225,5-11,West Virginia,10/12/1996,Rook,1,Tennessee Titans / 6th / 188th pick / 2019,$495000
97,Isaiah Mack\MackIs00,23,,13,1,299,6-1,Chattanooga,3/19/1996,Rook,2,,$495000
8,Marcus Mariota\MariMa01,26,qb,7,6,222,6-4,Oregon,10/30/1993,4,5,Tennessee Titans / 1st / 2nd pick / 2015,$20922000
30,Christopher Milton\MiltCh00,27,,6,0,190,5-11,Georgia Tech,9/15/1992,3,0,,
20,Kareem Orr\OrrxKa00,22,,2,0,195,5-11,Arizona St.Chattanooga,1/2/1997,Rook,0,,
3,Cody Parkey\ParkCo03,27,,3,0,190,6-0,Auburn,2/19/1992,5,1,,
85,MyCole Pruitt\PruiMy00,27,TE,16,10,245,6-2,Southern Illinois,3/24/1992,4,1,Minnesota Vikings / 5th / 143rd pick / 2015,$720000
72,David Quessenberry\QuesDa00,29,,4,0,310,6-5,San Jose St.,8/24/1990,6,0,Houston Texans / 6th / 176th pick / 2013,$495000
14,Kalif Raymond\RaymKa00,25,,8,1,182,5-8,Holy Cross,8/8/1994,3,1,,$645000
50,Derick Roberson\RobeDe01,24,,3,0,250,6-3,Sam Houston St.,11/15/1995,Rook,1,,
26,Logan Ryan\RyanLo00,28,CB,16,16,195,5-11,Rutgers,2/9/1991,6,7,New England Patriots / 3rd / 83rd pick / 2013,$9500000
76,Rodger Saffold\SaffRo20,31,LG,16,16,323,6-5,Indiana,6/6/1988,9,8,St. Louis Rams / 2nd / 33rd pick / 2010,$3500000
7,Cairo Santos\SantCa01,28,,5,0,160,5-8,Tulane,11/12/1991,5,0,,
3,Ryan Santoso\SantRy00,24,,3,0,258,6-5,Minnesota,8/26/1995,Rook,0,,
19,Tajae Sharpe\SharTa00,25,WR,15,6,194,6-2,Massachusetts,12/23/1994,3,3,Tennessee Titans / 5th / 140th pick / 2016,$2025000
98,Jeffery Simmons\SimmJe01,22,LDE,9,7,301,6-4,Mississippi St.,7/28/1997,Rook,4,Tennessee Titans / 1st / 19th pick / 2019,$495000
36,LeShaun Sims\SimsLe00,26,,14,2,203,6-0,Southern Utah,9/18/1993,3,2,Tennessee Titans / 5th / 157th pick / 2016,$720000
81,Jonnu Smith\SmitJo01,24,TE,16,14,248,6-3,Florida International,8/22/1995,2,4,Tennessee Titans / 3rd / 100th pick / 2017,$669000
45,Rod Smith\SmitRo06,27,,3,0,235,6-3,Ohio St.,1/10/1992,4,0,,
23,Tye Smith\SmitTy01,26,,9,3,195,6-0,Towson,5/3/1993,4,1,Seattle Seahawks / 5th / 170th pick / 2015,
61,Aaron Stinnie\StinAa00,25,,3,0,312,6-3,James Madison,2/18/1994,1,0,,$570000
4,Ryan Succop\SuccRy44,33,,6,0,218,6-2,South Carolina,9/19/1986,10,-1,Kansas City Chiefs / 7th / 256th pick / 2009,$2500000
17,Ryan Tannehill*\TannRy00,31,QB,12,10,207,6-4,Texas A&M,7/27/1988,7,11,Miami Dolphins / 1st / 8th pick / 2012,$1750000
96,Brent Urban\UrbaBr00,28,,4,0,300,6-7,Virginia,5/5/1991,5,0,Baltimore Ravens / 4th / 134th pick / 2014,$850000
24,Kenny Vaccaro\VaccKe00,28,SS,16,16,214,6-0,Texas,2/15/1991,6,6,New Orleans Saints / 1st / 15th pick / 2013,$1250000
91,Cameron Wake\WakeCa00,37,,9,0,263,6-3,Penn St.,1/30/1982,10,1,,$3250000
82,Delanie Walker\WalkHu00,35,,7,4,248,6-2,Central Missouri St.,8/12/1984,13,2,San Francisco 49ers / 6th / 175th pick / 2006,$4080000
59,Wesley Woodyard\WoodWe20,33,,15,2,233,6-0,Kentucky,7/21/1986,11,2,,$2950000
