No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
93,Jonathan Allen\AlleJo01,25,RDT,16,16,300,6-3,Alabama,1/16/1995,3,10,Washington Redskins / 1st / 17th pick / 2017,$2046324
8,Kyle Allen\AlleKy00,24,,4,4,210,6-3,Texas A&MHouston,3/8/1996,2,1,,$675000
52,Ryan Anderson\AndeRy00,26,,9,0,255,6-2,Alabama,8/12/1994,3,1,Washington Redskins / 2nd / 49th pick / 2017,$1191099
30,Troy Apke\ApkeTr00,25,FS,16,7,205,6-1,Penn St.,4/11/1995,2,4,Washington Redskins / 4th / 109th pick / 2018,$750000
84,Jeff Badet\BadeJe00,26,,3,0,182,5-11,Oklahoma,8/2/1994,Rook,0,,$352941
34,Peyton Barber\BarbPe01,26,,16,2,225,5-11,Auburn,6/27/1994,4,1,,$910000
,Marcus Baugh\BaugMa02,26,,8,1,245,6-4,Ohio St.,12/9/1994,Rook,0,,$610000
53,Jonathan Bostic\BostJo00,29,MLB,16,15,245,6-1,Florida,5/5/1991,7,9,Chicago Bears / 2nd / 50th pick / 2013,$960000
12,Tony Brown\BrowTo03,23,,1,0,195,6-1,Colorado,8/8/1997,Rook,0,,
77,Saahdiq Charles\CharSa00,21,,1,1,321,6-4,LSU,7/26/1999,Rook,0,Washington Football Team / 4th / 108th pick / 2020,$474116
74,Geron Christian\ChriGe01,24,lt,6,6,315,6-6,Louisville,9/10/1996,2,2,Washington Redskins / 3rd / 74th pick / 2018,$779000
26,Landon Collins\CollLa00,26,ss,7,7,218,6-0,Alabama,1/10/1994,5,4,New York Giants / 2nd / 33rd pick / 2015,$10000000
31,Kamren Curl\CurlKa00,21,SS,16,11,206,6-1,Arkansas,3/3/1999,Rook,7,Washington Football Team / 7th / 216th pick / 2020,$610000
23,Ronald Darby\DarbRo00,26,RCB,16,16,193,5-11,Florida St.,1/2/1994,5,7,Buffalo Bills / 2nd / 50th pick / 2015,$1250000
58,Thomas Davis\DaviTh20,37,,7,0,235,6-1,Georgia,3/22/1983,15,0,Carolina Panthers / 1st / 14th pick / 2005,$1500000
22,Deshazor Everett\EverDe01,28,fs,11,6,203,6-0,Texas A&M,2/22/1992,5,3,,$1035000
19,Robert Foster\FostRo01,26,,4,2,196,6-2,Alabama,5/7/1994,2,0,,$485294
29,Kendall Fuller\FullKe00,25,LCB,14,14,198,5-11,Virginia Tech,2/13/1995,4,7,Washington Redskins / 3rd / 84th pick / 2016,$1000000
10,Antonio Gandy-Golden\GandAn00,22,,6,2,223,6-4,Liberty,4/11/1998,Rook,0,Washington Football Team / 4th / 142nd pick / 2020,$474116
63,Joshua Garnett\GarnJo00,26,,3,0,305,6-5,Stanford,2/21/1994,4,0,San Francisco 49ers / 1st / 28th pick / 2016,$695882
24,Antonio Gibson\GibsAn00,22,RB,14,10,220,6-0,Memphis,6/23/1998,Rook,5,Washington Football Team / 3rd / 66th pick / 2020,$610000
51,Shaun Dion Hamilton\DionSh00,25,,14,3,235,6-0,Alabama,9/11/1995,2,3,Washington Redskins / 6th / 197th pick / 2018,$750000
7,Dwayne Haskins\HaskDw00,23,qb,7,6,230,6-4,Ohio St.,5/3/1997,1,0,Washington Redskins / 1st / 15th pick / 2019,$1150301
4,Taylor Heinicke\HeinTa00,27,,1,0,210,6-1,Old Dominion,3/15/1993,3,0,,
88,Temarrick Hemingway\HemiTe00,27,,8,0,245,6-5,South Carolina St.,7/30/1993,4,0,Los Angeles Rams / 6th / 177th pick / 2016,$485294
55,Cole Holcomb\HolcCo00,24,LLB,11,10,240,6-1,North Carolina,7/30/1996,1,6,Washington Redskins / 5th / 173rd pick / 2019,$675000
3,Dustin Hopkins\HopkDu00,30,,16,0,205,6-2,Florida St.,10/1/1990,7,2,Buffalo Bills / 6th / 177th pick / 2013,$2400000
47,Khaleke Hudson\HudsKh00,23,,16,2,224,5-11,Michigan,12/6/1997,Rook,2,Washington Football Team / 5th / 162nd pick / 2020,$610000
80,Dontrelle Inman\InmaDo00,31,,10,2,205,6-3,Virginia,1/31/1989,6,1,,$910000
98,Matthew Ioannidis\IoanMa01,26,,3,0,310,6-3,Temple,1/11/1994,4,1,Washington Redskins / 5th / 152nd pick / 2016,$4200000
60,Keith Ismael\IsmaKe00,22,,8,0,309,6-3,San Diego St.,7/25/1998,Rook,0,Washington Football Team / 5th / 156th pick / 2020,$610000
32,Danny Johnson\JohnDa09,25,,14,0,190,5-9,Southern,11/17/1995,2,0,,$750000
48,Mychal Kendricks\KendMy00,30,,1,0,240,5-11,California,9/28/1990,8,0,Philadelphia Eagles / 2nd / 46th pick / 2012,
91,Ryan Kerrigan\KerrRy00,32,,16,1,265,6-4,Purdue,8/16/1988,9,3,Washington Redskins / 1st / 16th pick / 2011,$11500000
59,Jordan Kunaszyk\KunaJo00,24,,6,0,235,6-3,California,10/15/1996,1,1,,
92,Devaroe Lawrence\LawrDe02,28,,1,0,295,6-2,Auburn,10/13/1992,2,0,,
38,Javon Leake\LeakJa01,22,,1,0,206,6-0,Maryland,8/1/1998,Rook,0,,
78,Cornelius Lucas\LucaCo01,29,LT,14,8,327,6-8,Kansas St.,7/18/1991,6,3,,$910000
46,Cole Luke\LukeCo00,25,,5,0,200,5-11,Notre Dame,6/30/1995,2,0,,
67,Wes Martin\MartWe00,24,lg,16,5,315,6-3,Indiana,5/9/1996,1,3,Washington Redskins / 4th / 131st pick / 2019,$675000
41,J.D. McKissic\McKiJ.00,27,rb,16,7,195,5-10,Arkansas St.,8/15/1993,4,5,,$950000
17,Terry McLaurin\McLaTe00,25,WR,15,15,210,6-0,Ohio St.,9/15/1995,1,7,Washington Redskins / 3rd / 76th pick / 2019,$681451
25,Fabian Moreau\MoreFa00,26,,16,1,204,6-0,UCLA,4/9/1994,3,2,Washington Redskins / 3rd / 81st pick / 2017,$2133000
20,Jimmy Moreland\MoreJi00,25,db,16,5,182,5-11,James Madison,8/26/1995,1,3,Washington Redskins / 7th / 227th pick / 2019,$675000
76,Morgan Moses\MoseMo00,29,RT,16,16,330,6-6,Virginia,3/3/1991,6,6,Washington Redskins / 3rd / 66th pick / 2014,$6500000
50,Jared Norris\NorrJa00,27,,11,0,238,6-1,Utah,7/19/1993,4,1,,$679412
59,Nate Orchard\OrchNa00,27,,3,0,251,6-3,Utah,1/5/1993,5,0,Cleveland Browns / 2nd / 51st pick / 2015,$749412
94,Daron Payne\PaynDa00,23,LDT,16,16,320,6-3,Alabama,5/27/1997,2,10,Washington Redskins / 1st / 13th pick / 2018,$1790760
54,Kevin Pierre-Louis\PierKe00,29,RLB,13,11,231,6-0,Boston Col.,10/7/1991,6,6,Seattle Seahawks / 4th / 132nd pick / 2014,$1150000
39,Jeremy Reaves\ReavJe00,24,,9,3,205,5-11,South Alabama,8/29/1996,2,2,,$397059
73,Chase Roullier\RoulCh00,27,C,16,16,312,6-4,Wyoming,8/23/1993,3,6,Washington Redskins / 6th / 199th pick / 2017,$2133000
75,Brandon Scherff*+\ScheBr00,29,RG,13,13,315,6-5,Iowa,12/26/1991,5,9,Washington Redskins / 1st / 5th pick / 2015,$15030000
71,Wes Schweitzer\SchwWe00,27,LG,16,13,314,6-5,San Jose St.,9/11/1993,3,5,Atlanta Falcons / 6th / 195th pick / 2016,$1000000
97,Tim Settle\SettTi00,23,,16,1,308,6-3,Virginia Tech,7/11/1997,2,3,Washington Redskins / 5th / 163rd pick / 2018,$750000
72,David Sharpe\SharDa02,25,,10,2,330,6-6,Florida,10/21/1995,3,1,Oakland Raiders / 4th / 129th pick / 2017,$2133000
89,Cam Sims\SimsCa00,24,WR,16,10,215,6-5,Alabama,1/6/1996,2,3,,$595588
15,Steven Sims\SimsSt00,23,,12,2,176,5-10,Kansas,3/31/1997,1,2,,$616176
11,Alex Smith\SmitAl03,36,QB,8,6,213,6-4,Utah,5/7/1984,15,1,San Francisco 49ers / 1st / 1st pick / 2005,$16000000
96,James Smith-Williams\SmitJa08,23,,14,0,265,6-4,North Carolina St.,7/30/1997,Rook,2,Washington Football Team / 7th / 229th pick / 2020,$610000
87,Jeremy Sprinkle\SpriJe00,26,TE,16,6,255,6-5,Arkansas,8/10/1994,3,0,Washington Redskins / 5th / 154th pick / 2017,$2133000
66,David Steinmetz\SteiDa00,25,,1,0,321,6-8,Purdue,3/1/1995,Rook,0,,
37,Greg Stroman\StroGr00,24,,4,0,182,6-0,Virginia Tech,3/8/1996,2,0,Washington Redskins / 7th / 241st pick / 2018,$498530
57,Nick Sundberg\SundNi00,33,,16,0,254,6-1,California,7/29/1987,10,1,,$1050000
90,Montez Sweat\SweaMo00,24,RDE,16,16,262,6-6,Mississippi St.,9/4/1996,1,10,Washington Redskins / 1st / 26th pick / 2019,$1024148
82,Logan Thomas\ThomLo00,29,TE,16,15,250,6-6,Virginia Tech,7/1/1991,6,4,Arizona Cardinals / 4th / 120th pick / 2014,$1250000
95,Casey Toohill\ToohCa00,24,,8,0,250,6-4,Stanford,8/22/1996,Rook,1,Philadelphia Eagles / 7th / 233rd pick / 2020,$430584
40,Michael Warren\WarrMi01,22,,1,0,224,5-11,Cincinnati,11/12/1998,Rook,0,,
5,Tress Way\WayxTr00,30,,16,0,220,6-1,Oklahoma,4/18/1990,6,3,,$1600000
83,Isaiah Wright\WrigIs01,23,wr,14,6,220,6-2,Temple,1/13/1997,Rook,1,,$610000
99,Chase Young*\YounCh04,21,LDE,15,15,264,0-0,Ohio St.,4/14/1999,Rook,14,Washington Football Team / 1st / 2nd pick / 2020,$610000
