,Int,IntYds,IntAvg,IntLong,IntTd,Solo,Ast,Tot,Sack,SackYds,SId,TId,PId,Player
0,0,0,0.00,0,0,6,8,0.0,0.0,0,S2,T1,P1,/players/zach-allen-allenza02
1,0,0,0.00,0,0,20,35,2.0,18.0,3,S1,T1,P1,/players/zach-allen-allenza02
0,0,0,0.00,0,0,58,74,1.0,7.0,--,S4,T1,P3,/players/budda-baker-bakerbu02
1,0,0,0.00,0,0,78,102,2.0,20.5,--,S3,T1,P3,/players/budda-baker-bakerbu02
2,0,0,0.00,0,0,104,147,0.5,4.0,6,S2,T1,P3,/players/budda-baker-bakerbu02
3,2,90,45.00,90,0,90,118,2.0,23.0,6,S1,T1,P3,/players/budda-baker-bakerbu02
0,0,0,0.00,0,0,2,2,0.0,0.0,--,S5,T12,P4,/players/chris-banjo-banjoch01
1,1,0,0.00,0,0,10,12,0.0,0.0,--,S4,T20,P4,/players/chris-banjo-banjoch01
2,2,0,0.00,0,0,8,10,0.0,0.0,--,S3,T20,P4,/players/chris-banjo-banjoch01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T20,P4,/players/chris-banjo-banjoch01
4,0,0,0.00,0,0,34,48,0.0,0.0,1,S1,T1,P4,/players/chris-banjo-banjoch01
0,0,0,0.00,0,0,11,12,0.0,0.0,--,S5,T6,P5,/players/devante-bausby-bausbde01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T16,P5,/players/devante-bausby-bausbde01
2,0,0,0.00,0,0,12,14,0.0,0.0,--,S3,T24,P5,/players/devante-bausby-bausbde01
3,0,0,0.00,0,0,1,1,0.0,0.0,0,S1,T1,P5,/players/devante-bausby-bausbde01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S4,T13,P6,/players/evan-baylis-bayliev01
1,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T5,P6,/players/evan-baylis-bayliev01
2,0,0,0.00,0,0,3,3,0.0,0.0,0,S2,T12,P6,/players/evan-baylis-bayliev01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P6,/players/evan-baylis-bayliev01
0,0,0,0.00,0,0,0,0,0.0,0.0,--,S5,T15,P7,/players/kelvin-beachum-beachke01
1,0,0,0.00,0,0,1,1,0.0,0.0,--,S4,T22,P7,/players/kelvin-beachum-beachke01
2,0,0,0.00,0,0,0,0,0.0,0.0,--,S3,T22,P7,/players/kelvin-beachum-beachke01
3,0,0,0.00,0,0,0,0,0.0,0.0,0,S2,T22,P7,/players/kelvin-beachum-beachke01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P7,/players/kelvin-beachum-beachke01
0,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P8,/players/eno-benjamin-benjaen01
0,0,0,0.00,0,0,4,9,0.0,0.0,--,S5,T31,P9,/players/angelo-blackson-blackan01
1,0,0,0.00,0,0,8,9,0.0,0.0,--,S4,T13,P9,/players/angelo-blackson-blackan01
2,0,0,0.00,0,0,18,24,1.0,7.0,--,S3,T13,P9,/players/angelo-blackson-blackan01
3,0,0,0.00,0,0,11,20,0.0,0.0,0,S2,T13,P9,/players/angelo-blackson-blackan01
4,0,0,0.00,0,0,15,24,2.5,15.5,0,S1,T1,P9,/players/angelo-blackson-blackan01
0,0,0,0.00,0,0,2,2,0.0,0.0,--,S5,T1,P10,/players/aaron-brewer-breweaa01
1,0,0,0.00,0,0,1,2,0.0,0.0,--,S4,T1,P10,/players/aaron-brewer-breweaa01
2,0,0,0.00,0,0,1,1,0.0,0.0,--,S3,T1,P10,/players/aaron-brewer-breweaa01
3,0,0,0.00,0,0,1,2,0.0,0.0,0,S2,T1,P10,/players/aaron-brewer-breweaa01
4,0,0,0.00,0,0,0,0,0.0,0.0,0,S1,T1,P10,/players/aaron-brewer-breweaa01
0,1,7,7.00,7,0,35,48,0.0,0.0,--,S5,T2,P11,/players/devondre-campbell-campbde02
1,0,0,0.00,0,0,61,92,2.0,15.0,--,S4,T2,P11,/players/devondre-campbell-campbde02
2,0,0,0.00,0,0,63,94,1.5,13.5,--,S3,T2,P11,/players/devondre-campbell-campbde02
3,2,-5,-2.50,0,0,75,129,2.0,18.0,5,S2,T2,P11,/players/devondre-campbell-campbde02
