,Num,Yds,Avg,Long,TB,In20,50+,Blk,SId,TId,PId,Player
0,1,16,16.0,16,0,0,--,0,S4,T8,P27,/players/zane-gonzalez-gonzaza01
1,0,0,0.0,0,0,0,--,0,S3,T8,P27,/players/zane-gonzalez-gonzaza01
2,2,84,42.0,44,0,0,0,0,S2,T1,P27,/players/zane-gonzalez-gonzaza01
3,0,0,0.0,0,0,0,0,0,S1,T1,P27,/players/zane-gonzalez-gonzaza01
0,0,0,0.0,0,0,0,--,0,S5,T12,P31,/players/brett-hundley-hundlbr01
1,0,0,0.0,0,0,0,--,0,S4,T12,P31,/players/brett-hundley-hundlbr01
2,0,0,0.0,0,0,0,--,0,S3,T12,P31,/players/brett-hundley-hundlbr01
3,0,0,0.0,0,0,0,0,0,S2,T1,P31,/players/brett-hundley-hundlbr01
4,0,0,0.0,0,0,0,0,0,S1,T1,P31,/players/brett-hundley-hundlbr01
0,36,"1,769",49.1,76,4,18,--,0,S5,T5,P42,/players/andy-lee-leean01
1,88,"4,159",47.3,63,8,29,--,0,S4,T1,P42,/players/andy-lee-leean01
2,94,"4,568",48.6,64,7,32,--,0,S3,T1,P42,/players/andy-lee-leean01
3,61,"2,913",47.8,64,4,21,31,1,S2,T1,P42,/players/andy-lee-leean01
4,58,"2,600",44.8,61,5,21,19,0,S1,T1,P42,/players/andy-lee-leean01
0,0,0,0.0,0,0,0,--,0,S5,T7,P49,/players/mike-nugent-nugenmi01
1,0,0,0.0,0,0,0,--,0,S4,T21,P49,/players/mike-nugent-nugenmi01
2,0,0,0.0,0,0,0,--,0,S3,T23,P49,/players/mike-nugent-nugenmi01
3,0,0,0.0,0,0,0,0,0,S2,T19,P49,/players/mike-nugent-nugenmi01
4,0,0,0.0,0,0,0,0,0,S1,T1,P49,/players/mike-nugent-nugenmi01
0,56,"2,381",42.5,57,2,17,11,0,S1,T2,P98,/players/sterling-hofrichter-hofrist01
0,45,"2,082",46.3,67,3,21,15,0,S1,T5,P149,/players/joseph-charlton-charljo02
0,0,0,0.0,0,0,0,0,0,S2,T5,P157,/players/will-grier-grierwi01
1,0,0,0.0,0,0,0,0,0,S1,T5,P157,/players/will-grier-grierwi01
0,0,0,0.0,0,0,0,--,0,S3,T5,P177,/players/dj-moore-mooredj02
1,0,0,0.0,0,0,0,0,0,S2,T5,P177,/players/dj-moore-mooredj02
2,0,0,0.0,0,0,0,0,0,S1,T5,P177,/players/dj-moore-mooredj02
0,0,0,0.0,0,0,0,--,0,S5,T16,P208,/players/tyler-bray-brayty01
1,0,0,0.0,0,0,0,--,0,S4,T16,P208,/players/tyler-bray-brayty01
2,0,0,0.0,0,0,0,--,0,S3,T6,P208,/players/tyler-bray-brayty01
3,0,0,0.0,0,0,0,0,0,S2,T6,P208,/players/tyler-bray-brayty01
4,0,0,0.0,0,0,0,0,0,S1,T6,P208,/players/tyler-bray-brayty01
0,68,"2,994",44.0,67,5,24,--,0,S5,T6,P249,/players/pat-odonnell-odonnpa01
1,87,"4,087",47.0,69,6,27,--,0,S4,T6,P249,/players/pat-odonnell-odonnpa01
2,62,"2,791",45.0,65,7,28,--,1,S3,T6,P249,/players/pat-odonnell-odonnpa01
3,80,"3,586",44.8,75,2,26,21,1,S2,T6,P249,/players/pat-odonnell-odonnpa01
4,64,"2,924",45.7,64,5,28,22,0,S1,T6,P249,/players/pat-odonnell-odonnpa01
0,0,0,0.0,0,0,0,--,0,S5,T16,P256,/players/cairo-santos-santoca01
1,0,0,0.0,0,0,0,--,0,S4,T16,P256,/players/cairo-santos-santoca01
2,0,0,0.0,0,0,0,--,0,S3,T29,P256,/players/cairo-santos-santoca01
3,0,0,0.0,0,0,0,0,0,S2,T30,P256,/players/cairo-santos-santoca01
4,0,0,0.0,0,0,0,0,0,S1,T6,P256,/players/cairo-santos-santoca01
0,0,0,0.0,0,0,0,--,0,S5,T7,P285,/players/andy-dalton-daltoan02
1,0,0,0.0,0,0,0,--,0,S4,T7,P285,/players/andy-dalton-daltoan02
2,0,0,0.0,0,0,0,--,0,S3,T7,P285,/players/andy-dalton-daltoan02
3,0,0,0.0,0,0,0,0,0,S2,T7,P285,/players/andy-dalton-daltoan02
4,0,0,0.0,0,0,0,0,0,S1,T9,P285,/players/andy-dalton-daltoan02
0,0,0,0.0,0,0,0,0,0,S1,T9,P287,/players/ben-dinucci-dinucbe01
0,0,0,0.0,0,0,0,--,0,S4,T5,P294,/players/garrett-gilbert-gilbega02
1,0,0,0.0,0,0,0,--,0,S3,T5,P294,/players/garrett-gilbert-gilbega02
2,0,0,0.0,0,0,0,0,0,S1,T9,P294,/players/garrett-gilbert-gilbega02
0,58,"2,661",45.9,66,4,25,--,1,S5,T9,P302,/players/chris-jones-jonesch08
1,66,"2,908",44.1,62,5,34,--,0,S4,T9,P302,/players/chris-jones-jonesch08
2,60,"2,670",44.5,63,2,17,--,0,S3,T9,P302,/players/chris-jones-jonesch08
3,50,"2,079",41.6,58,2,18,7,1,S2,T9,P302,/players/chris-jones-jonesch08
4,24,"1,022",42.6,54,1,5,2,0,S1,T9,P302,/players/chris-jones-jonesch08
0,0,0,0.0,0,0,0,0,0,S2,T16,P363,/players/jack-fox-foxja02
1,59,"2,897",49.1,67,7,26,33,0,S1,T11,P363,/players/jack-fox-foxja02
0,0,0,0.0,0,0,0,--,0,S5,T11,P396,/players/matt-prater-pratema01
1,4,139,34.8,47,0,1,--,0,S4,T11,P396,/players/matt-prater-pratema01
2,0,0,0.0,0,0,0,--,0,S3,T11,P396,/players/matt-prater-pratema01
3,0,0,0.0,0,0,0,0,0,S2,T11,P396,/players/matt-prater-pratema01
4,0,0,0.0,0,0,0,0,0,S1,T11,P396,/players/matt-prater-pratema01
0,0,0,0.0,0,0,0,--,0,S5,T2,P402,/players/mohamed-sanu-sanumo01
1,0,0,0.0,0,0,0,--,0,S4,T2,P402,/players/mohamed-sanu-sanumo01
2,0,0,0.0,0,0,0,--,0,S3,T2,P402,/players/mohamed-sanu-sanumo01
3,0,0,0.0,0,0,0,0,0,S2,T2,P402,/players/mohamed-sanu-sanumo01
4,0,0,0.0,0,0,0,0,0,S1,T27,P402,/players/mohamed-sanu-sanumo01
0,0,0,0.0,0,0,0,0,0,S2,T11,P409,/players/jahlani-tavai-tavaija01
1,0,0,0.0,0,0,0,0,0,S1,T11,P409,/players/jahlani-tavai-tavaija01
0,0,0,0.0,0,0,0,--,0,S5,T12,P432,/players/mason-crosby-crosbma01
1,0,0,0.0,0,0,0,--,0,S4,T12,P432,/players/mason-crosby-crosbma01
2,0,0,0.0,0,0,0,--,0,S3,T12,P432,/players/mason-crosby-crosbma01
3,0,0,0.0,0,0,0,0,0,S2,T12,P432,/players/mason-crosby-crosbma01
4,0,0,0.0,0,0,0,0,0,S1,T12,P432,/players/mason-crosby-crosbma01
0,0,0,0.0,0,0,0,0,0,S2,T16,P455,/players/john-lovett-lovetjo02
1,0,0,0.0,0,0,0,0,0,S1,T12,P455,/players/john-lovett-lovetjo02
0,71,"3,176",44.7,67,9,19,--,1,S3,T12,P470,/players/jk-scott-scottjk01
1,77,"3,386",44.0,66,4,29,22,0,S2,T12,P470,/players/jk-scott-scottjk01
2,46,"2,092",45.5,62,3,15,15,1,S1,T12,P470,/players/jk-scott-scottjk01
0,0,0,0.0,0,0,0,--,0,S5,T18,P506,/players/kai-forbath-forbaka01
1,0,0,0.0,0,0,0,--,0,S4,T18,P506,/players/kai-forbath-forbaka01
2,0,0,0.0,0,0,0,--,0,S3,T18,P506,/players/kai-forbath-forbaka01
3,0,0,0.0,0,0,0,0,0,S2,T19,P506,/players/kai-forbath-forbaka01
4,0,0,0.0,0,0,0,0,0,S1,T29,P506,/players/kai-forbath-forbaka01
0,0,0,0.0,0,0,0,--,0,S5,T29,P512,/players/jared-goff-goffja01
1,0,0,0.0,0,0,0,--,0,S4,T29,P512,/players/jared-goff-goffja01
2,0,0,0.0,0,0,0,--,0,S3,T29,P512,/players/jared-goff-goffja01
3,0,0,0.0,0,0,0,0,0,S2,T29,P512,/players/jared-goff-goffja01
4,0,0,0.0,0,0,0,0,0,S1,T29,P512,/players/jared-goff-goffja01
0,98,"4,680",47.8,78,1,51,--,0,S5,T29,P514,/players/johnny-hekker-hekkejo01
1,65,"3,113",47.9,70,4,30,--,0,S4,T29,P514,/players/johnny-hekker-hekkejo01
2,43,"1,992",46.3,68,2,21,--,0,S3,T29,P514,/players/johnny-hekker-hekkejo01
3,66,"3,128",47.4,71,5,22,27,1,S2,T29,P514,/players/johnny-hekker-hekkejo01
4,68,"3,099",45.6,63,5,28,19,1,S1,T29,P514,/players/johnny-hekker-hekkejo01
0,0,0,0.0,0,0,0,--,0,S5,T9,P555,/players/dan-bailey-baileda04
1,0,0,0.0,0,0,0,--,0,S4,T9,P555,/players/dan-bailey-baileda04
2,0,0,0.0,0,0,0,--,0,S3,T9,P555,/players/dan-bailey-baileda04
3,0,0,0.0,0,0,0,0,0,S2,T18,P555,/players/dan-bailey-baileda04
4,0,0,0.0,0,0,0,0,0,S1,T18,P555,/players/dan-bailey-baileda04
0,83,"3,761",45.3,65,2,22,--,0,S5,T8,P565,/players/britton-colquitt-colqubr01
1,80,"3,811",47.6,67,2,24,--,1,S4,T8,P565,/players/britton-colquitt-colqubr01
2,83,"3,767",45.4,79,6,32,--,2,S3,T8,P565,/players/britton-colquitt-colqubr01
3,0,0,0.0,0,0,0,0,0,S2,T8,P565,/players/britton-colquitt-colqubr01
4,54,"2,435",45.1,59,3,11,16,2,S1,T18,P565,/players/britton-colquitt-colqubr01
0,0,0,0.0,0,0,0,--,0,S4,T12,P653,/players/taysom-hill-hillta01
1,0,0,0.0,0,0,0,--,0,S3,T20,P653,/players/taysom-hill-hillta01
2,0,0,0.0,0,0,0,0,0,S2,T20,P653,/players/taysom-hill-hillta01
3,0,0,0.0,0,0,0,0,0,S1,T20,P653,/players/taysom-hill-hillta01
0,0,0,0.0,0,0,0,--,0,S5,T3,P666,/players/wil-lutz-lutzwi01
1,0,0,0.0,0,0,0,--,0,S4,T20,P666,/players/wil-lutz-lutzwi01
2,0,0,0.0,0,0,0,--,0,S3,T20,P666,/players/wil-lutz-lutzwi01
3,0,0,0.0,0,0,0,0,0,S2,T20,P666,/players/wil-lutz-lutzwi01
4,0,0,0.0,0,0,0,0,0,S1,T20,P666,/players/wil-lutz-lutzwi01
0,57,"2,751",48.3,66,5,22,--,0,S5,T20,P669,/players/thomas-morstead-morstth01
1,60,"2,822",47.0,68,2,26,--,0,S4,T20,P669,/players/thomas-morstead-morstth01
2,43,"1,996",46.4,60,4,15,--,0,S3,T20,P669,/players/thomas-morstead-morstth01
3,60,"2,770",46.2,64,1,29,23,0,S2,T20,P669,/players/thomas-morstead-morstth01
4,62,"2,674",43.1,58,2,23,12,0,S1,T20,P669,/players/thomas-morstead-morstth01
0,89,"4,068",45.7,68,6,28,--,0,S5,T10,P705,/players/riley-dixon-dixonri03
1,73,"3,331",45.6,60,3,23,--,2,S4,T10,P705,/players/riley-dixon-dixonri03
2,71,"3,226",45.4,60,4,20,--,0,S3,T21,P705,/players/riley-dixon-dixonri03
3,69,"3,178",46.1,62,2,29,23,2,S2,T21,P705,/players/riley-dixon-dixonri03
4,65,"2,911",44.8,71,6,28,20,1,S1,T21,P705,/players/riley-dixon-dixonri03
0,4,180,45.0,54,2,0,--,0,S5,T5,P713,/players/graham-gano-ganogr01
1,0,0,0.0,0,0,0,--,0,S4,T5,P713,/players/graham-gano-ganogr01
2,0,0,0.0,0,0,0,--,0,S3,T5,P713,/players/graham-gano-ganogr01
3,0,0,0.0,0,0,0,0,0,S1,T21,P713,/players/graham-gano-ganogr01
0,0,0,0.0,0,0,0,0,0,S2,T21,P723,/players/daniel-jones-jonesda20
1,0,0,0.0,0,0,0,0,0,S1,T21,P723,/players/daniel-jones-jonesda20
0,0,0,0.0,0,0,0,--,0,S5,T32,P734,/players/colt-mccoy-mccoyco01
