No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Zach Allen\AlleZa01,22,,4,1,281,6-4,Boston Col.,8/20/1997,Rook,1,Arizona Cardinals / 3rd / 65th pick / 2019,$495000
82,Dan Arnold\ArnoDa00,24,,3,1,220,6-6,Wisconsin–Platteville,3/15/1995,1,1,,
32,Budda Baker*\BakeBu00,23,FS,16,16,195,5-10,Washington,1/10/1996,2,7,Arizona Cardinals / 2nd / 36th pick / 2017,$1085910
38,Chris Banjo\BanjCh00,29,,13,0,207,5-10,SMU,2/26/1990,6,1,,
44,Keishawn Bierria\BierKe00,24,,1,0,223,6-1,Washington,7/26/1995,1,0,Denver Broncos / 6th / 217th pick / 2018,
46,Aaron Brewer\BrewAa00,29,,16,0,232,6-5,San Diego St.,7/5/1990,7,1,,$930000
20,Tramaine Brock\BrocTr00,31,rcb,10,7,188,6-0,MinnesotaBelhaven,8/20/1988,9,2,,$1000000
72,Miles Brown\BrowMi01,22,,9,0,320,6-2,,9/4/1997,Rook,1,,$495000
90,Jonathan Bullard\BullJo00,26,LDE,9,6,296,6-3,Florida,10/22/1993,3,2,Chicago Bears / 3rd / 72nd pick / 2016,
14,Damiere Byrd\ByrdDa00,26,,11,3,180,5-9,South Carolina,1/27/1993,3,3,,$720000
85,Charles Clay\ClayCh00,30,TE,15,10,246,6-3,Tulsa,2/13/1989,8,2,Miami Dolphins / 6th / 174th pick / 2011,$1150000
52,Mason Cole\ColeMa02,23,,16,2,292,6-5,Michigan,3/28/1996,1,2,Arizona Cardinals / 3rd / 97th pick / 2018,$570000
12,Pharoh Cooper\CoopPh00,24,,12,1,208,5-11,South Carolina,3/7/1995,3,2,Los Angeles Rams / 4th / 117th pick / 2016,$720000
15,Michael Crabtree\CrabMi00,32,,2,1,215,6-1,Texas Tech,9/14/1987,10,0,San Francisco 49ers / 1st / 10th pick / 2009,
81,Darrell Daniels\DaniDa02,25,,11,0,256,6-3,Washington,11/22/1994,2,0,,$645000
30,Jalen Davis\DaviJa06,23,,2,0,185,5-10,Utah St.,2/2/1996,1,0,,
91,Michael Dogbe\DogbMi00,23,,8,0,284,6-3,Temple,5/5/1996,Rook,0,Arizona Cardinals / 7th / 249th pick / 2019,$495000
41,Kenyan Drake\DrakKe00,25,RB,8,8,211,6-1,Alabama,1/26/1994,3,6,Miami Dolphins / 3rd / 73rd pick / 2016,
29,Chase Edmonds\EdmoCh00,23,,13,2,210,5-9,Fordham,4/13/1996,1,3,Arizona Cardinals / 4th / 134th pick / 2018,$570000
49,Kylie Fitts\FittKy00,25,,3,0,261,6-3,UCLAUtah,10/11/1994,1,0,Chicago Bears / 6th / 181st pick / 2018,
11,Larry Fitzgerald\FitzLa00,36,WR,16,16,218,6-3,Pittsburgh,8/31/1983,15,7,Arizona Cardinals / 1st / 3rd pick / 2004,$11000000
37,D.J. Foster\FostD.01,26,,6,0,205,6-0,Arizona St.,11/22/1993,3,0,,$645000
73,Max Garcia\GarcMa00,28,,7,0,309,6-4,Florida,11/9/1991,4,1,Denver Broncos / 4th / 133rd pick / 2015,$1100000
42,Dennis Gardeck\GardDe01,25,,14,0,232,6-0,Sioux Falls,8/9/1994,1,1,,$570000
5,Zane Gonzalez\GonzZa00,24,,16,0,202,6-0,Arizona St.,5/7/1995,2,4,Cleveland Browns / 7th / 224th pick / 2017,$645000
95,Rodney Gunter\GuntRo00,27,DE,13,13,305,6-5,Delaware St.,1/19/1992,4,5,Arizona Cardinals / 4th / 116th pick / 2015,$1000000
58,Jordan Hicks\HickJo00,27,RILB,16,16,236,6-1,Texas,6/27/1992,4,7,Philadelphia Eagles / 3rd / 84th pick / 2015,$2000000
74,D.J. Humphries\HumpD.00,26,LT,16,16,307,6-5,Florida,12/28/1993,3,9,Arizona Cardinals / 1st / 24th pick / 2015,$9625000
7,Brett Hundley\HundBr00,26,,3,0,226,6-3,UCLA,6/15/1993,3,0,Green Bay Packers / 5th / 147th pick / 2015,$1125000
89,Andy Isabella\IsabAn00,23,,15,1,188,5-9,Massachusetts,11/18/1996,Rook,2,Arizona Cardinals / 2nd / 62nd pick / 2019,$495000
31,David Johnson\JohnDa08,28,RB,13,9,224,6-1,Northern Iowa,12/16/1991,4,5,Arizona Cardinals / 3rd / 86th pick / 2015,$5700000
19,KeeSean Johnson\JohnKe07,23,,10,4,201,6-1,Fresno St.,10/9/1996,Rook,2,Arizona Cardinals / 6th / 174th pick / 2019,$495000
55,Chandler Jones*+\JoneCh03,29,LOLB,16,16,265,6-5,Syracuse,2/27/1990,7,12,New England Patriots / 1st / 21st pick / 2012,$16500000
25,Chris Jones\JoneCh06,24,,11,3,200,6-0,Nebraska,8/13/1995,1,1,,$570000
92,Zach Kerr\KerrZa00,29,,12,3,334,6-2,Delaware,8/29/1990,5,2,,
13,Christian Kirk\KirkCh01,23,WR,13,13,200,5-11,Texas A&M,11/18/1996,1,7,Arizona Cardinals / 2nd / 47th pick / 2018,$747948
4,Andy Lee\LeexAn20,37,,15,0,185,6-1,Pittsburgh,8/11/1982,15,3,San Francisco 49ers / 6th / 188th pick / 2004,$2000000
54,Cassius Marsh\MarsCa00,27,,16,3,254,6-4,UCLA,7/7/1992,5,2,Seattle Seahawks / 4th / 108th pick / 2014,
93,Clinton McDonald\McDoCl99,32,,9,0,297,6-2,Memphis,1/6/1987,10,1,Cincinnati Bengals / 7th / 249th pick / 2009,
66,Joshua Miles\MileJo00,23,,7,0,314,6-5,Morgan St.,1/4/1996,Rook,1,Arizona Cardinals / 7th / 248th pick / 2019,$495000
79,Jordan Mills\MillJo02,29,,3,2,316,6-5,Louisiana Tech,12/24/1990,6,1,Chicago Bears / 5th / 163rd pick / 2013,
36,Alfred Morris\MorrAl00,31,,1,0,222,5-10,Florida Atlantic,12/12/1988,7,0,Washington Redskins / 6th / 173rd pick / 2012,
33,Byron Murphy\MurpBy00,21,LCB,16,16,190,5-11,Washington,1/18/1998,Rook,5,Arizona Cardinals / 2nd / 33rd pick / 2019,$495000
71,Justin Murray\MurrJu00,26,RT,14,12,315,6-5,Cincinnati,4/19/1993,1,7,,
1,Kyler Murray\MurrKy00,22,QB,16,16,207,5-10,Texas A&MOklahoma,8/7/1997,Rook,14,Arizona Cardinals / 1st / 1st pick / 2019,$495000
98,Corey Peters\PeteCo00,31,NT,16,16,335,6-3,Kentucky,6/8/1988,9,5,Atlanta Falcons / 3rd / 83rd pick / 2010,$3250000
27,Kevin Peterson\PeteKe01,25,,14,3,185,5-11,Oklahoma St.,3/22/1994,2,1,,
21,Patrick Peterson\PetePa00,29,RCB,10,10,203,6-1,LSU,7/11/1990,8,3,Arizona Cardinals / 1st / 5th pick / 2011,$11000000
67,Justin Pugh\PughJu00,29,LG,16,16,311,6-5,Syracuse,8/15/1990,6,9,New York Giants / 1st / 19th pick / 2013,$5000000
43,Haason Reddick\ReddHa00,25,lilb,16,5,235,6-1,Temple,9/22/1994,2,3,Arizona Cardinals / 1st / 13th pick / 2017,$1690270
