No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
23,Robert Alford\AlfoRo00,28,LCB,16,16,186,5-10,Southeastern Louisiana,10/31/1988,3,7,Atlanta Falcons / 2nd / 60th pick / 2013,$1082263
37,Ricardo Allen\AlleRi00,25,SS,16,16,186,5-9,Purdue,12/18/1991,2,6,Atlanta Falcons / 5th / 147th pick / 2014,$525000
95,Jonathan Babineaux\BabiJo20,35,NT,16,6,300,6-2,Iowa,10/12/1981,11,4,Atlanta Falcons / 2nd / 59th pick / 2005,$2666668
44,Vic Beasley*+\BeasVi00,24,LILB,16,12,246,6-3,Clemson,7/8/1992,1,16,Atlanta Falcons / 1st / 8th pick / 2015,$3294370
5,Matthew Bosher\BoshMa00,29,,15,0,208,6-0,Miami (FL),10/18/1987,5,2,Atlanta Falcons / 6th / 192nd pick / 2011,$2700000
3,Matt Bryant*\bryanmat01,41,,16,0,203,5-9,Baylor,5/29/1975,14,6,,$3183333
59,De'Vondre Campbell\CampDe00,23,ROLB,11,10,232,6-4,Minnesota,7/1/1993,Rook,6,Atlanta Falcons / 4th / 115th pick / 2016,$591382
65,Chris Chester\ChesCh21,33,RG,16,16,303,6-3,Oklahoma,1/12/1983,10,11,Baltimore Ravens / 2nd / 56th pick / 2006,$2600000
99,Adrian Clayborn\ClayAd00,28,lde,13,7,280,6-3,Iowa,7/6/1988,5,5,Tampa Bay Buccaneers / 1st / 20th pick / 2011,$3000000
26,Tevin Coleman\ColeTe01,23,,13,0,210,6-1,Indiana,4/16/1993,1,9,Atlanta Falcons / 3rd / 73rd pick / 2015,$753811
32,Jalen Collins\CollJa02,23,rcb,8,6,203,6-1,LSU,3/20/1993,1,3,Atlanta Falcons / 2nd / 42nd pick / 2015,$521315
76,Tom Compton\CompTo00,27,,16,0,315,6-6,South Dakota,5/10/1989,4,0,Washington Redskins / 6th / 193rd pick / 2012,$625000
42,Patrick DiMarco\DiMaPa00,27,RB,16,8,234,6-1,South Carolina,4/30/1989,4,1,,$897500
24,Devonta Freeman*\FreeDe00,24,RB,16,16,206,5-8,Florida St.,3/15/1992,2,15,Atlanta Falcons / 4th / 103rd pick / 2014,$721106
93,Dwight Freeney\FreeDw00,36,,15,1,268,6-1,Syracuse,2/19/1980,14,0,Indianapolis Colts / 1st / 11th pick / 2002,$1000000
18,Taylor Gabriel\GabrTa00,25,,13,3,168,5-7,Abilene Christian,2/17/1991,2,7,,$600000
63,Ben Garland\GarlBe00,28,,16,0,308,6-5,Air Force,4/6/1988,5,0,,$600000
38,Dashon Goldson\GoldDa99,32,,4,0,205,6-2,Washington,9/18/1984,9,0,San Francisco 49ers / 4th / 126th pick / 2007,$1468750
54,Malliciah Goodman\GoodMa01,26,,2,0,276,6-4,Clemson,1/4/1990,3,0,Atlanta Falcons / 4th / 127th pick / 2013,$141176
29,C.J. Goodwin\GoodC.00,26,,14,1,190,6-3,California (PA),2/4/1990,2,0,,$450000
77,Ra'Shede Hageman\HageRa00,26,,12,4,318,6-6,Minnesota,8/8/1990,2,0,Atlanta Falcons / 2nd / 37th pick / 2014,$1455230
16,Justin Hardy\HardJu00,25,,16,3,192,5-10,East Carolina,12/18/1991,1,2,Atlanta Falcons / 4th / 107th pick / 2015,$660205
47,Josh Harris\HarrJo02,27,,16,0,224,6-1,Auburn,4/27/1989,4,0,,$860000
54,A.J. Hawk\HawkA.20,32,,1,0,240,6-1,Ohio St.,1/6/1984,10,0,Green Bay Packers / 1st / 5th pick / 2006,$753235
81,Austin Hooper\HoopAu00,22,,14,3,254,6-4,Stanford,10/29/1994,Rook,3,Atlanta Falcons / 3rd / 81st pick / 2016,$643357
36,Kemal Ishmael\IshmKe00,25,,13,4,206,6-0,Central Florida,5/6/1991,3,0,Atlanta Falcons / 7th / 243rd pick / 2013,$1682474
94,Tyson Jackson\JackTy98,30,LOLB,16,7,295,6-4,LSU,6/6/1986,7,4,Kansas City Chiefs / 1st / 3rd pick / 2009,$6350000
97,Grady Jarrett\JarrGr00,23,RDE,16,14,305,6-0,Clemson,4/28/1993,1,8,Atlanta Falcons / 5th / 137th pick / 2015,$586963
45,Deion Jones\JoneDe01,22,RILB,15,13,227,6-1,LSU,11/4/1994,Rook,9,Atlanta Falcons / 2nd / 52nd pick / 2016,$826479
11,Julio Jones*+\JoneJu02,27,WR,14,14,220,6-3,Alabama,2/8/1989,5,16,Atlanta Falcons / 1st / 6th pick / 2011,$15900000
52,Josh Keyes\KeyeJo00,23,,1,0,225,6-2,Boston Col.,1/23/1993,1,0,,$61764
67,Andy Levitre\LeviAn20,30,LG,16,16,303,6-2,Oregon St.,5/15/1986,7,11,Buffalo Bills / 2nd / 51st pick / 2009,$5375000
51,Alex Mack*\MackAl20,31,C,16,16,311,6-4,California,11/19/1985,7,18,Cleveland Browns / 1st / 21st pick / 2009,$4050000
98,Cliff Matthews\MattCl01,27,,3,0,265,6-4,South Carolina,8/5/1989,5,0,Atlanta Falcons / 7th / 230th pick / 2011,$760000
70,Jake Matthews\MattJa00,24,LT,16,16,309,6-5,Texas A&M,2/11/1992,2,11,Atlanta Falcons / 1st / 6th pick / 2014,$4480773
22,Keanu Neal\NealKe01,21,FS,14,14,216,6-1,Florida,7/26/1995,Rook,5,Atlanta Falcons / 1st / 17th pick / 2016,$1952299
20,Sharrod Neasman\NeasSh00,25,,3,0,198,6-0,Florida Atlantic,10/14/1991,Rook,0,,$450000
,Ayodeji Olatoye\OlatAy00,25,,5,0,194,6-1,North Carolina A&T,7/20/1991,2,0,,$185284
82,Joshua Perkins\PerkJo02,23,,8,1,223,6-3,Washington,8/5/1993,Rook,0,,$450000
34,Brian Poole\PoolBr01,24,DB,16,9,213,5-10,Florida,10/20/1992,Rook,4,,$450000
50,Brooks Reed\ReedBr00,29,LDE,15,7,254,6-3,Arizona,2/28/1987,5,5,Houston Texans / 2nd / 42nd pick / 2011,$3440000
53,LaRoy Reynolds\ReynLa00,26,,16,3,240,6-1,Virginia,11/3/1990,3,0,,$675000
33,Stevan Ridley\RidlSt00,27,,1,0,220,5-11,LSU,1/27/1989,5,0,New England Patriots / 3rd / 73rd pick / 2011,
19,Aldrick Robinson\RobiAl00,28,,16,1,185,5-10,SMU,9/24/1988,5,4,Washington Redskins / 6th / 178th pick / 2011,$675000
2,Matt Ryan*+\RyanMa00,31,QB,16,16,217,6-4,Boston Col.,5/17/1985,8,21,Atlanta Falcons / 1st / 3rd pick / 2008,$23750000
12,Mohamed Sanu\SanuMo00,27,WR,15,15,215,6-2,Rutgers,8/23/1989,4,7,Cincinnati Bengals / 3rd / 83rd pick / 2012,$2400000
8,Matt Schaub\SchaMa00,35,,4,0,245,6-6,Virginia,6/25/1981,12,0,Atlanta Falcons / 3rd / 90th pick / 2004,$1750000
54,O'Brien Schofield\SchoOB99,29,,2,0,238,6-2,Wisconsin,4/3/1987,6,0,Arizona Cardinals / 4th / 130th pick / 2010,
