No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
11,Kamar Aiken\AikeKa00,27,wr,16,6,216,6-2,Central Florida,5/30/1989,5,2,,$2553000
37,Javorius Allen\AlleJa01,25,,8,0,218,6-0,USC,8/27/1991,1,0,Baltimore Ravens / 4th / 125th pick / 2015,$525000
45,Brennen Beyer\BeyeBr00,24,,1,0,256,6-4,Michigan,11/25/1992,Rook,0,,$52940
86,Nick Boyle\BoylNi00,23,,6,0,270,6-4,Delaware,2/17/1993,1,0,Baltimore Ravens / 5th / 171st pick / 2015,$247960
83,Daniel Brown\BrowDa04,24,,2,0,247,6-5,James Madison,5/26/1992,1,0,,$401466
12,Michael Campanaro\CampMi02,25,,3,0,191,5-9,Wake Forest,1/25/1991,2,0,Baltimore Ravens / 7th / 218th pick / 2014,$616875
39,Maurice Canady\CanaMa00,22,,4,0,193,6-1,Virginia,5/26/1994,Rook,0,Baltimore Ravens / 6th / 209th pick / 2016,$475089
56,Chris Carter\CartCh00,27,,5,0,245,6-1,Fresno St.,4/6/1989,5,0,Pittsburgh Steelers / 5th / 162nd pick / 2011,$1000000
51,Kamalei Correa\CorrKa00,22,,9,1,241,6-3,Boise St.,4/27/1994,Rook,0,Baltimore Ravens / 2nd / 42nd pick / 2016,$1045388
46,Morgan Cox*\CoxxMo00,30,,16,0,235,6-4,Tennessee,4/26/1986,6,0,,$940000
40,Robertson Daniel\DaniRo01,25,,1,0,205,6-1,BYU,10/1/1991,Rook,0,,
31,Will Davis\DaviWi02,26,,3,0,186,5-11,Utah St.,5/8/1990,3,0,Miami Dolphins / 3rd / 93rd pick / 2013,$682500
30,Kenneth Dixon\DixoKe00,22,,12,0,228,5-10,Louisiana Tech,1/21/1994,Rook,3,Baltimore Ravens / 4th / 134th pick / 2016,$545848
62,Vlad Ducasse\DucaVl20,29,RG,10,8,329,6-5,Massachusetts,10/15/1987,6,4,New York Jets / 2nd / 61st pick / 2010,$760000
58,Elvis Dumervil\DumeEl20,32,,8,3,250,5-11,Louisville,1/19/1984,10,0,Denver Broncos / 4th / 126th pick / 2006,$7375000
33,Matt Elam\ElamMa00,25,,9,0,208,5-10,Florida,9/2/1991,3,0,Baltimore Ravens / 1st / 32nd pick / 2013,$2140997
5,Joe Flacco\FlacJo00,31,QB,16,16,245,6-6,PittsburghDelaware,1/16/1985,8,9,Baltimore Ravens / 1st / 18th pick / 2008,$22550000
29,Justin Forsett\ForsJu00,31,,3,3,195,5-8,California,10/14/1985,8,1,Seattle Seahawks / 7th / 233rd pick / 2008,$3000000
80,Crockett Gillmore\GillCr00,25,te,7,5,260,6-6,Colorado St.,11/16/1991,2,0,Baltimore Ravens / 3rd / 99th pick / 2014,$726504
93,Lawrence Guy\GuyxLa00,26,RDE,16,10,315,6-4,Arizona St.,3/17/1990,5,7,Green Bay Packers / 7th / 233rd pick / 2011,$1250000
14,Devin Hester\HestDe99,34,,12,0,190,5-11,Miami (FL),11/4/1982,10,0,Chicago Bears / 2nd / 57th pick / 2006,$1100000
42,Marqueston Huff\HuffMa00,24,,11,0,196,5-11,Wyoming,4/6/1992,2,0,Tennessee Titans / 4th / 122nd pick / 2014,$600000
74,James Hurst\HursJa00,25,,16,3,310,6-5,North Carolina,12/17/1991,2,0,,$603000
66,Ryan Jensen\JensRy00,25,,7,3,319,6-4,Colorado State-Pueblo,5/27/1991,3,0,Baltimore Ravens / 6th / 203rd pick / 2013,$600000
99,Timmy Jernigan\JernTi00,24,LDE,16,15,295,6-2,Florida St.,9/24/1992,2,10,Baltimore Ravens / 2nd / 48th pick / 2014,$1195337
91,Matt Judon\JudoMa00,24,,14,0,261,6-3,Grand Valley St.,8/15/1992,Rook,0,Baltimore Ravens / 5th / 146th pick / 2016,$513934
44,Kyle Juszczyk*\JuszKy00,25,RB,16,7,240,6-1,Harvard,4/23/1991,3,2,Baltimore Ravens / 4th / 130th pick / 2013,$750146
4,Sam Koch\KochSa20,34,,16,0,222,6-1,Nebraska,8/13/1982,10,2,Baltimore Ravens / 6th / 203rd pick / 2006,$3100000
41,Anthony Levine\LeviAn00,29,,16,0,207,5-11,Tennessee St.,3/27/1987,5,0,,$1200000
72,Alex Lewis\LewiAl01,24,LG,10,8,305,6-6,ColoradoNebraska,4/21/1992,Rook,4,Baltimore Ravens / 4th / 130th pick / 2016,$572974
23,Kendrick Lewis\LewiKe00,28,,6,0,205,6-0,Mississippi,6/16/1988,6,0,Kansas City Chiefs / 5th / 136th pick / 2010,$1866667
31,Chris Lewis-Harris\LewiCh01,27,,7,0,198,6-1,Chattanooga,2/11/1989,4,0,,$675500
15,Ryan Mallett\MallRy00,28,,4,0,240,6-6,MichiganArkansas,6/5/1988,5,0,New England Patriots / 3rd / 74th pick / 2011,$1500000
50,Albert McClellan\McClAl00,30,ROLB,16,11,235,6-2,Marshall,6/4/1986,5,7,,$1100000
10,Chris Moore\MoorCh00,23,,15,0,200,6-1,Cincinnati,6/16/1993,Rook,0,Baltimore Ravens / 4th / 107th pick / 2016,$599090
57,C.J. Mosley*\MoslC.00,24,LILB,14,14,250,6-2,Alabama,6/19/1992,2,17,Baltimore Ravens / 1st / 17th pick / 2014,$2396728
48,Patrick Onwuasor\OnwuPa00,24,,11,1,227,6-0,ArizonaPortland St.,8/22/1992,Rook,0,,$450000
54,Zach Orr\OrrxZa00,24,RILB,15,15,237,6-0,North Texas,6/9/1992,2,18,,$601000
18,Breshad Perriman\PerrBr02,23,,16,1,215,6-2,Central Florida,9/10/1993,Rook,3,Baltimore Ravens / 1st / 26th pick / 2015,$1978481
78,Michael Pierce\PierMi00,24,,16,1,340,6-0,Samford,11/6/1992,Rook,0,,$450000
88,Dennis Pitta\PittDe00,31,TE,16,12,245,6-4,BYU,6/29/1985,6,5,Baltimore Ravens / 4th / 114th pick / 2010,$3200000
26,Jerraud Powers\PoweJe99,29,db,13,6,190,5-9,Auburn,7/19/1987,7,4,Indianapolis Colts / 3rd / 92nd pick / 2009,$1750000
27,Sheldon Price\PricSh00,25,,4,1,198,6-2,UCLA,3/26/1991,3,0,,$525000
22,Jimmy Smith\SmitJi03,28,RCB,11,11,210,6-2,Colorado,7/26/1988,5,5,Baltimore Ravens / 1st / 27th pick / 2011,$5100000
89,Steve Smith\SmitSt01,37,WR,14,14,195,5-9,Utah,5/12/1979,15,5,Carolina Panthers / 3rd / 74th pick / 2001,$4166668
90,Za'Darius Smith\SmitZa00,24,,13,4,272,6-4,East Mississippi CCKentucky,9/8/1992,1,0,Baltimore Ravens / 4th / 122nd pick / 2015,$645788
79,Ronnie Stanley\StanRo00,22,LT,12,12,315,6-6,Notre Dame,3/18/1994,Rook,6,Baltimore Ravens / 1st / 6th pick / 2016,$3724423
55,Terrell Suggs\SuggTe99,34,LOLB,15,15,265,6-3,Arizona St.,10/11/1982,13,9,Baltimore Ravens / 1st / 10th pick / 2003,$7450000
34,Lorenzo Taliaferro\TaliLo00,25,,3,0,229,6-0,Coastal Carolina,12/23/1991,2,0,Baltimore Ravens / 4th / 138th pick / 2014,$675146
9,Justin Tucker*+\TuckJu00,27,,16,0,183,6-1,Texas,11/21/1989,4,8,,$3500000
96,Brent Urban\UrbaBr00,25,,16,0,300,6-7,Virginia,5/5/1991,2,0,Baltimore Ravens / 4th / 134th pick / 2014,$675146
64,John Urschel\UrscJo00,25,,13,3,313,6-3,Penn St.,6/24/1991,2,0,Baltimore Ravens / 5th / 175th pick / 2014,$636140
71,Ricky Wagner\WagnRi00,27,RT,15,14,313,6-6,Wisconsin,10/21/1989,3,7,Baltimore Ravens / 5th / 168th pick / 2013,$1707140
17,Mike Wallace\WallMi00,30,WR,16,16,200,6-0,Mississippi,8/1/1986,7,7,Pittsburgh Steelers / 3rd / 84th pick / 2009,$3500000
84,Darren Waller\WallDa01,24,,12,3,255,6-6,Georgia Tech,9/13/1992,1,1,Baltimore Ravens / 6th / 204th pick / 2015,$429245
21,Lardarius Webb\WebbLa99,31,FS,16,16,179,5-10,Nicholls St.,10/12/1985,7,8,Baltimore Ravens / 3rd / 88th pick / 2009,$9500000
32,Eric Weddle*\WeddEr99,31,SS,16,16,195,5-11,Utah,1/4/1985,9,12,San Diego Chargers / 2nd / 37th pick / 2007,$3750000
28,Terrance West\WestTe00,25,RB,16,13,225,5-10,Towson,1/28/1991,2,6,Cleveland Browns / 3rd / 94th pick / 2014,$600000
98,Brandon Williams\WillBr02,27,NT,16,16,336,6-1,Missouri Southern,2/21/1989,3,10,Baltimore Ravens / 3rd / 94th pick / 2013,$1799750
