No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
49,Bryson Albright\AlbrBr00,22,,1,0,245,6-5,Miami (OH),3/15/1994,Rook,0,,$450000
57,Lorenzo Alexander*\AlexLo99,33,ROLB,16,16,245,6-1,California,5/31/1983,9,12,,$600000
33,Colt Anderson\AndeCo01,31,,2,0,194,5-10,Montana,10/25/1985,6,0,,$680000
26,Robert Blanton\BlanRo00,27,,10,2,208,6-1,Notre Dame,9/7/1989,4,0,Minnesota Vikings / 5th / 139th pick / 2012,$680000
52,Preston Brown\BrowPr00,24,RILB,16,16,251,6-1,Louisville,10/27/1992,2,8,Buffalo Bills / 3rd / 73rd pick / 2014,$793750
38,Sergio Brown\BrowSe00,28,,8,0,210,6-2,Notre Dame,5/22/1988,6,0,,$760000
53,Zach Brown*\BrowZa00,27,LILB,16,16,250,6-1,North Carolina,10/23/1989,4,12,Tennessee Titans / 2nd / 52nd pick / 2012,$1250000
97,Corbin Bryant\BryaCo00,28,nt,8,6,300,6-4,Northwestern,1/4/1988,5,2,,$1671000
22,Reggie Bush\BushRe00,31,,13,0,205,6-0,USC,3/2/1985,10,1,New Orleans Saints / 1st / 2nd pick / 2006,$1500000
2,Dan Carpenter\CarpDa44,31,,16,0,216,6-2,Montana,11/25/1985,8,1,,$2587500
87,Gerald Christian\ChriGe00,25,,3,0,250,6-3,FloridaLouisville,8/26/1991,Rook,0,Arizona Cardinals / 7th / 256th pick / 2015,$344110
85,Charles Clay\ClayCh00,27,TE,15,15,246,6-3,Tulsa,2/13/1989,5,6,Miami Dolphins / 6th / 174th pick / 2011,$6000000
98,Deandre Coleman\ColeDe01,25,,5,0,314,6-5,California,1/27/1991,2,0,,$176470
28,Ronald Darby\DarbRo00,22,LCB,14,14,193,5-11,Florida St.,1/2/1994,1,6,Buffalo Bills / 2nd / 50th pick / 2015,$1038566
99,Marcell Dareus\DareMa00,26,NT,8,7,331,6-3,Alabama,3/13/1990,5,4,Buffalo Bills / 1st / 3rd pick / 2011,$11514705
91,Leger Douzable\DouzLe00,30,de,16,5,305,6-4,Central Florida,5/31/1986,7,3,,$600000
82,Jim Dray\DrayJi00,30,,4,1,253,6-5,Stanford,12/31/1986,6,0,Arizona Cardinals / 7th / 233rd pick / 2010,$680000
42,Jerome Felton\FeltJe00,30,,15,4,246,6-0,Furman,7/3/1986,8,1,Detroit Lions / 5th / 146th pick / 2008,$832941
,Manasseh Garner\GarnMa00,24,,1,0,240,6-2,Pittsburgh,3/11/1992,Rook,0,,
37,Shamiel Gary\GarySh00,26,,3,0,205,6-0,Oklahoma St.,5/31/1990,2,0,,$92646
4,Jordan Gay\GayxJo00,26,,3,0,200,6-0,Centre,3/29/1990,2,0,,$211764
35,Mike Gillislee\GillMi00,26,,15,1,210,5-11,Florida,11/1/1990,3,5,Miami Dolphins / 5th / 164th pick / 2013,$600000
24,Stephon Gilmore*\GilmSt00,26,RCB,15,15,202,6-1,South Carolina,9/19/1990,4,12,Buffalo Bills / 1st / 10th pick / 2012,$11082000
77,Cordy Glenn\GlenCo00,27,LT,11,11,345,6-6,Georgia,9/18/1989,4,6,Buffalo Bills / 2nd / 41st pick / 2012,$6200000
88,Marquise Goodwin\GoodMa00,26,WR,15,9,180,5-9,Texas,11/19/1990,3,4,Buffalo Bills / 3rd / 78th pick / 2013,$859719
20,Corey Graham\GrahCo99,31,FS,16,16,196,6-0,New Hampshire,7/25/1985,9,8,Chicago Bears / 5th / 168th pick / 2007,$4775000
48,Glenn Gronkowski\GronGl01,23,,1,0,234,6-3,Kansas St.,3/25/1993,Rook,0,,$450000
72,Ryan Groy\GroyRy00,26,c,16,7,320,6-5,Wisconsin,9/30/1990,2,5,,$600000
11,Percy Harvin\HarvPe00,28,,2,1,200,5-11,Florida,5/28/1988,7,0,Minnesota Vikings / 1st / 22nd pick / 2009,$1500000
66,Seantrel Henderson\HendSe00,24,,1,0,351,6-7,Miami (FL),1/21/1992,2,0,Buffalo Bills / 7th / 237th pick / 2014,$471543
55,Jerry Hughes\HughJe99,28,LOLB,16,15,254,6-2,TCU,8/13/1988,6,6,Indianapolis Colts / 1st / 31st pick / 2010,$7575000
50,Ramon Humber\HumbRa00,29,,16,1,232,5-11,North Dakota St.,8/10/1987,7,0,,$600000
