No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
97,Mario Addison\AddiMa00,29,,14,1,260,6-3,Troy,9/6/1987,5,0,,$1620000
3,Derek Anderson\AndeDe00,33,,5,2,235,6-6,Oregon St.,6/15/1983,10,1,Baltimore Ravens / 6th / 213th pick / 2005,$1950000
34,Cameron Artis-Payne\ArtiCa00,26,,3,3,215,5-10,Auburn,6/23/1990,1,1,Carolina Panthers / 5th / 174th pick / 2015,$566563
36,Marcus Ball\BallMa00,29,,1,0,209,6-1,Memphis,7/21/1987,2,0,,
13,Kelvin Benjamin\BenjKe00,25,WR,16,13,245,6-5,Florida St.,2/5/1991,2,7,Carolina Panthers / 1st / 28th pick / 2014,$2090250
25,Bene Benwikere\BenwBe00,25,,4,4,195,6-0,San Jose St.,9/3/1991,2,0,Carolina Panthers / 5th / 148th pick / 2014,$649750
11,Brenton Bersin\BersBr00,26,,10,0,211,6-3,Wofford,5/9/1990,3,0,,$600000
33,Tre Boston\BostTr00,24,FS,15,10,205,6-1,North Carolina,6/25/1992,2,6,Carolina Panthers / 4th / 128th pick / 2014,$701367
24,James Bradberry\BradJa00,23,LCB,13,13,212,6-1,SamfordArkansas St.,8/4/1993,Rook,7,Carolina Panthers / 2nd / 62nd pick / 2016,$720152
10,Corey Brown\BrowPh00,25,WR,16,8,190,5-11,Ohio St.,12/16/1991,2,2,,$605000
92,Vernon Butler\ButlVe00,22,,10,0,330,6-4,Louisiana Tech,6/14/1994,Rook,0,Carolina Panthers / 1st / 30th pick / 2016,$1526639
18,Damiere Byrd\ByrdDa00,23,,1,0,180,5-9,South Carolina,1/27/1993,Rook,0,,$458000
57,Jeremy Cash\CashJe00,24,,8,0,230,6-0,Duke,12/6/1992,Rook,0,,$456666
20,Kurt Coleman\ColeKu99,28,SS,15,15,208,5-11,Ohio St.,7/1/1988,6,9,Philadelphia Eagles / 7th / 244th pick / 2010,$2184375
58,Thomas Davis*\DaviTh20,33,RLB,16,16,235,6-1,Georgia,3/22/1983,11,13,Carolina Panthers / 1st / 14th pick / 2005,$7500000
91,Ryan Delaire\DelaRy00,24,,6,0,260,6-4,Towson,1/17/1992,1,0,,$525000
84,Ed Dickson\DickEd00,29,TE,16,8,250,6-4,Oregon,7/25/1987,6,1,Baltimore Ravens / 3rd / 70th pick / 2010,$2566666
30,Travell Dixon\DixoTr01,25,,1,0,210,6-1,Washington,2/17/1991,Rook,0,,$26470
94,Kony Ealy\EalyKo00,25,rde,16,6,275,6-4,Missouri,12/21/1991,2,5,Carolina Panthers / 2nd / 60th pick / 2014,$967317
93,Lavar Edwards\EdwaLa00,26,,5,0,277,6-4,LSU,3/29/1990,3,0,Tennessee Titans / 5th / 142nd pick / 2013,$675000
17,Devin Funchess\FuncDe00,22,wr,15,7,225,6-4,Michigan,5/21/1994,1,3,Carolina Panthers / 2nd / 41st pick / 2015,$1254747
9,Graham Gano\GanoGr44,29,,16,0,202,6-2,Florida St.,4/9/1987,7,3,,$3850000
19,Ted Ginn Jr.\GinnTe00,31,WR,16,8,180,5-11,Ohio St.,4/12/1985,9,6,Miami Dolphins / 1st / 9th pick / 2007,$2775000
66,Gino Gradkowski\GradGi00,28,,10,3,300,6-3,Delaware,11/5/1988,4,0,Baltimore Ravens / 4th / 98th pick / 2012,$950000
