No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
93,Sam Acho\AchoSa00,30,,4,0,259,6-3,Texas,9/6/1988,7,0,Arizona Cardinals / 4th / 103rd pick / 2011,$1450000
38,Adrian Amos\AmosAd00,25,FS,16,16,214,6-0,Penn St.,4/29/1993,3,6,Chicago Bears / 5th / 142nd pick / 2015,$1907000
20,Prince Amukamara\AmukPr00,29,RCB,15,15,206,6-0,Nebraska,6/6/1989,7,6,New York Giants / 1st / 19th pick / 2011,$3500000
15,Josh Bellamy\BellJo02,29,,16,2,208,6-0,Louisville,5/18/1989,6,1,,$1907000
84,Ben Braunecker\BrauBe00,24,,15,2,247,6-3,Harvard,2/7/1994,2,0,,$630000
85,Daniel Brown\BrowDa04,26,,14,0,247,6-5,James Madison,5/26/1992,3,0,,$705000
90,Jonathan Bullard\BullJo00,25,,16,1,296,6-3,Florida,10/22/1993,2,2,Chicago Bears / 3rd / 72nd pick / 2016,$718000
46,Michael Burton\BurtMi00,26,,8,1,240,6-0,Rutgers,2/1/1992,3,0,Detroit Lions / 5th / 168th pick / 2015,$705000
80,Trey Burton\BurtTr01,27,TE,16,16,238,6-2,Florida,10/29/1991,4,5,,$2800000
26,Deon Bush\BushDe00,25,,15,2,200,6-0,Miami (FL),8/14/1993,2,1,Chicago Bears / 4th / 124th pick / 2016,$630000
37,Bryce Callahan\CallBr00,27,DB,13,10,188,5-9,Rice,10/23/1991,3,4,,$1907000
29,Tarik Cohen*+\CoheTa00,23,RB,16,7,191,5-6,North Carolina A&T,7/26/1995,1,10,Chicago Bears / 4th / 119th pick / 2017,$555000
31,Marcus Cooper\CoopMa00,28,,2,0,197,6-2,Rutgers,2/1/1990,5,0,San Francisco 49ers / 7th / 252nd pick / 2013,$900000
30,Benny Cunningham\CunnBe01,28,,15,0,218,5-10,Middle Tenn. St.,7/7/1990,5,0,,$800000
4,Chase Daniel\DaniCh00,32,,5,2,229,6-0,Missouri,10/7/1986,9,2,,$2000000
68,James Daniels\DaniJa01,21,LG,16,10,305,6-3,Iowa,9/13/1997,Rook,5,Chicago Bears / 2nd / 39th pick / 2018,$480000
49,Kylie Fitts\FittKy00,24,,6,0,261,6-3,UCLAUtah,10/11/1994,Rook,0,Chicago Bears / 6th / 181st pick / 2018,$480000
94,Leonard Floyd\FloyLe00,26,ROLB,16,16,240,6-5,Georgia,9/8/1992,2,9,Chicago Bears / 1st / 9th pick / 2016,$1884806
23,Kyle Fuller*+\FullKy00,26,LCB,16,16,194,5-11,Virginia Tech,2/16/1992,4,15,Chicago Bears / 1st / 14th pick / 2014,$1000000
18,Taylor Gabriel\GabrTa00,27,WR,16,11,168,5-7,Abilene Christian,2/17/1991,4,7,,$2500000
91,Eddie Goldman\GoldEd00,24,NT,16,16,318,6-3,Florida St.,1/6/1994,3,9,Chicago Bears / 2nd / 39th pick / 2015,$1210407
96,Akiem Hicks*\HickAk00,29,LDE,16,16,352,6-4,Regina (Canada),11/16/1989,6,13,New Orleans Saints / 3rd / 89th pick / 2012,$4500000
36,DeAndre Houston-Carson\HousDe00,25,,13,0,202,6-0,William & Mary,4/13/1993,2,1,Chicago Bears / 6th / 185th pick / 2016,$630000
24,Jordan Howard\HowaJo00,24,RB,16,15,224,6-0,Indiana,11/2/1994,2,6,Chicago Bears / 5th / 150th pick / 2016,$630000
47,Isaiah Irving\IrviIs00,24,,13,0,254,6-3,San Jose St.,6/9/1994,1,1,,$555000
45,Joel Iyiegbuniwe\IyieJo00,23,,16,0,226,6-1,Western Kentucky,10/12/1995,Rook,1,Chicago Bears / 4th / 115th pick / 2018,$480000
39,Eddie Jackson*+\JackEd01,25,SS,14,14,204,6-0,Alabama,12/10/1993,1,13,Chicago Bears / 4th / 112th pick / 2017,$555000
64,Eric Kush\KushEr00,29,lg,15,7,317,6-4,California (PA),9/9/1989,5,4,Kansas City Chiefs / 6th / 170th pick / 2013,$1400000
44,Nick Kwiatkoski\KwiaNi00,25,,16,1,243,6-2,West Virginia,5/26/1993,2,2,Chicago Bears / 4th / 113th pick / 2016,$630000
72,Charles Leno Jr.*\LenoCh00,27,LT,16,16,307,6-3,Boise St.,10/9/1991,4,11,Chicago Bears / 7th / 246th pick / 2014,$4900000
75,Kyle Long\LongKy00,30,RG,8,8,332,6-6,Oregon,12/5/1988,5,4,Chicago Bears / 1st / 20th pick / 2013,$2248158
99,Aaron Lynch\LyncAa00,25,,13,3,285,6-5,South Florida,2/8/1993,4,3,San Francisco 49ers / 5th / 150th pick / 2014,$2200000
