No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
92,Freedom Akinmoladun\AkinFr01,23,,2,0,284,6-3,Nebraska,2/11/1996,Rook,0,,
97,Geno Atkins*\AtkiGe99,31,RDE,16,14,300,6-1,Georgia,3/28/1988,9,9,Cincinnati Bengals / 4th / 120th pick / 2010,$8000000
30,Jessie Bates III\BateJe00,22,FS,16,16,200,6-1,Wake Forest,2/26/1997,1,6,Cincinnati Bengals / 2nd / 54th pick / 2018,$704901
25,Giovani Bernard\BernGi00,28,,16,2,205,5-9,North Carolina,11/22/1991,6,2,Cincinnati Bengals / 2nd / 37th pick / 2013,$3400000
99,Andrew Billings\BillAn00,24,NT,16,14,328,6-1,Baylor,3/6/1995,2,6,Cincinnati Bengals / 4th / 122nd pick / 2016,$720000
83,Tyler Boyd\BoydTy00,25,WR,16,15,203,6-2,Pittsburgh,11/15/1994,3,7,Cincinnati Bengals / 2nd / 55th pick / 2016,$980769
93,Andrew Brown\BrowAn05,24,,14,1,290,6-3,Virginia,12/30/1995,1,2,Cincinnati Bengals / 5th / 158th pick / 2018,$495000
52,Preston Brown\BrowPr00,27,RILB,9,8,251,6-1,Louisville,10/27/1992,5,4,Buffalo Bills / 3rd / 73rd pick / 2014,$900000
4,Randy Bullock\BullRa00,30,,16,0,210,5-9,Texas A&M,12/16/1989,7,4,Houston Texans / 5th / 161st pick / 2012,$1475000
82,Cethan Carter\CartCe00,24,,15,0,248,6-3,Nebraska,9/5/1995,2,0,,$570000
16,Pharoh Cooper\CoopPh00,24,,1,0,208,5-11,South Carolina,3/7/1995,3,0,Los Angeles Rams / 4th / 117th pick / 2016,
14,Andy Dalton\DaltAn00,32,QB,13,13,220,6-2,TCU,10/29/1987,8,7,Cincinnati Bengals / 2nd / 35th pick / 2011,$16000000
21,Darqueze Dennard\DennDa00,28,cb,9,5,205,5-11,Michigan St.,10/10/1991,5,2,Cincinnati Bengals / 1st / 24th pick / 2014,$1500000
96,Carlos Dunlap\DunlCa99,30,LDE,14,14,285,6-6,Florida,2/28/1989,9,7,Cincinnati Bengals / 2nd / 54th pick / 2010,$3100000
85,Tyler Eifert\EifeTy00,29,,16,4,255,6-6,Notre Dame,9/8/1990,6,3,Cincinnati Bengals / 1st / 21st pick / 2013,$1000000
12,Alex Erickson\EricAl01,27,wr,16,6,195,6-0,Wisconsin,11/6/1992,3,4,,$1400000
50,Jordan Evans\EvanJo01,24,,16,0,242,6-3,Oklahoma,1/27/1995,2,1,Cincinnati Bengals / 6th / 193rd pick / 2017,$645000
42,Clayton Fejedelem\FejeCl00,26,,16,0,205,6-0,Illinois,6/2/1993,3,1,Cincinnati Bengals / 7th / 245th pick / 2016,$720000
