No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
76,Richard Ash\AshxRi00,24,,1,0,320,6-3,MichiganWest. Michigan,8/4/1992,1,0,,$26470
5,Dan Bailey\BailDa00,28,,16,0,190,6-0,Oklahoma St.,1/26/1988,5,4,,$2500000
11,Cole Beasley\BeasCo00,27,WR,16,6,174,5-8,SMU,4/26/1989,4,9,,$2356000
30,Anthony Brown\BrowAn02,23,RCB,16,9,196,5-11,Purdue,12/15/1993,Rook,5,Dallas Cowboys / 6th / 189th pick / 2016,$450000
88,Dez Bryant*\BryaDe01,28,WR,13,13,220,6-2,Oklahoma St.,11/4/1988,6,8,Dallas Cowboys / 1st / 24th pick / 2010,$9000000
19,Brice Butler\ButlBr00,26,,16,3,211,6-3,San Diego St.,1/29/1990,3,2,Oakland Raiders / 7th / 209th pick / 2013,$675000
39,Brandon Carr\CarrBr99,30,LCB,16,16,210,6-0,Grand Valley St.,5/19/1986,8,8,Kansas City Chiefs / 5th / 140th pick / 2008,$4250000
42,Barry Church\ChurBa99,28,SS,12,12,218,6-2,Toledo,2/11/1988,6,6,,$4250000
24,Morris Claiborne\ClaiMo00,26,RCB,7,7,192,5-11,LSU,2/7/1990,4,4,Dallas Cowboys / 1st / 6th pick / 2012,$1250000
63,Emmett Cleary\CleaEm01,26,,13,1,320,6-7,Boston Col.,4/27/1990,3,0,,$432348
71,La'el Collins\CollLa01,23,,3,3,320,6-4,LSU,7/26/1993,1,0,,$526750
96,Maliek Collins\CollMa00,21,RDT,16,14,308,6-2,Nebraska,4/8/1995,Rook,9,Dallas Cowboys / 3rd / 67th pick / 2016,$450000
58,Jack Crawford\CrawJa00,28,RDE,16,10,288,6-5,Penn St.,9/7/1988,4,6,Oakland Raiders / 5th / 158th pick / 2012,$860000
98,Tyrone Crawford\CrawTy00,27,LDE,14,14,290,6-4,Boise St.,11/22/1989,4,9,Dallas Cowboys / 3rd / 81st pick / 2012,$1250000
75,Ryan Davis\DaviRy00,27,,9,0,260,6-2,Bethune-Cookman,2/24/1989,4,0,,$675000
25,Lance Dunbar\DunbLa00,26,,13,0,191,5-8,North Texas,1/25/1990,4,1,,$800000
56,Justin Durant\DuraJu99,31,,13,0,230,6-4,Hampton,9/20/1985,9,0,Jacksonville Jaguars / 2nd / 48th pick / 2007,$885000
21,Ezekiel Elliott*+\ElliEz00,21,RB,15,15,228,6-0,Ohio St.,7/22/1995,Rook,16,Dallas Cowboys / 1st / 4th pick / 2016,$450000
89,Gavin Escobar\EscoGa00,25,,16,1,247,6-5,San Diego St.,2/3/1991,3,0,Dallas Cowboys / 2nd / 47th pick / 2013,$979158
35,Kavon Frazier\FrazKa00,22,,9,0,220,6-0,Central Michigan,8/11/1994,Rook,0,Dallas Cowboys / 6th / 212th pick / 2016,$450000
72,Travis Frederick*+\FredTr00,25,C,16,16,320,6-4,Wisconsin,3/18/1991,3,16,Dallas Cowboys / 1st / 31st pick / 2013,$691882
68,Doug Free\FreeDo20,32,RT,16,16,324,6-6,Northern Illinois,1/6/1984,9,8,Dallas Cowboys / 4th / 122nd pick / 2007,$4000000
52,Andrew Gachkar\GachAn00,28,,16,0,224,6-2,Missouri,11/4/1988,5,0,San Diego Chargers / 7th / 234th pick / 2011,$1300000
79,Chaz Green\GreeCh02,24,,4,2,318,6-5,Florida,4/8/1992,Rook,0,Dallas Cowboys / 3rd / 91st pick / 2015,$540375
94,Randy Gregory\GregRa00,24,,2,0,255,6-5,Nebraska,11/23/1992,1,0,Dallas Cowboys / 2nd / 60th pick / 2015,$465252
38,Jeff Heath\HeatJe00,25,,16,0,212,6-1,Saginaw Valley St.,5/14/1991,3,0,,$900000
59,Anthony Hitchens\HitcAn00,24,MLB,16,16,235,6-0,Iowa,6/10/1992,2,9,Dallas Cowboys / 4th / 119th pick / 2014,$600000
95,David Irving\IrviDa00,23,,15,2,290,6-7,Iowa St.,8/18/1993,1,0,,$525000
31,Byron Jones\JoneBy00,24,FS,16,16,205,6-0,Connecticut,9/26/1992,1,8,Dallas Cowboys / 1st / 27th pick / 2015,$825998
6,Chris Jones\JoneCh02,27,,16,0,205,6-0,Carson-Newman,7/21/1989,5,2,,$1200000
91,L.P. Ladouceur\LadoL.20,35,,16,0,256,6-5,California,3/13/1981,11,0,,$1050000
90,DeMarcus Lawrence\LawrDe00,24,,9,3,265,6-3,Boise St.,4/28/1992,2,0,Dallas Cowboys / 2nd / 34th pick / 2014,$703992
65,Ronald Leary\LearRo00,27,LG,13,12,320,6-3,Memphis,4/29/1989,4,6,,$2553000
50,Sean Lee*+\LeexSe99,30,RLB,15,15,245,6-2,Penn St.,7/22/1986,6,19,Dallas Cowboys / 2nd / 55th pick / 2010,$1000000
73,Joe Looney\LoonJo01,26,,16,3,315,6-3,Wake Forest,8/31/1990,4,0,San Francisco 49ers / 4th / 117th pick / 2012,$775000
70,Zack Martin*+\MartZa00,26,RG,16,16,315,6-4,Notre Dame,11/20/1990,2,16,Dallas Cowboys / 1st / 16th pick / 2014,$1235255
16,Vince Mayle\MaylVi00,25,,6,0,247,6-2,Washington St.,6/12/1991,1,0,Cleveland Browns / 4th / 123rd pick / 2015,$450000
93,Benson Mayowa\MayoBe00,25,rde,13,6,265,6-3,Idaho,8/3/1991,3,5,,$700000
97,Terrell McClain\McClTe00,28,LDT,15,15,300,6-2,South Florida,7/20/1988,5,9,Carolina Panthers / 3rd / 65th pick / 2011,$1000000
20,Darren McFadden\McFaDa00,29,,3,1,210,6-2,Arkansas,8/27/1987,8,1,Oakland Raiders / 1st / 4th pick / 2008,$1250000
23,Leon McFadden\McFaLe00,26,,9,0,190,5-10,San Diego St.,10/26/1990,3,0,Cleveland Browns / 3rd / 68th pick / 2013,$675000
76,Zach Moore\MoorZa00,26,,1,0,275,6-6,Concordia-St.Paul (MN),9/5/1990,2,0,New England Patriots / 6th / 198th pick / 2014,
46,Alfred Morris\MorrAl00,28,,14,0,222,5-10,Florida Atlantic,12/12/1988,4,2,Washington Redskins / 6th / 173rd pick / 2012,$800000
53,Mark Nzeocha\NzeoMa00,26,,5,0,240,6-3,Wyoming,1/19/1990,1,0,Dallas Cowboys / 7th / 236th pick / 2015,$525000
4,Dak Prescott*\PresDa01,23,QB,16,16,238,6-2,Mississippi St.,7/29/1993,Rook,16,Dallas Cowboys / 4th / 135th pick / 2016,$450000
9,Tony Romo\RomoTo00,36,,1,0,230,6-2,Eastern Illinois,4/21/1980,12,0,,$8500000
3,Mark Sanchez\SancMa00,30,,2,0,232,6-2,USC,11/11/1986,7,0,New York Jets / 1st / 5th pick / 2009,$2000000
32,Orlando Scandrick\ScanOr99,29,DB,12,10,196,5-10,Boise St.,2/10/1987,8,5,Dallas Cowboys / 5th / 143rd pick / 2008,$1000000
62,Ryan Seymour\SeymRy00,26,,1,0,305,6-4,Vanderbilt,2/7/1990,3,0,Seattle Seahawks / 7th / 220th pick / 2013,
41,Keith Smith\SmitKe03,24,,16,1,240,6-0,San Jose St.,4/8/1992,2,0,,$600000
45,Rod Smith\SmitRo06,24,,7,0,235,6-3,Ohio St.,1/10/1992,1,0,,$525000
77,Tyron Smith*+\SmitTy00,26,LT,13,13,320,6-5,USC,12/12/1990,5,13,Dallas Cowboys / 1st / 9th pick / 2011,$1000000
87,Geoff Swaim\SwaiGe00,23,te,9,6,260,6-4,Texas,9/16/1993,1,1,Dallas Cowboys / 7th / 246th pick / 2015,$525000
92,Cedric Thornton\ThorCe00,28,,13,0,290,6-4,Southern Arkansas,6/21/1988,5,0,,$1000000
13,Lucky Whitehead\WhitLu00,24,,15,1,180,5-9,Florida Atlantic,6/2/1992,1,1,,$525000
51,Kyle Wilber\WilbKy00,27,,15,1,240,6-4,Wake Forest,4/26/1989,4,0,Dallas Cowboys / 4th / 113th pick / 2012,$1000000
27,J.J. Wilcox\WilcJ.00,25,,13,4,212,6-0,Georgia Southern,2/14/1991,3,0,Dallas Cowboys / 3rd / 80th pick / 2013,$1661000
83,Terrance Williams\WillTe01,27,WR,16,15,210,6-2,Baylor,9/8/1989,3,6,Dallas Cowboys / 3rd / 74th pick / 2013,$1661000
57,Damien Wilson\WilsDa02,23,llb,16,6,245,6-0,Minnesota,5/28/1993,1,5,Dallas Cowboys / 4th / 127th pick / 2015,$525000
82,Jason Witten\WittJa00,34,TE,16,16,263,6-6,Tennessee,5/6/1982,13,7,Dallas Cowboys / 3rd / 69th pick / 2003,$1000000
