No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
21,Ameer Abdullah\AbduAm00,23,,2,2,203,5-9,Nebraska,6/13/1993,1,1,Detroit Lions / 2nd / 54th pick / 2015,$573915
94,Ezekiel Ansah\AnsaEz00,27,RDE,13,13,275,6-5,BYU,5/29/1989,3,7,Detroit Lions / 1st / 5th pick / 2013,$2940621
50,Thurston Armbrister\ArmbTh00,24,,14,2,239,6-2,Miami (FL),12/25/1992,1,0,,$525000
29,Johnson Bademosi\BadeJo00,26,,16,3,219,6-0,Stanford,7/23/1990,4,0,,$1100000
39,Johnthan Banks\BankJo00,27,,2,0,185,6-2,Mississippi St.,10/3/1989,3,0,Tampa Bay Buccaneers / 2nd / 43rd pick / 2013,$849498
38,Adairius Barnes\BarnAd01,22,,7,1,188,5-11,Louisiana Tech,4/30/1994,Rook,0,,$450000
44,Joique Bell\BellJo01,30,,3,0,220,5-11,Wayne State (MI),8/4/1986,6,0,,$178823
80,Anquan Boldin\BoldAn00,36,WR,16,16,220,6-1,Florida St.,10/3/1980,13,5,Arizona Cardinals / 2nd / 54th pick / 2003,$1550000
97,Armonty Bryant\BryaAr00,26,,5,0,265,6-4,East Central (OK),5/20/1990,3,0,Cleveland Browns / 7th / 217th pick / 2013,$516176
46,Michael Burton\BurtMi00,24,,15,0,240,6-0,Rutgers,2/1/1992,1,0,Detroit Lions / 5th / 168th pick / 2015,$525000
31,Rafael Bush\BushRa00,29,,16,4,203,5-11,South Carolina St.,5/12/1987,5,0,,$1000000
41,Crezdon Butler\ButlCr99,29,,1,0,183,6-0,Clemson,5/26/1987,6,0,Pittsburgh Steelers / 5th / 164th pick / 2010,$44705
57,Josh Bynes\ByneJo00,27,LLB,9,8,235,6-1,Auburn,8/24/1989,5,4,,$900000
26,Don Carey\CareDo00,29,,14,0,202,5-11,Norfolk St.,2/14/1987,6,0,Cleveland Browns / 6th / 177th pick / 2009,$760000
33,Alex Carter\CartAl01,22,,1,0,201,6-0,Stanford,10/19/1994,Rook,0,Detroit Lions / 3rd / 80th pick / 2015,$61764
84,Orson Charles\CharOr00,25,,2,0,257,6-3,Georgia,1/27/1991,4,0,Cincinnati Bengals / 4th / 116th pick / 2012,$600000
96,Stefan Charles\CharSt00,28,,12,0,302,6-5,Regina,6/9/1988,3,0,,$1000000
51,Brandon Copeland\CopeBr00,25,,16,1,263,6-3,Pennsylvania,7/2/1991,3,0,,$525000
66,Joe Dahl\DahlJo00,23,,6,0,310,6-4,Washington St.,4/9/1993,Rook,0,Detroit Lions / 5th / 151st pick / 2016,$450000
