No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
89,Jerell Adams\AdamJe01,27,,1,0,254,6-5,South Carolina,12/31/1992,3,0,New York Giants / 6th / 184th pick / 2016,$645000
27,Mike Adams\AdamMi21,38,,6,0,205,5-11,Delaware,3/24/1981,15,0,,
50,Tyrell Adams\AdamTy00,27,,5,2,230,6-2,West Georgia,4/11/1992,3,1,,$720000
37,Jahleel Addae\AddaJa00,29,,16,3,195,5-10,Central Michigan,1/24/1990,6,2,,$805000
88,Jordan Akins\AkinJo00,27,TE,16,9,243,6-4,Central Florida,4/19/1992,1,4,Houston Texans / 3rd / 98th pick / 2018,$600000
9,Bryan Anger\AngeBr00,31,,14,0,205,6-3,California,10/6/1988,7,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,$930000
30,Cornell Armstrong\ArmsCo00,24,,5,0,185,6-0,Southern Miss,9/22/1995,1,0,Miami Dolphins / 6th / 209th pick / 2018,
97,Angelo Blackson\BlacAn00,27,RDE,15,15,319,6-4,Auburn,11/14/1992,4,6,Tennessee Titans / 4th / 100th pick / 2015,$2000000
28,Briean Boddy-Calhoun\BoddBr01,26,,1,0,193,5-9,Minnesota,1/21/1993,3,0,,$720000
14,DeAndre Carter\CartDe02,26,,16,3,190,5-8,Sacramento St.,4/10/1993,1,2,,$570000
77,Chris Clark\ClarCh21,34,rt,8,7,305,6-5,Southern Miss,10/1/1985,9,4,,
51,Dylan Cole\ColeDy00,25,,11,0,237,6-0,Missouri State,5/19/1994,2,1,,$645000
22,Aaron Colvin\ColvAa00,28,,1,1,191,6-0,Oklahoma,10/2/1991,5,0,Jacksonville Jaguars / 4th / 114th pick / 2014,$7500000
22,Gareon Conley\ConlGa00,24,rcb,8,6,190,6-0,Ohio St.,6/29/1995,2,2,Oakland Raiders / 1st / 24th pick / 2017,
16,Keke Coutee\CoutKe00,22,,9,4,180,5-11,Texas Tech,1/14/1997,1,3,Houston Texans / 4th / 103rd pick / 2018,$570000
28,Xavier Crawford\CrawXa00,24,,4,0,187,5-11,Central Michigan,12/10/1995,Rook,0,Houston Texans / 6th / 195th pick / 2019,$495000
35,Keion Crossen\CrosKe00,23,,16,0,185,5-10,West. Carolina,4/17/1996,1,1,New England Patriots / 7th / 243rd pick / 2018,
41,Zach Cunningham\CunnZa00,25,RILB,16,16,238,6-3,Vanderbilt,12/2/1994,2,8,Houston Texans / 2nd / 57th pick / 2017,$871522
8,Trevor Daniel\DaniTr00,25,,2,0,231,6-1,Tennessee,12/8/1994,1,0,,$570000
92,Brandon Dunn\DunnBr00,27,lde,16,6,310,6-2,Louisville,9/5/1992,5,3,,$2025000
7,Ka'imi Fairbairn\FairKa01,25,,16,0,183,6-0,UCLA,1/29/1994,2,3,,$3095000
87,Darren Fells\FellDa01,33,TE,16,14,270,6-7,UC Irvine,4/22/1986,6,3,,$900000
15,Will Fuller\FullWi01,25,WR,11,11,184,6-0,Notre Dame,4/16/1994,3,6,Houston Texans / 1st / 21st pick / 2016,$1836043
73,Zach Fulton\FultZa00,28,RG,15,15,321,6-5,Tennessee,9/23/1991,5,7,Kansas City Chiefs / 6th / 193rd pick / 2014,$6500000
29,Phillip Gaines\GainPh00,28,,6,2,193,6-0,Rice,4/4/1991,5,1,Kansas City Chiefs / 3rd / 87th pick / 2014,
44,Cullen Gillaspia\GillCu00,24,,16,0,235,6-2,Texas A&M,5/12/1995,Rook,0,Houston Texans / 7th / 220th pick / 2019,$495000
39,Tashaun Gipson\GipsTa00,29,SS,14,14,212,6-1,Wyoming,8/7/1990,7,5,,$2500000
28,Vernon Hargreaves III\HargVe00,24,,6,2,204,5-10,Florida,6/3/1995,3,1,Tampa Bay Buccaneers / 1st / 11th pick / 2016,
93,Joel Heath\HeatJo00,26,,2,1,302,6-6,Michigan St.,6/18/1993,3,0,,$720000
76,Seantrel Henderson\HendSe00,27,,4,1,351,6-7,Miami (FL),1/21/1992,5,1,Buffalo Bills / 7th / 237th pick / 2014,$1500000
10,DeAndre Hopkins*+\HopkDe00,27,WR,15,15,212,6-1,Clemson,6/6/1992,6,11,Houston Texans / 1st / 27th pick / 2013,$12500000
71,Tytus Howard\HowaTy00,23,RT,8,8,322,6-5,Alabama St.,5/23/1996,Rook,5,Houston Texans / 1st / 23rd pick / 2019,$495000
