No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
49,Matthew Adams\AdamMa00,25,,9,0,229,6-0,Houston,12/12/1995,2,1,Indianapolis Colts / 7th / 221st pick / 2018,$644118
81,Mo Alie-Cox\AlieMo00,27,te,15,6,267,6-5,Virginia Commonwealth,9/19/1993,2,3,,$750000
6,Ryan Allen\AlleRy01,30,,2,0,220,6-2,Louisiana Tech,2/28/1990,7,0,,
96,Denico Autry\AutrDe00,30,RDE,14,13,285,6-5,East Mississippi CCMississippi St.,7/15/1990,6,6,,$5300000
52,Ben Banogu\BanoBe00,24,,9,0,252,6-3,TCU,1/19/1996,1,1,Indianapolis Colts / 2nd / 49th pick / 2019,$765205
32,Julian Blackmon\BlacJu01,22,FS,15,14,187,6-0,Utah,8/24/1998,Rook,5,Indianapolis Colts / 3rd / 85th pick / 2020,$610000
3,Rodrigo Blankenship\BlanRo03,23,,16,0,191,6-1,Georgia,1/29/1997,Rook,3,,$610000
7,Jacoby Brissett\BrisJa00,28,,11,0,238,6-4,FloridaNorth Carolina St.,12/11/1992,4,0,New England Patriots / 3rd / 91st pick / 2016,$6000000
99,DeForest Buckner+\BuckDe00,26,LDT,15,14,300,6-7,Oregon,3/17/1994,4,14,San Francisco 49ers / 1st / 7th pick / 2016,$12378000
80,Trey Burton\BurtTr01,29,,13,4,238,6-2,Florida,10/29/1991,6,2,,$910000
33,Ibraheim Campbell\CampIb00,28,,5,0,210,5-11,Northwestern,5/13/1992,5,0,Cleveland Browns / 4th / 115th pick / 2015,$802935
15,Parris Campbell\CampPa00,23,,2,2,205,6-0,Ohio St.,7/16/1997,1,1,Indianapolis Colts / 2nd / 59th pick / 2019,$712088
38,T.J. Carrie\CarrTr00,30,,15,2,204,6-0,Ohio,7/28/1990,6,2,Oakland Raiders / 7th / 219th pick / 2014,$910000
74,Anthony Castonzo\CastAn00,32,LT,12,12,307,6-7,Boston Col.,8/9/1988,9,6,Indianapolis Colts / 1st / 22nd pick / 2011,$7000000
62,Le'Raven Clark\ClarLe01,27,,12,3,311,6-5,Texas Tech,4/22/1993,4,2,Indianapolis Colts / 3rd / 82nd pick / 2016,$1200000
92,Kameron Cline\ClinKa00,22,,1,0,270,6-4,South Dakota,2/19/1998,Rook,0,,
91,Sheldon Day\DayxSh00,26,,4,0,294,6-1,Notre Dame,7/1/1994,4,0,Jacksonville Jaguars / 4th / 103rd pick / 2016,$1000000
84,Jack Doyle\DoylJa00,30,TE,14,12,262,6-6,Western Kentucky,5/5/1990,7,2,,$1250000
16,Ashton Dulin\DuliAs00,23,,13,0,215,6-1,Malone,5/15/1997,1,1,,$542648
60,Jake Eldrenkamp\EldrJa00,26,,2,0,300,6-5,Washington,3/4/1994,2,0,,$585000
10,Daurice Fountain\FounDa00,25,,5,0,210,6-2,Northern Iowa,12/22/1995,2,0,Indianapolis Colts / 5th / 159th pick / 2018,$635296
44,Zaire Franklin\FranZa00,24,,16,2,235,6-0,Syracuse,7/2/1996,2,2,Indianapolis Colts / 7th / 235th pick / 2018,$750000
59,Jordan Glasgow\GlasJo00,24,,13,0,,,Michigan,6/28/1996,Rook,1,Indianapolis Colts / 6th / 213th pick / 2020,$610000
64,Mark Glowinski\GlowMa00,28,RG,16,16,310,6-4,West Virginia,5/3/1992,5,8,Seattle Seahawks / 4th / 134th pick / 2015,$5000000
75,Chaz Green\GreeCh02,28,,15,1,318,6-5,Florida,4/8/1992,4,2,Dallas Cowboys / 3rd / 91st pick / 2015,$910000
41,Farrod Green\GreeFa00,23,,1,0,240,6-4,Mississippi St.,6/10/1997,Rook,0,,
12,De'Michael Harris\HarrDe11,22,,7,0,175,5-9,Southern Miss,7/12/1998,Rook,1,,
13,T.Y. Hilton\HiltT.00,31,WR,15,15,183,5-10,Florida International,11/14/1989,8,6,Indianapolis Colts / 3rd / 92nd pick / 2012,$14542000
21,Nyheim Hines\HineNy00,24,,16,2,196,5-9,North Carolina St.,11/12/1996,2,6,Indianapolis Colts / 4th / 104th pick / 2018,$750000
69,Will Holden\HoldWi00,27,,1,1,313,6-7,Vanderbilt,9/14/1993,3,1,Arizona Cardinals / 5th / 157th pick / 2017,
29,Malik Hooker\HookMa00,24,,2,2,214,6-1,Ohio St.,4/2/1996,3,1,Indianapolis Colts / 1st / 15th pick / 2017,$2183169
50,Justin Houston\HousJu00,31,LDE,16,16,270,6-3,Georgia,1/21/1989,9,7,Kansas City Chiefs / 3rd / 70th pick / 2011,$8000000
68,Joey Hunt\HuntJo00,26,,1,0,299,6-2,TCU,2/22/1994,4,0,Seattle Seahawks / 6th / 215th pick / 2016,
83,Marcus Johnson\JohnMa07,26,,11,3,207,6-1,Texas,8/5/1994,3,2,,$582353
78,Ryan Kelly*\KellRy00,27,C,15,15,307,6-4,Alabama,5/30/1993,4,12,Indianapolis Colts / 1st / 18th pick / 2016,$5350000
53,Darius Leonard*+\LeonDa00,25,LLB,14,14,230,6-2,South Carolina St.,7/27/1995,2,14,Indianapolis Colts / 2nd / 36th pick / 2018,$1138891
94,Tyquan Lewis\LewiTy00,25,,16,4,277,6-3,Ohio St.,1/30/1995,2,3,Indianapolis Colts / 2nd / 64th pick / 2018,$876914
25,Marlon Mack\MackMa00,24,,1,1,210,6-0,South Florida,3/7/1996,3,0,Indianapolis Colts / 4th / 143rd pick / 2017,$2133000
55,Cassius Marsh\MarsCa00,28,,3,0,254,6-4,UCLA,7/7/1992,6,0,Seattle Seahawks / 4th / 108th pick / 2014,
23,Kenny Moore\MoorKe03,25,LCB,16,14,190,5-9,Valdosta St.,8/23/1995,3,5,,$5750000
97,Al-Quadin Muhammad\MuhaAl00,25,,16,0,250,6-4,Miami (FL),3/28/1995,3,2,New Orleans Saints / 6th / 196th pick / 2017,$2133000
56,Quenton Nelson*+\NelsQu00,24,LG,16,16,330,6-5,Notre Dame,3/19/1996,2,15,Indianapolis Colts / 1st / 6th pick / 2018,$750000
30,George Odum+\OdumGe00,27,,16,0,202,6-1,Central Arkansas,11/3/1993,2,6,,$750000
58,Bobby Okereke\OkerBo00,24,RLB,14,8,235,6-1,Stanford,7/29/1996,1,5,Indianapolis Colts / 3rd / 89th pick / 2019,$675000
14,Zach Pascal\PascZa00,26,WR,16,14,214,6-2,Old Dominion,12/18/1994,2,5,,$750000
85,Dezmon Patmon\PatmDe00,22,,1,0,225,6-4,Washington St.,8/6/1998,Rook,0,Indianapolis Colts / 6th / 212th pick / 2020,$610000
63,Danny Pinter\PintDa00,24,,13,1,306,6-4,Ball St.,6/19/1996,Rook,1,Indianapolis Colts / 5th / 149th pick / 2020,$610000
11,Michael Pittman Jr.\PittMi01,23,WR,13,8,223,0-0,USC,10/5/1997,Rook,4,Indianapolis Colts / 2nd / 34th pick / 2020,
46,Luke Rhodes\RhodLu00,28,,16,0,238,6-2,William & Mary,12/2/1992,4,4,,$910000
27,Xavier Rhodes\RhodXa00,30,RCB,16,16,218,6-1,Florida St.,6/19/1990,7,5,Minnesota Vikings / 1st / 25th pick / 2013,$1500000
17,Philip Rivers\RivePh00,39,QB,16,16,228,6-5,North Carolina St.,12/8/1981,16,12,New York Giants / 1st / 4th pick / 2004,$13000000
34,Isaiah Rodgers\RodgIs00,22,,13,0,,,Massachusetts,1/7/1998,Rook,2,Indianapolis Colts / 6th / 211th pick / 2020,$610000
8,Rigoberto Sanchez\SancRi00,26,,14,0,195,6-0,Hawaii,9/8/1994,3,2,,$2000000
72,Braden Smith\SmitBr06,24,RT,14,14,315,6-6,Auburn,3/25/1996,2,7,Indianapolis Colts / 2nd / 37th pick / 2018,$1133972
35,Tremon Smith\SmitTr04,24,,10,0,190,6-0,Central Arkansas,7/20/1996,2,0,Kansas City Chiefs / 6th / 196th pick / 2018,$661770
45,E.J. Speed\SpeeEJ00,25,,15,0,230,6-4,Tarleton St.,6/1/1995,1,1,Indianapolis Colts / 5th / 164th pick / 2019,$675000
76,Taylor Stallworth\StalTa00,25,,16,1,305,6-2,South Carolina,8/18/1995,2,2,,$750000
90,Grover Stewart\StewGr00,27,RDT,16,16,315,6-4,Albany State (GA),10/20/1993,3,7,Indianapolis Colts / 4th / 144th pick / 2017,$2133000
28,Jonathan Taylor\TaylJo02,21,RB,15,13,226,5-10,Wisconsin,1/19/1999,Rook,10,Indianapolis Colts / 2nd / 41st pick / 2020,$610000
86,Noah Togiai\TogiNo00,23,,4,0,246,6-4,Oregon St.,7/6/1997,Rook,0,,$610000
57,Kemoko Turay\TuraKe00,25,,7,0,248,6-5,Rutgers,7/11/1995,2,1,Indianapolis Colts / 2nd / 52nd pick / 2018,$954400
65,Jared Veldheer\VeldJa20,33,,1,1,321,6-8,Hillsdale,6/14/1987,10,1,Oakland Raiders / 3rd / 69th pick / 2010,
54,Anthony Walker\WalkAn01,25,MLB,16,16,230,6-1,Northwestern,8/8/1995,3,7,Indianapolis Colts / 5th / 161st pick / 2017,$2133000
73,J'Marcus Webb\WebbJM20,32,,1,0,320,6-7,TexasNavarroWest Texas A&M,8/8/1988,10,0,Chicago Bears / 7th / 218th pick / 2010,
20,Jordan Wilkins\WilkJo01,26,,15,0,216,6-1,Mississippi,7/18/1994,2,3,Indianapolis Colts / 5th / 169th pick / 2018,$750000
37,Khari Willis\WillKh00,24,SS,14,14,213,5-11,Michigan St.,5/7/1996,1,5,Indianapolis Colts / 4th / 109th pick / 2019,$675000
31,Tavon Wilson\WilsTa00,30,,15,2,208,6-0,Illinois,3/19/1990,8,1,New England Patriots / 2nd / 48th pick / 2012,$1050000
93,Robert Windsor\WindRo01,23,,2,0,290,6-4,Penn St.,1/15/1997,Rook,0,Indianapolis Colts / 6th / 193rd pick / 2020,
34,Rock Ya-Sin\Ya-SRo00,24,LCB,13,8,192,6-0,Temple,5/23/1996,1,3,Indianapolis Colts / 2nd / 34th pick / 2019,$854839
