No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
53,Dakota Allen\AlleDa01,25,,13,2,232,6-1,Texas TechEast Mississippi CC,11/2/1995,1,1,Los Angeles Rams / 7th / 251st pick / 2019,$675000
41,Josh Allen\AlleJo03,23,LDE,8,7,262,6-5,Kentucky,7/13/1997,1,3,Jacksonville Jaguars / 1st / 7th pick / 2019,$1528756
36,Luq Barcoo\BarcLu00,22,,3,1,175,6-1,San Diego St.,7/27/1998,Rook,0,,
78,Ben Bartch\BartBe00,22,,13,1,309,6-6,Saint John's (MN),7/22/1998,Rook,1,Jacksonville Jaguars / 4th / 116th pick / 2020,$610000
1,Jonathan Brown\BrowJo03,28,,1,0,194,5-10,Louisville,12/7/1992,2,0,,
90,Taven Bryan\BryaTa00,24,LDT,16,8,291,6-4,Florida,3/11/1996,2,3,Jacksonville Jaguars / 1st / 29th pick / 2018,$1403178
60,A.J. Cann\CannA.00,29,RG,15,15,325,6-3,South Carolina,10/23/1991,5,6,Jacksonville Jaguars / 3rd / 67th pick / 2015,$4675000
45,K'Lavon Chaisson\ChaiKL00,21,,16,3,254,6-3,LSU,7/25/1999,Rook,2,Jacksonville Jaguars / 1st / 20th pick / 2020,$610000
17,DJ Chark\CharDJ00,24,WR,13,12,198,6-4,LSU,9/23/1996,2,5,Jacksonville Jaguars / 2nd / 61st pick / 2018,$884294
27,Chris Claybrooks\ClayCh02,23,,13,4,,,Memphis,7/17/1997,Rook,2,Jacksonville Jaguars / 7th / 223rd pick / 2020,$610000
84,Keelan Cole\ColeKe00,27,wr,16,5,194,6-1,Kentucky Wesleyan,4/20/1993,3,5,,$3259000
1,Dustin Colquitt\ColqDu20,38,,1,0,210,6-3,Tennessee,5/6/1982,15,0,Kansas City Chiefs / 3rd / 99th pick / 2005,
18,Chris Conley\ConlCh00,28,,15,4,205,6-3,Georgia,10/25/1992,5,3,Kansas City Chiefs / 3rd / 76th pick / 2015,$2275000
9,Logan Cooke\CookLo00,25,,14,0,200,6-5,Mississippi St.,7/28/1995,2,2,Jacksonville Jaguars / 7th / 247th pick / 2018,$750000
55,Kamalei Correa\CorrKa00,26,RLB,6,6,241,6-3,Boise St.,4/27/1994,4,2,Baltimore Ravens / 2nd / 42nd pick / 2016,$705888
58,Doug Costin\CostDo00,23,RDT,12,9,295,6-2,Miami (OH),10/5/1997,Rook,4,,$610000
31,Nathan Cottrell\CottNa00,24,,8,0,193,5-11,Georgia Tech,8/2/1996,Rook,0,,
87,Tyler Davis\DaviTy02,23,,8,0,,,ConnecticutGeorgia Tech,4/2/1997,Rook,0,Jacksonville Jaguars / 6th / 206th pick / 2020,$610000
88,Tyler Eifert\EifeTy00,30,,15,4,255,6-6,Notre Dame,9/8/1990,7,2,Cincinnati Bengals / 1st / 21st pick / 2013,$1000000
99,Daniel Ekuale\EkuaDa00,26,dt,9,5,300,6-3,Washington St.,1/13/1994,1,2,,$595588
86,Ben Ellefson\ElleBe00,24,,7,4,250,6-3,North Dakota St.,9/1/1996,Rook,0,,$504702
43,Joe Giles-Harris\GileJo01,23,,9,3,234,6-2,,4/1/1997,1,2,,$585000
2,Mike Glennon\GlenMi00,31,qb,5,5,225,6-7,North Carolina St.,12/12/1989,7,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1050000
14,Terry Godwin\GodwTe00,24,,3,0,185,5-11,Georgia,10/23/1996,Rook,0,Carolina Panthers / 7th / 237th pick / 2019,
96,Adam Gotsis\GotsAd00,28,RDE,16,14,287,6-4,Georgia Tech,9/23/1992,4,5,Denver Broncos / 2nd / 63rd pick / 2016,$910000
52,DaVon Hamilton\HamiDa02,23,ldt,11,6,320,6-4,Ohio St.,2/1/1997,Rook,3,Jacksonville Jaguars / 3rd / 73rd pick / 2020,$610000
3,Stephen Hauschka\HausSt00,35,,1,0,210,6-4,MiddleburyNorth Carolina St.,6/29/1985,12,-1,,
25,D.J. Hayden\HaydDJ00,30,,5,1,190,5-11,Houston,6/27/1990,7,1,Oakland Raiders / 1st / 12th pick / 2013,$6000000
23,C.J. Henderson\HendCJ00,22,LCB,8,8,204,6-1,Florida,9/30/1998,Rook,3,Jacksonville Jaguars / 1st / 9th pick / 2020,$610000
37,Tre Herndon\HernTr00,24,LCB,16,12,185,5-11,Vanderbilt,3/5/1996,2,4,,$750000
44,Myles Jack\JackMy00,25,LLB,14,14,244,6-1,UCLA,9/3/1995,4,7,Jacksonville Jaguars / 2nd / 36th pick / 2016,$12750000
48,Leon Jacobs\JacoLe00,25,,3,2,245,6-2,Wisconsin,10/3/1995,2,1,Jacksonville Jaguars / 7th / 230th pick / 2018,$502942
98,Timmy Jernigan\JernTi00,28,,3,0,295,6-2,Florida St.,9/24/1992,6,0,Baltimore Ravens / 2nd / 48th pick / 2014,$910000
19,Collin Johnson\JohnCo01,23,,14,0,222,6-6,Texas,9/23/1997,Rook,2,Jacksonville Jaguars / 5th / 165th pick / 2020,$610000
95,Abry Jones\JoneAb00,29,rdt,5,5,318,6-4,Georgia,9/8/1991,7,2,,$3400000
29,Josh Jones\JoneJo06,26,SS,13,13,220,6-2,North Carolina St.,9/20/1994,3,4,Green Bay Packers / 2nd / 61st pick / 2017,$825000
22,Sidney Jones\JoneSi00,24,RCB,9,6,181,6-0,Washington,5/21/1996,3,3,Philadelphia Eagles / 2nd / 43rd pick / 2017,$776471
4,Josh Lambo\LambJo00,30,,4,0,215,6-0,Texas A&M,11/19/1990,5,1,,$3000000
65,Brandon Linder\LindBr00,28,C,9,9,315,6-6,Miami (FL),1/25/1992,6,4,Jacksonville Jaguars / 3rd / 93rd pick / 2014,$7000000
6,Jake Luton\LutoJa00,24,,3,3,224,6-6,IdahoOregon St.,4/11/1996,Rook,1,Jacksonville Jaguars / 6th / 189th pick / 2020,$610000
59,Aaron Lynch\LyncAa00,27,,8,0,285,6-5,South Florida,2/8/1993,6,1,San Francisco 49ers / 5th / 150th pick / 2014,$588824
34,Greg Mabin\MabiGr00,26,,5,4,200,6-1,Iowa,6/25/1994,3,1,,
54,Cassius Marsh\MarsCa00,28,,4,1,254,6-4,UCLA,7/7/1992,6,1,Seattle Seahawks / 4th / 108th pick / 2014,$910000
46,Ross Matiscik\MatiRo00,24,,16,0,235,6-0,Baylor,9/13/1996,Rook,1,,
62,KC McDermott\McDeKC01,24,,7,0,311,6-5,Miami (FL),4/18/1996,Rook,0,,$510000
3,Chase McLaughlin\McLaCh00,24,,3,0,187,5-11,Illinois,4/9/1996,1,0,,$317647
5,Quenton Meeks\MeekQu00,23,,4,0,209,6-1,Stanford,6/20/1997,2,0,,
39,Doug Middleton\MiddDo01,27,,10,0,210,6-0,Appalachian St.,9/25/1993,4,1,,
49,Bruce Miller\MillBr02,33,FB,8,5,254,6-1,Central Florida,8/6/1987,9,0,San Francisco 49ers / 7th / 211th pick / 2011,$910000
15,Gardner Minshew II\MinsGa00,24,QB,9,8,225,6-1,Washington St.,5/16/1996,1,6,Jacksonville Jaguars / 6th / 178th pick / 2019,$850000
68,Andrew Norwell\NorwAn01,29,LG,13,13,325,6-6,Ohio St.,10/25/1991,6,5,,$9000000
38,Josh Nurse\NursJo00,24,,2,0,200,6-3,Utah,7/17/1996,Rook,0,,
80,James O'Shaughnessy\O'ShJa00,28,TE,15,13,245,6-4,Illinois St.,1/14/1992,5,2,Kansas City Chiefs / 5th / 173rd pick / 2015,$910000
33,Dare Ogunbowale\OgunDa00,26,,14,2,205,5-10,Wisconsin,5/4/1994,3,1,,$675000
33,Devine Ozigbo\OzigDe01,24,,8,0,225,6-0,Nebraska,10/2/1996,1,0,,$544706
50,Shaquille Quarterman\QuarSh00,23,,12,0,234,6-0,Miami (FL),10/28/1997,Rook,1,Jacksonville Jaguars / 4th / 140th pick / 2020,$498821
16,Trey Quinn\QuinTr00,25,,1,0,200,6-0,SMU,12/7/1995,2,0,Washington Redskins / 7th / 256th pick / 2018,
92,Caraun Reid\ReidCa00,29,,7,0,292,6-2,Princeton,11/23/1991,6,0,Detroit Lions / 5th / 158th pick / 2014,$695877
48,Craig Reynolds\ReynCr00,24,,2,0,215,5-11,Kutztown (PA),6/15/1996,1,0,,
76,Will Richardson\RichWi01,24,,16,1,303,6-6,North Carolina St.,1/4/1996,2,1,Jacksonville Jaguars / 4th / 129th pick / 2018,$750000
74,Cam Robinson\RobiCa00,25,LT,16,16,320,6-6,Alabama,10/9/1995,3,6,Jacksonville Jaguars / 2nd / 34th pick / 2017,$1422022
30,James Robinson\RobiJa00,22,RB,14,14,220,5-10,Illinois St.,8/9/1998,Rook,8,,$610000
7,Aldrick Rosas\RosaAl00,26,,6,0,221,6-3,Southern Oregon,12/30/1994,3,1,,
93,Daniel Ross\RossDa02,27,,2,0,305,6-3,Northeast Mississippi CC,3/15/1993,3,0,,
85,Eric Saubert\SaubEr00,26,,8,4,253,6-5,Drake,5/1/1994,3,0,Atlanta Falcons / 5th / 174th pick / 2017,$825000
47,Joe Schobert\SchoJo00,27,MLB,16,16,245,6-1,Wisconsin,11/6/1993,4,8,Cleveland Browns / 4th / 99th pick / 2016,$2500000
24,Josiah Scott\ScotJo00,21,,6,0,185,5-9,Michigan St.,4/5/1999,Rook,0,Jacksonville Jaguars / 4th / 137th pick / 2020,$610000
69,Tyler Shatley\ShatTy00,29,C,16,10,310,6-3,Clemson,5/5/1991,6,4,,$1375000
98,Jabaal Sheard\SheaJa00,31,,1,0,268,6-3,Pittsburgh,5/10/1989,9,0,Cleveland Browns / 2nd / 37th pick / 2011,
10,Laviska Shenault Jr.\ShenLa00,22,WR,14,12,227,6-1,Colorado,10/5/1998,Rook,5,Jacksonville Jaguars / 2nd / 42nd pick / 2020,
94,Dawuane Smoot\SmooDa00,25,lde,16,7,264,6-3,Illinois,3/2/1995,3,4,Jacksonville Jaguars / 3rd / 68th pick / 2017,$964353
75,Jawaan Taylor\TaylJa02,23,RT,16,16,312,6-5,Florida,11/25/1997,1,6,Jacksonville Jaguars / 2nd / 35th pick / 2019,$850632
20,Daniel Thomas\ThomDa07,22,,10,2,215,5-10,Auburn,7/1/1998,Rook,1,Jacksonville Jaguars / 5th / 157th pick / 2020,$610000
34,Chris Thompson\ThomCh03,30,,8,0,195,5-8,Florida St.,10/20/1990,7,1,Washington Redskins / 5th / 154th pick / 2013,$1050000
77,Tre'Vour Wallace-Simms\WallTr01,23,,4,0,336,6-4,Missouri,9/25/1997,Rook,0,,
40,Brandon Watson\WatsBr01,25,,16,1,198,5-11,Michigan,7/11/1995,1,1,,$675000
