No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
73,Nick Allegretti\AlleNi00,23,,7,0,320,6-4,Illinois,4/21/1996,Rook,1,Kansas City Chiefs / 7th / 216th pick / 2019,$495000
79,Jeff Allen\AlleJe01,29,,4,0,306,6-4,Illinois,1/8/1990,7,0,Kansas City Chiefs / 2nd / 44th pick / 2012,
81,Blake Bell\BellBl00,28,TE,15,7,252,6-6,Oklahoma,8/7/1991,4,1,San Francisco 49ers / 4th / 117th pick / 2015,$805000
21,Bashaud Breeland\BreeBa00,27,LCB,16,15,195,5-11,Clemson,1/30/1992,5,6,Washington Redskins / 4th / 102nd pick / 2014,$805000
30,Alex Brown\BrowAl02,23,,3,0,170,5-11,South Carolina St.,8/30/1996,Rook,0,,
7,Harrison Butker\ButkHa00,24,,16,0,205,6-4,Georgia Tech,7/14/1995,2,5,Carolina Panthers / 7th / 233rd pick / 2017,$645000
20,Morris Claiborne\ClaiMo00,29,,8,1,192,5-11,LSU,2/7/1990,7,1,Dallas Cowboys / 1st / 6th pick / 2012,$1080000
55,Frank Clark*\ClarFr01,26,RDE,14,11,260,6-3,Michigan,6/14/1993,4,9,Seattle Seahawks / 2nd / 63rd pick / 2015,$805000
2,Dustin Colquitt\ColqDu20,37,,16,0,210,6-3,Tennessee,5/6/1982,14,2,Kansas City Chiefs / 3rd / 99th pick / 2005,$2450000
12,Gehrig Dieter\DietGe00,26,,2,0,207,6-3,Alabama,2/24/1993,1,0,,$570000
76,Laurent Duvernay-Tardif\DuveLa00,28,RG,14,14,321,6-5,McGill,2/11/1991,5,7,Kansas City Chiefs / 6th / 200th pick / 2014,$6203000
75,Cameron Erving\ErviCa00,27,LT,13,8,313,6-5,Florida St.,8/23/1992,4,5,Cleveland Browns / 1st / 19th pick / 2015,$1450000
27,Rashad Fenton\FentRa00,22,,12,0,188,5-11,South Carolina,2/17/1997,Rook,1,Kansas City Chiefs / 6th / 201st pick / 2019,$495000
72,Eric Fisher\FishEr00,28,LT,8,8,315,6-7,Central Michigan,1/5/1991,6,5,Kansas City Chiefs / 1st / 1st pick / 2013,$10350000
29,Kendall Fuller\FullKe00,24,,11,4,198,5-11,Virginia Tech,2/13/1995,3,2,Washington Redskins / 3rd / 84th pick / 2016,$2025000
17,Mecole Hardman*\HardMe00,21,wr,16,5,187,5-10,Georgia,3/12/1998,Rook,7,Kansas City Chiefs / 2nd / 56th pick / 2019,$495000
52,Demone Harris\HarrDe06,24,,4,0,272,6-4,Buffalo,12/30/1995,1,0,,
10,Tyreek Hill*\HillTy00,25,WR,12,12,185,5-10,West Alabama,3/1/1994,3,9,Kansas City Chiefs / 5th / 165th pick / 2016,$1965036
53,Anthony Hitchens\HitcAn00,27,LLB,15,15,235,6-0,Iowa,6/10/1992,5,7,Dallas Cowboys / 4th / 119th pick / 2014,$6500000
60,Ryan Hunter\HuntRy00,24,,3,0,316,6-3,Bowling Green,1/1/1995,Rook,0,,$495000
93,Joey Ivie\IvieJo00,24,,5,0,301,6-3,Florida,1/22/1995,1,0,Dallas Cowboys / 7th / 228th pick / 2017,$495000
95,Chris Jones*\JoneCh09,25,LDT,13,12,310,6-6,Mississippi St.,7/3/1994,3,9,Kansas City Chiefs / 2nd / 37th pick / 2016,$1199714
87,Travis Kelce*\KelcTr00,30,TE,16,16,260,6-5,Cincinnati,10/5/1989,6,13,Kansas City Chiefs / 3rd / 63rd pick / 2013,$7500000
92,Tanoh Kpassagnon\KpasTa00,25,LDE,16,8,289,6-7,Villanova,6/14/1994,2,5,Kansas City Chiefs / 2nd / 59th pick / 2017,$832838
50,Darron Lee\LeexDa00,25,,16,2,232,6-1,Ohio St.,10/18/1994,3,2,New York Jets / 1st / 20th pick / 2016,$1843861
24,Jordan Lucas\LucaJo00,26,,14,0,190,6-1,Penn St.,8/2/1993,3,1,Miami Dolphins / 6th / 204th pick / 2016,$2025000
15,Patrick Mahomes*\MahoPa00,24,QB,14,14,230,6-3,Texas Tech,9/17/1995,2,17,Kansas City Chiefs / 1st / 10th pick / 2017,$645000
32,Tyrann Mathieu+\MathTy00,27,SS,16,16,190,5-9,LSU,5/13/1992,6,10,Arizona Cardinals / 3rd / 69th pick / 2013,$850000
69,Terrell McClain\McClTe00,31,,2,0,300,6-2,South Florida,7/20/1988,8,0,Carolina Panthers / 3rd / 65th pick / 2011,
25,LeSean McCoy\McCoLe01,31,RB,13,9,210,5-11,Pittsburgh,7/12/1988,10,6,Philadelphia Eagles / 2nd / 53rd pick / 2009,
8,Matt Moore\MoorMa01,35,,6,2,219,6-3,Oregon St.,8/9/1984,12,2,,
56,Ben Niemann\NiemBe00,24,,16,1,235,6-2,Iowa,7/27/1995,1,2,,$570000
91,Derrick Nnadi\NnadDe00,23,RDT,16,16,312,6-1,Florida St.,5/9/1996,1,7,Kansas City Chiefs / 3rd / 75th pick / 2018,$601500
44,Dorian O'Daniel\ODanDo00,25,,14,0,220,6-1,Clemson,9/4/1994,1,1,Kansas City Chiefs / 3rd / 100th pick / 2018,$584000
90,Emmanuel Ogbah\OgbaEm00,26,,10,4,275,6-4,Oklahoma St.,11/6/1993,3,3,Cleveland Browns / 2nd / 32nd pick / 2016,$1351315
97,Alex Okafor\OkafAl00,28,LDE,10,9,261,6-4,Texas,2/8/1991,6,4,Arizona Cardinals / 4th / 103rd pick / 2013,$805000
64,Mike Pennel\PennMi00,28,,8,0,330,6-4,Arizona St.,5/9/1991,5,1,,
13,Byron Pringle\PrinBy00,26,,16,0,203,6-1,Kansas St.,11/17/1993,1,2,,$495000
59,Reggie Ragland\RaglRe00,26,il,14,7,252,6-2,Alabama,9/23/1993,2,4,Buffalo Bills / 2nd / 41st pick / 2016,$1196551
