No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
32,Nasir Adderley\AddeNa00,22,,4,0,206,6-0,Delaware,5/31/1997,Rook,0,Los Angeles Chargers / 2nd / 60th pick / 2019,$495000
13,Keenan Allen*\AlleKe00,27,WR,16,16,211,6-2,California,4/27/1992,6,10,San Diego Chargers / 3rd / 76th pick / 2013,$10000000
82,Stephen Anderson\AndeSt01,26,,1,0,230,6-3,California,1/30/1993,3,0,,
4,Michael Badgley\BadgMi00,24,,8,0,183,5-10,Miami (FL),7/28/1995,1,2,,$570000
12,Travis Benjamin\BenjTr00,30,,5,2,175,5-10,Miami (FL),12/29/1989,7,0,Cleveland Browns / 4th / 100th pick / 2012,$5250000
97,Joey Bosa*\BosaJo00,24,LDE,16,16,280,6-5,Ohio St.,7/11/1995,3,11,San Diego Chargers / 1st / 3rd pick / 2016,$720000
91,Cortez Broughton\BrouCo00,23,,2,0,293,6-2,Cincinnati,9/2/1996,Rook,0,Los Angeles Chargers / 7th / 242nd pick / 2019,$495000
57,Jatavis Brown\BrowJa05,25,,13,1,221,5-11,Akron,2/18/1994,3,2,San Diego Chargers / 5th / 175th pick / 2016,$2025000
80,Sean Culkin\CulkSe00,26,,4,2,255,6-5,Missouri,6/11/1993,2,0,,$645000
11,Geremy Davis\DaviGe00,27,,7,1,211,6-3,Connecticut,1/10/1992,4,0,New York Giants / 6th / 186th pick / 2015,$805000
43,Michael Davis\DaviMi03,24,LCB,12,12,196,6-2,BYU,1/6/1995,2,5,,$645000
58,Thomas Davis\DaviTh20,36,LLB,16,16,235,6-1,Georgia,3/22/1983,14,7,Carolina Panthers / 1st / 14th pick / 2005,$1250000
48,Nick Dzubnar\DzubNi00,28,,16,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,4,1,,$1375000
51,Emeke Egbule\EgbuEm00,23,,15,0,245,6-2,Houston,10/13/1996,Rook,1,Los Angeles Chargers / 6th / 200th pick / 2019,$495000
30,Austin Ekeler\EkelAu00,24,RB,16,8,200,5-10,Western St. (CO),5/17/1995,2,11,,$645000
28,Brandon Facyson\FacyBr00,25,,16,4,197,6-2,Virginia Tech,9/8/1994,1,2,,$570000
66,Dan Feeney\FeenDa00,25,LG,16,16,310,6-4,Indiana,5/29/1994,2,8,Los Angeles Chargers / 3rd / 71st pick / 2017,$793000
25,Melvin Gordon\GordMe00,26,RB,12,11,215,6-1,Wisconsin,4/13/1993,4,6,San Diego Chargers / 1st / 15th pick / 2015,$5605000
88,Virgil Green\GreeVi00,31,,15,4,255,6-5,Nevada,8/3/1988,8,1,Denver Broncos / 7th / 204th pick / 2011,$2500000
72,Ryan Groy\GroyRy00,29,,9,0,320,6-5,Wisconsin,9/30/1990,5,1,,
15,Jalen Guyton\GuytJa01,22,,3,0,212,6-1,North Texas,6/7/1997,Rook,0,,
26,Casey Hayward\HaywCa00,30,RCB,16,16,192,5-11,Vanderbilt,9/9/1989,7,6,Green Bay Packers / 2nd / 62nd pick / 2012,$8000000
86,Hunter Henry\HenrHu00,25,TE,12,12,250,6-5,Arkansas,12/7/1994,3,5,San Diego Chargers / 2nd / 35th pick / 2016,$1170042
54,Melvin Ingram*\IngrMe00,30,RDE,13,13,247,6-2,South Carolina,4/26/1989,7,10,San Diego Chargers / 1st / 18th pick / 2012,$17000000
15,Dontrelle Inman\InmaDo00,30,,4,1,205,6-3,Virginia,1/31/1989,5,1,,
22,Justin Jackson\JackJu01,23,,7,0,199,6-0,Northwestern,4/22/1996,1,1,Los Angeles Chargers / 7th / 251st pick / 2018,$570000
33,Derwin James\JameDe00,23,fs,5,5,215,6-2,Florida St.,8/3/1996,1,2,Los Angeles Chargers / 1st / 17th pick / 2018,$1043134
23,Rayshawn Jenkins\JenkRa00,25,SS,16,16,220,6-1,Miami (FL),1/25/1994,2,6,Los Angeles Chargers / 4th / 113th pick / 2017,$645000
29,Dontae Johnson\JohnDo02,28,,2,0,200,6-2,North Carolina St.,12/1/1991,5,0,San Francisco 49ers / 4th / 129th pick / 2014,
93,Justin Jones\JoneJu03,23,LDT,12,12,309,6-3,North Carolina St.,8/28/1996,1,5,Los Angeles Chargers / 3rd / 84th pick / 2018,$621481
87,Lance Kendricks\KendLa00,31,,12,1,250,6-3,Wisconsin,1/30/1988,8,0,St. Louis Rams / 2nd / 47th pick / 2011,
20,Desmond King\KingDe01,25,DB,15,8,200,5-10,Iowa,12/14/1994,2,5,Los Angeles Chargers / 5th / 151st pick / 2017,$645000
77,Forrest Lamp\LampFo00,25,,7,2,310,6-4,Western Kentucky,2/20/1994,1,1,Los Angeles Chargers / 2nd / 38th pick / 2017,$1071084
1,Ty Long\LongTy00,26,,16,0,205,6-2,Ala-Birmingham,4/6/1993,Rook,4,,
24,Shalom Luani\LuanSh00,25,,3,0,202,6-0,Washington St.,8/5/1994,2,0,Oakland Raiders / 7th / 221st pick / 2017,
45,Cole Mazza\MazzCo01,24,,16,0,247,6-1,Alabama,2/14/1995,Rook,1,,$495000
95,T.Y. McGill\McGiT.00,27,,3,0,299,6-0,North Carolina St.,11/23/1992,4,0,,$805000
3,Chase McLaughlin\McLaCh00,23,,4,0,187,5-11,Illinois,4/9/1996,Rook,0,,
92,Brandon Mebane\MebaBr99,34,NT,13,13,311,6-1,California,1/15/1985,12,6,Seattle Seahawks / 3rd / 85th pick / 2007,$1050000
89,Jason Moore\MoorJa02,24,,10,0,215,6-3,Findlay,6/23/1995,Rook,0,,
42,Uchenna Nwosu\NwosUc00,23,,16,3,251,6-2,USC,12/28/1996,1,3,Los Angeles Chargers / 2nd / 48th pick / 2018,$741799
76,Russell Okung\OkunRu20,31,lt,6,6,310,6-5,Oklahoma St.,10/7/1988,9,3,Seattle Seahawks / 1st / 6th pick / 2010,$13000000
16,Andre Patton\PattAn00,25,WR,13,5,200,6-4,Rutgers,5/28/1994,1,0,,$495000
40,Chris Peace\PeacCh00,23,,1,0,250,6-2,Virginia,2/8/1996,Rook,0,,$495000
52,Denzel Perryman\PerrDe00,27,MLB,14,10,240,5-11,Miami (FL),12/5/1992,4,5,San Diego Chargers / 2nd / 48th pick / 2015,$850000
31,Adrian Phillips\PhilAd00,27,db,7,5,210,5-11,Texas,3/28/1992,5,2,,$1500000
79,Trey Pipkins\PipkTr00,23,,13,3,309,6-6,Sioux Falls,9/5/1996,Rook,2,Los Angeles Chargers / 3rd / 91st pick / 2019,$495000
35,Troymaine Pope\PopeTr00,26,,14,0,205,5-9,Jacksonville St.,11/26/1993,3,0,,$645000
53,Mike Pouncey\PounMi00,30,c,5,5,298,6-5,Florida,7/24/1989,8,2,Miami Dolphins / 1st / 15th pick / 2011,$6000000
61,Scott Quessenberry\QuesSc00,24,C,16,9,310,6-3,UCLA,3/23/1995,1,5,Los Angeles Chargers / 5th / 155th pick / 2018,$570000
