No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
31,Maurice Alexander\AlexMa00,25,FS,14,14,220,6-2,Utah St.,2/16/1991,2,8,St. Louis Rams / 4th / 110th pick / 2014,$600000
66,David Arkin\ArkiDa00,29,,2,0,300,6-5,Missouri State,10/7/1987,5,0,Dallas Cowboys / 4th / 110th pick / 2011,$119117
11,Tavon Austin\AustTa00,26,WR,15,15,179,5-8,West Virginia,3/15/1990,3,4,St. Louis Rams / 1st / 8th pick / 2013,$1111111
61,Tim Barnes\BarnTi01,28,C,16,16,297,6-4,Missouri,5/14/1988,5,6,,$1250000
26,Mark Barron\BarrMa00,27,LLB,16,16,230,6-2,Alabama,10/27/1989,4,11,Tampa Bay Buccaneers / 1st / 7th pick / 2012,$5000000
18,Kenny Britt\BritKe00,28,WR,15,15,230,6-3,Rutgers,9/19/1988,7,6,Tennessee Titans / 1st / 30th pick / 2009,$3600000
90,Michael Brockers\BrocMi00,26,RDT,14,14,305,6-5,LSU,12/21/1990,4,7,St. Louis Rams / 1st / 14th pick / 2012,$6146000
68,Jamon Brown\BrowJa04,23,,11,5,340,6-4,Louisville,3/15/1993,1,0,St. Louis Rams / 3rd / 72nd pick / 2015,$575575
39,Malcolm Brown\BrowMa03,23,,16,0,222,5-11,Texas,5/15/1993,1,0,,$450000
41,Marqui Christian\ChriMa00,22,,11,0,207,5-11,Midwestern St.,10/27/1994,Rook,0,Arizona Cardinals / 5th / 167th pick / 2016,$450000
10,Pharoh Cooper\CoopPh00,21,,10,3,208,5-11,South Carolina,3/7/1995,Rook,1,Los Angeles Rams / 4th / 117th pick / 2016,$450000
24,Blake Countess\CounBl00,23,,5,2,191,5-10,AuburnMichigan,8/8/1993,Rook,0,Philadelphia Eagles / 6th / 196th pick / 2016,$450000
23,Benny Cunningham\CunnBe01,26,,11,0,218,5-10,Middle Tenn. St.,7/7/1990,3,1,,$1671000
38,Cody Davis\DaviCo02,27,,15,3,203,6-2,Texas Tech,6/6/1989,3,0,,$750000
99,Aaron Donald*+\DonaAa00,25,LDT,16,16,280,6-1,Pittsburgh,5/23/1991,2,19,St. Louis Rams / 1st / 13th pick / 2014,$1341500
64,Andrew Donnal\DonnAn00,24,,16,4,305,6-6,Iowa,3/3/1992,1,0,St. Louis Rams / 4th / 119th pick / 2015,$525000
91,Dominique Easley\EaslDo00,24,,16,0,263,6-2,Florida,4/28/1992,2,0,New England Patriots / 1st / 29th pick / 2014,$600000
59,Josh Forrest\ForrJo00,24,,10,4,249,6-3,Kentucky,2/24/1992,Rook,0,Los Angeles Rams / 6th / 190th pick / 2016,$450000
70,Morgan Fox\FoxxMo00,22,,4,0,275,6-3,Colorado State-Pueblo,9/12/1994,Rook,0,,$79410
33,E.J. Gaines\GainE.00,24,RCB,11,10,190,5-10,Missouri,2/23/1992,2,5,St. Louis Rams / 6th / 188th pick / 2014,$600000
16,Jared Goff\GoffJa00,22,qb,7,7,222,6-4,California,10/14/1994,Rook,-2,Los Angeles Rams / 1st / 1st pick / 2016,$450000
21,Dwayne Gratz\GratDw00,26,,3,0,201,5-11,Connecticut,3/8/1990,3,0,Jacksonville Jaguars / 3rd / 64th pick / 2013,$1845394
36,Aaron Green\GreeAa01,24,,2,0,206,5-11,TCU,10/15/1992,Rook,0,,$52940
55,Nicholas Grigsby\GrigNi01,24,,6,0,230,6-2,Pittsburgh,7/2/1992,Rook,0,,$450000
