No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
24,Johnathan Abram\AbraJo01,23,,1,1,205,6-0,Mississippi St.,10/25/1996,Rook,0,Oakland Raiders / 1st / 27th pick / 2019,$495000
51,Dakota Allen\AlleDa01,24,,2,0,232,6-1,Texas TechEast Mississippi CC,11/2/1995,Rook,0,Los Angeles Rams / 7th / 251st pick / 2019,
88,Marcell Ateman\AtemMa00,25,,11,0,215,6-4,Oklahoma St.,9/16/1994,1,1,Oakland Raiders / 7th / 228th pick / 2018,$570000
54,Preston Brown\BrowPr00,27,,1,0,251,6-1,Louisville,10/27/1992,5,0,Buffalo Bills / 3rd / 73rd pick / 2014,
77,Trent Brown*\BrowTr02,26,RT,11,11,380,6-8,Florida,4/13/1993,4,7,San Francisco 49ers / 7th / 244th pick / 2015,$5000000
55,Vontaze Burfict\BurfVo00,29,MLB,4,4,255,6-1,Arizona St.,9/24/1990,7,2,,$1150000
8,Daniel Carlson\CarlDa00,24,,16,0,215,6-5,Auburn,1/23/1995,1,2,Minnesota Vikings / 5th / 167th pick / 2018,$570000
4,Derek Carr\CarrDe02,28,QB,16,16,210,6-3,Fresno St.,3/28/1991,5,11,Oakland Raiders / 2nd / 36th pick / 2014,$19900000
85,Derek Carrier\CarrDe00,29,,16,4,240,6-3,Beloit,7/25/1990,7,1,,$1600000
6,AJ Cole III\ColeAJ01,24,,16,0,220,6-4,North Carolina St.,11/27/1995,Rook,2,,
51,William Compton\CompWi00,30,,9,4,235,6-1,Nebraska,9/19/1989,6,2,,
21,Gareon Conley\ConlGa00,24,rcb,6,6,190,6-0,Ohio St.,6/29/1995,2,2,Oakland Raiders / 1st / 24th pick / 2017,$1416584
67,Lester Cotton\CottLe00,23,,1,0,335,6-4,Alabama,2/20/1996,Rook,0,,
98,Maxx Crosby\CrosMa00,22,RDE,16,10,255,6-5,East. Michigan,8/22/1997,Rook,6,Oakland Raiders / 4th / 106th pick / 2019,$822500
11,Trevor Davis\DaviTr03,26,,9,4,188,6-1,California,7/4/1993,3,1,Green Bay Packers / 5th / 163rd pick / 2016,
65,Jordan Devey\DeveJo00,31,,4,4,320,6-6,Memphis,1/11/1988,6,2,,$805000
18,Keelan Doss\DossKe00,23,,8,2,215,6-3,California-Davis,3/21/1996,Rook,1,,
96,Clelin Ferrell\FerrCl00,22,LDE,15,15,265,6-4,Clemson,5/17/1997,Rook,7,Oakland Raiders / 1st / 4th pick / 2019,$495000
10,Rico Gafford\GaffRi00,23,,4,1,185,5-10,Wyoming,5/23/1996,1,0,,$495000
7,Mike Glennon\GlenMi00,30,,2,0,225,6-7,North Carolina St.,12/12/1989,6,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1000000
71,Denzelle Good\GoodDe01,28,rg,16,5,340,6-5,Mars Hill,3/8/1991,4,3,Indianapolis Colts / 7th / 255th pick / 2015,$1000000
19,Ryan Grant\GranRy01,29,,2,1,195,6-0,Tulane,12/19/1990,5,0,Washington Redskins / 5th / 142nd pick / 2014,$805000
92,P.J. Hall\HallP.00,24,LDT,16,12,305,6-0,Sam Houston St.,4/5/1995,1,5,Oakland Raiders / 2nd / 57th pick / 2018,$693830
90,Johnathan Hankins\HankJo00,27,RDT,16,16,340,6-3,Ohio St.,3/30/1992,6,7,New York Giants / 2nd / 49th pick / 2013,$1000000
17,Dwayne Harris\HarrDw00,32,,3,0,215,5-10,East Carolina,9/16/1987,8,0,Dallas Cowboys / 6th / 176th pick / 2011,$930000
25,Erik Harris\HarrEr00,29,FS,16,14,220,6-2,California (PA),4/2/1990,3,5,,$1275000
61,Rodney Hudson*\HudsRo00,30,C,15,15,315,6-2,Florida St.,7/12/1989,8,10,Kansas City Chiefs / 2nd / 55th pick / 2011,$8250000
73,Maurice Hurst Jr.\HursMa00,24,,16,4,291,6-2,Michigan,5/9/1995,1,3,Oakland Raiders / 5th / 140th pick / 2018,$570000
64,Richie Incognito\IncoRi20,36,LG,12,12,325,6-3,NebraskaOregon,7/5/1983,13,5,St. Louis Rams / 3rd / 81st pick / 2005,$1030000
45,Alec Ingold\IngoAl01,23,,16,4,240,6-1,Wisconsin,7/9/1996,Rook,0,,$495000
66,Gabe Jackson\JackGa00,28,RG,11,11,335,6-3,Mississippi St.,7/12/1991,5,5,Oakland Raiders / 3rd / 81st pick / 2014,$6750000
28,Josh Jacobs\JacoJo01,21,RB,13,13,220,5-10,Alabama,2/11/1998,Rook,8,Oakland Raiders / 1st / 24th pick / 2019,$495000
68,Andre James\JameAn01,22,,12,1,300,6-4,UCLA,5/2/1997,Rook,1,,$495000
31,Isaiah Johnson\JohnIs02,24,,5,0,210,6-2,Houston,12/20/1995,Rook,0,Oakland Raiders / 4th / 129th pick / 2019,$792500
12,Zay Jones\JoneZa00,24,WR,10,7,200,6-2,East Carolina,3/30/1995,2,1,Buffalo Bills / 2nd / 37th pick / 2017,
95,Dion Jordan\JordDi00,29,,7,0,284,6-6,Oregon,3/5/1990,6,1,Miami Dolphins / 1st / 3rd pick / 2013,
42,Karl Joseph\JoseKa00,26,SS,9,9,200,5-10,West Virginia,9/8/1993,3,3,Oakland Raiders / 1st / 14th pick / 2016,$2070589
29,Lamarcus Joyner\JoynLa00,29,DB,14,10,185,5-8,Florida St.,11/27/1990,5,3,St. Louis Rams / 2nd / 41st pick / 2014,$4700000
99,Arden Key\KeyxAr00,23,,7,0,240,6-5,LSU,5/3/1996,1,1,Oakland Raiders / 3rd / 87th pick / 2018,$624250
26,Nevin Lawson\LawsNe00,28,db,11,5,190,5-9,Utah St.,4/23/1991,5,2,Detroit Lions / 4th / 133rd pick / 2014,$1000000
32,Dallin Leavitt\LeavDa00,25,,15,0,195,5-10,Utah St.,8/8/1994,1,1,,$495000
52,Marquel Lee\LeexMa01,24,,5,3,235,6-3,Wake Forest,10/21/1995,2,1,Oakland Raiders / 5th / 168th pick / 2017,$645000
94,Corey Liuget\LiugCo00,29,,3,0,300,6-2,Illinois,3/18/1990,8,0,San Diego Chargers / 1st / 18th pick / 2011,$930000
62,Erik Magnuson\MagnEr00,25,,1,0,300,6-6,Michigan,1/5/1994,2,0,,
97,Josh Mauro\MaurJo00,28,rde,13,7,290,6-6,Stanford,2/17/1991,5,3,,$900000
91,Benson Mayowa\MayoBe00,28,,15,0,265,6-3,Idaho,8/3/1991,6,2,,$805000
93,Terrell McClain\McClTe00,31,,3,0,300,6-2,South Florida,7/20/1988,8,0,Carolina Panthers / 3rd / 65th pick / 2011,
