No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
24,Isa Abdul-Quddus\AbduIs00,27,SS,15,15,200,6-1,Fordham,8/3/1989,5,6,,$2583333
35,Walt Aikens\AikeWa00,25,,15,0,200,6-1,Liberty,6/19/1991,2,0,Miami Dolphins / 4th / 125th pick / 2014,$703977
23,Jay Ajayi*\AjayJa00,23,RB,15,12,223,6-0,Boise St.,6/15/1993,1,10,Miami Dolphins / 5th / 149th pick / 2015,$580203
76,Branden Albert\AlbeBr20,32,LT,12,12,314,6-5,Virginia,11/4/1984,8,6,Kansas City Chiefs / 1st / 15th pick / 2008,$10150000
47,Kiko Alonso\AlonKi00,26,MLB,15,15,239,6-3,Oregon,8/14/1990,3,9,Buffalo Bills / 2nd / 46th pick / 2013,$991418
50,Andre Branch\BranAn00,27,RDE,16,11,263,6-5,Clemson,7/14/1989,4,6,Jacksonville Jaguars / 2nd / 38th pick / 2012,$2703125
64,Jake Brendel\BrenJa01,24,,1,0,299,6-4,UCLA,9/10/1992,Rook,0,,$450000
74,Jermon Bushrod\BushJe20,32,RG,16,16,318,6-5,Towson,8/19/1984,9,8,New Orleans Saints / 4th / 125th pick / 2007,$1437500
56,Donald Butler\ButlDo99,28,llb,14,5,244,6-1,Washington,10/17/1988,5,3,San Diego Chargers / 3rd / 79th pick / 2010,$760000
84,Jordan Cameron\CameJo00,28,,3,3,265,6-5,USC,8/7/1988,5,0,Cleveland Browns / 4th / 102nd pick / 2011,$8000000
88,Leonte Carroo\CarrLe00,22,,14,2,215,6-1,Rutgers,1/24/1994,Rook,0,Miami Dolphins / 3rd / 86th pick / 2016,$625097
38,Chimdi Chekwa\ChekCh00,28,,3,0,190,5-11,Ohio St.,9/7/1988,5,0,Oakland Raiders / 4th / 113th pick / 2011,$536470
4,Matt Darr\DarrMa00,24,,16,0,217,6-1,Tennessee,7/2/1992,1,2,,$525333
92,John Denney\DennJo20,38,,16,0,242,6-5,BYU,12/13/1978,11,0,,$1095000
75,Jamil Douglas\DougJa00,24,,1,0,309,6-4,Arizona St.,2/28/1992,1,0,Miami Dolphins / 4th / 114th pick / 2015,
32,Kenyan Drake\DrakKe00,22,,16,1,211,6-1,Alabama,1/26/1994,Rook,2,Miami Dolphins / 3rd / 73rd pick / 2016,$655315
83,Thomas Duarte\DuarTh00,21,,1,0,241,6-2,UCLA,3/30/1995,Rook,0,Miami Dolphins / 7th / 231st pick / 2016,$450000
78,Terrence Fede\FedeTe00,25,,9,0,267,6-4,Marist,11/19/1991,2,0,Miami Dolphins / 7th / 234th pick / 2014,$613988
29,Arian Foster\FostAr00,30,,4,2,227,6-1,Tennessee,8/24/1986,7,1,,$1338750
3,Andrew Franks\FranAn01,23,,16,0,205,6-1,Rensselaer Polytechnic Institute,1/11/1993,1,2,,$525000
19,Jakeem Grant\GranJa00,24,,16,0,171,5-7,Texas Tech,10/30/1992,Rook,1,Miami Dolphins / 6th / 186th pick / 2016,$485095
48,MarQueis Gray\GrayMa00,27,TE,16,7,263,6-4,Minnesota,11/7/1989,3,1,,$675000
37,A.J. Hendy\HendA.00,23,,1,0,206,6-0,Maryland,4/8/1993,Rook,0,,$26470
46,Neville Hewitt\HewiNe00,23,rlb,16,5,234,6-2,Marshall,4/6/1993,1,4,,$525333
25,Xavien Howard\HowaXa00,23,rcb,7,6,198,6-1,Baylor,7/4/1993,Rook,2,Miami Dolphins / 2nd / 38th pick / 2016,$1114189
45,Mike Hull\HullMi01,25,,16,1,232,6-0,Penn St.,5/25/1991,1,0,,$525000
15,Justin Hunter\HuntJu00,25,,1,0,203,6-4,Tennessee,5/20/1991,3,0,Tennessee Titans / 2nd / 34th pick / 2013,$1144656
70,Ja'Wuan James\JameJa01,24,RT,16,16,312,6-6,Tennessee,6/3/1992,2,8,Miami Dolphins / 1st / 19th pick / 2014,$2298654
53,Jelani Jenkins\JenkJe00,24,RLB,9,7,240,6-0,Florida,3/13/1992,3,3,Miami Dolphins / 4th / 104th pick / 2013,$1789172
,Chris Jones\JoneCh04,26,,7,0,293,6-1,Bowling Green,7/12/1990,3,0,Houston Texans / 6th / 198th pick / 2013,$675000
85,Dominique Jones\JoneDo01,29,,9,2,255,6-3,Shepherd,8/15/1987,4,1,,$516178
98,Jason Jones\JoneJa99,30,rdt,14,5,272,6-5,East. Michigan,5/23/1986,8,4,Tennessee Titans / 2nd / 54th pick / 2008,$1502188
20,Reshad Jones\JoneRe99,28,FS,6,6,215,6-1,Georgia,2/25/1988,6,3,Miami Dolphins / 5th / 163rd pick / 2010,$8202942
14,Jarvis Landry*\LandJa00,24,WR,16,16,196,5-11,LSU,11/28/1992,2,10,Miami Dolphins / 2nd / 63rd pick / 2014,$947703
36,Tony Lippett\LippTo00,24,RCB,16,13,192,6-2,Michigan St.,7/2/1992,1,6,Miami Dolphins / 5th / 156th pick / 2015,$578691
21,Jordan Lucas\LucaJo00,23,,8,0,190,6-1,Penn St.,8/2/1993,Rook,0,Miami Dolphins / 6th / 204th pick / 2016,$479990
41,Byron Maxwell\MaxwBy00,28,LCB,13,13,207,6-1,Clemson,2/23/1988,5,5,Seattle Seahawks / 6th / 173rd pick / 2011,$8500000
28,Bobby McCain\McCaBo01,23,DB,16,8,192,5-11,Memphis,8/18/1993,1,4,Miami Dolphins / 5th / 145th pick / 2015,$582072
55,Koa Misi\MisiKo99,29,,3,2,244,6-3,Utah,1/17/1987,6,0,Miami Dolphins / 2nd / 40th pick / 2010,$3120500
90,Earl Mitchell\MitcEa99,29,rdt,9,5,310,6-3,Arizona,9/25/1987,6,3,Houston Texans / 3rd / 81st pick / 2010,$3500000
8,Matt Moore\MoorMa01,32,,4,3,219,6-3,Oregon St.,8/9/1984,9,2,,$1400000
96,Leon Orr\OrrxLe00,24,,5,0,320,6-5,Florida,2/11/1992,1,0,,$525000
11,DeVante Parker\ParkDe01,23,WR,15,8,216,6-3,Louisville,1/20/1993,1,6,Miami Dolphins / 1st / 14th pick / 2015,$2471942
42,Spencer Paysinger\PaysSp00,28,,15,3,236,6-2,Oregon,6/28/1988,5,0,,$680000
22,Isaiah Pead\PeadIs00,27,,3,0,197,5-10,Cincinnati,12/14/1989,4,0,St. Louis Rams / 2nd / 50th pick / 2012,$675000
97,Jordan Phillips\PhilJo01,24,RDT,16,11,341,6-6,Oklahoma,9/21/1992,1,6,Miami Dolphins / 2nd / 52nd pick / 2015,$991570
40,Lafayette Pitts\PittLa00,24,,8,0,195,5-11,Pittsburgh,9/24/1992,Rook,0,,$450000
51,Mike Pouncey\PounMi00,27,c,5,5,298,6-5,Florida,7/24/1989,5,2,Miami Dolphins / 1st / 15th pick / 2011,$10025000
30,Bacarri Rambo\RambBa00,26,fs,9,5,211,6-1,Georgia,6/27/1990,3,2,Washington Redskins / 6th / 191st pick / 2013,$675000
57,Trevor Reilly\ReilTr00,28,,2,0,240,6-5,Utah,1/17/1988,2,0,New York Jets / 7th / 233rd pick / 2014,$70588
87,Rashawn Scott\ScotRa01,24,,2,0,203,6-0,Miami (FL),1/29/1992,Rook,0,,$132350
80,Dion Sims\SimsDi00,25,TE,14,11,268,6-4,Michigan St.,2/18/1991,3,2,Miami Dolphins / 4th / 106th pick / 2013,$1787888
65,Anthony Steen\SteeAn00,26,C,15,7,314,6-3,Alabama,5/9/1990,2,4,,$525000
10,Kenny Stills\StilKe00,24,WR,16,16,202,6-1,Oklahoma,4/22/1992,3,6,New Orleans Saints / 5th / 144th pick / 2013,$1671000
93,Ndamukong Suh*\SuhxNd99,29,LDT,16,16,313,6-4,Nebraska,1/6/1987,6,14,Detroit Lions / 1st / 2nd pick / 2010,$12600000
17,Ryan Tannehill\TannRy00,28,QB,13,13,207,6-4,Texas A&M,7/27/1988,4,10,Miami Dolphins / 1st / 8th pick / 2012,$11640000
63,Dallas Thomas\ThomDa04,27,,1,1,306,6-5,Tennessee,10/30/1989,3,0,Miami Dolphins / 3rd / 77th pick / 2013,$1822564
31,Michael Thomas\ThomMi02,26,FS,16,8,195,5-11,Stanford,3/17/1990,3,4,,$675000
67,Laremy Tunsil\TunsLa00,22,LG,14,14,313,6-5,Mississippi,8/2/1994,Rook,7,Miami Dolphins / 1st / 13th pick / 2016,$2265027
77,Billy Turner\TurnBi00,25,,5,2,310,6-5,North Dakota St.,10/17/1991,2,0,Miami Dolphins / 3rd / 67th pick / 2014,$861000
60,Kraig Urbik\UrbiKr20,31,c,16,6,323,6-5,Wisconsin,9/23/1985,7,4,Pittsburgh Steelers / 3rd / 79th pick / 2009,$1125000
49,Zach Vigil\VigiZa00,25,,7,0,238,6-2,Utah St.,3/28/1991,1,0,,$351333
91,Cameron Wake*\WakeCa00,34,LDE,16,11,263,6-3,Penn St.,1/30/1982,7,12,,$8525000
73,Julius Warmsley\WarmJu00,26,,5,0,297,6-2,Tulane,5/16/1990,2,0,,$450000
26,Damien Williams\WillDa05,24,,15,0,224,5-11,Oklahoma,4/3/1992,2,3,,$601668
94,Mario Williams\WillMa22,31,rde,13,5,300,6-6,North Carolina St.,1/31/1985,10,3,Houston Texans / 1st / 1st pick / 2006,$6500000
,Nick Williams\WillNi01,26,,5,0,308,6-4,Samford,2/21/1990,2,0,Pittsburgh Steelers / 7th / 223rd pick / 2013,$600000
79,Sam Young\YounSa21,29,,8,1,302,6-8,Notre Dame,6/24/1987,6,0,Dallas Cowboys / 6th / 179th pick / 2010,$536470
