No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
31,Ameer Abdullah\AbduAm00,26,,16,0,203,5-9,Nebraska,6/13/1993,4,2,Detroit Lions / 2nd / 54th pick / 2015,$720000
20,Mackensie Alexander\AlexMa01,26,,13,4,192,5-10,Clemson,11/12/1993,3,2,Minnesota Vikings / 2nd / 54th pick / 2016,$1038587
5,Dan Bailey\BailDa00,31,,16,0,190,6-0,Oklahoma St.,1/26/1988,8,4,,$1000000
55,Anthony Barr\BarrAn00,27,,14,14,255,6-5,UCLA,3/18/1992,5,7,Minnesota Vikings / 1st / 9th pick / 2014,$2900000
12,Chad Beebe\BeebCh00,25,,3,0,183,5-10,Northern Illinois,6/1/1994,1,1,,$570000
23,Mike Boone\BoonMi00,24,,16,2,206,5-10,Cincinnati,7/30/1995,1,2,,$570000
38,Kris Boyd\BoydKr00,23,,16,0,201,5-11,Texas,9/12/1996,Rook,1,Minnesota Vikings / 7th / 217th pick / 2019,$495000
56,Garrett Bradbury\BradGa00,24,C,16,16,305,6-3,North Carolina St.,6/20/1995,Rook,8,Minnesota Vikings / 1st / 18th pick / 2019,$495000
40,Kentrell Brothers\BrotKe00,26,,13,1,242,6-1,Missouri,2/8/1993,3,1,Minnesota Vikings / 5th / 160th pick / 2016,$720000
76,Aviante Collins\CollAv00,26,,2,1,292,6-4,TCU,4/21/1993,2,1,,$645000
2,Britton Colquitt\ColqBr00,34,,16,0,210,6-3,Tennessee,3/20/1985,9,2,,
83,Tyler Conklin\ConkTy00,24,,15,1,254,6-3,Central Michigan,7/30/1995,1,1,Minnesota Vikings / 5th / 157th pick / 2018,$570000
33,Dalvin Cook*\CookDa01,24,RB,14,14,210,5-10,Florida St.,8/10/1995,2,14,Minnesota Vikings / 2nd / 41st pick / 2017,$1042576
8,Kirk Cousins*\CousKi00,31,QB,15,15,202,6-3,Michigan St.,8/19/1988,7,14,Washington Redskins / 4th / 102nd pick / 2012,$27500000
58,Austin Cutting\CuttAu00,23,,16,0,245,6-3,Air Force,10/27/1996,Rook,1,Minnesota Vikings / 7th / 250th pick / 2019,$495000
16,Davion Davis\DaviDa03,23,,2,0,195,5-11,Sam Houston St.,10/23/1996,Rook,0,,
14,Stefon Diggs\DiggSt00,26,WR,15,15,191,6-0,Maryland,11/29/1993,4,12,Minnesota Vikings / 5th / 146th pick / 2015,$8900000
86,Brandon Dillon\DillBr00,22,,1,0,250,6-5,,4/30/1997,Rook,0,,$495000
13,Josh Doctson\DoctJo00,27,,1,0,205,6-2,TCUWyoming,12/3/1992,3,0,Washington Redskins / 1st / 22nd pick / 2016,
57,Devante Downs\DownDe00,24,,2,0,252,6-2,California,10/18/1995,1,0,Minnesota Vikings / 7th / 225th pick / 2018,$570000
78,Dakota Dozier\DoziDa00,28,,16,4,312,6-4,Furman,4/30/1991,5,3,New York Jets / 4th / 137th pick / 2014,$805000
65,Pat Elflein\ElflPa00,25,LG,15,15,303,6-3,Ohio St.,7/6/1994,2,8,Minnesota Vikings / 3rd / 70th pick / 2017,$809500
39,Marcus Epps\EppsMa00,23,,8,0,191,6-0,Wyoming,1/27/1996,Rook,0,Minnesota Vikings / 6th / 191st pick / 2019,$670000
32,Mark Fields II\FielMa01,23,,1,0,192,5-10,Clemson,10/10/1996,Rook,0,,
42,Ben Gedeon\GedeBe00,25,LLB,8,5,244,6-2,Michigan,10/16/1994,2,2,Minnesota Vikings / 4th / 120th pick / 2017,$645000
97,Everson Griffen*\GrifEv99,32,DE,15,15,273,6-3,USC,12/22/1987,9,10,Minnesota Vikings / 4th / 100th pick / 2010,$6400000
30,C.J. Ham*\HamxC.00,26,FB,16,7,235,5-11,Augustana (SD),7/22/1993,2,2,,$645000
41,Anthony Harris\HarrAn01,28,FS,14,14,202,6-1,Virginia,10/9/1991,4,6,,$3095000
24,Holton Hill\HillHo00,22,,8,1,196,6-2,Texas,3/28/1997,1,1,,$435882
69,Rashod Hill\HillRa01,27,,15,1,313,6-6,Southern Miss,1/12/1992,3,2,,$2025000
15,Alexander Hollins\HollAl00,23,,5,1,166,6-1,Eastern Illinois,11/24/1996,Rook,0,,
92,Jalyn Holmes\HolmJa01,23,,6,0,283,6-5,Ohio St.,1/25/1996,1,0,Minnesota Vikings / 4th / 102nd pick / 2018,$570000
21,Mike Hughes\HughMi00,22,,14,3,189,5-10,North CarolinaCentral Florida,2/11/1997,1,2,Minnesota Vikings / 1st / 30th pick / 2018,$928522
99,Danielle Hunter*\HuntDa01,25,LDE,16,16,252,6-5,LSU,10/29/1994,4,12,Minnesota Vikings / 3rd / 88th pick / 2015,$9400000
94,Jaleel Johnson\JohnJa09,25,,16,3,316,6-3,Iowa,7/12/1994,2,3,Minnesota Vikings / 4th / 109th pick / 2017,$645000
81,Olabisi Johnson\JohnOl00,22,,16,6,204,6-0,Colorado St.,3/17/1997,Rook,3,Minnesota Vikings / 7th / 247th pick / 2019,$647500
61,Brett Jones\JoneBr04,28,,2,0,315,6-2,Regina (Canada),7/29/1991,3,0,,$720000
98,Linval Joseph\JoseLi99,31,LDT,13,13,329,6-4,East Carolina,10/10/1988,9,6,New York Giants / 2nd / 46th pick / 2010,$8900000
27,Jayron Kearse\KearJa00,25,,15,3,215,6-4,Clemson,2/11/1994,3,2,Minnesota Vikings / 7th / 244th pick / 2016,$720000
54,Eric Kendricks*+\KendEr00,27,MLB,15,15,232,6-0,UCLA,2/29/1992,4,14,Minnesota Vikings / 2nd / 45th pick / 2015,$4150000
64,Josh Kline\KlinJo01,30,G,13,13,300,6-3,Kent St.,12/29/1989,6,7,,$1450000
