No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
7,Jake Bailey\BailJa00,22,,16,0,205,6-2,Stanford,6/18/1997,Rook,2,New England Patriots / 5th / 163rd pick / 2019,$495000
77,Michael Bennett\BennMi99,34,,6,1,275,6-4,Texas A&M,11/13/1985,10,2,,$3000000
51,Ja'Whaun Bentley\BentJa00,23,,16,2,255,6-2,Purdue,8/24/1996,1,4,New England Patriots / 5th / 143rd pick / 2018,$570000
29,Justin Bethel\BethJu00,29,,9,0,200,6-0,Presbyterian,6/17/1990,7,1,Arizona Cardinals / 6th / 177th pick / 2012,
38,Brandon Bolden\BoldBr00,29,,15,2,220,5-11,Mississippi,1/26/1990,7,1,,$1000000
12,Tom Brady\BradTo00,42,QB,16,16,225,6-4,Michigan,8/3/1977,19,11,New England Patriots / 6th / 199th pick / 2000,$14000000
25,Terrence Brooks\BrooTe00,27,,15,0,205,5-11,Florida St.,3/2/1992,5,1,Baltimore Ravens / 3rd / 79th pick / 2014,$805000
17,Antonio Brown\BrowAn04,31,,1,0,185,5-10,Central Michigan,7/10/1988,9,0,Pittsburgh Steelers / 6th / 195th pick / 2010,
34,Rex Burkhead\BurkRe00,29,,13,1,215,5-10,Nebraska,7/2/1990,6,4,Cincinnati Bengals / 6th / 190th pick / 2013,$1750000
70,Adam Butler\ButlAd00,25,,16,2,300,6-5,Vanderbilt,4/12/1994,2,5,,$645000
90,Shilique Calhoun\CalhSh00,27,,15,1,260,6-4,Michigan St.,3/20/1992,3,2,Oakland Raiders / 3rd / 75th pick / 2016,$720000
61,Marcus Cannon\CannMa00,31,RT,15,15,335,6-6,TCU,5/6/1988,8,7,New England Patriots / 5th / 138th pick / 2011,$5500000
49,Joe Cardona\CardJo00,27,,16,0,245,6-3,Navy,4/16/1992,4,1,New England Patriots / 5th / 166th pick / 2015,$805000
23,Patrick Chung\ChunPa99,32,SS,13,12,215,5-11,Oregon,8/19/1987,10,5,New England Patriots / 2nd / 34th pick / 2009,$1900000
58,Jamie Collins\CollJa00,30,LLB,16,15,255,6-3,Southern Miss,10/20/1989,6,15,New England Patriots / 2nd / 52nd pick / 2013,$900000
99,Byron Cowart\CowaBy00,23,,5,0,300,6-3,Maryland,5/20/1996,Rook,1,New England Patriots / 5th / 159th pick / 2019,$495000
74,Korey Cunningham\CunnKo00,24,,1,0,305,6-6,Cincinnati,5/17/1995,1,0,Arizona Cardinals / 7th / 254th pick / 2018,
46,James Develin\DeveJa00,31,,2,2,255,6-3,Brown,7/23/1988,8,0,,$1000000
13,Phillip Dorsett\DorsPh00,26,,14,4,192,5-10,Miami (FL),1/5/1993,4,3,Indianapolis Colts / 1st / 29th pick / 2015,$1500000
43,Nate Ebner\EbneNa00,31,,14,0,215,6-0,Ohio St.,12/14/1988,7,1,New England Patriots / 6th / 197th pick / 2012,$2000000
