No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
50,Stephone Anthony\AnthSt00,24,,10,3,245,6-3,Clemson,7/28/1992,1,0,New Orleans Saints / 1st / 31st pick / 2015,$786442
72,Terron Armstead\ArmsTe00,25,LT,7,7,304,6-5,Ark-Pine Bluff,7/23/1991,3,4,New Orleans Saints / 3rd / 75th pick / 2013,$680000
37,Chris Banjo\BanjCh00,26,,7,0,207,5-10,SMU,2/26/1990,3,0,,$675000
97,Sam Barrington\BarrSa00,26,,5,0,246,6-1,South Florida,10/5/1990,3,0,Green Bay Packers / 7th / 232nd pick / 2013,$600000
48,Vonn Bell\BellVo00,22,DB,16,14,205,5-11,Ohio St.,12/12/1994,Rook,5,New Orleans Saints / 2nd / 61st pick / 2016,$450000
40,Delvin Breaux\BreaDe00,27,LCB,6,6,210,6-1,LSU,10/25/1989,1,2,,$525000
9,Drew Brees*\BreeDr00,37,QB,16,16,209,6-0,Purdue,1/15/1979,15,16,San Diego Chargers / 2nd / 32nd pick / 2001,$1000000
31,Jairus Byrd\ByrdJa99,30,FS,16,15,205,6-0,Oregon,10/7/1986,7,6,Buffalo Bills / 2nd / 42nd pick / 2009,$7400000
38,Travaris Cadet\CadeTr00,27,,15,1,210,6-1,Appalachian St.,2/1/1989,4,3,,$760000
39,Taveze Calhoun\CalhTa01,24,,1,0,188,6-1,Mississippi St.,12/26/1992,Rook,0,,$26470
16,Brandon Coleman\ColeBr00,24,,16,4,225,6-6,Rutgers,6/22/1992,2,2,,$525000
10,Brandin Cooks\CookBr00,23,WR,16,12,183,5-10,Oregon St.,9/25/1993,2,11,New Orleans Saints / 1st / 20th pick / 2014,$1182132
46,Ken Crawley\CrawKe02,23,rcb,15,5,180,6-1,Colorado,2/8/1993,Rook,3,,$450000
95,Tyeler Davison\DaviTy01,24,LDT,15,15,309,6-2,Fresno St.,9/3/1992,1,7,New Orleans Saints / 5th / 154th pick / 2015,$525000
20,Brian Dixon\DixoBr01,26,,5,0,195,6-0,NW Missouri St.,4/26/1990,2,0,,
47,Justin Drescher\DresJu20,28,,16,0,230,6-1,Colorado,1/1/1988,6,0,,$760000
91,Kasim Edebali\EdebKa00,27,,16,1,253,6-2,Boston Col.,8/17/1989,2,0,,$600000
59,Dannell Ellerbe\ElleDa99,31,LLB,9,8,236,6-1,Georgia,11/29/1985,7,4,,$1700000
73,Jahri Evans\EvanJa21,33,RG,16,16,318,6-4,Bloomsburg,8/22/1983,10,10,New Orleans Saints / 4th / 108th pick / 2006,$1000000
90,Nick Fairley\FairNi00,28,RDT,16,16,291,6-5,Auburn,1/23/1988,5,8,Detroit Lions / 1st / 13th pick / 2011,$765000
82,Coby Fleener\FleeCo00,28,TE,16,8,251,6-6,Stanford,9/20/1988,4,6,Indianapolis Colts / 2nd / 34th pick / 2012,$800000
58,Obum Gwacham\GwacOb00,25,,1,0,250,6-5,Oregon St.,3/20/1991,1,0,Seattle Seahawks / 6th / 209th pick / 2015,$525000
41,Roman Harper\HarpRo21,34,,16,4,205,6-1,Alabama,12/11/1982,10,0,New Orleans Saints / 2nd / 43rd pick / 2006,$985000
21,De'Vante Harris\HarrDe04,23,,10,0,190,5-11,Texas A&M,6/3/1993,Rook,0,,$450000
30,Erik Harris\HarrEr00,26,,4,0,220,6-2,California (PA),4/2/1990,Rook,0,,$450000
34,Tim Hightower\HighTi00,30,,16,1,226,6-0,Richmond,5/23/1986,8,5,Arizona Cardinals / 5th / 149th pick / 2008,$760000
89,Josh Hill\HillJo02,26,TE,9,8,250,6-5,Idaho St.,5/21/1990,3,1,,$750000
76,Tony Hills\HillTo21,32,,11,0,305,6-5,Texas,11/4/1984,8,0,Pittsburgh Steelers / 4th / 130th pick / 2008,$670588
22,Mark Ingram\IngrMa01,27,RB,16,14,215,5-9,Alabama,12/21/1989,5,11,New Orleans Saints / 1st / 28th pick / 2011,$765000
92,John Jenkins\JenkJo00,27,,7,1,327,6-3,Georgia,7/11/1989,3,0,New Orleans Saints / 3rd / 82nd pick / 2013,$1671000
94,Cameron Jordan\JordCa00,27,RDE,16,16,287,6-4,California,7/10/1989,5,9,New Orleans Saints / 1st / 24th pick / 2011,$765000
65,Senio Kelemete\KeleSe00,26,LG,15,9,301,6-3,Washington,5/10/1990,4,6,Arizona Cardinals / 5th / 151st pick / 2012,$977500
49,Shiloh Keo\KeoxSh00,29,,7,0,223,5-11,Idaho,12/17/1987,5,0,Houston Texans / 5th / 144th pick / 2011,$760000
99,Paul Kruger\KrugPa99,30,LDE,15,13,285,6-4,Utah,2/15/1986,7,7,Baltimore Ravens / 2nd / 57th pick / 2009,$900000
29,John Kuhn\KuhnJo00,34,,16,3,250,6-0,Shippensburg,9/9/1982,10,1,,$985000
19,Jake Lampman\LampJa00,23,,6,0,205,6-0,Ferris St.,6/11/1993,Rook,0,,$450000
36,Daniel Lasco\LascDa00,24,,7,0,205,6-1,California,10/9/1992,Rook,0,New Orleans Saints / 7th / 237th pick / 2016,$450000
53,James Laurinaitis\LaurJa99,30,,5,3,255,6-2,Ohio St.,12/3/1986,7,0,St. Louis Rams / 2nd / 35th pick / 2009,$900000
68,Tim Lelito\LeliTi00,27,t,16,7,335,6-3,Grand Valley St.,7/21/1989,3,6,,$1671000
87,Tommylee Lewis\LewiTo00,24,,12,1,168,5-7,Northern Illinois,10/24/1992,Rook,1,,$450000
3,Wil Lutz\LutzWi00,22,,16,0,184,5-11,Georgia St.,7/7/1994,Rook,3,,$450000
86,Chris Manhertz\ManhCh00,24,,3,2,255,6-6,Canisius,4/10/1992,2,0,,$450000
56,Michael Mauti\MautMi00,26,,8,0,243,6-2,Penn St.,1/19/1990,3,0,Minnesota Vikings / 7th / 213th pick / 2013,$675000
57,Chris McCain\McCaCh00,25,,2,0,236,6-5,California,11/21/1991,2,0,,
24,Sterling Moore\MoorSt00,26,RCB,13,12,200,5-9,SMU,2/3/1990,5,5,,$760000
6,Thomas Morstead\MorsTh00,30,,16,0,235,6-4,SMU,3/8/1986,7,3,New Orleans Saints / 5th / 164th pick / 2009,$900000
23,Marcus Murphy\MurpMa03,25,,3,0,195,5-9,Missouri,10/3/1991,1,0,New Orleans Saints / 7th / 230th pick / 2015,$525000
93,David Onyemata\OnyeDa00,24,,16,0,300,6-4,Manitoba,11/13/1992,Rook,0,New Orleans Saints / 4th / 120th pick / 2016,$450000
75,Andrus Peat\PeatAn00,23,LG,15,15,316,6-7,Stanford,11/4/1993,1,9,New Orleans Saints / 1st / 13th pick / 2015,$952887
86,John Phillips\PhilJo00,29,,8,4,251,6-5,Virginia,6/11/1987,7,0,Dallas Cowboys / 6th / 208th pick / 2009,$600000
98,Sheldon Rankins\RankSh00,22,,9,0,305,6-2,Louisville,4/2/1994,Rook,0,New Orleans Saints / 1st / 12th pick / 2016,$450000
52,Craig Robertson\RobeCr00,28,LLB,15,15,234,6-1,North Texas,2/11/1988,5,9,,$765000
83,Willie Snead\SneaWi00,24,WR,15,4,205,5-11,Ball St.,10/17/1992,2,8,,$525000
64,Zach Strief\StriZa20,33,RT,16,16,320,6-7,Northwestern,9/22/1983,10,10,New Orleans Saints / 7th / 210th pick / 2006,$1000000
54,Nathan Stupar\StupNa01,28,MLB,16,6,240,6-2,Penn St.,3/14/1988,4,5,Oakland Raiders / 7th / 230th pick / 2012,$675000
55,Darryl Tapp\TappDa20,32,,16,2,270,6-1,Virginia Tech,9/13/1984,10,0,Seattle Seahawks / 2nd / 63rd pick / 2006,$985000
13,Michael Thomas\ThomMi05,23,WR,15,12,212,6-3,Ohio St.,3/3/1993,Rook,10,New Orleans Saints / 2nd / 47th pick / 2016,$450000
57,Jason Trusnik\TrusJa99,32,,3,0,241,6-4,Ohio Northern,6/6/1984,9,0,,$156176
78,Landon Turner\TurnLa00,23,,7,1,325,6-4,North Carolina,5/15/1993,Rook,0,,$450000
60,Max Unger\UngeMa20,30,C,15,15,305,6-5,Oregon,4/14/1986,7,9,Seattle Seahawks / 2nd / 49th pick / 2009,$850000
32,Kenny Vaccaro\VaccKe00,25,SS,11,11,214,6-0,Texas,2/15/1991,3,5,New Orleans Saints / 1st / 15th pick / 2013,$1690188
28,B.W. Webb\WebbBW00,26,CB,14,8,188,5-11,William & Mary,5/3/1990,3,3,Dallas Cowboys / 4th / 114th pick / 2013,$635294
25,P.J. Williams\WillP.00,23,,2,2,196,6-0,Florida St.,6/1/1993,Rook,0,New Orleans Saints / 3rd / 78th pick / 2015,$550000
