No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
37,Javorius Allen\AlleJa01,28,,10,0,218,6-0,USC,8/27/1991,4,0,Baltimore Ravens / 4th / 125th pick / 2015,
27,Deandre Baker\BakeDe00,22,LCB,16,15,180,5-11,Georgia,9/4/1997,Rook,5,New York Giants / 1st / 30th pick / 2019,$495000
25,Corey Ballentine\BallCo00,23,,13,2,196,5-11,Washburn,4/13/1996,Rook,1,New York Giants / 6th / 180th pick / 2019,$495000
26,Saquon Barkley\BarkSa00,22,RB,13,13,233,5-11,Penn St.,2/9/1997,1,9,New York Giants / 1st / 2nd pick / 2018,$1897943
23,Sam Beal\BealSa00,23,,6,3,177,6-1,West. Michigan,8/30/1996,Rook,1,New York Giants / 3rd / 1st pick / 2018 Supp,$665559
41,Antoine Bethea\BethAn20,35,FS,16,16,206,5-11,Howard,7/27/1984,13,6,Indianapolis Colts / 6th / 207th pick / 2006,$1725000
67,Evan Brown\BrowEv00,23,,1,0,302,6-2,SMU,9/16/1996,1,0,,$570000
29,Deone Bucannon\BucaDe00,27,,9,1,211,6-1,Washington St.,8/30/1992,5,2,Arizona Cardinals / 1st / 27th pick / 2014,
59,Lorenzo Carter\CartLo01,24,ROLB,15,12,250,6-5,Georgia,12/10/1995,1,5,New York Giants / 3rd / 66th pick / 2018,$665613
36,Sean Chandler\ChanSe00,23,,13,0,205,5-10,Temple,4/27/1996,1,1,,$570000
57,Ryan Connelly\ConnRy00,24,,4,3,242,6-2,Wisconsin,10/23/1995,Rook,2,New York Giants / 5th / 143rd pick / 2019,$495000
17,Cody Core\CoreCo00,25,,16,0,205,6-3,Mississippi,4/17/1994,3,0,Cincinnati Bengals / 6th / 199th pick / 2016,
58,Tae Davis\DaviTa00,23,,4,1,224,6-1,Chattanooga,8/14/1996,1,1,,$570000
51,Zak DeOssie\DeOsZa99,35,,11,0,250,6-5,Brown,5/25/1984,12,1,New York Giants / 4th / 116th pick / 2007,$1030000
89,Garrett Dickerson\DickGa00,24,,4,0,248,6-3,Northwestern,12/30/1995,1,0,,$570000
9,Riley Dixon\DixoRi00,26,,16,0,221,6-4,Syracuse,8/24/1993,3,2,Denver Broncos / 7th / 228th pick / 2016,$720000
52,Devante Downs\DownDe00,24,,7,0,252,6-2,California,10/18/1995,1,0,Minnesota Vikings / 7th / 225th pick / 2018,
85,Rhett Ellison\ElliRh00,31,fb,10,7,255,6-5,USC,10/3/1988,7,1,Minnesota Vikings / 4th / 128th pick / 2012,$4475000
88,Evan Engram\EngrEv00,25,TE,8,6,240,6-3,Mississippi,9/2/1994,2,4,New York Giants / 1st / 23rd pick / 2017,$1439391
18,Bennie Fowler\FowlBe00,28,,8,2,212,6-1,Michigan St.,6/10/1991,5,2,,$805000
22,Wayne Gallman\GallWa00,25,,10,2,210,6-0,Clemson,10/1/1994,2,1,New York Giants / 4th / 140th pick / 2017,$645000
65,Nick Gates\GateNi00,24,,16,3,307,6-5,Nebraska,11/27/1995,1,2,,$495000
38,Rashaan Gaulden\GaulRa00,24,,1,0,200,6-0,Tennessee,1/23/1995,1,0,Carolina Panthers / 3rd / 85th pick / 2018,
44,Markus Golden\GoldMa00,28,DE,16,16,260,6-3,Missouri,3/13/1991,4,8,Arizona Cardinals / 2nd / 58th pick / 2015,$975000
75,Jon Halapio\HalaJo00,28,C,15,15,315,6-3,Florida,6/23/1991,5,7,New England Patriots / 6th / 179th pick / 2014,$645000
34,Grant Haley\HaleGr00,23,,15,3,190,5-9,Penn St.,1/6/1996,1,2,,$570000
30,Antonio Hamilton\HamiAn01,26,,16,2,190,6-0,South Carolina St.,1/24/1993,3,1,,
71,Will Hernandez\HernWi00,24,LG,16,16,327,6-2,Texas-El Paso,9/2/1995,1,7,New York Giants / 2nd / 34th pick / 2018,$818670
95,B.J. Hill\HillB.00,24,LDE,16,5,311,6-3,North Carolina St.,4/20/1995,1,3,New York Giants / 3rd / 69th pick / 2018,$664345
28,Jon Hilliman\HillJo03,24,,3,1,216,5-11,Rutgers,11/14/1995,Rook,1,,
69,Colin Holba\HolbCo00,25,,5,0,248,6-4,Louisville,7/8/1994,2,0,Pittsburgh Steelers / 6th / 213th pick / 2017,
20,Janoris Jenkins\JenkJa03,31,RCB,13,13,190,5-10,North AlabamaFlorida,10/29/1988,7,5,St. Louis Rams / 2nd / 39th pick / 2012,$10150000
8,Daniel Jones\JoneDa05,22,QB,13,12,221,6-5,Duke,5/27/1997,Rook,9,New York Giants / 1st / 6th pick / 2019,$495000
80,T.J. Jones\JoneT.00,27,,3,0,190,6-0,Notre Dame,7/19/1992,5,0,Detroit Lions / 6th / 189th pick / 2014,$805000
12,Cody Latimer\LatiCo00,27,WR,15,10,215,6-2,Indiana,10/10/1992,5,2,Denver Broncos / 2nd / 56th pick / 2014,$925000
97,Dexter Lawrence\LawrDe03,22,RDE,16,16,342,6-4,Clemson,11/12/1997,Rook,7,New York Giants / 1st / 17th pick / 2019,$495000
24,Julian Love\LoveJu00,21,ss,15,5,195,5-11,Notre Dame,3/19/1998,Rook,2,New York Giants / 4th / 108th pick / 2019,$495000
10,Eli Manning\MannEl00,38,,4,4,220,6-5,Mississippi,1/3/1981,15,3,San Diego Chargers / 1st / 1st pick / 2004,$11500000
96,Kareem Martin\MartKa00,27,,5,0,272,6-6,North Carolina,2/19/1992,5,0,Arizona Cardinals / 3rd / 84th pick / 2014,$3250000
55,David Mayo\MayoDa00,26,RILB,16,13,245,6-2,Texas St.,8/18/1993,4,6,Carolina Panthers / 5th / 169th pick / 2015,
