No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
33,Jamal Adams*+\AdamJa00,24,SS,14,14,213,6-1,LSU,10/17/1995,2,13,New York Jets / 1st / 6th pick / 2017,$645000
36,Josh Adams\AdamJo03,23,,3,0,225,6-2,Notre Dame,10/29/1996,1,0,,
96,Henry Anderson\AndeHe00,28,LDE,13,13,301,6-6,Stanford,8/3/1991,4,7,Indianapolis Colts / 3rd / 93rd pick / 2015,$2000000
11,Robby Anderson\AndeRo04,26,WR,16,15,190,6-3,Temple,5/9/1993,3,5,,$3095000
31,Blessuan Austin\AustBl00,23,rcb,7,6,198,6-1,Rutgers,7/19/1996,Rook,2,New York Jets / 6th / 196th pick / 2019,$495000
93,Tarell Basham\BashTa00,25,,16,2,266,6-4,Ohio,3/18/1994,2,3,Indianapolis Colts / 3rd / 80th pick / 2017,$687500
68,Kelvin Beachum\BeacKe00,30,LT,13,13,308,6-3,SMU,6/8/1989,7,5,Pittsburgh Steelers / 7th / 248th pick / 2012,$8000000
26,Le'Veon Bell\BellLe00,27,RB,15,15,225,6-1,Michigan St.,2/18/1992,6,5,Pittsburgh Steelers / 2nd / 48th pick / 2013,$2000000
15,Josh Bellamy\BellJo02,30,,7,0,208,6-0,Louisville,5/18/1989,7,0,,$930000
49,B.J. Bello\BellB.00,25,,8,0,229,6-3,Illinois St.,10/31/1994,2,1,,
10,Braxton Berrios\BerrBr00,24,,16,0,190,5-9,Miami (FL),10/6/1995,1,1,New England Patriots / 6th / 210th pick / 2018,
70,Ben Braden\BradBe00,25,,1,0,329,6-6,Michigan,3/9/1994,1,0,,$570000
87,Daniel Brown\BrowDa04,27,wr,16,5,247,6-5,James Madison,5/26/1992,4,0,,$805000
35,Kyron Brown\BrowKy00,23,,3,1,195,6-1,Akron,5/26/1996,Rook,0,,
58,James Burgess\BurgJa01,25,MLB,10,10,230,6-0,Louisville,3/9/1994,2,6,,$645000
37,Maurice Canady\CanaMa00,25,,8,2,193,6-1,Virginia,5/26/1994,3,1,Baltimore Ravens / 6th / 209th pick / 2016,
25,Trenton Cannon\CannTr00,25,,4,0,185,5-11,Virginia St.,7/23/1994,1,0,New York Jets / 6th / 204th pick / 2018,$570000
53,Blake Cashman\CashBl00,23,lb,7,5,237,6-1,Minnesota,5/10/1996,Rook,3,New York Jets / 5th / 157th pick / 2019,$495000
77,Tom Compton\CompTo00,30,g,14,5,315,6-6,South Dakota,5/10/1989,7,2,Washington Redskins / 6th / 193rd pick / 2012,$1410000
51,Brandon Copeland\CopeBr00,28,,12,3,263,6-3,Pennsylvania,7/2/1991,6,3,,$1500000
32,Blake Countess\CounBl00,26,,6,0,191,5-10,AuburnMichigan,8/8/1993,3,0,Philadelphia Eagles / 6th / 196th pick / 2016,
82,Jamison Crowder\CrowJa00,26,WR,16,12,177,5-9,Duke,6/17/1993,4,5,Washington Redskins / 4th / 105th pick / 2015,$1500000
14,Sam Darnold\DarnSa00,22,QB,13,13,225,6-3,USC,6/5/1997,1,6,New York Jets / 1st / 3rd pick / 2018,$570000
75,Chuma Edoga\EdogCh00,22,RT,8,8,308,6-3,USC,5/25/1997,Rook,3,New York Jets / 3rd / 92nd pick / 2019,$495000
4,Lac Edwards\EdwaLa01,27,,16,0,209,6-4,Sam Houston St.,4/27/1992,3,3,New York Jets / 7th / 235th pick / 2016,$720000
81,Quincy Enunwa\EnunQu00,27,,1,1,225,6-2,Nebraska,5/31/1992,5,0,New York Jets / 6th / 209th pick / 2014,$1000000
3,David Fales\FaleDa00,29,,2,0,210,6-2,San Jose St.,10/4/1990,5,0,Chicago Bears / 6th / 183rd pick / 2014,
8,Luke Falk\FalkLu00,25,,3,2,215,6-4,Washington St.,12/28/1994,1,1,Tennessee Titans / 6th / 199th pick / 2018,$570000
41,Matthias Farley\FarlMa00,27,,13,0,204,5-11,Notre Dame,7/15/1992,3,1,,
94,Folorunso Fatukasi\FatuFo00,24,,14,0,318,6-4,Connecticut,3/4/1995,1,2,New York Jets / 6th / 180th pick / 2018,$570000
9,Sam Ficken\FickSa00,27,,15,0,192,6-1,Penn St.,12/14/1992,2,2,,
84,Ryan Griffin\GrifRy00,29,TE,13,13,255,6-6,Connecticut,1/11/1990,6,2,Houston Texans / 6th / 201st pick / 2013,$1000000
21,Nate Hairston\HairNa00,25,LCB,11,6,185,6-0,Temple,6/30/1994,2,3,Indianapolis Colts / 5th / 158th pick / 2017,
78,Jonotthan Harrison\HarrJo03,28,C,16,10,300,6-4,Florida,8/25/1991,5,3,,$1500000
42,Thomas Hennessy\HennTh00,25,,16,0,246,6-2,Duke,6/11/1994,2,1,,$645000
89,Chris Herndon\HernCh00,23,,1,0,253,6-4,Miami (FL),2/23/1996,1,0,New York Jets / 4th / 107th pick / 2018,$570000
46,Neville Hewitt\HewiNe00,26,RLB,12,12,234,6-2,Marshall,4/6/1993,4,7,,$1000000
39,Bennett Jackson\JackBe00,28,,2,0,192,6-0,Notre Dame,9/16/1991,5,0,New York Giants / 6th / 187th pick / 2014,
48,Jordan Jenkins\JenkJo01,25,LLB,14,13,259,6-3,Georgia,7/1/1994,3,7,New York Jets / 3rd / 83rd pick / 2016,$2025000
22,Trumaine Johnson\JohnTr05,29,cb,7,5,213,6-2,Montana,1/1/1990,7,2,St. Louis Rams / 3rd / 65th pick / 2012,$8000000
55,Ryan Kalil\KaliRy20,34,c,7,7,300,6-2,USC,3/29/1985,12,2,Carolina Panthers / 2nd / 59th pick / 2007,$2400000
91,Bronson Kaufusi\KaufBr01,28,,3,1,275,6-6,BYU,7/6/1991,2,1,Baltimore Ravens / 3rd / 70th pick / 2016,$645000
44,Harvey Langi\LangHa00,27,,16,3,250,6-2,BYU,9/24/1992,2,3,,$570000
71,Alex Lewis\LewiAl01,27,LG,15,12,305,6-6,ColoradoNebraska,4/21/1992,3,4,Baltimore Ravens / 4th / 130th pick / 2016,$2025000
50,Frankie Luvu\LuvuFr00,23,,13,0,236,6-3,Washington St.,9/19/1996,1,1,,$570000
83,Josh Malone\MaloJo00,23,,2,0,205,6-3,Tennessee,3/21/1996,2,0,Cincinnati Bengals / 4th / 128th pick / 2017,
23,Arthur Maulet\MaulAr00,26,rcb,12,6,190,5-10,Memphis,7/13/1993,2,3,,$645000
20,Marcus Maye\MayeMa00,26,FS,16,16,207,6-0,Florida,3/9/1993,2,6,New York Jets / 2nd / 39th pick / 2017,$1060822
47,Albert McClellan\McClAl00,33,,5,0,235,6-2,Marshall,6/4/1986,8,0,,$805000
69,Conor McDermott\McDeCo00,27,,7,2,305,6-8,UCLA,10/19/1992,2,1,New England Patriots / 6th / 211th pick / 2017,
