No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
13,Nelson Agholor\AghoNe00,26,WR,11,10,198,6-0,USC,5/24/1993,4,3,Philadelphia Eagles / 1st / 20th pick / 2015,$9387000
28,Jay Ajayi\AjayJa00,26,,3,0,223,6-0,Boise St.,6/15/1993,4,0,Miami Dolphins / 5th / 149th pick / 2015,
19,JJ Arcega-Whiteside\ArceJJ00,23,wr,16,5,225,6-2,Stanford,12/31/1996,Rook,1,Philadelphia Eagles / 2nd / 57th pick / 2019,$495000
58,Genard Avery\AverGe00,24,,8,0,250,6-0,Memphis,4/26/1995,1,1,Cleveland Browns / 5th / 150th pick / 2018,
96,Derek Barnett\BarnDe01,23,LDE,14,14,259,6-3,Tennessee,6/25/1996,2,7,Philadelphia Eagles / 1st / 14th pick / 2017,$1633252
53,Nigel Bradham\BradNi00,30,MLB,12,12,241,6-2,Florida St.,9/4/1989,7,7,Buffalo Bills / 4th / 105th pick / 2012,$930000
79,Brandon Brooks*\BrooBr00,30,RG,16,16,335,6-5,Miami (OH),8/19/1989,7,9,Houston Texans / 3rd / 76th pick / 2012,$8000000
52,Zach Brown\BrowZa00,30,mlb,6,6,250,6-1,North Carolina,10/23/1989,7,3,Tennessee Titans / 2nd / 52nd pick / 2012,$1000000
16,Deontay Burnett\BurnDe00,22,,1,1,186,6-0,USC,10/4/1997,1,0,,
30,Corey Clement\ClemCo00,25,,4,0,220,5-10,Wisconsin,11/2/1994,2,0,,$645000
91,Fletcher Cox*\CoxxFl00,29,RDT,16,16,310,6-4,Mississippi St.,12/13/1990,7,11,Philadelphia Eagles / 1st / 12th pick / 2012,$930000
75,Vinny Curry\CurrVi00,31,,16,2,279,6-3,Marshall,6/30/1988,7,3,Philadelphia Eagles / 2nd / 59th pick / 2012,$1000000
37,Johnathan Cyprien\CyprJo00,29,,4,0,211,6-1,Florida International,7/29/1990,6,0,Jacksonville Jaguars / 2nd / 33rd pick / 2013,$805000
21,Ronald Darby\DarbRo00,25,CB,11,11,193,5-11,Florida St.,1/2/1994,4,5,Buffalo Bills / 2nd / 50th pick / 2015,$1000000
14,Robert Davis\DaviRo00,24,,3,2,210,6-3,Georgia St.,4/2/1995,2,0,Washington Redskins / 6th / 209th pick / 2017,
77,Andre Dillard\DillAn00,24,,16,4,315,6-5,Washington St.,10/3/1995,Rook,3,Philadelphia Eagles / 1st / 22nd pick / 2019,$495000
32,Rasul Douglas\DougRa00,25,rcb,16,6,209,6-2,West Virginia,8/29/1994,2,3,Philadelphia Eagles / 3rd / 99th pick / 2017,$670000
57,T.J. Edwards\EdwaTJ02,23,,16,4,240,6-1,Wisconsin,8/12/1996,Rook,3,,
4,Jake Elliott\ElliJa03,24,,16,0,167,5-9,Memphis,1/21/1995,2,3,Cincinnati Bengals / 5th / 153rd pick / 2017,$645000
85,Alex Ellis\ElliAl01,26,,3,0,245,6-4,Tennessee,2/10/1993,3,0,,$645000
37,Marcus Epps\EppsMa00,23,,7,0,191,6-0,Wyoming,1/27/1996,Rook,0,Minnesota Vikings / 6th / 191st pick / 2019,
86,Zach Ertz*\ErtzZa00,29,TE,15,15,250,6-5,Stanford,11/10/1990,6,7,Philadelphia Eagles / 2nd / 35th pick / 2013,$8000000
36,Rudy Ford\FordRu00,25,,10,0,204,6-0,Auburn,11/1/1994,2,1,Arizona Cardinals / 6th / 208th pick / 2017,$645000
58,L.J. Fort\FortL.00,29,,4,0,232,6-0,Northern Iowa,1/3/1990,7,0,,$1025000
47,Nathan Gerry\GerrNa00,24,RLB,16,12,230,6-2,Nebraska,2/23/1995,2,8,Philadelphia Eagles / 5th / 184th pick / 2017,$645000
88,Dallas Goedert\GoedDa00,24,TE,15,9,256,6-5,South Dakota St.,1/3/1995,1,5,Philadelphia Eagles / 2nd / 49th pick / 2018,$735649
55,Brandon Graham\GrahBr99,31,RDE,16,16,265,6-2,Michigan,4/3/1988,9,9,Philadelphia Eagles / 1st / 13th pick / 2010,$1000000
54,Kamu Grugier-Hill\GrugKa00,25,LLB,10,6,230,6-2,Eastern Illinois,5/16/1994,3,3,New England Patriots / 6th / 208th pick / 2016,$720000
74,Daeshon Hall\HallDa01,24,,9,0,265,6-5,Texas A&M,6/14/1995,2,1,Carolina Panthers / 3rd / 77th pick / 2017,$645000
90,Bruce Hector\HectBr00,25,,3,1,296,6-2,South Florida,10/7/1994,1,1,,$570000
67,Nate Herbig\HerbNa01,21,,2,0,334,6-4,Stanford,7/10/1998,Rook,0,,$495000
16,Mack Hollins\HollMa00,26,,12,3,221,6-4,North Carolina,9/16/1993,2,1,Philadelphia Eagles / 4th / 118th pick / 2017,$645000
24,Jordan Howard\HowaJo00,25,,10,4,224,6-0,Indiana,11/2/1994,3,4,Chicago Bears / 5th / 150th pick / 2016,$2025000
76,Albert Huggins\HuggAl01,22,,4,0,305,6-3,Clemson,6/27/1997,Rook,0,,
10,DeSean Jackson\JackDe00,33,,3,3,175,5-10,California,12/1/1986,11,1,Philadelphia Eagles / 2nd / 49th pick / 2008,$1030000
97,Malik Jackson\JackMa02,29,,1,1,290,6-5,Tennessee,1/11/1990,7,0,Denver Broncos / 5th / 137th pick / 2012,$1000000
39,Craig James\JameCr01,23,,14,1,195,5-10,Southern Illinois,4/29/1996,1,1,,
