No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
92,Olasunkanmi Adeniyi\AdenOl00,23,,15,1,248,6-1,Toledo,9/12/1997,2,0,,$750000
27,Marcus Allen\AlleMa03,24,,14,2,215,6-2,Penn St.,8/7/1996,2,1,Pittsburgh Steelers / 5th / 148th pick / 2018,$675000
94,Tyson Alualu\AluaTy99,33,NT,15,10,304,6-3,California,5/12/1987,10,6,Jacksonville Jaguars / 1st / 10th pick / 2010,$2750000
72,Zach Banner\BannZa00,27,,1,1,360,6-8,USC,12/25/1993,3,1,Indianapolis Colts / 4th / 137th pick / 2017,$1750000
4,Jordan Berry\BerrJo00,29,,11,0,195,6-5,East. Kentucky,3/18/1991,5,2,,$588824
9,Chris Boswell\BoswCh00,29,,13,0,185,6-2,Rice,3/16/1991,5,3,,$910000
25,Antoine Brooks Jr.\BrooAn00,22,,4,0,220,5-11,Maryland,10/28/1998,Rook,0,Pittsburgh Steelers / 6th / 198th pick / 2020,
96,Isaiah Buggs\BuggIs00,24,,10,1,295,6-3,Alabama,8/24/1996,1,2,Pittsburgh Steelers / 6th / 192nd pick / 2019,$675000
55,Devin Bush Jr.\BushDe01,22,lilb,5,5,234,5-11,Michigan,7/18/1998,1,3,Pittsburgh Steelers / 1st / 10th pick / 2019,$1352808
17,Deon Cain\CainDe00,24,,2,0,202,6-2,Clemson,8/9/1996,2,0,Indianapolis Colts / 6th / 185th pick / 2018,$585000
57,Kameron Canaday\CanaKa00,27,,16,0,245,6-4,Portland St.,8/20/1993,4,1,,$910000
11,Chase Claypool\ClayCh01,22,wr,16,6,238,6-4,Notre Dame,7/7/1998,Rook,7,Pittsburgh Steelers / 2nd / 49th pick / 2020,$610000
4,Dustin Colquitt\ColqDu20,38,,5,0,210,6-3,Tennessee,5/6/1982,15,0,Kansas City Chiefs / 3rd / 99th pick / 2005,$1050000
30,James Conner\ConnJa00,25,RB,13,11,233,6-1,Pittsburgh,5/5/1995,3,6,Pittsburgh Steelers / 3rd / 105th pick / 2017,$825000
37,Jordan Dangerfield\DangJo00,30,,15,0,199,5-11,Towson,12/25/1990,6,1,,$825000
73,Carlos Davis\DaviCa03,24,,7,0,313,6-2,Nebraska,8/22/1996,Rook,1,Pittsburgh Steelers / 7th / 232nd pick / 2020,$610000
21,Sean Davis\DaviSe00,27,,16,1,202,6-1,Maryland,10/23/1993,4,2,Pittsburgh Steelers / 2nd / 58th pick / 2016,$910000
66,David DeCastro*\DeCaDa00,30,RG,13,13,316,6-5,Stanford,1/11/1990,8,8,Pittsburgh Steelers / 1st / 24th pick / 2012,$1050000
5,Joshua Dobbs\DobbJo00,25,,1,0,216,6-3,Tennessee,1/26/1995,2,0,Pittsburgh Steelers / 4th / 135th pick / 2017,$825000
69,Kevin Dotson\DotsKe00,24,,13,4,321,6-4,Louisiana,9/18/1996,Rook,3,Pittsburgh Steelers / 4th / 135th pick / 2020,$610000
48,Bud Dupree\DuprAl00,27,ROLB,11,11,269,6-4,Kentucky,2/12/1993,5,6,Pittsburgh Steelers / 1st / 22nd pick / 2015,$15828000
85,Eric Ebron\EbroEr00,27,TE,15,9,253,6-4,North Carolina,4/10/1993,6,4,Detroit Lions / 1st / 10th pick / 2014,$1000000
34,Terrell Edmunds\EdmuTe00,23,SS,15,12,217,6-1,Virginia Tech,1/20/1997,2,5,Pittsburgh Steelers / 1st / 28th pick / 2018,$1452526
33,Trey Edmunds\EdmuTr00,26,,4,0,223,6-2,Maryland,12/30/1994,3,0,,$388235
45,Jayrone Elliott\ElliJa02,29,,8,0,240,6-3,Toledo,11/11/1991,6,1,,$481765
71,Matt Feiler\FeilMa00,28,LG,13,13,330,6-6,Bloomsburg,7/7/1992,6,6,,$3259000
39,Minkah Fitzpatrick*+\FitzMi00,24,FS,16,16,207,6-1,Alabama,11/17/1996,2,14,Miami Dolphins / 1st / 11th pick / 2018,$1975252
81,Zach Gentry\GentZa00,24,,2,1,265,6-8,Michigan,9/10/1996,1,0,Pittsburgh Steelers / 5th / 141st pick / 2019,$675000
54,Ulysees Gilbert\GilbUl00,23,,4,0,230,6-0,Akron,8/9/1997,1,0,Pittsburgh Steelers / 6th / 207th pick / 2019,$542648
77,Derwin Gray\GrayDe01,25,,5,0,320,6-4,Maryland,5/10/1995,Rook,0,Pittsburgh Steelers / 7th / 219th pick / 2019,$574112
23,Joe Haden\HadeJo99,31,LCB,14,14,195,5-11,Florida,4/14/1989,10,6,Cleveland Browns / 1st / 7th pick / 2010,$1050000
60,J.C. Hassenauer\HassJ.00,25,,15,4,295,6-2,Alabama,9/15/1995,Rook,3,,$610000
65,Jerald Hawkins\HawkJe00,27,,13,0,305,6-6,LSU,10/16/1993,3,1,Pittsburgh Steelers / 4th / 123rd pick / 2016,$705888
97,Cameron Heyward*\HeywCa01,31,DT,15,15,295,6-5,Ohio St.,5/6/1989,9,15,Pittsburgh Steelers / 1st / 31st pick / 2011,$1500000
56,Alex Highsmith\HighAl02,23,rolb,16,5,248,6-3,Charlotte,8/7/1997,Rook,4,Pittsburgh Steelers / 3rd / 102nd pick / 2020,$610000
28,Mike Hilton\HiltMi01,26,db,12,6,184,5-9,Mississippi,3/9/1994,3,4,,$3259000
18,Diontae Johnson\JohnDi01,24,WR,15,13,183,5-10,Toledo,7/5/1996,1,7,Pittsburgh Steelers / 3rd / 66th pick / 2019,$689589
31,Justin Layne\LaynJu00,22,,16,0,192,6-2,Michigan St.,1/12/1998,1,1,Pittsburgh Steelers / 3rd / 83rd pick / 2019,$675000
49,Cassius Marsh\MarsCa00,28,,1,0,254,6-4,UCLA,7/7/1992,6,0,Seattle Seahawks / 4th / 108th pick / 2014,
14,Ray-Ray McCloud\McClRa00,24,,16,2,190,5-9,Clemson,10/15/1996,2,1,Buffalo Bills / 6th / 187th pick / 2018,$750000
89,Vance McDonald\McDoVa00,30,TE,14,12,267,6-4,Rice,6/13/1990,7,1,San Francisco 49ers / 2nd / 55th pick / 2013,$1100000
26,Anthony McFarland Jr.\McFaAn00,21,,11,0,208,5-8,Maryland,3/4/1999,Rook,1,Pittsburgh Steelers / 4th / 124th pick / 2020,
99,Henry Mondeaux\MondHe00,25,,11,0,280,6-4,Oregon,9/19/1995,Rook,1,,$394702
22,Steven Nelson\NelsSt01,27,RCB,15,15,194,5-11,Oregon St.,1/22/1993,5,6,Kansas City Chiefs / 3rd / 98th pick / 2015,$910000
76,Chukwuma Okorafor\OkorCh00,23,RT,16,15,320,6-6,West. Michigan,8/8/1997,2,7,Pittsburgh Steelers / 3rd / 92nd pick / 2018,$750000
42,James Pierre\PierJa01,24,,16,0,185,6-2,Florida Atlantic,9/16/1996,Rook,1,,
53,Maurkice Pouncey*\PounMa20,31,C,13,13,304,6-4,Florida,7/24/1989,10,8,Pittsburgh Steelers / 1st / 18th pick / 2010,$1050000
87,Kevin Rader\RadeKe00,25,,1,1,250,6-4,Youngstown St.,4/26/1995,Rook,0,,$510000
7,Ben Roethlisberger\RoetBe00,38,QB,15,15,240,6-5,Miami (OH),3/2/1982,16,9,Pittsburgh Steelers / 1st / 11th pick / 2004,$1500000
2,Mason Rudolph\RudoMa00,25,,5,1,235,6-5,Oklahoma St.,7/17/1995,2,1,Pittsburgh Steelers / 3rd / 76th pick / 2018,$836554
38,Jaylen Samuels\SamuJa00,24,,14,1,225,6-0,North Carolina St.,7/20/1996,2,1,Pittsburgh Steelers / 5th / 165th pick / 2018,$750000
40,Tegray Scales\ScalTe00,24,,4,0,227,6-0,Indiana,5/10/1996,Rook,0,,
29,Wendell Smallwood\SmalWe00,26,,1,0,208,5-10,West Virginia,1/20/1994,4,0,Philadelphia Eagles / 5th / 153rd pick / 2016,
19,JuJu Smith-Schuster\SmitJu00,24,WR,16,14,215,6-1,USC,11/22/1996,3,6,Pittsburgh Steelers / 2nd / 62nd pick / 2017,$1037152
24,Benny Snell Jr.\SnelBe00,22,,16,3,224,5-10,Kentucky,2/26/1998,1,3,Pittsburgh Steelers / 4th / 122nd pick / 2019,$675000
41,Robert Spillane\SpilRo00,25,LILB,12,7,229,6-1,West. Michigan,12/14/1995,2,6,,$675000
20,Cameron Sutton\SuttCa00,25,db,16,6,188,5-11,Tennessee,2/27/1995,3,3,Pittsburgh Steelers / 3rd / 94th pick / 2017,$825000
91,Stephon Tuitt\TuitSt00,27,DE,15,15,303,6-6,Notre Dame,5/23/1993,6,10,Pittsburgh Steelers / 2nd / 46th pick / 2014,$9000000
78,Alejandro Villanueva\VillAl00,32,LT,16,16,320,6-9,Army,9/22/1988,6,8,,$5000000
13,James Washington\WashJa00,24,WR,16,7,213,5-11,Oklahoma St.,4/2/1996,2,3,Pittsburgh Steelers / 2nd / 60th pick / 2018,$889213
44,Derek Watt\WattDe00,28,,12,0,234,6-2,Wisconsin,11/7/1992,4,0,San Diego Chargers / 6th / 198th pick / 2016,$1000000
90,T.J. Watt*+\WattT.00,26,LOLB,15,15,252,6-4,Wisconsin,10/11/1994,3,18,Pittsburgh Steelers / 1st / 30th pick / 2017,$1727532
98,Vince Williams\WillVi01,31,RILB,14,14,233,6-1,Florida St.,12/27/1989,7,9,Pittsburgh Steelers / 6th / 206th pick / 2013,$4000000
51,Avery Williamson\WillAv00,28,,8,4,246,6-1,Kentucky,3/9/1992,6,3,Tennessee Titans / 5th / 151st pick / 2014,$1455885
61,Stefen Wisniewski\WisnSt01,31,,1,1,305,6-3,Penn St.,3/22/1989,9,0,Oakland Raiders / 2nd / 48th pick / 2011,$1050000
95,Chris Wormley\WormCh00,27,,13,1,300,6-5,Michigan,10/25/1993,3,2,Baltimore Ravens / 3rd / 74th pick / 2017,$2133000
16,Matthew Wright\WrigMa00,24,,3,0,179,6-0,Central Florida,3/22/1996,Rook,1,,
