No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
28,Ugo Amadi\AmadUg00,22,,16,0,201,5-9,Oregon,5/16/1997,Rook,1,Seattle Seahawks / 4th / 132nd pick / 2019,$495000
94,Ezekiel Ansah\AnsaEz00,30,,11,1,275,6-5,BYU,5/29/1989,6,2,Detroit Lions / 1st / 5th pick / 2013,$2500000
57,Cody Barton\BartCo00,23,,16,2,237,6-2,Utah,11/13/1996,Rook,2,Seattle Seahawks / 3rd / 88th pick / 2019,$495000
44,Nick Bellore\BellNi01,30,,14,1,250,6-1,Central Michigan,5/12/1989,8,0,,$930000
27,Marquise Blair\BlaiMa01,22,,14,3,196,6-1,Utah,7/18/1997,Rook,2,Seattle Seahawks / 2nd / 47th pick / 2019,$495000
68,Justin Britt\BritJu00,28,C,8,8,315,6-6,Missouri,5/29/1991,5,4,Seattle Seahawks / 2nd / 64th pick / 2014,$4500000
76,Duane Brown\BrowDu20,34,LT,12,12,315,6-4,Virginia Tech,8/30/1985,11,7,Houston Texans / 1st / 26th pick / 2008,$8000000
18,Jaron Brown\BrowJa03,29,WR,14,4,204,6-3,Clemson,1/8/1990,6,2,,$2750000
55,Ben Burr-Kirven\BurrBe00,22,,16,0,230,6-0,Washington,9/8/1997,Rook,1,Seattle Seahawks / 5th / 142nd pick / 2019,$495000
32,Chris Carson\CarsCh00,25,RB,15,15,222,5-11,Oklahoma St.,9/16/1994,2,10,Seattle Seahawks / 7th / 249th pick / 2017,$645000
90,Jadeveon Clowney\ClowJa00,26,DE,13,11,255,6-5,South Carolina,2/14/1993,5,6,Houston Texans / 1st / 1st pick / 2014,$15967200
95,L.J. Collier\CollLJ00,24,,11,0,291,6-2,TCU,9/12/1995,Rook,1,Seattle Seahawks / 1st / 29th pick / 2019,$495000
4,Michael Dickson\DickMi00,23,,16,0,208,6-2,Texas,1/4/1996,1,2,Seattle Seahawks / 5th / 149th pick / 2018,$570000
37,Quandre Diggs\DiggQu00,26,fs,5,5,197,5-9,Texas,1/22/1993,4,3,Detroit Lions / 6th / 200th pick / 2015,
88,Will Dissly\DissWi00,23,TE,6,6,265,6-4,Washington,7/8/1996,1,2,Seattle Seahawks / 4th / 120th pick / 2018,$570000
74,George Fant\FantGe00,27,lt,16,7,322,6-5,Western Kentucky,7/19/1992,3,5,,$3095000
21,Tre Flowers\FlowTr01,24,RCB,15,15,203,6-3,Oklahoma St.,6/2/1995,1,6,Seattle Seahawks / 5th / 146th pick / 2018,$570000
78,D.J. Fluker\FlukDJ00,28,RG,14,14,342,6-5,Alabama,3/13/1991,6,6,San Diego Chargers / 1st / 11th pick / 2013,$850000
97,Poona Ford\FordPo00,24,RDT,15,14,310,5-11,Texas,11/19/1995,1,6,,$570000
