No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
51,Azeez Al-Shaair\AlShAz00,22,,15,4,228,6-2,Florida Atlantic,8/4/1997,Rook,3,,$495000
56,Kwon Alexander\AlexKw00,25,LLB,8,8,227,6-1,LSU,8/3/1994,4,4,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$1750000
91,Arik Armstead\ArmsAr01,26,RDE,16,16,292,6-7,Oregon,11/15/1993,4,9,San Francisco 49ers / 1st / 17th pick / 2015,$9046000
98,Ronald Blair\BlaiRo00,26,,9,0,270,6-4,Appalachian St.,1/21/1993,3,2,San Francisco 49ers / 5th / 142nd pick / 2016,$720000
97,Nick Bosa*\BosaNi00,22,LDE,16,14,266,6-4,Ohio St.,10/23/1997,Rook,11,San Francisco 49ers / 1st / 2nd pick / 2019,$495000
84,Kendrick Bourne\BourKe00,24,,16,0,203,6-1,East. Washington,8/4/1995,2,4,,$645000
22,Matt Breida\BreiMa00,24,rb,13,5,190,5-10,Georgia Southern,2/28/1995,2,6,,$645000
60,Daniel Brunskill\BrunDa00,25,rt,14,7,260,6-5,San Diego St.,1/27/1994,1,5,,$495000
99,DeForest Buckner\BuckDe00,25,DT,16,16,300,6-7,Oregon,3/17/1994,3,15,San Francisco 49ers / 1st / 7th pick / 2016,$720000
88,Garrett Celek\CeleGa00,31,,5,1,252,6-5,Michigan St.,5/29/1988,7,0,,$1700000
26,Tevin Coleman\ColeTe01,26,RB,14,11,210,6-1,Indiana,4/16/1993,4,6,Atlanta Falcons / 3rd / 73rd pick / 2015,$1550000
59,Jon Condo\CondJo20,38,,1,0,240,6-3,Maryland,8/26/1981,14,0,,
96,Sheldon Day\DayxSh00,25,,16,2,294,6-1,Notre Dame,7/1/1994,3,2,Jacksonville Jaguars / 4th / 103rd pick / 2016,$720000
82,Ross Dwelley\DwelRo00,24,te,16,6,240,6-5,San Diego,1/26/1995,1,1,,$570000
38,Antone Exum\ExumAn00,28,,7,0,219,6-0,Virginia Tech,2/27/1991,5,0,Minnesota Vikings / 6th / 182nd pick / 2014,$805000
55,Dee Ford\FordDe00,28,,11,2,252,6-2,Auburn,3/19/1991,5,2,Kansas City Chiefs / 1st / 23rd pick / 2014,$4750000
63,Ben Garland\GarlBe00,31,,9,3,308,6-5,Air Force,4/6/1988,8,2,,$805000
10,Jimmy Garoppolo\GaroJi00,28,QB,16,16,225,6-2,Eastern Illinois,11/2/1991,5,15,New England Patriots / 2nd / 62nd pick / 2014,$17200000
90,Kevin Givens\GiveKe01,22,,1,0,285,6-1,Penn St.,3/1/1997,Rook,0,,
11,Marquise Goodwin\GoodMa00,29,wr,9,6,180,5-9,Texas,11/19/1990,6,2,Buffalo Bills / 3rd / 78th pick / 2013,$2950000
9,Robbie Gould\gouldrob01,37,,13,0,190,6-0,Penn St.,12/6/1982,14,1,,$4971000
57,Dre Greenlaw\GreeDr00,22,RLB,16,11,227,6-2,Arkansas,5/27/1997,Rook,6,San Francisco 49ers / 5th / 148th pick / 2019,$710000
36,Marcell Harris\HarrMa03,25,,13,4,208,6-0,Florida,6/9/1994,1,2,San Francisco 49ers / 6th / 184th pick / 2018,$570000
40,Colin Holba\HolbCo00,25,,2,0,248,6-4,Louisville,7/8/1994,2,0,Pittsburgh Steelers / 6th / 213th pick / 2017,$645000
13,Richie James\JameRi00,24,,16,1,185,5-9,Middle Tenn. St.,9/5/1995,1,2,San Francisco 49ers / 7th / 240th pick / 2018,$570000
38,Dontae Johnson\JohnDo02,28,,7,0,200,6-2,North Carolina St.,12/1/1991,5,0,San Francisco 49ers / 4th / 129th pick / 2014,$805000
93,D.J. Jones\JoneD.01,24,LDT,11,11,321,6-0,East Mississippi CCMississippi,1/19/1995,2,5,San Francisco 49ers / 6th / 198th pick / 2017,$645000
44,Kyle Juszczyk*\JuszKy00,28,FB,12,12,240,6-1,Harvard,4/23/1991,6,3,Baltimore Ravens / 4th / 130th pick / 2013,$4200000
85,George Kittle*+\KittGe00,26,TE,14,14,250,6-4,Iowa,10/9/1993,2,11,San Francisco 49ers / 5th / 146th pick / 2017,$645000
47,Elijah Lee\LeexEl00,23,,8,1,229,6-2,Kansas St.,2/8/1996,2,1,Minnesota Vikings / 7th / 232nd pick / 2017,$645000
81,Jordan Matthews\MattJo00,27,,1,0,215,6-3,Vanderbilt,7/16/1992,5,0,Philadelphia Eagles / 2nd / 42nd pick / 2014,$1000000
69,Mike McGlinchey\McGlMi00,24,RT,12,12,315,6-8,Notre Dame,1/12/1995,1,8,San Francisco 49ers / 1st / 9th pick / 2018,$570000
5,Chase McLaughlin\McLaCh00,23,,3,0,187,5-11,Illinois,4/9/1996,Rook,1,,
90,Damontre Moore\MoorDa01,27,,2,0,260,6-4,Texas A&M,9/11/1992,6,0,New York Giants / 3rd / 81st pick / 2013,$805000
33,Tarvarius Moore\MoorTa00,23,,16,3,200,6-2,Southern Miss,8/16/1996,1,2,San Francisco 49ers / 3rd / 95th pick / 2018,$603000
41,Emmanuel Moseley\MoseEm00,23,RCB,16,9,184,5-11,Tennessee,3/25/1996,1,4,,$495000
31,Raheem Mostert\MostRa00,27,,16,0,197,5-10,Purdue,4/9/1992,4,8,,$1400000
4,Nick Mullens\MullNi00,24,,1,0,210,6-1,Southern Miss,3/21/1995,1,0,,$570000
86,Kyle Nelson\NelsKy00,33,,10,0,240,6-2,New Mexico St.,10/3/1986,7,1,,$601765
53,Mark Nzeocha\NzeoMa00,29,,16,0,240,6-3,Wyoming,1/19/1990,4,2,Dallas Cowboys / 7th / 236th pick / 2015,$1100000
68,Michael Person\PersMi00,31,G,14,14,300,6-4,Montana St.,5/17/1988,8,8,San Francisco 49ers / 7th / 239th pick / 2011,$1450000
18,Dante Pettis\PettDa00,24,,11,4,195,6-1,Washington,10/23/1995,1,1,San Francisco 49ers / 2nd / 44th pick / 2018,$770934
32,D.J. Reed\ReedD.00,23,,16,0,188,5-9,Kansas St.,11/11/1996,1,1,San Francisco 49ers / 5th / 142nd pick / 2018,$570000
58,Weston Richburg\RichWe00,28,C,13,13,290,6-4,Colorado St.,7/9/1991,5,8,New York Giants / 2nd / 43rd pick / 2014,$5500000
19,Deebo Samuel\SamuDe00,23,WR,15,11,214,5-11,South Carolina,1/15/1996,Rook,9,San Francisco 49ers / 2nd / 36th pick / 2019,$495000
89,Garrison Sanborn\SanbGa00,34,,3,0,240,6-1,Florida St.,7/31/1985,10,0,,
17,Emmanuel Sanders\SandEm00,32,WR,10,9,180,5-11,SMU,3/17/1987,9,5,Pittsburgh Steelers / 3rd / 82nd pick / 2010,
25,Richard Sherman*\SherRi00,31,LCB,15,15,195,6-3,Stanford,3/30/1988,8,12,Seattle Seahawks / 5th / 154th pick / 2011,$7000000
67,Justin Skule\SkulJu00,23,LT,15,8,318,6-6,Vanderbilt,11/23/1996,Rook,5,San Francisco 49ers / 6th / 183rd pick / 2019,$672500
74,Joe Staley\StalJo20,35,lt,7,7,295,6-5,Central Michigan,8/30/1984,12,5,San Francisco 49ers / 1st / 28th pick / 2007,$8050000
95,Kentavius Street\StreKe00,23,,3,0,287,6-2,North Carolina St.,5/8/1996,1,0,San Francisco 49ers / 4th / 128th pick / 2018,$495000
29,Jaquiski Tartt\TartJa00,27,SS,12,12,215,6-1,Samford,2/18/1992,4,5,San Francisco 49ers / 2nd / 46th pick / 2015,$3000000
77,Jullian Taylor\TaylJu00,24,,6,0,280,6-5,Temple,1/30/1995,1,1,San Francisco 49ers / 7th / 223rd pick / 2018,$570000
94,Solomon Thomas\ThomSo00,24,,16,3,280,6-2,Stanford,8/26/1995,2,3,San Francisco 49ers / 1st / 3rd pick / 2017,$645000
83,Levine Toilolo\ToilLe00,28,,13,0,268,6-8,Stanford,7/30/1991,6,0,Atlanta Falcons / 4th / 133rd pick / 2013,$805000
75,Laken Tomlinson\TomlLa01,27,LG,16,16,312,6-3,Duke,2/9/1992,4,9,Detroit Lions / 1st / 28th pick / 2015,$2000000
92,Jeremiah Valoaga\ValoJe00,25,,4,0,275,6-6,UNLV,11/15/1994,2,0,,$570000
27,Jason Verrett\VerrJa00,28,,1,0,188,5-10,TCU,6/18/1991,5,0,San Diego Chargers / 1st / 25th pick / 2014,$1100000
20,Jimmie Ward\WardJi01,28,FS,13,13,193,5-11,Northern Illinois,7/18/1991,5,5,San Francisco 49ers / 1st / 30th pick / 2014,$2000000
54,Fred Warner\WarnFr00,23,MLB,16,16,236,6-3,BYU,11/19/1996,1,9,San Francisco 49ers / 3rd / 70th pick / 2018,$663137
24,K'Waun Williams\WillKW00,28,DB,15,8,185,5-9,Pittsburgh,7/12/1991,5,4,,$1550000
30,Jeff Wilson\WilsJe01,24,,10,0,194,6-0,North Texas,11/16/1995,1,1,,$570000
6,Mitch Wishnowsky\WishMi00,27,,16,0,220,6-2,Utah,3/3/1992,Rook,2,San Francisco 49ers / 4th / 110th pick / 2019,$495000
23,Ahkello Witherspoon\WithAh00,24,RCB,10,8,195,6-2,Colorado,3/21/1995,2,3,San Francisco 49ers / 3rd / 66th pick / 2017,$815375
65,Sam Young\YounSa21,32,,4,0,302,6-8,Notre Dame,6/24/1987,9,0,Dallas Cowboys / 6th / 179th pick / 2010,$1030000
92,Anthony Zettel\ZettAn00,27,,1,0,275,6-4,Penn St.,8/9/1992,3,0,Detroit Lions / 6th / 202nd pick / 2016,
