No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
38,Jude Adjei-Barimah\AdjeJu00,24,,10,1,200,5-11,Bowling Green,7/21/1992,1,0,,$525000
19,Roberto Aguayo\AguaRo00,22,,16,0,207,6-0,Florida St.,5/17/1994,Rook,0,Tampa Bay Buccaneers / 2nd / 59th pick / 2016,$450000
58,Kwon Alexander\AlexKw00,22,MLB,16,16,227,6-1,LSU,8/3/1994,1,10,Tampa Bay Buccaneers / 4th / 124th pick / 2015,$525000
9,Bryan Anger\AngeBr00,28,,16,0,205,6-3,California,10/6/1988,4,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,$1000000
91,Robert Ayers\AyerRo99,31,LDE,12,10,275,6-3,Tennessee,9/6/1985,7,6,Denver Broncos / 1st / 18th pick / 2009,$5000000
27,Johnthan Banks\BankJo00,27,,5,0,185,6-2,Mississippi St.,10/3/1989,3,0,Tampa Bay Buccaneers / 2nd / 43rd pick / 2013,$849498
43,Peyton Barber\BarbPe01,22,,15,1,225,5-11,Auburn,6/27/1994,Rook,2,,$450000
77,Caleb Benenoch\BeneCa00,22,,5,1,305,6-5,UCLA,8/2/1994,Rook,0,Tampa Bay Buccaneers / 5th / 148th pick / 2016,$450000
84,Cameron Brate\BratCa00,25,TE,15,10,245,6-5,Harvard,7/3/1991,2,5,,$600000
78,Gosder Cherilus\CherGo20,32,,15,3,315,6-7,Boston Col.,6/28/1984,8,0,Detroit Lions / 1st / 17th pick / 2008,$3000000
23,Chris Conte\ContCh00,27,SS,14,11,203,6-2,California,2/23/1989,5,6,Chicago Bears / 3rd / 93rd pick / 2011,$1500000
45,Alan Cross\CrosAl00,23,,14,0,235,6-1,Memphis,5/2/1993,Rook,0,,$397050
54,Lavonte David\DaviLa00,26,RLB,16,16,233,6-1,Fort Scott (KS)Nebraska,1/23/1990,4,15,Tampa Bay Buccaneers / 2nd / 58th pick / 2012,$10000000
48,Andrew DePaola\DePaAn00,29,,16,0,220,6-1,Rutgers,7/28/1987,2,0,,$600000
62,Evan Dietrich-Smith\DietEv00,30,,12,2,308,6-2,Idaho St.,7/19/1986,7,0,,$2500000
69,Demar Dotson\DotsDe00,31,RT,13,13,315,6-9,Southern Miss,10/11/1985,7,7,,$1750000
17,Donteea Dye\DyexDo00,23,,1,0,195,5-10,Heidelberg,8/20/1993,1,0,,$123528
35,Javien Elliott\ElliJa01,23,,6,1,185,5-11,Florida St.,7/18/1993,Rook,0,,$158820
13,Mike Evans*\EvanMi00,23,WR,16,16,231,6-5,Texas A&M,8/21/1993,2,10,Tampa Bay Buccaneers / 1st / 7th pick / 2014,$600000
92,William Gholston\GholWi00,25,RDE,14,14,281,6-6,Michigan St.,7/31/1991,3,8,Tampa Bay Buccaneers / 4th / 126th pick / 2013,$1671000
8,Mike Glennon\GlenMi00,27,,2,0,225,6-7,North Carolina St.,12/12/1989,3,0,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013,$1517719
72,Ben Gottschalk\GottBe00,24,,2,1,293,6-5,SMU,2/15/1992,Rook,0,,$450000
24,Brent Grimes\GrimBr20,33,RCB,16,16,185,5-10,Shippensburg,7/19/1983,9,8,,$3500000
44,Russell Hansbrough\HansRu00,23,,2,0,195,5-9,Missouri,11/19/1993,Rook,0,,$344110
28,Vernon Hargreaves III\HargVe00,21,LCB,16,16,204,5-10,Florida,6/3/1995,Rook,7,Tampa Bay Buccaneers / 1st / 11th pick / 2016,$450000
68,Joe Hawley\HawlJo20,28,C,15,15,302,6-3,UNLV,10/22/1988,6,8,Atlanta Falcons / 4th / 117th pick / 2010,$2500000
15,Josh Huff\HuffJo00,25,,3,0,206,5-11,Oregon,10/14/1991,2,0,Philadelphia Eagles / 3rd / 86th pick / 2014,$141176
67,John Hughes\HughJo00,28,,5,0,320,6-2,Cincinnati,4/27/1988,4,0,Cleveland Browns / 3rd / 87th pick / 2012,$760000
11,Adam Humphries\HumpAd00,23,wr,15,4,195,5-11,Clemson,6/24/1993,1,5,,$525000
83,Vincent Jackson\JackVi00,33,wr,5,5,230,6-5,Northern Colorado,1/14/1983,11,1,San Diego Chargers / 2nd / 61st pick / 2005,$9777777
25,Mike James\JameMi00,25,,4,0,223,5-10,Miami (FL),4/13/1991,3,0,Tampa Bay Buccaneers / 6th / 189th pick / 2013,$675000
46,Austin Johnson\JohnAu00,27,,1,0,240,6-2,Tennessee,6/16/1989,3,0,,
95,Howard Jones\JoneHo01,26,,8,0,238,6-4,Shepherd,2/10/1990,2,0,,$525000
50,Josh Keyes\KeyeJo00,23,,4,0,225,6-2,Boston Col.,1/23/1993,1,0,,$525000
75,DaVonte Lambert\LambDa01,22,de,11,5,282,6-2,Auburn,6/23/1994,Rook,3,,$450000
52,Cameron Lynch\LyncCa00,23,,12,0,229,6-0,Syracuse,8/4/1993,1,0,,$401470
74,Ali Marpet\MarpAl00,23,RG,16,16,307,6-4,Hobart,4/17/1993,1,9,Tampa Bay Buccaneers / 2nd / 61st pick / 2015,$606527
22,Doug Martin\MartDo00,27,RB,8,8,210,5-9,Boise St.,1/13/1989,4,4,Tampa Bay Buccaneers / 1st / 31st pick / 2012,$4000000
16,Freddie Martino\MartFr00,25,,13,0,195,6-0,North Greenville,9/7/1991,2,1,,$463230
93,Gerald McCoy*\McCoGe99,28,LDT,15,15,300,6-4,Oklahoma,2/25/1988,6,14,Tampa Bay Buccaneers / 1st / 3rd pick / 2010,$6000000
98,Clinton McDonald\McDoCl99,29,RDT,12,12,297,6-2,Memphis,1/6/1987,7,7,Cincinnati Bengals / 7th / 249th pick / 2009,$2750000
30,Bradley McDougald\McDoBr01,26,FS,16,16,215,6-1,Kansas,11/15/1990,3,8,,$2553000
82,Brandon Myers\MyerBr00,31,TE,16,9,250,6-4,Iowa,9/4/1985,7,0,Oakland Raiders / 6th / 202nd pick / 2009,$1750000
64,Kevin Pamphile\PampKe00,26,LG,14,14,315,6-5,Purdue,11/27/1990,2,7,Tampa Bay Buccaneers / 5th / 149th pick / 2014,$600000
26,Josh Robinson\RobiJo01,25,,16,0,200,5-10,Central Florida,1/8/1991,4,0,Minnesota Vikings / 3rd / 66th pick / 2012,$1500000
