No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
8,Ryan Allen\AlleRy01,30,,1,0,220,6-2,Louisiana Tech,2/28/1990,7,1,,$555882
56,Daren Bates\BateDa00,30,,13,0,225,5-11,Auburn,11/27/1990,7,1,,$535294
13,Cameron Batson\BatsCa00,25,,12,1,175,5-8,Texas Tech,12/20/1995,2,1,,$397059
44,Vic Beasley\BeasVi00,28,,5,0,246,6-3,Clemson,7/8/1992,5,0,Atlanta Falcons / 1st / 8th pick / 2015,$3500000
41,Khari Blasingame\BlasKh00,24,FB,15,7,233,6-0,Vanderbilt,7/1/1996,1,0,,$675000
39,Breon Borders\BordBr00,25,lcb,6,5,189,6-0,Duke,7/22/1995,3,2,,$357353
62,Aaron Brewer\BrewAa01,23,,12,1,270,6-3,Texas St.,10/28/1997,Rook,2,,
48,Beau Brinkley\BrinBe00,30,,7,0,260,6-4,Missouri,1/25/1990,8,0,,$1050000
11,A.J. Brown*\BrowAJ00,23,WR,14,12,226,6-0,Mississippi,6/30/1997,1,13,Tennessee Titans / 2nd / 51st pick / 2019,$751926
55,Jayon Brown\BrowJa06,25,RILB,10,10,226,6-0,UCLA,2/26/1995,3,5,Tennessee Titans / 5th / 155th pick / 2017,$2133000
21,Malcolm Butler\ButlMa01,30,RCB,16,16,190,5-11,West Alabama,3/2/1990,6,6,,$11000000
31,Kevin Byard\ByarKe01,27,FS,16,16,212,5-11,Middle Tenn. St.,8/17/1993,4,5,Tennessee Titans / 3rd / 64th pick / 2016,$910000
99,Jadeveon Clowney\ClowJa00,27,LOLB,8,8,255,6-5,South Carolina,2/14/1993,6,3,Houston Texans / 1st / 1st pick / 2014,$5250000
53,William Compton\CompWi00,31,,12,1,235,6-1,Nebraska,9/19/1989,7,1,,$910000
40,Kamalei Correa\CorrKa00,26,,3,0,241,6-3,Boise St.,4/27/1994,4,0,Baltimore Ravens / 2nd / 42nd pick / 2016,$1000000
94,Jack Crawford\CrawJa00,32,DE,16,9,288,6-5,Penn St.,9/7/1988,8,4,Oakland Raiders / 5th / 158th pick / 2012,$1050000
29,Dane Cruikshank\CruiDa00,25,,2,0,209,6-1,Arizona,4/27/1995,2,0,Tennessee Titans / 5th / 152nd pick / 2018,$608827
12,Trevor Daniel\DaniTr00,26,,2,0,231,6-1,Tennessee,12/8/1994,2,0,,$75600
84,Corey Davis\DaviCo03,25,WR,14,12,209,6-3,West. Michigan,1/11/1995,3,11,Tennessee Titans / 1st / 5th pick / 2017,$825000
64,Nate Davis\DaviNa01,24,RG,16,16,316,6-3,Charlotte,9/23/1996,1,10,Tennessee Titans / 3rd / 82nd pick / 2019,$675000
92,Matt Dickerson\DickMa00,25,,10,0,292,6-5,UCLA,11/9/1995,2,1,,$750000
