No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
39,Adonis Alexander\AlexAd00,22,,9,0,205,6-3,Virginia Tech,11/7/1996,Rook,1,Washington Redskins / 6th / 1st pick / 2018 Supp,$480000
93,Jonathan Allen\AlleJo01,23,LDE,16,16,300,6-3,Alabama,1/16/1995,1,8,Washington Redskins / 1st / 17th pick / 2017,$992108
52,Ryan Anderson\AndeRy00,24,,13,0,255,6-2,Alabama,8/12/1994,1,1,Washington Redskins / 2nd / 49th pick / 2017,$707033
30,Troy Apke\ApkeTr00,23,,2,0,205,6-1,Penn St.,4/11/1995,Rook,0,Washington Redskins / 4th / 109th pick / 2018,$480000
66,Tony Bergstrom\BergTo00,32,RG,13,8,310,6-5,Utah,8/8/1986,6,4,Oakland Raiders / 3rd / 95th pick / 2012,$790000
46,Kapri Bibbs\BibbKa00,25,,10,0,203,5-10,Colorado St.,1/10/1993,4,1,,$129200
69,Luke Bowanko\BowaLu00,27,,7,3,300,6-6,Virginia,6/13/1991,4,1,Jacksonville Jaguars / 6th / 205th pick / 2014,$371765
99,Caleb Brantley\BranCa00,24,,7,0,305,6-2,Florida,9/2/1994,1,0,Cleveland Browns / 6th / 185th pick / 2017,$555000
53,Zach Brown\BrowZa00,29,LILB,16,12,250,6-1,North Carolina,10/23/1989,6,6,Tennessee Titans / 2nd / 52nd pick / 2012,$1000000
36,Alex Carter\CartAl01,24,,1,0,201,6-0,Stanford,10/19/1994,2,0,Detroit Lions / 3rd / 80th pick / 2015,$28235
16,Jehu Chesson\ChesJe00,25,,12,0,204,6-2,Michigan,12/29/1993,1,0,Kansas City Chiefs / 4th / 139th pick / 2017,$522353
74,Geron Christian\ChriGe01,22,,2,0,315,6-6,Louisville,9/10/1996,Rook,0,Washington Redskins / 3rd / 74th pick / 2018,$480000
20,Ha Ha Clinton-Dix\ClinHa00,26,SS,9,9,211,6-1,Alabama,12/21/1992,4,3,Green Bay Packers / 1st / 21st pick / 2014,$5957000
72,Jonathan Cooper\CoopJo01,28,,4,4,308,6-2,North Carolina,1/19/1990,5,2,Arizona Cardinals / 1st / 7th pick / 2013,$371765
80,Jamison Crowder\CrowJa00,25,WR,9,7,177,5-9,Duke,6/17/1993,3,3,Washington Redskins / 4th / 105th pick / 2015,$1907000
